security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HOSE_BID,BID,2018-08-09 09:00:00,0,0,15.91,16.07,15.53,15.56,3444030,54303743.025,derived_ohlc4
HOSE_BID,BID,2018-08-10 09:00:00,1,0,15.42,16.12,15.37,16.12,4423770,69707555.775,derived_ohlc4
HOSE_BID,BID,2018-08-13 09:00:00,2,0,16.02,16.64,15.96,16.45,3670180,59704653.14999999,derived_ohlc4
HOSE_BID,BID,2018-08-14 09:00:00,3,0,16.45,16.53,16.12,16.18,2187220,35695430.4,derived_ohlc4
HOSE_BID,BID,2018-08-15 09:00:00,4,0,16.45,16.56,15.42,15.8,4946070,79421519.025,derived_ohlc4
HOSE_BID,BID,2018-08-16 09:00:00,5,0,15.61,16.2,15.1,16.18,5017400,79136941.5,derived_ohlc4
HOSE_BID,BID,2018-08-17 09:00:00,6,0,16.5,17.09,16.23,16.77,4664800,77657258.0,derived_ohlc4
HOSE_BID,BID,2018-08-20 09:00:00,7,0,16.72,17.15,16.61,16.93,3573200,60217353.0,derived_ohlc4
HOSE_BID,BID,2018-08-21 09:00:00,8,0,16.72,17.8,16.72,17.8,4070460,70256139.6,derived_ohlc4
HOSE_BID,BID,2018-08-22 09:00:00,9,0,17.9,18.17,17.47,17.53,4346680,77229636.89999999,derived_ohlc4
HOSE_BID,BID,2018-08-23 09:00:00,10,0,17.63,18.07,17.36,17.82,3335590,59106654.8,derived_ohlc4
HOSE_BID,BID,2018-08-24 09:00:00,11,0,17.58,18.09,17.58,18.01,2775350,49442860.25,derived_ohlc4
HOSE_BID,BID,2018-08-27 09:00:00,12,0,18.17,18.39,18.04,18.34,2541980,46353005.3,derived_ohlc4
HOSE_BID,BID,2018-08-28 09:00:00,13,0,18.5,18.5,17.96,18.17,2582530,47215104.724999994,derived_ohlc4
HOSE_BID,BID,2018-08-29 09:00:00,14,0,18.17,18.39,18.09,18.15,2319810,42220542.00000001,derived_ohlc4
HOSE_BID,BID,2018-08-30 09:00:00,15,0,18.12,18.82,18.07,18.82,3286300,60656882.25,derived_ohlc4
HOSE_BID,BID,2018-08-31 09:00:00,16,0,18.77,18.87,18.5,18.55,2336200,43622694.5,derived_ohlc4
HOSE_BID,BID,2018-09-04 09:00:00,17,0,18.34,18.34,17.36,17.53,4088990,73162253.57499999,derived_ohlc4
HOSE_BID,BID,2018-09-05 09:00:00,18,0,17.36,17.98,17.34,17.85,3283340,57893492.550000004,derived_ohlc4
HOSE_BID,BID,2018-09-06 09:00:00,19,0,17.85,17.9,17.47,17.66,1923190,34078926.8,derived_ohlc4
