security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HNX_DP3,DP3,2018-08-09 09:00:00,0,0,18.07,18.07,17.68,17.75,1651.0,29540.517499999998,derived_ohlc4
HNX_DP3,DP3,2018-08-10 09:00:00,1,0,17.58,17.58,16.23,16.77,24000.0,408960.0,derived_ohlc4
HNX_DP3,DP3,2018-08-13 09:00:00,2,0,17.64,18.18,17.62,18.18,11010.0,197134.05000000002,derived_ohlc4
HNX_DP3,DP3,2018-08-14 09:00:00,3,0,17.97,18.07,17.86,18.07,12200.0,219508.5,derived_ohlc4
HNX_DP3,DP3,2018-08-15 09:00:00,4,0,18.07,18.07,17.53,18.03,1800.0,32265.0,derived_ohlc4
HNX_DP3,DP3,2018-08-16 09:00:00,5,0,17.58,17.99,17.51,17.97,14300.0,254003.75,derived_ohlc4
HNX_DP3,DP3,2018-08-17 09:00:00,6,0,17.64,17.97,17.64,17.97,1700.0,30268.5,derived_ohlc4
HNX_DP3,DP3,2018-08-20 09:00:00,7,0,17.79,17.79,17.75,17.75,2000.0,35540.0,derived_ohlc4
HNX_DP3,DP3,2018-08-21 09:00:00,8,0,17.97,18.61,17.97,18.61,4800.0,87792.0,derived_ohlc4
HNX_DP3,DP3,2018-08-22 09:00:00,9,0,18.61,18.61,18.61,18.61,100.0,1861.0,derived_ohlc4
HNX_DP3,DP3,2018-08-23 09:00:00,10,0,17.97,17.97,17.97,17.97,500.0,8985.0,derived_ohlc4
HNX_DP3,DP3,2018-08-24 09:00:00,11,0,18.18,18.18,17.97,17.97,1451.0,26226.825,derived_ohlc4
HNX_DP3,DP3,2018-08-27 09:00:00,12,0,17.97,17.97,17.75,17.79,2043.0,36508.409999999996,derived_ohlc4
HNX_DP3,DP3,2018-08-28 09:00:00,13,0,17.88,18.18,17.88,18.18,1320.0,23799.600000000002,derived_ohlc4
HNX_DP3,DP3,2018-08-29 09:00:00,14,0,17.9,18.18,17.88,18.18,1100.0,19838.499999999996,derived_ohlc4
HNX_DP3,DP3,2018-08-30 09:00:00,15,0,17.9,17.9,17.88,17.88,650.0,11628.499999999998,derived_ohlc4
HNX_DP3,DP3,2018-08-31 09:00:00,16,0,17.97,17.97,17.88,17.88,5110.0,91596.74999999999,derived_ohlc4
HNX_DP3,DP3,2018-09-04 09:00:00,17,0,17.88,17.88,17.88,17.88,23.0,411.23999999999995,derived_ohlc4
HNX_DP3,DP3,2018-09-05 09:00:00,18,0,17.88,17.88,17.77,17.77,1811.0,32281.074999999997,derived_ohlc4
HNX_DP3,DP3,2018-09-06 09:00:00,19,0,17.75,17.77,17.75,17.75,3300.0,58591.5,derived_ohlc4
HNX_DP3,DP3,2018-09-07 09:00:00,20,0,17.75,17.75,17.36,17.75,1800.0,31774.5,derived_ohlc4
HNX_DP3,DP3,2018-09-11 09:00:00,22,1,17.38,17.64,17.38,17.62,3400.0,59517.0,derived_ohlc4
HNX_DP3,DP3,2018-09-12 09:00:00,23,1,17.51,17.53,17.32,17.53,6200.0,108329.50000000003,derived_ohlc4
HNX_DP3,DP3,2018-09-13 09:00:00,24,1,17.53,17.53,17.53,17.53,500.0,8765.0,derived_ohlc4
HNX_DP3,DP3,2018-09-14 09:00:00,25,1,17.42,17.42,17.12,17.12,14300.0,246961.00000000006,derived_ohlc4
HNX_DP3,DP3,2018-09-17 09:00:00,26,1,17.1,17.1,16.88,16.97,3800.0,64647.5,derived_ohlc4
HNX_DP3,DP3,2018-09-18 09:00:00,27,1,16.97,16.97,16.97,16.97,600.0,10182.0,derived_ohlc4
HNX_DP3,DP3,2018-09-19 09:00:00,28,1,17.12,17.88,16.95,17.88,3500.0,61101.25,derived_ohlc4
HNX_DP3,DP3,2018-09-20 09:00:00,29,1,17.32,17.49,17.1,17.49,3800.0,65930.0,derived_ohlc4
HNX_DP3,DP3,2018-09-21 09:00:00,30,1,17.32,17.42,17.32,17.42,2200.0,38214.0,derived_ohlc4
HNX_DP3,DP3,2018-09-24 09:00:00,31,1,17.53,17.53,17.32,17.51,1700.0,29703.25,derived_ohlc4
HNX_DP3,DP3,2018-09-25 09:00:00,32,1,17.53,17.53,17.42,17.47,2300.0,40221.25,derived_ohlc4
HNX_DP3,DP3,2018-09-26 09:00:00,33,1,17.4,17.53,17.4,17.51,7000.0,122220.0,derived_ohlc4
HNX_DP3,DP3,2018-09-27 09:00:00,34,1,17.32,17.49,17.32,17.38,12800.0,222432.00000000003,derived_ohlc4
HNX_DP3,DP3,2018-09-28 09:00:00,35,1,17.38,18.18,17.38,17.75,10410.0,183970.725,derived_ohlc4
HNX_DP3,DP3,2018-10-01 09:00:00,36,1,17.97,18.36,17.97,18.23,13600.0,246602.0,derived_ohlc4
