security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HOSE_KDC,KDC,2018-08-09 09:00:00,0,0,27.42,27.42,26.76,27.17,72770,1978798.225,derived_ohlc4
HOSE_KDC,KDC,2018-08-10 09:00:00,1,0,27.3,27.42,26.76,27.42,35380,963220.5,derived_ohlc4
HOSE_KDC,KDC,2018-08-13 09:00:00,2,0,27.42,27.42,26.93,27.05,29480,802003.4,derived_ohlc4
HOSE_KDC,KDC,2018-08-14 09:00:00,3,0,26.93,27.34,26.8,27.34,63770,1728326.425,derived_ohlc4
HOSE_KDC,KDC,2018-08-15 09:00:00,4,0,27.42,27.58,26.93,27.34,15210,415499.17500000005,derived_ohlc4
HOSE_KDC,KDC,2018-08-16 09:00:00,5,0,27.34,27.74,26.93,27.74,117020,3210736.2499999995,derived_ohlc4
HOSE_KDC,KDC,2018-08-17 09:00:00,6,0,27.66,27.66,27.13,27.17,14740,403949.7,derived_ohlc4
HOSE_KDC,KDC,2018-08-20 09:00:00,7,0,27.25,27.25,26.76,26.76,105910,2860099.5500000003,derived_ohlc4
HOSE_KDC,KDC,2018-08-21 09:00:00,8,0,26.68,26.68,25.5,26.36,180790,4755680.95,derived_ohlc4
HOSE_KDC,KDC,2018-08-22 09:00:00,9,0,25.78,26.11,25.62,25.62,156710,4040375.575,derived_ohlc4
HOSE_KDC,KDC,2018-08-23 09:00:00,10,0,25.62,25.7,24.89,24.89,171200,4327080.0,derived_ohlc4
HOSE_KDC,KDC,2018-08-24 09:00:00,11,0,24.56,24.72,23.58,24.48,477390,11617285.65,derived_ohlc4
HOSE_KDC,KDC,2018-08-27 09:00:00,12,0,23.91,24.48,23.66,24.4,300720,7251110.999999999,derived_ohlc4
HOSE_KDC,KDC,2018-08-28 09:00:00,13,0,24.4,24.4,23.83,24.4,242220,5875651.65,derived_ohlc4
HOSE_KDC,KDC,2018-08-29 09:00:00,14,0,24.15,24.97,23.87,24.97,195130,4778733.699999999,derived_ohlc4
HOSE_KDC,KDC,2018-08-30 09:00:00,15,0,24.89,25.13,24.07,24.68,282080,6965260.4,derived_ohlc4
HOSE_KDC,KDC,2018-08-31 09:00:00,16,0,24.48,24.64,24.24,24.64,81480,1996260.0,derived_ohlc4
HOSE_KDC,KDC,2018-09-04 09:00:00,17,0,24.64,24.81,24.15,24.76,68800,1691792.0,derived_ohlc4
HOSE_KDC,KDC,2018-09-05 09:00:00,18,0,24.24,25.21,24.07,24.97,1243150,30609460.875000004,derived_ohlc4
HOSE_KDC,KDC,2018-09-06 09:00:00,19,0,24.97,25.05,24.64,25.05,93390,2327979.2249999996,derived_ohlc4
HOSE_KDC,KDC,2018-09-07 09:00:00,20,0,24.56,25.09,24.56,25.05,58540,1452670.0999999999,derived_ohlc4
HOSE_KDC,KDC,2018-09-10 09:00:00,21,0,24.89,25.05,24.64,24.76,118890,2952633.15,derived_ohlc4
