security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HNX_L18,L18,2018-08-10 09:00:00,1,0,4.94,4.94,4.94,4.94,100.0,494.00000000000006,derived_ohlc4
HNX_L18,L18,2018-09-18 09:00:00,27,1,5.36,5.36,5.36,5.36,3000.0,16080.000000000002,derived_ohlc4
HNX_L18,L18,2018-09-27 09:00:00,34,2,4.83,4.83,4.83,4.83,2000.0,9660.0,derived_ohlc4
HNX_L18,L18,2018-09-28 09:00:00,35,2,4.35,4.35,4.35,4.35,2400.0,10440.0,derived_ohlc4
HNX_L18,L18,2018-10-02 09:00:00,37,3,4.78,4.78,4.78,4.78,100.0,478.0,derived_ohlc4
HNX_L18,L18,2018-10-03 09:00:00,38,3,4.83,4.83,4.83,4.83,100.0,483.0,derived_ohlc4
HNX_L18,L18,2018-10-04 09:00:00,39,3,5.1,5.1,5.1,5.1,100.0,509.99999999999994,derived_ohlc4
HNX_L18,L18,2018-10-11 09:00:00,44,4,4.61,4.61,4.61,4.61,225.0,1037.25,derived_ohlc4
HNX_L18,L18,2018-10-12 09:00:00,45,4,4.83,4.83,4.83,4.83,100.0,483.0,derived_ohlc4
HNX_L18,L18,2018-10-17 09:00:00,48,5,4.72,4.94,4.72,4.72,600.0,2864.9999999999995,derived_ohlc4
HNX_L18,L18,2018-10-18 09:00:00,49,5,4.61,4.72,4.61,4.72,250.0,1166.25,derived_ohlc4
HNX_L18,L18,2018-10-22 09:00:00,51,6,4.67,4.72,4.61,4.72,500.0,2340.0,derived_ohlc4
HNX_L18,L18,2018-10-23 09:00:00,52,6,4.61,4.72,4.56,4.72,600.0,2791.5,derived_ohlc4
HNX_L18,L18,2018-10-24 09:00:00,53,6,4.72,4.72,4.61,4.61,200.0,933.0,derived_ohlc4
HNX_L18,L18,2018-10-25 09:00:00,54,6,4.72,4.72,4.56,4.56,200.0,927.9999999999999,derived_ohlc4
HNX_L18,L18,2018-11-01 09:00:00,59,7,4.83,4.83,4.83,4.83,100.0,483.0,derived_ohlc4
HNX_L18,L18,2018-11-28 09:00:00,78,8,4.72,4.72,4.72,4.72,100.0,472.0,derived_ohlc4
HNX_L18,L18,2018-12-05 09:00:00,83,9,4.45,4.83,4.45,4.83,1600.0,7424.000000000001,derived_ohlc4
HNX_L18,L18,2018-12-07 09:00:00,85,10,4.61,4.78,4.61,4.78,400.0,1878.0,derived_ohlc4
HNX_L18,L18,2018-12-13 09:00:00,89,11,4.78,4.78,4.35,4.35,200.0,912.9999999999999,derived_ohlc4
HNX_L18,L18,2018-12-14 09:00:00,90,11,4.78,4.78,4.78,4.78,200.0,956.0,derived_ohlc4
HNX_L18,L18,2018-12-17 09:00:00,91,11,4.94,4.94,4.94,4.94,100.0,494.00000000000006,derived_ohlc4
HNX_L18,L18,2018-12-18 09:00:00,92,11,5.04,5.04,5.04,5.04,100.0,504.0,derived_ohlc4
HNX_L18,L18,2018-12-19 09:00:00,93,11,5.15,5.15,4.56,5.04,400.0,1989.9999999999998,derived_ohlc4
HNX_L18,L18,2018-12-20 09:00:00,94,11,4.56,5.04,4.56,5.04,800.0,3840.0,derived_ohlc4
HNX_L18,L18,2018-12-21 09:00:00,95,11,4.56,5.04,4.56,5.04,850.0,4080.0,derived_ohlc4
HNX_L18,L18,2018-12-24 09:00:00,96,11,4.99,5.1,4.99,5.1,1200.0,6054.0,derived_ohlc4
