security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HNX_MBS,MBS,2018-08-09 09:00:00,0,0,3.77,3.91,3.77,3.86,193264,739717.96,derived_ohlc4
HNX_MBS,MBS,2018-08-10 09:00:00,1,0,3.86,3.89,3.75,3.86,170302,653959.6799999999,derived_ohlc4
HNX_MBS,MBS,2018-08-13 09:00:00,2,0,3.86,3.96,3.79,3.93,289640,1125251.4,derived_ohlc4
HNX_MBS,MBS,2018-08-14 09:00:00,3,0,3.96,3.96,3.84,3.89,83344,326083.4,derived_ohlc4
HNX_MBS,MBS,2018-08-15 09:00:00,4,0,3.91,3.91,3.79,3.79,85810,330368.49999999994,derived_ohlc4
HNX_MBS,MBS,2018-08-16 09:00:00,5,0,3.75,3.79,3.72,3.75,94200,353485.5,derived_ohlc4
HNX_MBS,MBS,2018-08-17 09:00:00,6,0,3.84,3.84,3.68,3.68,136414,512916.63999999996,derived_ohlc4
HNX_MBS,MBS,2018-08-20 09:00:00,7,0,3.68,3.75,3.68,3.72,36340,134730.55,derived_ohlc4
HNX_MBS,MBS,2018-08-21 09:00:00,8,0,3.72,3.77,3.7,3.75,45900,171436.50000000003,derived_ohlc4
HNX_MBS,MBS,2018-08-22 09:00:00,9,0,3.79,3.89,3.77,3.79,196600,749045.9999999999,derived_ohlc4
HNX_MBS,MBS,2018-08-23 09:00:00,10,0,3.82,3.82,3.77,3.82,53120,202254.4,derived_ohlc4
HNX_MBS,MBS,2018-08-24 09:00:00,11,0,3.79,3.84,3.77,3.82,134218,510699.49000000005,derived_ohlc4
HNX_MBS,MBS,2018-08-27 09:00:00,12,0,3.82,3.84,3.79,3.79,170750,650557.4999999999,derived_ohlc4
HNX_MBS,MBS,2018-08-28 09:00:00,13,0,3.84,3.89,3.79,3.89,312130,1202480.825,derived_ohlc4
HNX_MBS,MBS,2018-08-29 09:00:00,14,0,3.89,3.91,3.84,3.89,409805,1591067.9125,derived_ohlc4
HNX_MBS,MBS,2018-08-30 09:00:00,15,0,3.89,3.91,3.84,3.86,107095,414993.125,derived_ohlc4
HNX_MBS,MBS,2018-08-31 09:00:00,16,0,3.86,3.89,3.77,3.77,63037,240958.9325,derived_ohlc4
HNX_MBS,MBS,2018-09-04 09:00:00,17,0,3.77,3.77,3.7,3.7,146420,546878.7000000001,derived_ohlc4
HNX_MBS,MBS,2018-09-05 09:00:00,18,0,3.7,3.72,3.65,3.7,204300,754377.75,derived_ohlc4
HNX_MBS,MBS,2018-09-06 09:00:00,19,0,3.7,3.7,3.51,3.51,90450,326072.25,derived_ohlc4
HNX_MBS,MBS,2018-09-07 09:00:00,20,0,3.63,3.86,3.56,3.82,596810,2218641.1750000003,derived_ohlc4
HNX_MBS,MBS,2018-09-10 09:00:00,21,0,3.82,3.82,3.72,3.75,242455,915873.7625,derived_ohlc4
HNX_MBS,MBS,2018-09-11 09:00:00,22,0,3.75,3.79,3.72,3.77,230250,865164.375,derived_ohlc4
HNX_MBS,MBS,2018-09-12 09:00:00,23,0,3.79,3.79,3.72,3.77,228820,862079.35,derived_ohlc4
HNX_MBS,MBS,2018-09-13 09:00:00,24,0,3.77,3.82,3.75,3.79,194278,734856.5349999999,derived_ohlc4
HNX_MBS,MBS,2018-09-14 09:00:00,25,0,3.79,4.14,3.79,4.05,1114927,4395599.6975,derived_ohlc4
HNX_MBS,MBS,2018-09-17 09:00:00,26,0,4.05,4.17,4.05,4.12,626379,2566587.9525,derived_ohlc4
HNX_MBS,MBS,2018-09-18 09:00:00,27,0,4.07,4.12,4.03,4.12,372508,1521695.1800000004,derived_ohlc4
HNX_MBS,MBS,2018-09-19 09:00:00,28,0,4.12,4.24,4.1,4.19,598537,2491410.2624999997,derived_ohlc4
HNX_MBS,MBS,2018-09-20 09:00:00,29,0,4.21,4.33,4.21,4.28,465955,1983803.4125,derived_ohlc4
HNX_MBS,MBS,2018-09-21 09:00:00,30,0,4.28,4.36,4.17,4.31,512330,2192772.4,derived_ohlc4
HNX_MBS,MBS,2018-09-24 09:00:00,31,0,4.38,4.38,4.24,4.28,301569,1302778.08,derived_ohlc4
HNX_MBS,MBS,2018-09-25 09:00:00,32,0,4.28,4.33,4.24,4.28,420117,1799151.0525,derived_ohlc4
HNX_MBS,MBS,2018-09-26 09:00:00,33,0,4.28,4.4,4.28,4.33,518410,2240827.225,derived_ohlc4
HNX_MBS,MBS,2018-09-27 09:00:00,34,0,4.33,4.38,4.28,4.33,360810,1562307.3,derived_ohlc4
HNX_MBS,MBS,2018-09-28 09:00:00,35,0,4.36,4.36,4.26,4.33,243544,1053936.6600000001,derived_ohlc4
HNX_MBS,MBS,2018-10-01 09:00:00,36,0,4.33,4.33,4.26,4.28,244148,1049836.4,derived_ohlc4
HNX_MBS,MBS,2018-10-02 09:00:00,37,0,4.28,4.47,4.26,4.47,832881,3639689.97,derived_ohlc4
HNX_MBS,MBS,2018-10-03 09:00:00,38,0,4.54,4.54,4.4,4.47,329697,1479515.2874999999,derived_ohlc4
HNX_MBS,MBS,2018-10-04 09:00:00,39,0,4.42,4.5,4.42,4.5,297093,1325034.78,derived_ohlc4
HNX_MBS,MBS,2018-10-05 09:00:00,40,0,4.45,4.5,4.28,4.33,746602,3277582.7800000003,derived_ohlc4
HNX_MBS,MBS,2018-10-08 09:00:00,41,0,4.28,4.33,4.26,4.33,213490,918007.0,derived_ohlc4
HNX_MBS,MBS,2018-10-09 09:00:00,42,0,4.33,4.33,4.26,4.31,179225,772011.6875,derived_ohlc4
HNX_MBS,MBS,2018-10-10 09:00:00,43,0,4.28,4.28,4.14,4.17,433751,1829344.8424999998,derived_ohlc4
HNX_MBS,MBS,2018-10-11 09:00:00,44,0,4.1,4.1,3.82,3.82,693960,2748081.6,derived_ohlc4
HNX_MBS,MBS,2018-10-12 09:00:00,45,0,3.82,3.98,3.65,3.98,721590,2783533.425,derived_ohlc4
HNX_MBS,MBS,2018-10-15 09:00:00,46,0,3.98,3.98,3.75,3.84,146946,571252.5750000001,derived_ohlc4
HNX_MBS,MBS,2018-10-16 09:00:00,47,0,3.86,3.98,3.79,3.93,81122,315564.57999999996,derived_ohlc4
HNX_MBS,MBS,2018-10-17 09:00:00,48,0,3.96,4.03,3.91,3.91,197050,778840.125,derived_ohlc4
HNX_MBS,MBS,2018-10-18 09:00:00,49,0,3.91,3.98,3.89,3.89,105220,412199.35000000003,derived_ohlc4
HNX_MBS,MBS,2018-10-19 09:00:00,50,0,3.82,3.96,3.75,3.96,58700,227315.74999999997,derived_ohlc4
HNX_MBS,MBS,2018-10-22 09:00:00,51,0,3.98,3.98,3.82,3.82,148238,578128.2,derived_ohlc4
HNX_MBS,MBS,2018-10-23 09:00:00,52,0,3.84,3.84,3.63,3.75,258530,973365.45,derived_ohlc4
HNX_MBS,MBS,2018-10-24 09:00:00,53,0,3.75,3.77,3.63,3.68,92070,341349.52499999997,derived_ohlc4
HNX_MBS,MBS,2018-10-25 09:00:00,54,0,3.65,3.65,3.42,3.58,325968,1165335.5999999999,derived_ohlc4
HNX_MBS,MBS,2018-10-26 09:00:00,55,0,3.63,3.65,3.44,3.54,250100,891606.4999999999,derived_ohlc4
HNX_MBS,MBS,2018-10-29 09:00:00,56,0,3.61,3.61,3.4,3.54,191435,677679.9,derived_ohlc4
HNX_MBS,MBS,2018-10-30 09:00:00,57,0,3.49,3.54,3.49,3.51,116163,407441.7225,derived_ohlc4
HNX_MBS,MBS,2018-10-31 09:00:00,58,0,3.51,3.68,3.51,3.63,332080,1189676.5999999999,derived_ohlc4
HNX_MBS,MBS,2018-11-01 09:00:00,59,0,3.63,3.65,3.58,3.61,132705,480060.33749999997,derived_ohlc4
HNX_MBS,MBS,2018-11-02 09:00:00,60,0,3.63,3.68,3.56,3.65,169000,613470.0,derived_ohlc4
HNX_MBS,MBS,2018-11-05 09:00:00,61,0,3.63,3.65,3.58,3.65,64711,234739.1525,derived_ohlc4
HNX_MBS,MBS,2018-11-06 09:00:00,62,0,3.65,3.68,3.61,3.63,114613,417477.8525,derived_ohlc4
HNX_MBS,MBS,2018-11-07 09:00:00,63,0,3.63,3.65,3.56,3.61,90900,328376.25,derived_ohlc4
HNX_MBS,MBS,2018-11-08 09:00:00,64,0,3.65,3.7,3.58,3.58,84100,305072.75,derived_ohlc4
HNX_MBS,MBS,2018-11-09 09:00:00,65,0,3.65,3.65,3.54,3.58,115710,417134.55,derived_ohlc4
HNX_MBS,MBS,2018-11-12 09:00:00,66,0,3.54,3.56,3.51,3.56,63403,224605.1275,derived_ohlc4
HNX_MBS,MBS,2018-11-13 09:00:00,67,0,3.51,3.56,3.49,3.56,105300,371709.0,derived_ohlc4
