security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HNX_TMB,TMB,2018-10-17 09:00:00,48,0,3.4,3.4,3.4,3.4,3500.0,11900.0,derived_ohlc4
HNX_TMB,TMB,2018-11-01 09:00:00,59,1,3.4,3.4,3.4,3.4,400.0,1360.0,derived_ohlc4
HNX_TMB,TMB,2019-03-21 09:00:00,152,2,3.06,3.74,3.06,3.74,400.0,1360.0000000000002,derived_ohlc4
HNX_TMB,TMB,2019-03-28 09:00:00,157,3,3.74,4.08,3.74,4.08,1100.0,4301.0,derived_ohlc4
HNX_TMB,TMB,2019-04-05 09:00:00,163,4,4.34,4.34,4.34,4.34,100.0,434.0,derived_ohlc4
HNX_TMB,TMB,2019-04-12 09:00:00,168,5,4.76,4.76,4.76,4.76,200.0,952.0,derived_ohlc4
HNX_TMB,TMB,2019-05-29 09:00:00,197,6,4.47,4.76,4.47,4.76,6200.0,28613.0,derived_ohlc4
HNX_TMB,TMB,2019-05-31 09:00:00,199,7,4.3,4.47,4.3,4.3,14800.0,64269.00000000001,derived_ohlc4
HNX_TMB,TMB,2019-06-07 09:00:00,204,8,3.87,3.87,3.87,3.87,2000.0,7740.0,derived_ohlc4
HNX_TMB,TMB,2019-07-23 09:00:00,236,9,4.26,4.26,4.26,4.26,1000.0,4260.0,derived_ohlc4
HNX_TMB,TMB,2019-07-24 09:00:00,237,9,4.68,4.68,4.68,4.68,2232.0,10445.76,derived_ohlc4
HNX_TMB,TMB,2019-07-25 09:00:00,238,9,5.15,5.15,5.15,5.15,9000.0,46350.0,derived_ohlc4
HNX_TMB,TMB,2019-07-26 09:00:00,239,9,5.66,5.66,5.66,5.66,6200.0,35092.0,derived_ohlc4
HNX_TMB,TMB,2019-07-29 09:00:00,240,9,6.21,6.21,6.21,6.21,20000.0,124200.0,derived_ohlc4
HNX_TMB,TMB,2019-07-30 09:00:00,241,9,6.81,6.81,6.68,6.68,900.0,6070.499999999999,derived_ohlc4
HNX_TMB,TMB,2019-08-02 09:00:00,244,10,6.68,6.68,6.68,6.68,100.0,668.0,derived_ohlc4
HNX_TMB,TMB,2019-08-05 09:00:00,245,10,6.01,6.01,6.01,6.01,500.0,3005.0,derived_ohlc4
HNX_TMB,TMB,2019-08-15 09:00:00,253,11,5.68,6.01,5.68,6.01,1500.0,8767.499999999998,derived_ohlc4
HNX_TMB,TMB,2019-08-16 09:00:00,254,11,6.28,6.28,6.28,6.28,700.0,4396.0,derived_ohlc4
HNX_TMB,TMB,2019-08-20 09:00:00,256,12,6.68,6.68,6.68,6.68,100.0,668.0,derived_ohlc4
HNX_TMB,TMB,2019-08-22 09:00:00,258,13,7.35,7.35,7.35,7.35,100.0,735.0,derived_ohlc4
HNX_TMB,TMB,2019-08-23 09:00:00,259,13,7.01,7.01,7.01,7.01,100.0,701.0,derived_ohlc4
HNX_TMB,TMB,2019-09-09 09:00:00,269,14,6.68,6.68,6.68,6.68,100.0,668.0,derived_ohlc4
HNX_TMB,TMB,2019-09-20 09:00:00,278,15,6.01,6.68,6.01,6.68,200.0,1269.0,derived_ohlc4
HNX_TMB,TMB,2019-09-23 09:00:00,279,15,6.28,6.28,6.01,6.01,1000.0,6145.0,derived_ohlc4
HNX_TMB,TMB,2019-09-25 09:00:00,281,16,5.41,5.41,5.41,5.41,300.0,1623.0,derived_ohlc4
HNX_TMB,TMB,2019-09-27 09:00:00,283,17,5.41,5.41,5.41,5.41,2700.0,14607.0,derived_ohlc4
HNX_TMB,TMB,2019-10-01 09:00:00,285,18,5.48,5.48,5.41,5.41,600.0,3267.0,derived_ohlc4
HNX_TMB,TMB,2019-10-02 09:00:00,286,18,5.41,5.41,5.41,5.41,1800.0,9738.0,derived_ohlc4
HNX_TMB,TMB,2019-10-03 09:00:00,287,18,5.48,5.48,5.41,5.41,2500.0,13612.5,derived_ohlc4
HNX_TMB,TMB,2019-10-11 09:00:00,293,19,5.94,5.94,5.94,5.94,102.0,605.88,derived_ohlc4
HNX_TMB,TMB,2019-10-14 09:00:00,294,19,5.41,6.08,5.41,6.08,700.0,4021.4999999999995,derived_ohlc4
HNX_TMB,TMB,2019-10-16 09:00:00,296,20,6.35,6.35,6.35,6.35,100.0,635.0,derived_ohlc4
HNX_TMB,TMB,2019-10-22 09:00:00,300,21,6.48,6.48,6.48,6.48,100.0,648.0,derived_ohlc4
HNX_TMB,TMB,2019-11-07 09:00:00,312,22,6.01,6.01,6.01,6.01,5600.0,33656.0,derived_ohlc4
HNX_TMB,TMB,2019-11-13 09:00:00,316,23,5.41,5.41,5.41,5.41,3898.0,21088.18,derived_ohlc4
HNX_TMB,TMB,2019-11-15 09:00:00,318,24,5.41,5.41,5.41,5.41,2.0,10.82,derived_ohlc4
