security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HNX_VCS,VCS,2018-08-09 09:00:00,0,0,51.46,52.12,50.73,50.85,73022,3745298.38,derived_ohlc4
HNX_VCS,VCS,2018-08-10 09:00:00,1,0,50.85,51.46,50.43,50.55,58883,2992581.2675,derived_ohlc4
HNX_VCS,VCS,2018-08-13 09:00:00,2,0,51.15,51.15,49.16,50.43,146183,7378221.467499999,derived_ohlc4
HNX_VCS,VCS,2018-08-14 09:00:00,3,0,50.37,51.52,49.7,50.73,105420,5332143.6,derived_ohlc4
HNX_VCS,VCS,2018-08-15 09:00:00,4,0,51.46,51.76,50.49,50.55,58400,2982196.0,derived_ohlc4
HNX_VCS,VCS,2018-08-16 09:00:00,5,0,50.25,50.67,49.64,50.67,75420,3794191.6500000004,derived_ohlc4
HNX_VCS,VCS,2018-08-17 09:00:00,6,0,50.85,52.42,50.25,51.15,175555,8982710.4625,derived_ohlc4
HNX_VCS,VCS,2018-08-20 09:00:00,7,0,51.58,51.76,51.15,51.15,49667,2553380.47,derived_ohlc4
HNX_VCS,VCS,2018-08-21 09:00:00,8,0,50.85,51.4,50.25,50.85,65060,3307487.75,derived_ohlc4
HNX_VCS,VCS,2018-08-22 09:00:00,9,0,50.85,53.03,50.73,52.67,321278,16648625.959999997,derived_ohlc4
HNX_VCS,VCS,2018-08-23 09:00:00,10,0,52.67,53.88,52.67,53.64,201742,10735700.530000001,derived_ohlc4
HNX_VCS,VCS,2018-08-24 09:00:00,11,0,53.7,54.48,52.97,54.48,177534,9570414.105,derived_ohlc4
HNX_VCS,VCS,2018-08-27 09:00:00,12,0,54.54,54.72,53.52,53.58,133808,7237674.720000001,derived_ohlc4
HNX_VCS,VCS,2018-08-28 09:00:00,13,0,53.58,54.48,53.39,53.94,122526,6597718.784999999,derived_ohlc4
HNX_VCS,VCS,2018-08-29 09:00:00,14,0,53.88,54.24,52.91,53.45,145094,7779940.28,derived_ohlc4
HNX_VCS,VCS,2018-08-30 09:00:00,15,0,53.58,53.88,53.03,53.09,83318,4448764.61,derived_ohlc4
HNX_VCS,VCS,2018-08-31 09:00:00,16,0,53.45,55.39,53.09,54.79,344081,18642308.58,derived_ohlc4
HNX_VCS,VCS,2018-09-04 09:00:00,17,0,54.79,56.42,54.79,55.15,320035,17693935.0625,derived_ohlc4
HNX_VCS,VCS,2018-09-05 09:00:00,18,0,55.21,55.21,53.88,54.18,210636,11504938.32,derived_ohlc4
HNX_VCS,VCS,2018-09-06 09:00:00,19,0,54.18,54.18,53.27,53.45,137660,7401978.199999999,derived_ohlc4
HNX_VCS,VCS,2018-09-07 09:00:00,20,0,52.79,53.64,52.3,53.64,104240,5534362.2,derived_ohlc4
HNX_VCS,VCS,2018-09-10 09:00:00,21,0,53.64,54.06,53.27,53.52,85370,4577752.825,derived_ohlc4
HNX_VCS,VCS,2018-09-11 09:00:00,22,0,53.52,54.72,52.79,54.36,218458,11763417.155,derived_ohlc4
HNX_VCS,VCS,2018-09-12 09:00:00,23,0,54.48,55.39,54.18,54.66,220954,12081212.335,derived_ohlc4
HNX_VCS,VCS,2018-09-13 09:00:00,24,0,54.72,56.72,54.72,56.18,406224,22579961.04,derived_ohlc4
HNX_VCS,VCS,2018-09-14 09:00:00,25,0,56.18,57.63,56.18,56.72,267672,15170979.780000001,derived_ohlc4
HNX_VCS,VCS,2018-09-17 09:00:00,26,0,56.72,57.51,56.0,56.48,230361,13056285.577499999,derived_ohlc4
HNX_VCS,VCS,2018-09-18 09:00:00,27,0,56.96,59.33,56.06,59.33,326981,18938739.52,derived_ohlc4
HNX_VCS,VCS,2018-09-19 09:00:00,28,0,59.33,61.08,58.6,59.63,461588,27538340.08,derived_ohlc4
HNX_VCS,VCS,2018-09-20 09:00:00,29,0,59.45,60.23,59.33,60.11,179149,10709527.22,derived_ohlc4
HNX_VCS,VCS,2018-09-21 09:00:00,30,0,60.11,60.23,58.72,59.81,224287,13393858.9225,derived_ohlc4
HNX_VCS,VCS,2018-09-24 09:00:00,31,0,59.81,59.93,57.93,58.3,534640,31539750.200000003,derived_ohlc4
HNX_VCS,VCS,2018-09-25 09:00:00,32,0,58.12,59.51,57.57,58.84,283226,16571553.26,derived_ohlc4
HNX_VCS,VCS,2018-09-26 09:00:00,33,0,58.72,59.81,58.72,58.9,137261,8103546.287500001,derived_ohlc4
HNX_VCS,VCS,2018-09-27 09:00:00,34,0,58.78,58.9,57.93,57.93,312281,18232526.185000002,derived_ohlc4
HNX_VCS,VCS,2018-09-28 09:00:00,35,0,58.54,58.72,57.45,58.12,286365,16668590.737499999,derived_ohlc4
HNX_VCS,VCS,2018-10-01 09:00:00,36,0,58.12,59.69,57.51,58.72,352457,20622259.07,derived_ohlc4
HNX_VCS,VCS,2018-10-02 09:00:00,37,0,58.72,59.2,57.51,58.42,92017,5379543.862500001,derived_ohlc4
HNX_VCS,VCS,2018-10-03 09:00:00,38,0,58.42,60.23,58.42,59.81,368024,21794381.28,derived_ohlc4
HNX_VCS,VCS,2018-10-04 09:00:00,39,0,59.93,61.69,54.48,56.3,1173176,68161525.6,derived_ohlc4
HNX_VCS,VCS,2018-10-05 09:00:00,40,0,54.54,56.3,52.06,52.06,617401,33179129.740000002,derived_ohlc4
HNX_VCS,VCS,2018-10-08 09:00:00,41,0,52.06,52.06,48.79,49.34,945994,47831821.625,derived_ohlc4
HNX_VCS,VCS,2018-10-09 09:00:00,42,0,49.34,50.49,48.43,50.25,722018,35831948.295,derived_ohlc4
HNX_VCS,VCS,2018-10-10 09:00:00,43,0,50.85,52.55,50.85,51.76,299050,15401822.625,derived_ohlc4
HNX_VCS,VCS,2018-10-11 09:00:00,44,0,51.46,51.76,47.82,48.85,459005,22937627.362499997,derived_ohlc4
HNX_VCS,VCS,2018-10-12 09:00:00,45,0,48.43,50.55,47.82,50.12,342543,16863391.89,derived_ohlc4
HNX_VCS,VCS,2018-10-15 09:00:00,46,0,50.25,50.55,48.31,48.31,271240,13387050.200000001,derived_ohlc4
HNX_VCS,VCS,2018-10-16 09:00:00,47,0,48.37,49.04,47.82,48.13,133580,6457257.199999999,derived_ohlc4
HNX_VCS,VCS,2018-10-17 09:00:00,48,0,48.13,49.64,45.4,48.07,299942,14340227.020000001,derived_ohlc4
HNX_VCS,VCS,2018-10-18 09:00:00,49,0,48.25,48.43,43.28,43.28,920649,42174930.690000005,derived_ohlc4
HNX_VCS,VCS,2018-10-19 09:00:00,50,0,42.98,45.04,39.83,44.8,741451,32002878.787499994,derived_ohlc4
HNX_VCS,VCS,2018-10-22 09:00:00,51,0,45.34,47.1,45.1,46.31,279481,12845645.4625,derived_ohlc4
HNX_VCS,VCS,2018-10-23 09:00:00,52,0,46.31,46.31,42.5,44.68,361957,16269967.15,derived_ohlc4
HNX_VCS,VCS,2018-10-24 09:00:00,53,0,43.89,44.13,42.98,43.59,293763,12822020.5425,derived_ohlc4
HNX_VCS,VCS,2018-10-25 09:00:00,54,0,42.74,44.68,40.8,44.68,388561,16795549.225,derived_ohlc4
HNX_VCS,VCS,2018-10-26 09:00:00,55,0,44.68,45.04,43.59,44.74,210262,9359287.275,derived_ohlc4
HNX_VCS,VCS,2018-10-29 09:00:00,56,0,44.74,44.74,43.47,43.71,112783,4981061.195,derived_ohlc4
HNX_VCS,VCS,2018-10-30 09:00:00,57,0,43.53,43.71,41.35,42.98,215076,9225147.33,derived_ohlc4
HNX_VCS,VCS,2018-10-31 09:00:00,58,0,43.34,44.31,43.04,44.31,132785,5809343.75,derived_ohlc4
HNX_VCS,VCS,2018-11-01 09:00:00,59,0,44.5,44.5,43.59,43.59,71490,3148777.0500000003,derived_ohlc4
HNX_VCS,VCS,2018-11-02 09:00:00,60,0,43.89,47.22,43.83,47.22,747512,34041696.48,derived_ohlc4
HNX_VCS,VCS,2018-11-05 09:00:00,61,0,47.22,50.85,46.01,48.37,738469,35529589.762499996,derived_ohlc4
HNX_VCS,VCS,2018-11-06 09:00:00,62,0,48.55,49.04,47.82,47.82,600980,29031841.349999998,derived_ohlc4
HNX_VCS,VCS,2018-11-07 09:00:00,63,0,47.58,48.13,45.58,45.83,465455,21773984.900000002,derived_ohlc4
HNX_VCS,VCS,2018-11-08 09:00:00,64,0,45.83,47.22,45.46,45.52,384004,17667064.03,derived_ohlc4
HNX_VCS,VCS,2018-11-09 09:00:00,65,0,45.7,45.7,44.5,45.4,361139,16368625.175,derived_ohlc4
HNX_VCS,VCS,2018-11-12 09:00:00,66,0,41.77,45.4,41.77,45.28,403831,17588859.205,derived_ohlc4
HNX_VCS,VCS,2018-11-13 09:00:00,67,0,44.31,45.34,43.77,44.13,366780,16280447.250000002,derived_ohlc4
HNX_VCS,VCS,2018-11-14 09:00:00,68,0,45.04,45.04,43.89,44.43,424307,18924092.2,derived_ohlc4
HNX_VCS,VCS,2018-11-15 09:00:00,69,0,44.5,44.8,43.95,44.07,354511,15715472.629999999,derived_ohlc4
HNX_VCS,VCS,2018-11-16 09:00:00,70,0,44.5,44.68,44.07,44.43,377339,16761398.38,derived_ohlc4
HNX_VCS,VCS,2018-11-19 09:00:00,71,0,44.43,44.8,44.19,44.25,387307,17203208.6725,derived_ohlc4
HNX_VCS,VCS,2018-11-20 09:00:00,72,0,44.01,44.5,44.01,44.43,252926,11188813.924999999,derived_ohlc4
HNX_VCS,VCS,2018-11-21 09:00:00,73,0,44.19,46.67,43.89,45.89,345002,15580290.319999998,derived_ohlc4
HNX_VCS,VCS,2018-11-22 09:00:00,74,0,46.01,47.04,45.89,46.37,94085,4358722.8375,derived_ohlc4
HNX_VCS,VCS,2018-11-23 09:00:00,75,0,46.37,46.49,45.4,45.4,106110,4872040.65,derived_ohlc4
HNX_VCS,VCS,2018-11-26 09:00:00,76,0,45.1,45.1,44.19,44.19,123704,5522765.079999999,derived_ohlc4
HNX_VCS,VCS,2018-11-27 09:00:00,77,0,44.68,44.92,44.07,44.19,140443,6244797.994999999,derived_ohlc4
HNX_VCS,VCS,2018-11-28 09:00:00,78,0,44.19,44.5,43.83,44.01,64600,2850959.4999999995,derived_ohlc4
HNX_VCS,VCS,2018-11-29 09:00:00,79,0,44.19,44.62,43.89,44.07,78395,3464471.0374999996,derived_ohlc4
HNX_VCS,VCS,2018-11-30 09:00:00,80,0,43.89,44.25,43.89,44.07,44848,1974433.2,derived_ohlc4
HNX_VCS,VCS,2018-12-03 09:00:00,81,0,44.19,45.22,44.13,44.8,214356,9557062.259999998,derived_ohlc4
HNX_VCS,VCS,2018-12-04 09:00:00,82,0,45.1,45.1,44.25,44.5,74200,3319522.5,derived_ohlc4
HNX_VCS,VCS,2018-12-05 09:00:00,83,0,43.89,45.22,43.89,44.92,193878,8623693.440000001,derived_ohlc4
HNX_VCS,VCS,2018-12-06 09:00:00,84,0,45.41,45.41,44.55,44.92,57772,2603928.47,derived_ohlc4
HNX_VCS,VCS,2018-12-07 09:00:00,85,0,44.92,46.58,44.55,46.15,309120,14080416.000000002,derived_ohlc4
HNX_VCS,VCS,2018-12-10 09:00:00,86,0,46.15,46.15,45.41,45.96,189650,8708253.875,derived_ohlc4
HNX_VCS,VCS,2018-12-11 09:00:00,87,0,45.72,45.78,45.1,45.59,99560,4534709.1,derived_ohlc4
HNX_VCS,VCS,2018-12-12 09:00:00,88,0,45.66,45.72,45.04,45.66,125900,5730967.999999999,derived_ohlc4
HNX_VCS,VCS,2018-12-13 09:00:00,89,0,45.72,47.56,45.72,47.43,519114,24194605.755000003,derived_ohlc4
HNX_VCS,VCS,2018-12-14 09:00:00,90,0,47.56,48.36,46.39,47.25,162946,7722010.94,derived_ohlc4
HNX_VCS,VCS,2018-12-17 09:00:00,91,0,46.82,46.94,46.02,46.08,168362,7822940.330000001,derived_ohlc4
HNX_VCS,VCS,2018-12-18 09:00:00,92,0,45.41,46.21,44.86,45.72,290406,13227993.3,derived_ohlc4
HNX_VCS,VCS,2018-12-19 09:00:00,93,0,45.41,46.02,45.41,45.72,102097,4659707.08,derived_ohlc4
HNX_VCS,VCS,2018-12-20 09:00:00,94,0,45.72,46.33,45.47,46.21,280955,12904965.5375,derived_ohlc4
HNX_VCS,VCS,2018-12-21 09:00:00,95,0,45.41,46.21,45.41,46.21,130470,5976830.7,derived_ohlc4
HNX_VCS,VCS,2018-12-24 09:00:00,96,0,46.02,46.94,46.02,46.58,277350,12866266.5,derived_ohlc4
HNX_VCS,VCS,2018-12-25 09:00:00,97,0,46.02,46.27,44.92,46.02,314080,14387219.600000001,derived_ohlc4
HNX_VCS,VCS,2018-12-26 09:00:00,98,0,46.02,46.02,45.1,45.41,168757,7701647.5875,derived_ohlc4
HNX_VCS,VCS,2018-12-27 09:00:00,99,0,45.96,46.02,45.41,45.96,163900,7512766.25,derived_ohlc4
HNX_VCS,VCS,2018-12-28 09:00:00,100,0,45.41,46.02,41.48,41.48,628655,27407786.362499997,derived_ohlc4
HNX_VCS,VCS,2019-01-02 09:00:00,101,0,41.73,42.96,37.37,37.37,593289,23647016.317500003,derived_ohlc4
HNX_VCS,VCS,2019-01-03 09:00:00,102,0,37.37,40.01,34.36,39.89,864802,32782481.814999998,derived_ohlc4
HNX_VCS,VCS,2019-01-04 09:00:00,103,0,38.11,40.19,37.25,39.89,347920,13520171.2,derived_ohlc4
HNX_VCS,VCS,2019-01-07 09:00:00,104,0,38.97,40.13,38.97,40.07,320604,12675079.139999999,derived_ohlc4
HNX_VCS,VCS,2019-01-08 09:00:00,105,0,38.72,40.62,38.72,40.38,331580,13133883.799999999,derived_ohlc4
HNX_VCS,VCS,2019-01-09 09:00:00,106,0,39.89,40.44,39.58,39.58,155034,6181593.165,derived_ohlc4
HNX_VCS,VCS,2019-01-10 09:00:00,107,0,39.58,39.76,38.05,39.46,173670,6810034.875,derived_ohlc4
HNX_VCS,VCS,2019-01-11 09:00:00,108,0,39.27,39.58,38.41,38.48,102850,4004464.7499999995,derived_ohlc4
HNX_VCS,VCS,2019-01-14 09:00:00,109,0,38.48,38.66,37.8,38.05,60128,2299745.6799999997,derived_ohlc4
HNX_VCS,VCS,2019-01-15 09:00:00,110,0,38.17,39.27,37.86,39.27,177870,6873341.475,derived_ohlc4
HNX_VCS,VCS,2019-01-16 09:00:00,111,0,38.72,39.15,37.43,37.43,92109,3516951.8925000005,derived_ohlc4
HNX_VCS,VCS,2019-01-17 09:00:00,112,0,37.43,38.66,37.12,38.41,180900,6857014.5,derived_ohlc4
HNX_VCS,VCS,2019-01-18 09:00:00,113,0,38.6,38.78,37.86,38.35,49650,1906435.875,derived_ohlc4
