security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
UPCOM_VEA,VEA,2018-08-09 09:00:00,0,0,11.88,11.88,11.46,11.74,813800,9554012.0,derived_ohlc4
UPCOM_VEA,VEA,2018-08-10 09:00:00,1,0,11.65,11.65,11.37,11.55,160600,1855733.0,derived_ohlc4
UPCOM_VEA,VEA,2018-08-13 09:00:00,2,0,11.92,11.97,11.74,11.88,1002100,11902442.750000002,derived_ohlc4
UPCOM_VEA,VEA,2018-08-14 09:00:00,3,0,11.0,12.89,11.0,12.89,1428600,17064627.0,derived_ohlc4
UPCOM_VEA,VEA,2018-08-15 09:00:00,4,0,12.57,13.81,12.43,13.35,1715000,22363600.0,derived_ohlc4
UPCOM_VEA,VEA,2018-08-16 09:00:00,5,0,13.35,13.95,13.21,13.76,2229200,30244670.999999996,derived_ohlc4
UPCOM_VEA,VEA,2018-08-17 09:00:00,6,0,13.76,14.22,13.76,14.22,1668900,23347911.0,derived_ohlc4
UPCOM_VEA,VEA,2018-08-20 09:00:00,7,0,14.27,14.27,13.72,13.81,1408699,19746438.2325,derived_ohlc4
UPCOM_VEA,VEA,2018-08-21 09:00:00,8,0,13.9,13.9,12.89,13.67,1126440,15308319.6,derived_ohlc4
UPCOM_VEA,VEA,2018-08-22 09:00:00,9,0,13.58,13.95,13.58,13.63,598450,8189788.25,derived_ohlc4
UPCOM_VEA,VEA,2018-08-23 09:00:00,10,0,13.58,13.9,13.53,13.9,818760,11239527.899999999,derived_ohlc4
UPCOM_VEA,VEA,2018-08-24 09:00:00,11,0,13.76,13.86,13.63,13.86,290200,3998230.5,derived_ohlc4
UPCOM_VEA,VEA,2018-08-27 09:00:00,12,0,13.67,13.86,13.49,13.58,294000,4013100.0,derived_ohlc4
UPCOM_VEA,VEA,2018-08-28 09:00:00,13,0,13.58,13.58,13.12,13.3,1014795,13593179.025,derived_ohlc4
UPCOM_VEA,VEA,2018-08-29 09:00:00,14,0,13.3,13.3,12.89,13.03,416250,5465362.5,derived_ohlc4
UPCOM_VEA,VEA,2018-08-30 09:00:00,15,0,12.89,13.81,12.89,13.76,625821,8346887.5875,derived_ohlc4
UPCOM_VEA,VEA,2018-08-31 09:00:00,16,0,13.76,13.86,13.63,13.67,284200,3902066.0,derived_ohlc4
UPCOM_VEA,VEA,2018-09-04 09:00:00,17,0,13.72,13.81,13.58,13.76,612425,8400939.9375,derived_ohlc4
