security_id,symbol,timestamps,session_id,segment_id,open,high,low,close,volume,amount,amount_source
HOSE_VND,VND,2018-08-09 09:00:00,0,0,3.59,3.71,3.57,3.59,1210240.0,4375017.6,derived_ohlc4
HOSE_VND,VND,2018-08-10 09:00:00,1,0,3.55,3.75,3.53,3.75,1505880.0,5488932.6,derived_ohlc4
HOSE_VND,VND,2018-08-13 09:00:00,2,0,3.67,3.92,3.62,3.86,2188850.0,8246492.375,derived_ohlc4
HOSE_VND,VND,2018-08-14 09:00:00,3,0,3.86,3.89,3.77,3.83,1487120.0,5706823.0,derived_ohlc4
HOSE_VND,VND,2018-08-15 09:00:00,4,0,3.78,3.87,3.66,3.66,1766770.0,6612136.725000001,derived_ohlc4
HOSE_VND,VND,2018-08-16 09:00:00,5,0,3.59,3.79,3.53,3.71,1661810.0,6073915.550000001,derived_ohlc4
HOSE_VND,VND,2018-08-17 09:00:00,6,0,3.81,3.83,3.6,3.66,1362920.0,5076877.0,derived_ohlc4
HOSE_VND,VND,2018-08-20 09:00:00,7,0,3.64,3.77,3.64,3.68,619740.0,2282192.5500000003,derived_ohlc4
HOSE_VND,VND,2018-08-21 09:00:00,8,0,3.66,3.81,3.66,3.81,1558520.0,5821072.2,derived_ohlc4
HOSE_VND,VND,2018-08-22 09:00:00,9,0,3.88,4.01,3.85,3.95,2625530.0,10298641.425,derived_ohlc4
HOSE_VND,VND,2018-08-23 09:00:00,10,0,3.95,3.99,3.9,3.96,950410.0,3754119.5,derived_ohlc4
HOSE_VND,VND,2018-08-24 09:00:00,11,0,3.92,3.95,3.89,3.92,969600.0,3800832.0,derived_ohlc4
HOSE_VND,VND,2018-08-27 09:00:00,12,0,3.9,4.02,3.9,3.95,1339430.0,5280702.774999999,derived_ohlc4
HOSE_VND,VND,2018-08-28 09:00:00,13,0,3.99,4.12,3.96,4.08,2203560.0,8896873.5,derived_ohlc4
HOSE_VND,VND,2018-08-29 09:00:00,14,0,4.09,4.09,4.0,4.04,929140.0,3767662.6999999997,derived_ohlc4
HOSE_VND,VND,2018-08-30 09:00:00,15,0,4.01,4.09,4.01,4.09,991660.0,4016223.0,derived_ohlc4
HOSE_VND,VND,2018-08-31 09:00:00,16,0,4.11,4.15,4.06,4.06,1368410.0,5603638.949999999,derived_ohlc4
HOSE_VND,VND,2018-09-04 09:00:00,17,0,4.06,4.06,3.84,3.88,1744450.0,6908022.0,derived_ohlc4
HOSE_VND,VND,2018-09-05 09:00:00,18,0,3.84,3.92,3.83,3.92,1612950.0,6254213.625,derived_ohlc4
HOSE_VND,VND,2018-09-06 09:00:00,19,0,3.91,3.97,3.84,3.97,1221510.0,4791372.975000001,derived_ohlc4
HOSE_VND,VND,2018-09-07 09:00:00,20,0,3.95,4.08,3.92,4.08,2192800.0,8787646.0,derived_ohlc4
HOSE_VND,VND,2018-09-10 09:00:00,21,0,4.08,4.1,4.04,4.08,1695850.0,6910588.749999999,derived_ohlc4
HOSE_VND,VND,2018-09-11 09:00:00,22,0,4.06,4.34,4.04,4.34,2913620.0,12222635.899999999,derived_ohlc4
HOSE_VND,VND,2018-09-12 09:00:00,23,0,4.38,4.39,4.29,4.31,2153290.0,9350661.825,derived_ohlc4
HOSE_VND,VND,2018-09-13 09:00:00,24,0,4.33,4.37,4.16,4.3,2253700.0,9668373.0,derived_ohlc4
HOSE_VND,VND,2018-09-14 09:00:00,25,0,4.24,4.36,4.12,4.19,4418130.0,18677644.575000003,derived_ohlc4
HOSE_VND,VND,2018-09-17 09:00:00,26,0,4.17,4.17,4.04,4.04,2180590.0,8951321.95,derived_ohlc4
HOSE_VND,VND,2018-09-18 09:00:00,27,0,4.02,4.24,4.02,4.19,2137290.0,8800291.575,derived_ohlc4
HOSE_VND,VND,2018-09-19 09:00:00,28,0,4.23,4.27,4.14,4.17,1986980.0,8350283.450000001,derived_ohlc4
HOSE_VND,VND,2018-09-20 09:00:00,29,0,4.19,4.24,4.13,4.21,2801100.0,11743611.75,derived_ohlc4
HOSE_VND,VND,2018-09-21 09:00:00,30,0,4.26,4.32,4.17,4.26,2579770.0,10970471.924999999,derived_ohlc4
HOSE_VND,VND,2018-09-24 09:00:00,31,0,4.28,4.3,4.19,4.23,1632210.0,6936892.5,derived_ohlc4
HOSE_VND,VND,2018-09-25 09:00:00,32,0,4.21,4.26,4.18,4.23,1993160.0,8411135.2,derived_ohlc4
HOSE_VND,VND,2018-09-26 09:00:00,33,0,4.21,4.29,4.17,4.18,2502100.0,10540096.25,derived_ohlc4
HOSE_VND,VND,2018-09-27 09:00:00,34,0,4.19,4.28,4.18,4.24,2947970.0,12447803.325000001,derived_ohlc4
HOSE_VND,VND,2018-09-28 09:00:00,35,0,4.26,4.28,4.19,4.19,1976770.0,8361737.100000001,derived_ohlc4
HOSE_VND,VND,2018-10-01 09:00:00,36,0,4.19,4.22,4.12,4.13,1845900.0,7688173.5,derived_ohlc4
HOSE_VND,VND,2018-10-02 09:00:00,37,0,4.12,4.24,4.06,4.1,2302110.0,9507714.299999997,derived_ohlc4
HOSE_VND,VND,2018-10-03 09:00:00,38,0,4.1,4.17,4.1,4.14,999940.0,4127252.3499999996,derived_ohlc4
HOSE_VND,VND,2018-10-04 09:00:00,39,0,4.19,4.28,4.14,4.24,1503000.0,6331387.500000001,derived_ohlc4
HOSE_VND,VND,2018-10-05 09:00:00,40,0,4.19,4.25,4.12,4.12,1500400.0,6256668.000000001,derived_ohlc4
HOSE_VND,VND,2018-10-08 09:00:00,41,0,4.1,4.2,4.1,4.15,1242750.0,5141878.125,derived_ohlc4
HOSE_VND,VND,2018-10-09 09:00:00,42,0,4.17,4.2,4.14,4.17,837770.0,3493500.9,derived_ohlc4
HOSE_VND,VND,2018-10-10 09:00:00,43,0,4.19,4.19,4.12,4.14,837300.0,3483168.0,derived_ohlc4
HOSE_VND,VND,2018-10-11 09:00:00,44,0,3.86,3.95,3.85,3.85,3793660.0,14709916.65,derived_ohlc4
HOSE_VND,VND,2018-10-12 09:00:00,45,0,3.66,3.89,3.62,3.82,2670360.0,10007174.100000001,derived_ohlc4
HOSE_VND,VND,2018-10-15 09:00:00,46,0,3.84,3.84,3.64,3.64,1691840.0,6327481.600000001,derived_ohlc4
HOSE_VND,VND,2018-10-16 09:00:00,47,0,3.64,3.68,3.58,3.64,1254660.0,4560689.100000001,derived_ohlc4
HOSE_VND,VND,2018-10-17 09:00:00,48,0,3.73,3.78,3.71,3.78,1292380.0,4846424.999999999,derived_ohlc4
HOSE_VND,VND,2018-10-18 09:00:00,49,0,3.74,3.77,3.68,3.69,665130.0,2474283.5999999996,derived_ohlc4
HOSE_VND,VND,2018-10-19 09:00:00,50,0,3.6,3.67,3.54,3.63,1013020.0,3657002.1999999993,derived_ohlc4
HOSE_VND,VND,2018-10-22 09:00:00,51,0,3.58,3.62,3.38,3.38,2960650.0,10332668.5,derived_ohlc4
HOSE_VND,VND,2018-10-23 09:00:00,52,0,3.37,3.37,3.16,3.2,2820240.0,9236286.000000002,derived_ohlc4
HOSE_VND,VND,2018-10-24 09:00:00,53,0,3.2,3.28,3.18,3.2,1209380.0,3888156.6999999997,derived_ohlc4
HOSE_VND,VND,2018-10-25 09:00:00,54,0,3.02,3.2,3.02,3.18,1526270.0,4739068.35,derived_ohlc4
HOSE_VND,VND,2018-10-26 09:00:00,55,0,3.26,3.26,3.13,3.13,710410.0,2269759.9499999997,derived_ohlc4
HOSE_VND,VND,2018-10-29 09:00:00,56,0,3.13,3.23,3.1,3.13,1019840.0,3209946.4,derived_ohlc4
HOSE_VND,VND,2018-10-30 09:00:00,57,0,3.1,3.18,3.07,3.13,876840.0,2735740.8000000003,derived_ohlc4
HOSE_VND,VND,2018-10-31 09:00:00,58,0,3.2,3.34,3.18,3.34,1667140.0,5443212.100000001,derived_ohlc4
HOSE_VND,VND,2018-11-01 09:00:00,59,0,3.36,3.38,3.21,3.22,1624910.0,5350016.175,derived_ohlc4
HOSE_VND,VND,2018-11-02 09:00:00,60,0,3.29,3.38,3.26,3.33,1043160.0,3458075.4,derived_ohlc4
HOSE_VND,VND,2018-11-05 09:00:00,61,0,3.33,3.33,3.26,3.33,837680.0,2774815.0,derived_ohlc4
HOSE_VND,VND,2018-11-06 09:00:00,62,0,3.38,3.41,3.29,3.29,1385020.0,4629429.350000001,derived_ohlc4
HOSE_VND,VND,2018-11-07 09:00:00,63,0,3.29,3.33,3.26,3.29,1097770.0,3614407.7249999996,derived_ohlc4
HOSE_VND,VND,2018-11-08 09:00:00,64,0,3.38,3.39,3.31,3.31,706440.0,2364807.9,derived_ohlc4
HOSE_VND,VND,2018-11-09 09:00:00,65,0,3.29,3.33,3.27,3.28,921510.0,3034071.675,derived_ohlc4
HOSE_VND,VND,2018-11-12 09:00:00,66,0,3.24,3.33,3.21,3.33,647810.0,2123197.2750000004,derived_ohlc4
HOSE_VND,VND,2018-11-13 09:00:00,67,0,3.22,3.33,3.22,3.33,825300.0,2702857.5000000005,derived_ohlc4
HOSE_VND,VND,2018-11-14 09:00:00,68,0,3.32,3.36,3.29,3.32,1359100.0,4515609.75,derived_ohlc4
HOSE_VND,VND,2018-11-15 09:00:00,69,0,3.33,3.42,3.33,3.38,1395620.0,4696261.300000001,derived_ohlc4
HOSE_VND,VND,2018-11-16 09:00:00,70,0,3.44,3.48,3.41,3.46,732390.0,2524914.525,derived_ohlc4
HOSE_VND,VND,2018-11-19 09:00:00,71,0,3.46,3.48,3.42,3.46,557670.0,1926749.85,derived_ohlc4
HOSE_VND,VND,2018-11-20 09:00:00,72,0,3.42,3.5,3.4,3.48,792020.0,2732469.0,derived_ohlc4
HOSE_VND,VND,2018-11-21 09:00:00,73,0,3.42,3.48,3.42,3.46,983090.0,3386745.0500000003,derived_ohlc4
HOSE_VND,VND,2018-11-22 09:00:00,74,0,3.46,3.51,3.38,3.41,1273750.0,4381700.0,derived_ohlc4
HOSE_VND,VND,2018-11-23 09:00:00,75,0,3.4,3.42,3.35,3.4,732790.0,2485990.075,derived_ohlc4
HOSE_VND,VND,2018-11-26 09:00:00,76,0,3.4,3.43,3.37,3.43,406730.0,1385932.4749999999,derived_ohlc4
HOSE_VND,VND,2018-11-27 09:00:00,77,0,3.46,3.5,3.4,3.44,799530.0,2758378.5,derived_ohlc4
HOSE_VND,VND,2018-11-28 09:00:00,78,0,3.44,3.5,3.44,3.48,1051360.0,3642962.4,derived_ohlc4
HOSE_VND,VND,2018-11-29 09:00:00,79,0,3.51,3.56,3.46,3.46,1161610.0,4062730.9750000006,derived_ohlc4
HOSE_VND,VND,2018-11-30 09:00:00,80,0,3.5,3.51,3.44,3.48,552410.0,1923767.825,derived_ohlc4
HOSE_VND,VND,2018-12-03 09:00:00,81,0,3.55,3.65,3.53,3.64,1425430.0,5120857.274999999,derived_ohlc4
HOSE_VND,VND,2018-12-04 09:00:00,82,0,3.65,3.67,3.59,3.62,1654270.0,6009135.775,derived_ohlc4
HOSE_VND,VND,2018-12-05 09:00:00,83,0,3.56,3.62,3.56,3.61,1349120.0,4839968.0,derived_ohlc4
HOSE_VND,VND,2018-12-06 09:00:00,84,0,3.6,3.64,3.56,3.59,1532370.0,5512701.075,derived_ohlc4
HOSE_VND,VND,2018-12-07 09:00:00,85,0,3.59,3.64,3.59,3.62,1263540.0,4561379.4,derived_ohlc4
HOSE_VND,VND,2018-12-10 09:00:00,86,0,3.59,3.6,3.57,3.57,374220.0,1340643.15,derived_ohlc4
HOSE_VND,VND,2018-12-11 09:00:00,87,0,3.58,3.6,3.51,3.55,437030.0,1555826.7999999998,derived_ohlc4
HOSE_VND,VND,2018-12-12 09:00:00,88,0,3.55,3.6,3.55,3.6,324790.0,1161124.25,derived_ohlc4
HOSE_VND,VND,2018-12-13 09:00:00,89,0,3.63,3.65,3.6,3.6,456690.0,1653217.7999999998,derived_ohlc4
HOSE_VND,VND,2018-12-14 09:00:00,90,0,3.57,3.6,3.52,3.52,322260.0,1144828.65,derived_ohlc4
HOSE_VND,VND,2018-12-17 09:00:00,91,0,3.51,3.51,3.29,3.29,1064380.0,3618891.9999999995,derived_ohlc4
HOSE_VND,VND,2018-12-18 09:00:00,92,0,3.2,3.28,3.19,3.23,982350.0,3168078.75,derived_ohlc4
HOSE_VND,VND,2018-12-19 09:00:00,93,0,3.27,3.28,3.21,3.24,223520.0,726440.0,derived_ohlc4
HOSE_VND,VND,2018-12-20 09:00:00,94,0,3.2,3.28,3.2,3.28,226530.0,733957.2,derived_ohlc4
HOSE_VND,VND,2018-12-21 09:00:00,95,0,3.24,3.28,3.2,3.28,153190.0,497867.49999999994,derived_ohlc4
HOSE_VND,VND,2018-12-24 09:00:00,96,0,3.28,3.29,3.18,3.19,202530.0,655184.5499999999,derived_ohlc4
