time,open,high,low,close,volume
2018-08-09 07:00:00,107.67,108.86,107.44,107.8,39719344
2018-08-10 07:00:00,107.8,108.42,106.65,108.41,32351144
2018-08-13 07:00:00,108.41,110.48,107.86,110.46,59146793
2018-08-14 07:00:00,110.49,110.83,109.79,109.79,36566127
2018-08-15 07:00:00,109.79,110.66,107.94,108.02,54484930
2018-08-16 07:00:00,107.8,108.39,106.28,107.92,42530552
2018-08-17 07:00:00,107.92,109.31,107.92,108.02,31554126
2018-08-20 07:00:00,108.02,108.71,107.48,108.06,30808133
2018-08-21 07:00:00,108.06,110.02,107.92,110.02,36250229
2018-08-22 07:00:00,110.03,110.89,109.67,109.99,37903955
2018-08-23 07:00:00,109.97,110.65,109.53,110.52,32176080
2018-08-24 07:00:00,110.52,111.96,110.0,111.62,45020407
2018-08-27 07:00:00,111.63,112.68,111.59,111.62,50530309
2018-08-28 07:00:00,111.62,112.57,111.62,112.24,43753736
2018-08-29 07:00:00,112.28,112.84,111.54,112.78,37368389
2018-08-30 07:00:00,112.71,113.59,112.4,113.59,36385154
2018-08-31 07:00:00,113.59,113.87,112.5,112.79,37337153
2018-09-04 07:00:00,112.79,113.15,110.79,111.23,43542619
2018-09-05 07:00:00,111.23,111.65,109.78,110.47,42561312
2018-09-06 07:00:00,110.48,112.42,110.22,110.48,36096777
2018-09-07 07:00:00,110.49,111.8,110.34,111.7,40165067
2018-09-10 07:00:00,111.71,111.98,108.39,110.69,39215942
2018-09-11 07:00:00,110.7,111.76,110.51,111.43,41106770
2018-09-12 07:00:00,111.43,112.31,111.43,111.65,49986869
2018-09-13 07:00:00,111.65,113.31,111.62,112.66,55589942
2018-09-14 07:00:00,112.31,113.77,112.31,113.37,40859144
2018-09-17 07:00:00,113.37,113.61,112.51,112.76,43383481
2018-09-18 07:00:00,112.5,113.6,111.93,113.6,51456896
2018-09-19 07:00:00,113.6,115.04,113.58,114.2,62050903
2018-09-20 07:00:00,114.2,115.18,114.03,115.06,46437886
2018-09-21 07:00:00,115.06,115.96,114.31,115.8,69657043
2018-09-24 07:00:00,115.79,116.38,115.34,115.59,48631995
2018-09-25 07:00:00,115.59,116.37,115.23,115.52,59255748
2018-09-26 07:00:00,115.54,116.41,115.23,115.58,54351259
2018-09-27 07:00:00,115.58,116.27,115.34,116.08,58112465
2018-09-28 07:00:00,116.09,117.34,116.07,116.28,56336987
2018-10-01 07:00:00,116.38,116.99,115.36,115.52,56458032
2018-10-02 07:00:00,115.52,115.96,114.7,115.0,58462208
2018-10-03 07:00:00,114.99,115.89,114.73,115.29,39074934
2018-10-04 07:00:00,115.3,116.72,115.14,116.27,42227904
2018-10-05 07:00:00,116.27,116.39,114.56,114.67,58959646
2018-10-08 07:00:00,114.55,114.93,113.68,114.38,50836652
2018-10-09 07:00:00,114.36,115.09,114.11,114.3,41012466
2018-10-10 07:00:00,114.3,114.75,113.24,113.76,40757732
2018-10-11 07:00:00,113.66,113.66,106.92,107.17,99123286
2018-10-12 07:00:00,106.66,109.8,105.45,109.76,58534586
2018-10-15 07:00:00,109.76,110.02,107.65,107.67,32407991
2018-10-16 07:00:00,107.67,108.77,107.44,108.6,31919117
2018-10-17 07:00:00,108.6,110.35,108.6,109.39,39591214
2018-10-18 07:00:00,109.39,109.39,107.83,107.91,36973200
2018-10-19 07:00:00,107.91,109.19,106.24,108.1,36864325
2018-10-22 07:00:00,108.1,108.93,107.47,107.55,38453932
2018-10-23 07:00:00,107.54,107.61,104.3,105.07,53377162
2018-10-24 07:00:00,104.96,106.07,103.73,103.73,33994862
2018-10-25 07:00:00,103.69,103.69,99.98,103.1,48227023
2018-10-26 07:00:00,102.36,104.53,101.71,101.79,32894281
2018-10-29 07:00:00,101.79,102.29,100.78,101.17,30573917
2018-10-30 07:00:00,101.17,102.87,100.49,101.72,35849125
2018-10-31 07:00:00,101.71,105.39,101.7,105.35,37715933
2018-11-01 07:00:00,105.35,105.84,103.34,103.37,30367377
2018-11-02 07:00:00,103.37,105.75,103.32,105.75,38229873
2018-11-05 07:00:00,105.77,106.24,104.2,105.54,30367334
2018-11-06 07:00:00,105.56,106.09,104.55,104.55,31346680
2018-11-07 07:00:00,104.94,105.11,103.65,104.2,29150472
2018-11-08 07:00:00,104.2,105.85,104.2,104.54,33531822
2018-11-09 07:00:00,104.53,104.66,102.92,103.01,34930231
2018-11-12 07:00:00,103.01,103.43,102.14,103.37,28822212
2018-11-13 07:00:00,103.27,103.27,101.94,102.47,35507414
2018-11-14 07:00:00,102.42,103.01,100.81,101.2,33691353
2018-11-15 07:00:00,101.21,101.98,100.55,101.02,36534524
2018-11-16 07:00:00,100.94,103.61,100.94,103.01,33792085
2018-11-19 07:00:00,102.7,104.04,102.63,103.95,27407607
2018-11-20 07:00:00,103.95,103.95,103.06,103.91,30141066
2018-11-21 07:00:00,103.91,103.95,102.68,103.9,30064507
2018-11-22 07:00:00,105.15,105.54,104.2,104.55,34630599
2018-11-23 07:00:00,104.56,104.93,103.88,104.27,36463991
2018-11-26 07:00:00,103.64,104.31,103.53,103.98,29883899
2018-11-27 07:00:00,103.98,104.68,102.88,103.19,29144318
2018-11-28 07:00:00,103.19,104.11,100.58,104.1,26675253
2018-11-29 07:00:00,104.22,105.22,104.07,104.17,26938618
2018-11-30 07:00:00,101.67,105.12,101.67,104.82,29207523
2018-12-03 07:00:00,104.82,107.84,104.82,107.64,42956114
2018-12-04 07:00:00,107.64,108.18,106.9,107.39,34395437
2018-12-05 07:00:00,107.39,107.97,106.32,107.74,41894002
2018-12-06 07:00:00,107.88,107.97,106.75,107.1,35024657
2018-12-07 07:00:00,107.1,108.01,106.89,107.14,36391283
2018-12-10 07:00:00,107.14,107.65,106.2,106.82,29056731
2018-12-11 07:00:00,103.06,107.59,102.46,106.59,31405339
2018-12-12 07:00:00,106.64,107.68,105.48,107.68,29765408
2018-12-13 07:00:00,107.77,108.02,107.15,107.3,30704222
2018-12-14 07:00:00,107.3,107.36,106.46,106.65,29167555
2018-12-17 07:00:00,106.66,106.79,105.0,105.01,33188726
2018-12-18 07:00:00,105.01,105.01,103.19,104.42,37997962
2018-12-19 07:00:00,104.53,108.22,103.5,104.16,31437311
2018-12-20 07:00:00,104.27,104.76,103.65,104.53,25395401
2018-12-21 07:00:00,104.53,104.67,103.41,104.45,29189654
2018-12-24 07:00:00,104.45,105.02,102.56,103.34,34047475
2018-12-25 07:00:00,103.34,103.35,100.64,102.44,42046193
2018-12-26 07:00:00,98.94,103.09,98.92,102.28,25534772
2018-12-27 07:00:00,102.28,104.44,102.27,103.99,32483257
2018-12-28 07:00:00,103.99,104.36,102.94,104.23,23583944
2019-01-02 07:00:00,104.23,104.49,102.38,102.67,19007217
2019-01-03 07:00:00,99.05,102.68,98.85,100.52,29543455
2019-01-04 07:00:00,100.57,101.23,99.17,100.85,29288584
2019-01-07 07:00:00,100.86,102.38,100.83,101.93,22446454
2019-01-08 07:00:00,101.93,105.31,101.2,101.27,23068390
2019-01-09 07:00:00,101.25,102.29,101.25,102.13,27033241
2019-01-10 07:00:00,102.14,102.36,101.57,101.78,21333646
2019-01-11 07:00:00,101.78,102.32,101.54,101.87,22980701
2019-01-14 07:00:00,101.87,102.34,101.45,101.58,27656015
2019-01-15 07:00:00,101.58,102.74,98.71,102.58,23012371
2019-01-16 07:00:00,102.58,103.11,101.97,101.99,18887309
2019-01-17 07:00:00,101.98,102.58,101.83,101.92,16652123
2019-01-18 07:00:00,101.92,102.23,101.26,101.56,26019668
2019-01-21 07:00:00,101.56,103.78,101.47,103.37,34689801
2019-01-22 07:00:00,103.4,103.72,102.52,102.54,25390476
2019-01-23 07:00:00,102.55,102.87,102.08,102.67,19071064
2019-01-24 07:00:00,102.67,103.39,102.38,102.78,25477689
2019-01-25 07:00:00,102.79,103.65,102.47,102.74,18827589
2019-01-28 07:00:00,102.74,103.14,101.2,102.31,26230825
2019-01-29 07:00:00,102.31,102.38,101.5,102.37,20259599
2019-01-30 07:00:00,102.37,104.86,102.27,102.81,20576383
2019-01-31 07:00:00,102.81,103.63,102.7,102.88,19913820
2019-02-01 07:00:00,102.88,103.34,102.58,103.34,15258710
2019-02-11 07:00:00,103.23,105.25,103.23,105.25,31752658
2019-02-12 07:00:00,105.05,106.08,104.97,106.04,33792815
2019-02-13 07:00:00,106.04,106.62,105.64,106.49,30870294
2019-02-14 07:00:00,106.49,106.54,106.0,106.12,36351323
2019-02-15 07:00:00,106.12,106.67,105.9,106.11,32306138
2019-02-18 07:00:00,106.11,107.09,106.08,106.84,37549853
2019-02-19 07:00:00,106.87,107.13,106.09,106.21,38279927
2019-02-20 07:00:00,106.21,106.62,105.76,106.3,29084078
2019-02-21 07:00:00,106.3,106.95,106.01,106.11,30386268
2019-02-22 07:00:00,106.22,107.09,105.91,106.82,33380880
2019-02-25 07:00:00,106.82,108.44,106.72,107.61,33533845
2019-02-26 07:00:00,107.61,108.11,106.89,107.66,36924705
2019-02-27 07:00:00,107.62,108.17,107.27,107.63,36366812
2019-02-28 07:00:00,107.63,107.92,105.8,105.86,57627655
2019-03-01 07:00:00,105.86,107.27,105.69,107.26,30692676
2019-03-04 07:00:00,108.49,108.7,107.15,108.53,45221471
2019-03-05 07:00:00,108.55,109.16,108.04,108.24,49911135
2019-03-06 07:00:00,108.31,108.65,107.68,108.48,48591742
2019-03-07 07:00:00,108.49,109.62,108.48,108.88,69670075
