time,open,high,low,close,volume
2018-08-09 07:00:00,51.27,51.47,51.22,51.47,22803559
2018-08-10 07:00:00,51.47,51.51,51.13,51.36,12901879
2018-08-13 07:00:00,51.36,51.81,51.21,51.62,14900001
2018-08-14 07:00:00,51.69,51.95,51.43,51.69,17080994
2018-08-15 07:00:00,51.89,52.07,51.28,51.38,15056492
2018-08-16 07:00:00,51.38,51.42,51.37,51.38,13136868
2018-08-17 07:00:00,51.39,51.7,51.33,51.47,11921413
2018-08-20 07:00:00,51.47,51.79,51.2,51.38,12776449
2018-08-21 07:00:00,51.41,51.55,51.24,51.39,11027693
2018-08-22 07:00:00,51.39,51.63,51.38,51.6,9781807
2018-08-23 07:00:00,51.62,51.72,51.33,51.42,8726865
2018-08-24 07:00:00,51.4,51.54,51.24,51.51,9016716
2018-08-27 07:00:00,51.62,52.09,51.5,51.54,12849996
2018-08-28 07:00:00,51.55,51.7,51.06,51.28,9861777
2018-08-29 07:00:00,51.3,51.54,51.19,51.32,12612896
2018-08-30 07:00:00,51.33,51.78,51.33,51.78,14134766
2018-08-31 07:00:00,51.78,52.01,51.69,51.86,15615451
2018-09-04 07:00:00,51.83,51.83,51.45,51.46,9877762
2018-09-05 07:00:00,51.55,51.55,50.91,50.97,10411132
2018-09-06 07:00:00,50.98,51.05,50.83,50.91,7513095
2018-09-07 07:00:00,50.91,51.17,50.87,51.0,13154935
2018-09-10 07:00:00,50.93,51.17,50.9,51.04,11682037
2018-09-11 07:00:00,51.06,51.45,50.96,51.45,16718555
2018-09-12 07:00:00,51.47,51.66,51.38,51.46,17410051
2018-09-13 07:00:00,51.47,51.72,51.45,51.72,9824821
2018-09-14 07:00:00,51.73,51.93,51.71,51.93,16103144
2018-09-17 07:00:00,51.97,52.05,51.78,51.82,13667631
2018-09-18 07:00:00,51.82,51.98,51.67,51.98,19416823
2018-09-19 07:00:00,51.99,52.55,51.96,52.46,28235939
2018-09-20 07:00:00,52.52,53.01,52.49,52.97,24813088
2018-09-21 07:00:00,52.94,53.49,52.91,53.49,33964844
2018-09-24 07:00:00,53.51,53.73,53.36,53.67,19425358
2018-09-25 07:00:00,53.67,54.08,53.61,53.99,23365012
2018-09-26 07:00:00,53.99,54.18,53.87,54.08,19843195
2018-09-27 07:00:00,54.05,54.24,53.87,54.19,21292346
2018-09-28 07:00:00,54.25,54.36,54.04,54.21,32735194
2018-10-01 07:00:00,54.24,54.55,54.12,54.14,27974478
2018-10-02 07:00:00,54.18,54.37,54.04,54.21,22661194
2018-10-03 07:00:00,54.21,54.46,54.18,54.41,19235008
2018-10-04 07:00:00,54.41,54.64,54.37,54.55,19132273
2018-10-05 07:00:00,54.51,54.6,53.95,54.01,21787453
2018-10-08 07:00:00,54.06,54.13,53.49,53.67,15867503
2018-10-09 07:00:00,53.6,53.83,53.54,53.7,14611235
2018-10-10 07:00:00,53.7,54.12,53.68,53.82,18670441
2018-10-11 07:00:00,53.61,53.61,51.61,52.04,35424503
2018-10-12 07:00:00,52.0,52.85,51.55,52.77,19348732
2018-10-15 07:00:00,52.75,52.76,52.33,52.41,11071666
2018-10-16 07:00:00,52.43,52.9,52.43,52.77,10064438
2018-10-17 07:00:00,52.78,53.27,52.78,52.98,11857327
2018-10-18 07:00:00,52.97,53.03,52.57,52.71,11080286
2018-10-19 07:00:00,52.7,52.7,52.22,52.47,13345125
2018-10-22 07:00:00,52.46,52.78,52.41,52.42,11879536
2018-10-23 07:00:00,52.42,52.51,51.67,52.04,13644027
2018-10-24 07:00:00,52.05,52.23,51.44,51.51,11898778
2018-10-25 07:00:00,51.37,51.38,50.78,51.27,15062481
2018-10-26 07:00:00,51.25,51.62,51.1,51.14,9869790
2018-10-29 07:00:00,51.13,51.36,50.9,50.94,9839317
2018-10-30 07:00:00,51.14,51.21,50.98,51.21,6998108
2018-10-31 07:00:00,51.29,51.78,51.1,51.78,11437136
2018-11-01 07:00:00,51.78,51.89,51.27,51.31,8932121
2018-11-02 07:00:00,51.33,51.77,51.25,51.74,10979136
2018-11-05 07:00:00,51.73,51.77,51.4,51.55,6273682
2018-11-06 07:00:00,51.55,51.95,51.54,51.63,9130863
2018-11-07 07:00:00,51.63,51.73,51.41,51.57,7499577
2018-11-08 07:00:00,51.57,52.04,51.57,52.01,8511860
2018-11-09 07:00:00,51.98,52.13,51.49,51.59,10200591
