time,open,high,low,close,volume
2020-12-28 07:00:00,7.48,7.72,6.42,6.46,3124600
2020-12-29 07:00:00,6.66,6.8,6.51,6.51,1886191
2020-12-30 07:00:00,6.71,6.76,6.51,6.56,1396514
2020-12-31 07:00:00,6.56,6.56,6.42,6.51,1188032
2021-01-04 07:00:00,6.51,6.56,6.32,6.32,1668474
2021-01-05 07:00:00,6.42,6.42,6.03,6.37,2694485
2021-01-06 07:00:00,6.27,6.71,6.27,6.56,1600793
2021-01-07 07:00:00,6.56,6.66,6.46,6.51,1282512
2021-01-08 07:00:00,6.56,6.66,6.51,6.61,1895056
2021-01-11 07:00:00,6.61,6.66,6.56,6.61,1430979
2021-01-12 07:00:00,6.61,6.66,6.46,6.56,1199367
2021-01-13 07:00:00,6.56,6.66,6.46,6.51,1344451
2021-01-14 07:00:00,6.51,6.56,6.46,6.56,1011050
2021-01-15 07:00:00,6.51,6.85,6.51,6.8,3513332
2021-01-18 07:00:00,6.8,7.09,6.8,6.9,1699857
2021-01-19 07:00:00,6.95,7.0,6.27,6.51,1669363
2021-01-20 07:00:00,6.51,6.61,6.03,6.46,1809537
2021-01-21 07:00:00,6.51,6.61,6.42,6.61,968994
2021-01-22 07:00:00,6.61,6.71,6.46,6.51,768123
2021-01-25 07:00:00,6.51,6.51,6.32,6.42,634245
2021-01-26 07:00:00,6.42,6.42,6.03,6.08,1887092
2021-01-27 07:00:00,6.13,6.27,5.94,5.98,795936
2021-01-28 07:00:00,5.94,5.98,5.16,5.21,3779320
2021-01-29 07:00:00,5.16,5.84,5.07,5.79,864558
2021-02-01 07:00:00,5.79,5.94,5.55,5.6,427872
2021-02-02 07:00:00,5.69,5.79,5.4,5.74,1788081
2021-02-03 07:00:00,5.69,5.98,5.64,5.94,957886
2021-02-04 07:00:00,5.94,6.08,5.79,6.03,1986722
2021-02-05 07:00:00,5.98,6.18,5.94,6.18,1295769
2021-02-08 07:00:00,6.13,6.22,5.89,6.13,1463214
2021-02-09 07:00:00,6.03,6.13,5.98,6.13,628355
2021-02-17 07:00:00,6.13,6.18,6.03,6.18,2926458
2021-02-18 07:00:00,6.18,6.37,6.13,6.27,852997
2021-02-19 07:00:00,6.32,6.37,6.22,6.27,541969
2021-02-22 07:00:00,6.27,6.32,6.22,6.22,729909
2021-02-23 07:00:00,6.22,6.22,6.13,6.22,605861
2021-02-24 07:00:00,6.22,6.27,6.13,6.18,655957
2021-02-25 07:00:00,6.22,6.22,6.13,6.13,372620
2021-02-26 07:00:00,6.13,6.18,6.08,6.13,679000
2021-03-01 07:00:00,6.13,6.22,6.13,6.18,1004444
2021-03-02 07:00:00,6.27,6.27,6.18,6.18,1097250
2021-03-03 07:00:00,6.22,6.22,6.13,6.18,1338919
2021-03-04 07:00:00,6.18,6.37,6.18,6.27,2346474
2021-03-05 07:00:00,6.27,6.32,6.18,6.22,1283697
2021-03-08 07:00:00,6.27,6.37,6.22,6.32,2594485
2021-03-09 07:00:00,6.32,6.85,6.32,6.76,6415601
2021-03-10 07:00:00,6.8,7.0,6.66,6.8,2289910
2021-03-11 07:00:00,6.85,6.9,6.66,6.71,2180547
2021-03-12 07:00:00,6.66,6.8,6.66,6.76,2372801
2021-03-15 07:00:00,6.76,6.8,6.71,6.8,2448443
2021-03-16 07:00:00,6.8,7.04,6.76,7.04,6346277
2021-03-17 07:00:00,7.0,7.38,7.0,7.24,4548460
2021-03-18 07:00:00,7.24,7.38,7.14,7.24,3639299
2021-03-19 07:00:00,7.24,7.24,7.04,7.14,3632585
2021-03-22 07:00:00,7.09,7.14,7.0,7.04,2044043
2021-03-23 07:00:00,7.04,7.09,6.85,7.0,2299036
2021-03-24 07:00:00,6.9,6.9,6.56,6.76,2921161
2021-03-25 07:00:00,6.76,6.85,6.66,6.76,1734031
2021-03-26 07:00:00,6.76,6.76,6.46,6.76,1565814
2021-03-29 07:00:00,6.76,6.95,6.71,6.9,1616109
2021-03-30 07:00:00,7.0,7.09,6.9,7.0,3520350
2021-03-31 07:00:00,7.14,7.19,7.04,7.04,3160686
2021-04-01 07:00:00,7.14,7.24,6.9,7.19,6379211
2021-04-02 07:00:00,7.19,7.96,7.19,7.77,8148379
2021-04-05 07:00:00,7.82,8.44,7.72,8.3,6477154
2021-04-06 07:00:00,8.4,8.44,7.96,8.15,4994357
2021-04-07 07:00:00,8.25,8.68,8.06,8.49,6305788
2021-04-08 07:00:00,9.75,9.75,8.49,8.64,7216754
2021-04-09 07:00:00,8.68,9.65,8.44,8.59,2497067
2021-04-12 07:00:00,8.59,8.93,8.59,8.88,6079610
2021-04-13 07:00:00,8.93,8.97,8.4,8.54,5918919
2021-04-14 07:00:00,8.64,8.64,8.35,8.64,3147210
2021-04-15 07:00:00,8.59,8.68,8.44,8.49,3043022
2021-04-16 07:00:00,8.54,8.54,7.91,8.2,6027301
2021-04-19 07:00:00,8.25,8.35,7.96,8.3,1752980
2021-04-20 07:00:00,8.44,8.49,8.15,8.25,2242837
2021-04-22 07:00:00,8.25,8.3,7.86,7.91,2855735
2021-04-23 07:00:00,7.91,8.15,7.72,8.06,3079570
2021-04-26 07:00:00,7.96,8.2,7.72,7.82,2083817
2021-04-27 07:00:00,7.86,7.91,7.72,7.86,1122140
2021-04-28 07:00:00,7.86,8.11,7.82,8.06,1867030
2021-04-29 07:00:00,8.06,8.3,8.06,8.25,3091510
2021-05-04 07:00:00,7.96,8.3,7.86,8.2,2519480
2021-05-05 07:00:00,8.15,8.44,8.15,8.35,3356560
2021-05-06 07:00:00,8.3,8.78,8.2,8.68,9123091
2021-05-07 07:00:00,8.64,8.78,8.44,8.59,5115141
2021-05-10 07:00:00,8.59,8.88,8.44,8.73,5881726
2021-05-11 07:00:00,8.73,8.83,8.59,8.59,3986339
2021-05-12 07:00:00,8.64,8.68,8.49,8.64,3235146
2021-05-13 07:00:00,8.64,8.83,8.54,8.68,4826484
2021-05-14 07:00:00,8.68,9.22,8.68,9.07,6584869
2021-05-17 07:00:00,9.02,9.17,8.83,8.93,3731120
