time,open,high,low,close,volume
2018-08-09 07:00:00,15.91,16.07,15.53,15.56,3444030
2018-08-10 07:00:00,15.42,16.12,15.37,16.12,4423770
2018-08-13 07:00:00,16.02,16.64,15.96,16.45,3670180
2018-08-14 07:00:00,16.45,16.53,16.12,16.18,2187220
2018-08-15 07:00:00,16.45,16.56,15.42,15.8,4946070
2018-08-16 07:00:00,15.61,16.2,15.1,16.18,5017400
2018-08-17 07:00:00,16.5,17.09,16.23,16.77,4664800
2018-08-20 07:00:00,16.72,17.15,16.61,16.93,3573200
2018-08-21 07:00:00,16.72,17.8,16.72,17.8,4070460
2018-08-22 07:00:00,17.9,18.17,17.47,17.53,4346680
2018-08-23 07:00:00,17.63,18.07,17.36,17.82,3335590
2018-08-24 07:00:00,17.58,18.09,17.58,18.01,2775350
2018-08-27 07:00:00,18.17,18.39,18.04,18.34,2541980
2018-08-28 07:00:00,18.5,18.5,17.96,18.17,2582530
2018-08-29 07:00:00,18.17,18.39,18.09,18.15,2319810
2018-08-30 07:00:00,18.12,18.82,18.07,18.82,3286300
2018-08-31 07:00:00,18.77,18.87,18.5,18.55,2336200
2018-09-04 07:00:00,18.34,18.34,17.36,17.53,4088990
2018-09-05 07:00:00,17.36,17.98,17.34,17.85,3283340
2018-09-06 07:00:00,17.85,17.9,17.47,17.66,1923190
2018-09-07 07:00:00,17.53,18.42,17.53,18.28,3171020
2018-09-10 07:00:00,18.23,18.6,18.07,18.34,3078830
2018-09-11 07:00:00,18.34,19.09,18.28,19.04,4371130
2018-09-12 07:00:00,19.14,19.2,18.74,18.74,2528070
2018-09-13 07:00:00,18.98,19.14,18.6,18.87,2984670
2018-09-14 07:00:00,19.04,19.14,18.71,18.79,1656240
2018-09-17 07:00:00,18.71,18.93,18.44,18.44,2164200
2018-09-18 07:00:00,18.23,19.04,18.07,19.01,4127500
2018-09-19 07:00:00,19.14,19.39,18.98,19.04,2943070
2018-09-20 07:00:00,19.04,19.28,18.79,19.14,2304800
2018-09-21 07:00:00,19.25,19.28,18.68,19.04,4631020
2018-09-24 07:00:00,19.04,19.2,18.79,18.82,2423940
2018-09-25 07:00:00,18.74,19.2,18.66,18.87,1820120
2018-09-26 07:00:00,18.85,19.12,18.82,18.82,1956500
2018-09-27 07:00:00,18.87,18.9,18.68,18.68,2074090
2018-09-28 07:00:00,18.82,19.22,18.71,18.98,2822910
2018-10-01 07:00:00,18.98,19.14,18.66,18.74,1733190
2018-10-02 07:00:00,18.77,19.63,18.6,19.52,5199330
2018-10-03 07:00:00,19.58,19.82,19.52,19.76,2361360
2018-10-04 07:00:00,19.79,19.84,19.58,19.82,1879790
2018-10-05 07:00:00,19.63,19.74,19.14,19.14,2834960
2018-10-08 07:00:00,18.98,19.52,18.82,19.41,3268360
2018-10-09 07:00:00,19.47,19.68,19.3,19.47,1270140
2018-10-10 07:00:00,19.52,19.52,18.98,19.06,2080020
2018-10-11 07:00:00,17.85,18.5,17.74,17.74,6573500
2018-10-12 07:00:00,17.8,18.42,17.26,18.23,2660970
