time,open,high,low,close,volume
2018-08-09 07:00:00,25.67,26.38,25.39,25.58,112520
2018-08-10 07:00:00,25.58,26.09,25.2,25.2,55350
2018-08-13 07:00:00,25.2,25.62,24.59,24.73,196860
2018-08-14 07:00:00,25.2,25.39,24.77,25.29,222870
2018-08-15 07:00:00,25.62,25.86,25.39,25.43,116400
2018-08-16 07:00:00,25.29,25.39,25.01,25.2,48660
2018-08-17 07:00:00,25.01,25.2,24.68,24.87,187610
2018-08-20 07:00:00,24.82,24.96,24.68,24.82,115890
2018-08-21 07:00:00,24.77,25.2,24.73,25.01,140120
2018-08-22 07:00:00,25.01,25.81,24.87,25.48,313110
2018-08-23 07:00:00,25.67,25.67,25.2,25.2,63470
2018-08-24 07:00:00,25.2,25.2,24.82,25.2,94880
2018-08-27 07:00:00,25.2,25.2,24.87,25.1,141470
2018-08-28 07:00:00,25.1,25.58,25.06,25.43,184500
2018-08-29 07:00:00,25.43,25.48,25.1,25.15,138550
2018-08-30 07:00:00,25.15,25.58,24.96,25.53,276300
2018-08-31 07:00:00,25.53,26.85,25.53,26.47,478170
2018-09-04 07:00:00,26.47,27.04,26.28,26.75,194270
2018-09-05 07:00:00,26.38,26.85,26.33,26.75,200590
2018-09-06 07:00:00,26.61,26.66,26.14,26.14,205560
2018-09-07 07:00:00,26.09,26.7,26.09,26.61,217330
2018-09-10 07:00:00,26.66,26.66,26.14,26.47,127980
2018-09-11 07:00:00,26.38,26.47,26.19,26.33,93150
2018-09-12 07:00:00,26.47,26.47,26.14,26.14,71340
2018-09-13 07:00:00,26.05,26.47,26.05,26.38,76870
2018-09-14 07:00:00,26.33,27.46,26.14,27.46,486760
2018-09-17 07:00:00,27.41,27.84,27.32,27.46,159700
2018-09-18 07:00:00,27.36,27.6,26.75,27.6,313520
2018-09-19 07:00:00,27.6,28.16,27.6,27.69,275830
2018-09-20 07:00:00,28.12,28.12,27.69,27.88,156780
2018-09-21 07:00:00,28.16,28.35,27.69,28.35,370580
2018-09-24 07:00:00,28.5,29.91,28.35,29.67,522200
2018-09-25 07:00:00,29.48,29.81,28.73,29.3,409110
2018-09-26 07:00:00,29.3,30.43,29.25,30.05,553530
2018-09-27 07:00:00,30.14,30.33,29.96,30.1,221320
2018-09-28 07:00:00,30.14,30.14,29.91,29.91,154730
2018-10-01 07:00:00,29.91,30.38,29.39,29.58,260510
2018-10-02 07:00:00,29.58,31.08,29.53,31.04,622110
2018-10-03 07:00:00,31.08,32.59,31.08,32.26,574550
2018-10-04 07:00:00,32.26,32.5,31.84,31.84,144510
