time,open,high,low,close,volume
2018-08-09 07:00:00,67.23,69.5,67.23,68.91,173410
2018-08-10 07:00:00,68.91,71.01,68.91,71.01,195740
2018-08-13 07:00:00,71.01,71.01,68.49,69.75,127080
2018-08-14 07:00:00,69.33,70.51,69.33,69.5,42550
2018-08-15 07:00:00,70.34,70.34,67.23,67.74,80900
2018-08-16 07:00:00,65.97,68.83,65.97,68.83,90740
2018-08-17 07:00:00,68.58,71.01,68.58,70.76,156220
2018-08-20 07:00:00,70.93,70.93,69.92,70.59,100990
2018-08-21 07:00:00,70.59,70.59,69.5,70.17,44010
2018-08-22 07:00:00,71.01,73.54,70.59,73.54,216960
2018-08-23 07:00:00,74.38,76.98,72.69,76.48,219700
2018-08-24 07:00:00,75.64,76.9,74.04,74.04,163000
2018-08-27 07:00:00,75.64,76.39,74.12,76.39,121260
2018-08-28 07:00:00,76.39,76.73,75.64,76.39,63100
2018-08-29 07:00:00,75.8,76.9,75.8,76.56,86860
2018-08-30 07:00:00,77.32,77.32,76.48,76.98,23980
2018-08-31 07:00:00,76.98,78.49,76.98,77.74,115500
2018-09-04 07:00:00,77.32,78.07,75.38,75.89,90260
2018-09-05 07:00:00,74.21,76.48,73.54,74.38,59550
2018-09-06 07:00:00,74.38,74.46,72.19,72.27,142290
2018-09-07 07:00:00,72.27,75.22,72.27,74.29,44030
2018-09-10 07:00:00,74.38,76.39,74.38,75.22,41160
2018-09-11 07:00:00,75.22,80.43,75.22,80.43,165280
2018-09-12 07:00:00,80.68,80.68,79.0,79.84,215930
2018-09-13 07:00:00,79.08,84.88,79.08,83.2,260180
2018-09-14 07:00:00,83.2,83.2,81.86,82.11,59810
2018-09-17 07:00:00,81.52,81.52,78.33,79.0,70650
2018-09-18 07:00:00,78.16,81.52,78.16,81.52,91820
2018-09-19 07:00:00,81.52,82.36,78.16,81.94,89870
2018-09-20 07:00:00,81.94,82.36,79.5,82.36,44550
2018-09-21 07:00:00,82.36,83.2,81.1,82.11,266280
2018-09-24 07:00:00,82.78,82.78,81.52,82.11,11960
2018-09-25 07:00:00,81.77,82.11,79.0,81.52,24830
2018-09-26 07:00:00,81.52,81.52,79.84,79.84,49360
2018-09-27 07:00:00,79.84,82.7,79.84,82.7,101430
2018-09-28 07:00:00,83.2,83.45,81.86,82.36,45070
2018-10-01 07:00:00,82.36,82.36,81.35,81.52,60200
2018-10-02 07:00:00,81.52,82.36,80.68,80.68,69440
2018-10-03 07:00:00,80.01,81.94,80.01,80.68,10110
2018-10-04 07:00:00,79.92,80.68,79.0,80.26,38220
2018-10-05 07:00:00,80.68,81.52,80.17,80.68,26760
2018-10-08 07:00:00,80.68,80.68,77.74,78.24,82280
2018-10-09 07:00:00,80.26,80.26,77.82,77.82,20800
2018-10-10 07:00:00,77.82,78.16,76.48,77.32,121780
2018-10-11 07:00:00,74.8,74.88,71.94,73.62,193090
2018-10-12 07:00:00,71.18,76.48,71.18,76.48,137360
2018-10-15 07:00:00,76.48,76.48,72.36,75.64,69370
2018-10-16 07:00:00,74.04,75.64,74.04,75.13,57750
2018-10-17 07:00:00,75.64,75.97,75.13,75.22,44560
2018-10-18 07:00:00,75.22,77.74,75.05,77.49,64260
2018-10-19 07:00:00,76.31,77.82,76.06,77.32,67550
2018-10-22 07:00:00,77.32,78.07,76.81,77.15,29130
2018-10-23 07:00:00,77.15,77.32,76.14,77.32,67890
2018-10-24 07:00:00,75.22,78.16,75.22,78.16,84930
2018-10-25 07:00:00,73.2,78.07,73.2,78.07,139280
2018-10-26 07:00:00,78.07,78.58,75.55,78.58,141820
2018-10-29 07:00:00,77.32,79.59,77.32,79.59,144560
2018-10-30 07:00:00,76.9,81.1,76.9,81.01,229710
2018-10-31 07:00:00,81.01,83.2,80.68,82.44,273050
2018-11-01 07:00:00,82.44,82.86,82.11,82.78,277060
2018-11-02 07:00:00,83.12,83.12,80.26,80.51,94690
2018-11-05 07:00:00,80.26,80.43,77.74,78.07,86550
2018-11-06 07:00:00,77.82,79.0,77.82,78.58,44440
2018-11-07 07:00:00,80.59,80.59,77.82,79.25,11550
2018-11-08 07:00:00,75.72,80.26,75.72,79.17,105260
2018-11-09 07:00:00,79.0,80.68,79.0,80.43,51740
2018-11-12 07:00:00,79.84,82.53,79.84,82.02,88770
2018-11-13 07:00:00,81.52,83.2,80.68,83.2,60710
2018-11-14 07:00:00,83.2,83.2,81.52,82.36,89250
2018-11-15 07:00:00,80.85,81.1,79.0,79.0,81850
2018-11-16 07:00:00,79.84,80.59,79.0,79.67,41790
2018-11-19 07:00:00,79.59,79.84,78.16,79.84,63740
2018-11-20 07:00:00,79.75,79.92,78.16,79.59,53000
2018-11-21 07:00:00,78.16,79.42,78.16,79.0,40110
2018-11-22 07:00:00,80.59,80.85,78.66,80.85,62530
2018-11-23 07:00:00,80.59,82.28,80.59,82.28,74860
2018-11-26 07:00:00,82.28,82.28,81.6,82.28,138330
2018-11-27 07:00:00,82.28,82.28,80.85,82.02,72990
2018-11-28 07:00:00,82.02,82.02,80.68,81.77,34180
2018-11-29 07:00:00,80.68,80.93,79.84,79.84,58130
2018-11-30 07:00:00,79.84,85.38,79.84,80.51,257850
2018-12-03 07:00:00,81.52,83.2,81.35,81.77,60370
2018-12-04 07:00:00,81.94,82.86,81.86,82.53,62390
2018-12-05 07:00:00,81.52,86.14,81.52,86.14,190820
2018-12-06 07:00:00,86.14,86.14,84.71,85.55,70600
2018-12-07 07:00:00,84.46,86.56,84.46,86.06,90430
2018-12-10 07:00:00,86.56,86.56,84.04,85.55,41210
2018-12-11 07:00:00,85.55,85.55,83.62,84.29,72940
2018-12-12 07:00:00,85.72,87.4,84.96,85.72,106070
2018-12-13 07:00:00,85.72,85.72,84.88,84.88,76620
2018-12-14 07:00:00,84.12,84.8,83.54,83.54,87660
2018-12-17 07:00:00,83.87,84.04,81.94,82.86,50810
2018-12-18 07:00:00,82.86,82.86,78.33,79.0,140910
2018-12-19 07:00:00,79.0,79.75,76.48,76.48,148480
2018-12-20 07:00:00,76.48,79.0,76.48,78.41,76800
2018-12-21 07:00:00,79.42,80.01,77.32,80.01,120930
2018-12-24 07:00:00,80.01,80.01,77.32,77.32,60340
2018-12-25 07:00:00,77.32,77.91,75.05,77.32,38890
2018-12-26 07:00:00,77.32,77.32,75.8,76.22,86530
2018-12-27 07:00:00,77.32,78.58,77.32,77.57,22060
2018-12-28 07:00:00,77.74,78.16,74.8,74.8,58390
2019-01-02 07:00:00,76.39,76.39,74.8,74.8,87080
2019-01-03 07:00:00,76.06,76.48,74.29,74.96,55310
2019-01-04 07:00:00,74.96,74.96,72.27,74.46,96940
2019-01-07 07:00:00,75.22,76.31,73.7,74.46,92970
2019-01-08 07:00:00,74.46,74.46,73.96,74.12,36610
2019-01-09 07:00:00,72.27,75.64,72.27,74.8,100610
2019-01-10 07:00:00,74.04,75.72,74.04,75.22,49800
2019-01-11 07:00:00,75.97,76.39,75.22,75.97,32020
2019-01-14 07:00:00,75.89,75.89,73.96,74.38,26560
2019-01-15 07:00:00,74.38,75.13,74.04,74.54,42400
2019-01-16 07:00:00,75.55,75.64,74.63,75.64,41990
