time,open,high,low,close,volume
2015-11-26 07:00:00,8.8,8.94,8.73,8.8,66476
2015-11-27 07:00:00,8.8,8.87,8.59,8.59,87507
2015-11-30 07:00:00,8.66,8.73,8.45,8.52,87100
2015-12-01 07:00:00,8.59,8.66,8.45,8.45,41900
2015-12-02 07:00:00,8.52,8.59,8.45,8.52,74860
2015-12-03 07:00:00,8.52,8.59,8.52,8.59,41090
2015-12-04 07:00:00,8.59,8.59,8.45,8.52,113170
2015-12-07 07:00:00,8.52,8.52,8.38,8.45,49406
2015-12-08 07:00:00,8.38,8.38,8.31,8.38,145300
2015-12-09 07:00:00,8.38,8.45,8.24,8.31,117658
2015-12-10 07:00:00,8.24,8.31,8.17,8.24,104700
2015-12-11 07:00:00,8.24,8.31,8.17,8.24,76000
2015-12-14 07:00:00,8.24,8.38,8.17,8.24,36176
2015-12-15 07:00:00,8.24,8.31,8.1,8.17,69200
2015-12-16 07:00:00,8.24,8.45,8.24,8.31,65258
2015-12-17 07:00:00,8.31,8.38,8.24,8.24,111355
2015-12-18 07:00:00,8.24,8.31,8.24,8.31,37247
2015-12-21 07:00:00,8.24,8.24,8.1,8.1,133300
2015-12-22 07:00:00,8.1,8.17,8.03,8.1,29900
2015-12-23 07:00:00,7.96,8.24,7.96,8.03,38400
2015-12-24 07:00:00,8.1,8.1,7.82,7.82,52200
2015-12-25 07:00:00,7.82,8.03,7.82,7.89,67420
2015-12-28 07:00:00,8.03,8.03,7.89,7.96,53840
2015-12-29 07:00:00,8.03,8.31,7.96,8.24,90047
2015-12-30 07:00:00,8.24,8.52,8.17,8.52,165900
2015-12-31 07:00:00,8.45,8.45,8.31,8.31,48900
2016-01-04 07:00:00,8.31,8.31,8.1,8.24,66100
2016-01-05 07:00:00,8.24,8.24,8.03,8.03,104300
2016-01-06 07:00:00,7.96,8.1,7.96,8.1,54520
2016-01-07 07:00:00,8.03,8.03,7.82,7.89,157800
2016-01-08 07:00:00,7.82,7.89,7.75,7.75,108600
2016-01-11 07:00:00,7.75,7.89,7.75,7.75,82900
2016-01-12 07:00:00,7.75,7.89,7.68,7.82,136760
2016-01-13 07:00:00,7.89,7.96,7.82,7.96,176350
2016-01-14 07:00:00,7.82,7.96,7.82,7.96,98100
2016-01-15 07:00:00,7.89,7.89,7.75,7.82,116650
2016-01-18 07:00:00,7.82,7.82,7.19,7.61,172660
2016-01-19 07:00:00,7.61,8.1,7.61,7.82,112600
2016-01-20 07:00:00,7.75,7.96,7.68,7.89,170520
2016-01-21 07:00:00,7.68,7.82,7.61,7.68,109500
2016-01-22 07:00:00,7.82,7.82,7.61,7.68,124930
2016-01-25 07:00:00,8.1,8.17,7.82,8.17,120547
2016-01-26 07:00:00,7.89,8.03,7.82,8.03,52000
2016-01-27 07:00:00,8.03,8.17,8.03,8.03,110100
2016-01-28 07:00:00,8.03,8.03,7.89,7.96,114170
2016-01-29 07:00:00,7.96,8.1,7.96,8.1,96400
2016-02-01 07:00:00,8.1,8.38,8.1,8.24,95100
2016-02-02 07:00:00,8.1,8.1,8.03,8.03,91000
2016-02-03 07:00:00,8.03,8.17,7.89,8.1,28700
2016-02-04 07:00:00,8.17,8.17,8.1,8.1,26100
2016-02-05 07:00:00,8.03,8.24,8.03,8.17,62800
2016-02-15 07:00:00,8.1,8.17,7.96,8.17,52200
2016-02-16 07:00:00,8.17,8.24,8.1,8.24,48300
2016-02-17 07:00:00,8.24,8.31,8.24,8.31,68860
2016-02-18 07:00:00,8.31,8.66,8.31,8.38,168520
2016-02-19 07:00:00,8.38,8.52,8.38,8.38,67904
2016-02-22 07:00:00,8.52,8.87,8.52,8.73,264200
2016-02-23 07:00:00,8.94,9.01,8.66,8.8,202880
2016-02-24 07:00:00,8.73,9.22,8.73,9.15,286536
2016-02-25 07:00:00,9.15,9.36,8.94,8.94,288400
2016-02-26 07:00:00,8.94,9.15,8.94,9.15,237620
2016-02-29 07:00:00,9.15,9.43,9.01,9.29,310128
2016-03-01 07:00:00,9.36,9.43,9.22,9.22,116900
2016-03-02 07:00:00,9.43,9.43,9.36,9.36,203500
2016-03-03 07:00:00,9.43,9.43,9.15,9.36,75100
2016-03-04 07:00:00,9.36,9.36,9.15,9.22,66800
2016-03-07 07:00:00,9.15,9.22,8.94,9.01,185600
2016-03-08 07:00:00,9.01,9.08,8.94,8.94,77600
2016-03-09 07:00:00,8.94,9.22,8.94,9.08,108160
2016-03-10 07:00:00,9.08,9.22,9.08,9.22,129440
