time,open,high,low,close,volume
2018-08-09 07:00:00,6.66,6.67,6.56,6.61,10700
2018-08-10 07:00:00,6.56,6.73,6.27,6.62,35600
2018-08-13 07:00:00,6.62,6.9,6.62,6.84,18010
2018-08-14 07:00:00,6.84,7.03,6.84,7.02,15384
2018-08-15 07:00:00,7.0,7.05,6.93,6.93,13510
2018-08-16 07:00:00,6.93,6.93,6.81,6.93,12000
2018-08-17 07:00:00,6.98,6.98,6.78,6.86,4564
2018-08-20 07:00:00,7.02,7.02,6.86,6.86,4400
2018-08-21 07:00:00,6.86,6.86,6.73,6.73,5000
2018-08-22 07:00:00,6.69,6.78,6.64,6.73,19240
2018-08-23 07:00:00,6.76,6.84,6.76,6.84,1100
2018-08-24 07:00:00,6.84,6.95,6.84,6.95,4400
2018-08-27 07:00:00,6.86,6.96,6.86,6.96,3500
2018-08-28 07:00:00,6.9,6.96,6.9,6.93,10200
2018-08-29 07:00:00,6.95,6.96,6.9,6.96,22808
2018-08-30 07:00:00,6.96,7.3,6.95,7.24,40670
2018-08-31 07:00:00,7.24,7.29,7.08,7.22,28500
2018-09-04 07:00:00,7.24,7.24,7.12,7.13,11810
2018-09-05 07:00:00,7.13,7.15,7.08,7.15,25400
2018-09-06 07:00:00,7.28,7.28,7.15,7.22,6310
2018-09-07 07:00:00,7.15,7.19,7.12,7.19,3170
2018-09-10 07:00:00,7.12,7.15,7.08,7.12,1900
2018-09-11 07:00:00,7.06,7.15,7.01,7.12,13820
2018-09-12 07:00:00,7.03,7.1,6.97,7.03,16010
2018-09-13 07:00:00,7.03,7.06,6.99,6.99,8400
2018-09-14 07:00:00,7.03,7.08,7.03,7.06,4400
2018-09-17 07:00:00,7.06,7.1,6.99,7.1,8230
2018-09-18 07:00:00,7.1,7.49,7.03,7.49,31530
2018-09-19 07:00:00,7.6,7.6,7.38,7.49,9790
2018-09-20 07:00:00,7.49,7.51,7.33,7.49,9240
2018-09-21 07:00:00,7.49,7.69,7.49,7.49,31110
2018-09-24 07:00:00,7.51,7.51,7.42,7.42,12350
2018-09-25 07:00:00,7.42,7.42,7.38,7.42,4749
2018-09-26 07:00:00,7.42,7.58,7.42,7.51,19400
2018-09-27 07:00:00,7.53,7.69,7.53,7.69,7821
2018-09-28 07:00:00,7.69,7.8,7.63,7.69,3030
2018-10-01 07:00:00,7.7,8.14,7.69,8.14,43813
2018-10-02 07:00:00,8.14,8.21,8.04,8.19,11800
2018-10-03 07:00:00,8.19,8.22,8.12,8.12,7621
2018-10-04 07:00:00,8.04,8.14,7.69,8.03,25668
2018-10-05 07:00:00,8.03,8.04,7.96,7.99,7600
2018-10-08 07:00:00,8.04,8.31,8.04,8.22,33600
2018-10-09 07:00:00,8.22,8.31,8.22,8.28,4489
2018-10-10 07:00:00,8.22,8.26,7.94,8.22,10200
2018-10-11 07:00:00,8.21,8.21,7.87,8.03,10200
2018-10-12 07:00:00,8.08,8.1,8.04,8.04,6710
2018-10-15 07:00:00,8.04,8.22,8.04,8.04,30409
2018-10-16 07:00:00,8.04,8.04,7.94,8.04,3400
2018-10-17 07:00:00,8.04,8.06,7.24,7.24,47020
2018-10-18 07:00:00,6.53,7.17,6.53,6.79,85819
2018-10-19 07:00:00,6.79,6.94,6.79,6.94,2420
2018-10-22 07:00:00,6.88,7.12,6.79,7.12,27420
2018-10-23 07:00:00,7.12,7.12,6.79,7.03,8577
2018-10-24 07:00:00,6.79,6.79,6.62,6.79,11400
2018-10-25 07:00:00,6.62,6.78,6.62,6.62,14743
2018-10-26 07:00:00,6.79,6.79,6.53,6.63,2750
