time,open,high,low,close,volume
2018-08-09 07:00:00,6.94,7.0,6.83,6.83,389220
2018-08-10 07:00:00,6.83,6.94,6.72,6.83,557002
2018-08-13 07:00:00,6.78,6.88,6.72,6.88,595941
2018-08-14 07:00:00,6.94,7.27,6.88,7.16,844182
2018-08-15 07:00:00,7.16,7.16,6.94,6.94,529189
2018-08-16 07:00:00,6.88,7.1,6.88,7.0,724900
2018-08-17 07:00:00,7.05,7.05,6.94,6.94,329703
2018-08-20 07:00:00,7.05,7.05,6.94,6.94,385940
2018-08-21 07:00:00,7.0,7.6,7.0,7.6,3631718
2018-08-22 07:00:00,7.65,7.92,7.6,7.6,1152200
2018-08-23 07:00:00,7.76,7.76,7.49,7.7,947480
2018-08-24 07:00:00,7.7,8.47,7.7,8.36,3915973
2018-08-27 07:00:00,8.18,8.18,7.72,8.07,2131850
2018-08-28 07:00:00,8.07,8.18,7.95,8.13,798379
2018-08-29 07:00:00,8.13,8.13,7.84,7.84,1269070
2018-08-30 07:00:00,7.78,8.07,7.78,8.01,760267
2018-08-31 07:00:00,7.89,8.3,7.89,8.07,1040955
2018-09-04 07:00:00,8.07,8.13,7.84,7.84,758243
2018-09-05 07:00:00,7.84,8.01,7.78,7.89,602599
2018-09-06 07:00:00,7.89,7.95,7.72,7.78,797560
2018-09-07 07:00:00,7.31,7.78,7.31,7.72,760939
2018-09-10 07:00:00,7.72,7.78,7.48,7.48,561941
2018-09-11 07:00:00,7.48,7.66,7.48,7.66,955590
2018-09-12 07:00:00,7.66,7.84,7.6,7.78,704320
2018-09-13 07:00:00,7.72,8.13,7.48,8.07,1259423
2018-09-14 07:00:00,8.07,8.13,7.95,7.95,466540
2018-09-17 07:00:00,7.89,7.95,7.78,7.84,418650
2018-09-18 07:00:00,7.84,8.24,7.66,8.24,2511405
2018-09-19 07:00:00,8.13,8.36,8.07,8.24,1180582
2018-09-20 07:00:00,8.24,8.24,8.13,8.24,781390
2018-09-21 07:00:00,8.24,8.42,8.07,8.13,1176086
2018-09-24 07:00:00,8.13,8.24,8.07,8.18,685942
2018-09-25 07:00:00,8.18,8.54,8.13,8.3,1397512
2018-09-26 07:00:00,8.3,8.48,8.3,8.3,1682515
2018-09-27 07:00:00,8.36,8.42,8.18,8.18,909221
2018-09-28 07:00:00,8.24,8.42,8.13,8.18,1647494
2018-10-01 07:00:00,8.18,8.3,8.07,8.07,1127975
2018-10-02 07:00:00,8.07,8.13,7.89,7.89,984505
2018-10-03 07:00:00,7.95,8.18,7.95,7.95,882514
2018-10-04 07:00:00,7.95,8.13,7.95,8.13,535640
2018-10-05 07:00:00,8.13,8.13,8.01,8.01,686423
2018-10-08 07:00:00,7.95,8.13,7.89,8.01,1088886
2018-10-09 07:00:00,8.13,8.13,7.95,7.95,303307
2018-10-10 07:00:00,8.01,8.01,7.89,7.89,569510
2018-10-11 07:00:00,7.78,7.78,7.13,7.19,2865050
2018-10-12 07:00:00,7.19,7.78,7.13,7.66,999127
2018-10-15 07:00:00,7.72,7.72,7.48,7.6,507310
2018-10-16 07:00:00,7.54,7.6,7.48,7.54,479255
2018-10-17 07:00:00,7.72,7.78,7.54,7.54,426960
2018-10-18 07:00:00,7.54,7.66,7.42,7.42,500307
2018-10-19 07:00:00,7.37,7.72,7.31,7.72,558865
2018-10-22 07:00:00,7.72,7.78,7.6,7.6,662000
2018-10-23 07:00:00,7.6,7.72,7.31,7.66,1128930
2018-10-24 07:00:00,7.66,7.72,7.48,7.48,265575
2018-10-25 07:00:00,7.48,7.6,7.07,7.6,698443
2018-10-26 07:00:00,7.6,7.72,7.42,7.42,312800
2018-10-29 07:00:00,7.48,7.48,7.19,7.19,476200
2018-10-30 07:00:00,7.25,7.37,7.25,7.25,256820
2018-10-31 07:00:00,7.25,7.6,7.25,7.48,580452
2018-11-01 07:00:00,7.48,7.48,7.31,7.42,454820
2018-11-02 07:00:00,7.54,7.66,7.42,7.6,629940
2018-11-05 07:00:00,7.78,7.78,7.42,7.42,147290
2018-11-06 07:00:00,7.48,7.48,7.42,7.48,392151
2018-11-07 07:00:00,7.42,7.48,7.42,7.42,121930
2018-11-08 07:00:00,7.42,7.6,7.37,7.42,339360
2018-11-09 07:00:00,7.42,7.48,7.37,7.37,124700
2018-11-12 07:00:00,7.37,7.78,7.31,7.66,1272907
2018-11-13 07:00:00,7.66,7.66,7.48,7.66,333763
2018-11-14 07:00:00,7.66,7.72,7.54,7.6,385485
2018-11-15 07:00:00,7.6,7.66,7.42,7.42,275210
2018-11-16 07:00:00,7.48,7.6,7.42,7.48,365780
2018-11-19 07:00:00,7.54,7.66,7.54,7.6,138623
2018-11-20 07:00:00,7.66,7.66,7.48,7.54,383100
2018-11-21 07:00:00,7.42,7.54,7.37,7.54,343332
2018-11-22 07:00:00,7.54,8.01,7.54,7.89,2042678
2018-11-23 07:00:00,7.89,8.01,7.78,7.78,564850
