time,open,high,low,close,volume
2018-08-09 07:00:00,19.06,19.35,18.91,19.06,279710
2018-08-10 07:00:00,18.91,19.13,18.77,19.06,168410
2018-08-13 07:00:00,18.84,19.24,18.77,19.21,262810
2018-08-14 07:00:00,19.21,19.35,19.06,19.35,1218220
2018-08-15 07:00:00,19.21,19.35,19.17,19.28,151670
2018-08-16 07:00:00,19.28,19.28,19.02,19.28,236540
2018-08-17 07:00:00,19.28,19.28,19.06,19.21,207850
2018-08-20 07:00:00,19.24,19.24,18.95,19.06,113310
2018-08-21 07:00:00,18.99,19.21,18.84,19.21,276370
2018-08-22 07:00:00,19.24,19.24,19.02,19.21,138390
2018-08-23 07:00:00,19.06,19.13,18.99,19.13,78180
2018-08-24 07:00:00,19.06,19.13,18.91,19.13,144630
2018-08-27 07:00:00,19.17,19.76,19.13,19.65,564510
2018-08-28 07:00:00,19.87,20.05,19.46,19.79,678790
2018-08-29 07:00:00,19.68,19.76,19.21,19.54,245220
2018-08-30 07:00:00,19.54,19.61,19.24,19.61,676730
2018-08-31 07:00:00,19.72,19.79,19.21,19.43,133180
2018-09-04 07:00:00,19.24,19.43,19.06,19.06,279960
2018-09-05 07:00:00,19.02,19.28,18.99,19.28,450490
2018-09-06 07:00:00,19.28,19.28,18.69,18.69,185380
2018-09-07 07:00:00,18.84,19.06,18.69,18.99,509680
2018-09-10 07:00:00,18.84,18.88,18.55,18.84,351720
2018-09-11 07:00:00,18.66,18.91,18.66,18.84,226150
2018-09-12 07:00:00,18.91,18.95,18.66,18.84,342590
2018-09-13 07:00:00,18.84,18.84,18.58,18.69,273040
2018-09-14 07:00:00,18.69,19.06,18.25,19.06,1123320
2018-09-17 07:00:00,18.99,18.99,18.69,18.91,251320
2018-09-18 07:00:00,18.73,18.91,18.69,18.91,230550
2018-09-19 07:00:00,18.77,18.99,18.77,18.91,315260
2018-09-20 07:00:00,18.99,18.99,18.84,18.84,334460
2018-09-21 07:00:00,18.91,18.91,18.69,18.69,911560
2018-09-24 07:00:00,18.84,19.06,18.77,19.02,604880
2018-09-25 07:00:00,18.91,19.57,18.91,19.43,834730
2018-09-26 07:00:00,19.43,19.46,19.17,19.46,696180
2018-09-27 07:00:00,19.5,19.54,19.39,19.43,656950
2018-09-28 07:00:00,19.5,19.9,19.5,19.9,1366480
2018-10-01 07:00:00,19.98,20.31,19.79,19.94,1437590
2018-10-02 07:00:00,19.72,19.83,19.46,19.5,684180
2018-10-03 07:00:00,19.5,19.68,19.21,19.35,841320
