time,open,high,low,close,volume
2018-08-09 07:00:00,7.27,7.65,7.16,7.48,104930
2018-08-10 07:00:00,7.5,7.69,7.44,7.69,81560
2018-08-13 07:00:00,7.79,8.0,7.65,8.0,74660
2018-08-14 07:00:00,8.1,8.1,7.9,7.96,44010
2018-08-15 07:00:00,7.96,7.96,7.74,7.88,57310
2018-08-16 07:00:00,7.76,7.83,7.48,7.79,26990
2018-08-17 07:00:00,7.9,7.9,7.67,7.79,17570
2018-08-20 07:00:00,7.76,7.84,7.65,7.84,21010
2018-08-21 07:00:00,7.84,8.07,7.72,8.07,49800
2018-08-22 07:00:00,8.07,8.5,8.0,8.5,116760
2018-08-23 07:00:00,8.66,8.9,8.52,8.9,58660
2018-08-24 07:00:00,9.04,9.11,8.73,8.96,90590
2018-08-27 07:00:00,8.96,8.97,8.76,8.97,51840
2018-08-28 07:00:00,8.97,9.04,8.73,9.04,63560
2018-08-29 07:00:00,9.15,9.15,8.76,8.9,43240
2018-08-30 07:00:00,8.76,8.9,8.7,8.7,93240
2018-08-31 07:00:00,8.87,8.87,8.56,8.7,64350
2018-09-04 07:00:00,8.68,8.68,8.36,8.49,42170
2018-09-05 07:00:00,8.62,8.62,8.17,8.49,45630
2018-09-06 07:00:00,8.56,8.56,8.42,8.47,11300
2018-09-07 07:00:00,8.52,8.59,8.31,8.59,26050
2018-09-10 07:00:00,8.59,8.66,8.45,8.59,46040
2018-09-11 07:00:00,8.66,8.68,8.42,8.68,28240
2018-09-12 07:00:00,8.61,8.64,8.42,8.52,37030
2018-09-13 07:00:00,8.45,8.59,8.35,8.59,24730
2018-09-14 07:00:00,8.59,9.04,8.45,8.83,76560
2018-09-17 07:00:00,9.26,9.41,8.87,9.33,84900
2018-09-18 07:00:00,9.41,9.41,8.99,9.37,46420
2018-09-19 07:00:00,9.37,9.37,8.99,9.06,32380
2018-09-20 07:00:00,9.06,9.06,8.95,8.95,44640
2018-09-21 07:00:00,8.91,9.06,8.68,8.83,25090
2018-09-24 07:00:00,8.83,9.03,8.74,8.83,32160
2018-09-25 07:00:00,8.8,9.22,8.8,8.99,19050
2018-09-26 07:00:00,8.83,9.06,8.83,8.99,45590
2018-09-27 07:00:00,8.99,9.18,8.99,9.14,56090
2018-09-28 07:00:00,9.14,9.22,9.14,9.22,30510
2018-10-01 07:00:00,9.22,9.26,9.03,9.14,9690
2018-10-02 07:00:00,9.14,9.14,8.68,8.89,26950
2018-10-03 07:00:00,8.99,8.99,8.7,8.83,47520
2018-10-04 07:00:00,8.83,8.99,8.64,8.83,36170
2018-10-05 07:00:00,8.66,8.83,8.66,8.8,53270
2018-10-08 07:00:00,8.8,8.8,8.56,8.56,28800
2018-10-09 07:00:00,8.64,8.64,8.26,8.26,28860
2018-10-10 07:00:00,8.26,8.32,8.07,8.26,32410
