time,open,high,low,close,volume
2018-08-09 07:00:00,90.76,93.41,89.58,92.52,245170
2018-08-10 07:00:00,93.0,93.47,92.46,92.52,108380
2018-08-13 07:00:00,93.13,95.51,91.61,94.96,250660
2018-08-14 07:00:00,94.65,96.36,93.44,96.18,455180
2018-08-15 07:00:00,96.18,96.18,93.13,93.13,84160
2018-08-16 07:00:00,92.58,93.44,91.61,93.44,110080
2018-08-17 07:00:00,93.38,93.74,91.67,93.44,74220
2018-08-20 07:00:00,93.13,93.5,92.04,93.13,125550
2018-08-21 07:00:00,92.71,93.13,92.34,92.52,55810
2018-08-22 07:00:00,92.52,95.08,92.52,94.35,174030
2018-08-23 07:00:00,94.96,94.96,93.38,94.35,72030
2018-08-24 07:00:00,94.35,97.39,94.23,97.39,437920
2018-08-27 07:00:00,97.64,99.1,97.39,98.49,272200
2018-08-28 07:00:00,98.73,100.5,97.7,100.38,338550
2018-08-29 07:00:00,100.31,100.68,98.67,98.67,215330
2018-08-30 07:00:00,98.67,102.87,98.67,102.57,359490
2018-08-31 07:00:00,101.71,102.51,100.74,100.74,81030
2018-09-04 07:00:00,100.56,100.74,99.16,99.22,92910
2018-09-05 07:00:00,98.12,101.65,98.12,99.83,159540
2018-09-06 07:00:00,99.83,101.35,98.91,99.22,130560
2018-09-07 07:00:00,99.83,100.44,98.91,99.95,67570
2018-09-10 07:00:00,100.44,101.04,98.79,98.79,43560
2018-09-11 07:00:00,98.79,100.13,98.61,99.83,142300
2018-09-12 07:00:00,100.38,101.59,98.61,99.83,192220
2018-09-13 07:00:00,99.83,100.38,99.04,99.34,84140
2018-09-14 07:00:00,99.22,99.83,99.22,99.22,75770
2018-09-17 07:00:00,98.67,99.22,97.45,97.45,198440
2018-09-18 07:00:00,97.39,99.16,97.09,98.91,142470
2018-09-19 07:00:00,100.31,100.31,98.79,98.91,110500
2018-09-20 07:00:00,98.61,99.52,98.61,99.22,123950
2018-09-21 07:00:00,99.83,101.96,98.91,101.65,576270
2018-09-24 07:00:00,101.84,103.48,101.65,103.36,236590
2018-09-25 07:00:00,103.36,103.48,101.9,102.26,124980
2018-09-26 07:00:00,102.14,102.51,101.04,101.04,203380
2018-09-27 07:00:00,101.04,102.69,100.5,102.44,183680
2018-09-28 07:00:00,102.57,102.87,101.04,101.04,107840
2018-10-01 07:00:00,101.04,101.47,99.95,100.31,181810
2018-10-02 07:00:00,100.31,100.8,99.52,99.52,146240
2018-10-03 07:00:00,99.52,100.25,99.22,99.52,105570
2018-10-04 07:00:00,99.58,100.44,99.52,100.31,64060
2018-10-05 07:00:00,100.31,102.38,100.31,101.04,296250
2018-10-08 07:00:00,102.26,102.57,100.44,101.11,166210
2018-10-09 07:00:00,101.04,102.02,100.92,100.92,47380
2018-10-10 07:00:00,100.98,101.35,100.5,100.92,56850
2018-10-11 07:00:00,97.7,98.91,94.35,95.26,330540
2018-10-12 07:00:00,94.96,96.18,93.92,95.02,221700
2018-10-15 07:00:00,95.75,97.39,93.74,94.96,124210
2018-10-16 07:00:00,94.96,95.93,94.65,95.69,39210
2018-10-17 07:00:00,96.3,96.78,95.87,95.87,30400
2018-10-18 07:00:00,95.87,96.78,94.96,94.96,80400
2018-10-19 07:00:00,94.35,94.59,93.74,94.04,105390
2018-10-22 07:00:00,94.96,94.96,92.46,92.46,80970
2018-10-23 07:00:00,92.1,92.1,88.81,89.48,139680
2018-10-24 07:00:00,88.57,90.09,88.26,88.26,54090
2018-10-25 07:00:00,85.22,88.2,85.22,87.65,42890
2018-10-26 07:00:00,88.87,89.48,85.22,86.44,93570
2018-10-29 07:00:00,85.89,86.44,84.67,84.67,73120
2018-10-30 07:00:00,84.61,86.92,84.31,85.22,82480
2018-10-31 07:00:00,87.35,88.63,86.44,88.63,99370
2018-11-01 07:00:00,88.63,89.6,88.57,89.48,65150
2018-11-02 07:00:00,88.93,92.77,88.93,92.22,92460
2018-11-05 07:00:00,92.22,92.4,91.31,92.04,55960
2018-11-06 07:00:00,92.04,92.83,91.37,92.52,59490
2018-11-07 07:00:00,92.22,92.71,91.43,92.52,76160
2018-11-08 07:00:00,92.64,92.64,91.91,92.52,32920
2018-11-09 07:00:00,91.37,92.46,91.12,91.24,40270
2018-11-12 07:00:00,90.09,90.09,88.87,89.91,20690
2018-11-13 07:00:00,86.74,89.42,86.74,88.26,59500
2018-11-14 07:00:00,88.26,90.21,88.26,88.87,47960
2018-11-15 07:00:00,88.87,90.03,88.57,88.57,82760
2018-11-16 07:00:00,89.48,90.03,88.51,90.03,67630
2018-11-19 07:00:00,90.7,91.91,90.09,91.31,65950
2018-11-20 07:00:00,91.31,91.91,91.0,91.91,150980
2018-11-21 07:00:00,91.85,93.44,91.31,93.44,254590
2018-11-22 07:00:00,94.23,94.23,93.01,93.44,18320
2018-11-23 07:00:00,93.19,93.19,92.22,92.34,22320
2018-11-26 07:00:00,89.48,92.34,89.48,91.61,55340
2018-11-27 07:00:00,93.74,95.02,93.74,94.35,190240
2018-11-28 07:00:00,94.35,96.18,94.35,95.75,80420
