time,open,high,low,close,volume
2018-08-09 07:00:00,7.3,7.58,7.3,7.58,1925
2018-08-10 07:00:00,7.42,7.61,7.3,7.36,2700
2018-08-13 07:00:00,7.52,7.58,7.33,7.39,6450
2018-08-14 07:00:00,7.54,8.67,7.33,7.76,40031
2018-08-15 07:00:00,8.22,8.43,7.33,7.39,13950
2018-08-16 07:00:00,7.27,7.54,7.27,7.36,6022
2018-08-17 07:00:00,7.58,7.76,7.39,7.58,51400
2018-08-20 07:00:00,7.58,7.73,7.39,7.61,9671
2018-08-21 07:00:00,7.73,7.73,7.42,7.58,16022
2018-08-22 07:00:00,7.64,7.64,7.64,7.64,700
2018-08-23 07:00:00,7.61,7.61,7.61,7.61,1054
2018-08-24 07:00:00,7.61,7.61,7.33,7.48,9400
2018-08-27 07:00:00,7.58,7.67,7.39,7.54,19930
2018-08-28 07:00:00,7.64,7.67,7.39,7.67,26900
2018-08-29 07:00:00,7.61,7.61,7.45,7.58,9400
2018-08-30 07:00:00,7.61,8.09,7.58,8.06,11200
2018-08-31 07:00:00,7.64,7.91,7.52,7.52,11136
2018-09-04 07:00:00,7.64,7.76,7.3,7.58,43500
2018-09-05 07:00:00,7.58,7.58,7.39,7.39,2100
2018-09-06 07:00:00,7.54,7.61,7.33,7.52,51100
2018-09-07 07:00:00,7.48,7.48,7.48,7.48,1120
2018-09-10 07:00:00,7.54,7.54,7.3,7.33,13630
2018-09-11 07:00:00,7.45,7.45,7.45,7.45,10000
2018-09-12 07:00:00,7.48,7.54,7.3,7.48,12200
2018-09-14 07:00:00,7.3,7.52,7.3,7.33,25500
2018-09-17 07:00:00,7.48,7.48,7.3,7.45,19200
2018-09-18 07:00:00,7.45,7.45,7.15,7.3,13434
2018-09-19 07:00:00,7.42,8.18,7.36,7.79,112049
2018-09-20 07:00:00,7.7,7.91,7.45,7.7,51740
2018-09-21 07:00:00,7.7,7.97,7.54,7.79,170926
2018-09-24 07:00:00,7.85,8.79,7.61,7.85,67227
2018-09-25 07:00:00,7.97,7.97,7.61,7.79,94900
2018-09-26 07:00:00,7.82,8.52,7.82,8.24,409147
2018-09-27 07:00:00,8.37,8.82,8.24,8.37,411912
2018-09-28 07:00:00,8.67,8.67,8.22,8.37,74419
2018-10-01 07:00:00,8.22,8.31,8.06,8.22,133611
2018-10-02 07:00:00,7.79,8.37,7.79,8.18,90401
2018-10-03 07:00:00,8.28,8.58,8.0,8.0,38712
2018-10-04 07:00:00,7.94,8.22,7.94,8.0,28992
2018-10-05 07:00:00,8.22,8.28,7.94,8.15,39821
2018-10-08 07:00:00,8.37,8.58,8.06,8.06,59813
2018-10-09 07:00:00,8.4,8.67,7.85,8.0,71297
2018-10-10 07:00:00,8.15,8.18,7.61,8.03,126643
2018-10-11 07:00:00,7.85,8.03,7.45,7.7,103310
2018-10-12 07:00:00,7.7,7.85,7.3,7.73,88168
2018-10-15 07:00:00,7.67,7.76,7.42,7.73,10580
2018-10-16 07:00:00,7.7,7.73,7.45,7.45,41129
2018-10-17 07:00:00,7.73,8.22,7.48,7.76,127000
2018-10-18 07:00:00,7.61,7.64,7.48,7.61,13400
2018-10-19 07:00:00,7.67,7.79,7.39,7.48,71160
