time,open,high,low,close,volume
2018-08-09 07:00:00,3.76,3.77,3.72,3.72,294330
2018-08-10 07:00:00,3.69,3.72,3.6,3.6,66730
2018-08-13 07:00:00,3.63,3.68,3.58,3.64,59200
2018-08-14 07:00:00,3.66,3.72,3.64,3.66,186400
2018-08-15 07:00:00,3.6,3.72,3.6,3.66,41190
2018-08-16 07:00:00,3.66,3.66,3.56,3.63,51170
2018-08-17 07:00:00,3.63,3.68,3.6,3.6,37090
2018-08-20 07:00:00,3.56,3.66,3.56,3.66,28250
2018-08-21 07:00:00,3.63,3.71,3.6,3.71,98000
2018-08-22 07:00:00,3.69,3.85,3.68,3.8,286230
2018-08-23 07:00:00,3.8,3.85,3.69,3.72,111830
2018-08-24 07:00:00,3.76,3.79,3.71,3.76,19120
2018-08-27 07:00:00,3.76,3.79,3.71,3.79,74860
2018-08-28 07:00:00,3.79,3.88,3.79,3.79,115450
2018-08-29 07:00:00,3.85,3.88,3.79,3.79,133130
2018-08-30 07:00:00,3.79,3.82,3.77,3.79,48240
2018-08-31 07:00:00,3.76,3.82,3.72,3.72,106190
2018-09-04 07:00:00,3.72,3.77,3.61,3.64,121840
2018-09-05 07:00:00,3.69,3.69,3.61,3.61,67380
2018-09-06 07:00:00,3.61,3.63,3.53,3.55,68350
2018-09-07 07:00:00,3.6,3.72,3.6,3.67,80760
2018-09-10 07:00:00,3.7,3.7,3.6,3.6,44280
2018-09-11 07:00:00,3.6,3.7,3.6,3.69,40770
2018-09-12 07:00:00,3.74,3.74,3.67,3.69,106930
2018-09-13 07:00:00,3.77,3.77,3.69,3.69,96560
2018-09-14 07:00:00,3.67,3.69,3.65,3.69,64880
2018-09-17 07:00:00,3.67,3.67,3.63,3.67,35310
2018-09-18 07:00:00,3.65,3.77,3.55,3.77,150440
2018-09-19 07:00:00,3.84,3.84,3.72,3.72,60600
2018-09-20 07:00:00,3.72,3.76,3.7,3.74,95470
2018-09-21 07:00:00,3.77,3.98,3.76,3.98,697270
2018-09-24 07:00:00,4.11,4.19,4.09,4.09,150110
2018-09-25 07:00:00,4.09,4.11,3.98,4.07,142560
2018-09-26 07:00:00,4.02,4.19,4.0,4.07,414270
2018-09-27 07:00:00,4.07,4.11,4.07,4.11,184000
2018-09-28 07:00:00,4.16,4.38,4.12,4.38,698170
2018-10-01 07:00:00,4.44,4.44,4.3,4.3,305650
2018-10-02 07:00:00,4.23,4.49,4.23,4.33,237930
2018-10-03 07:00:00,4.4,4.46,4.33,4.44,225060
2018-10-04 07:00:00,4.51,4.51,4.37,4.46,195800
2018-10-05 07:00:00,4.46,4.51,4.35,4.4,288110
2018-10-08 07:00:00,4.33,4.46,4.33,4.46,132110
2018-10-09 07:00:00,4.47,4.47,4.38,4.38,135850
2018-10-10 07:00:00,4.4,4.46,4.33,4.37,144510
2018-10-11 07:00:00,4.3,4.3,4.07,4.14,451030
2018-10-12 07:00:00,4.07,4.35,4.05,4.26,109540
2018-10-15 07:00:00,4.28,4.4,4.26,4.28,114790
2018-10-16 07:00:00,4.28,4.37,4.28,4.33,52830
2018-10-17 07:00:00,4.33,4.4,4.33,4.37,55820
2018-10-18 07:00:00,4.33,4.35,4.3,4.35,68110
2018-10-19 07:00:00,4.33,4.49,4.21,4.49,121030
2018-10-22 07:00:00,4.51,4.61,4.4,4.4,153110
2018-10-23 07:00:00,4.4,4.4,4.23,4.33,63590
2018-10-24 07:00:00,4.33,4.38,4.19,4.3,36500
2018-10-25 07:00:00,4.12,4.26,4.12,4.26,81910
2018-10-26 07:00:00,4.14,4.3,4.14,4.28,51660
2018-10-29 07:00:00,4.28,4.28,4.04,4.19,81840
2018-10-30 07:00:00,4.14,4.26,4.12,4.18,40820
2018-10-31 07:00:00,4.12,4.23,4.09,4.19,228220
2018-11-01 07:00:00,4.23,4.23,4.12,4.16,56950
2018-11-02 07:00:00,4.14,4.19,4.11,4.16,64630
2018-11-05 07:00:00,4.16,4.16,4.04,4.04,59890
2018-11-06 07:00:00,4.04,4.09,4.04,4.04,103140
2018-11-07 07:00:00,4.04,4.14,4.02,4.05,50290
2018-11-08 07:00:00,4.05,4.11,3.95,3.95,67450
2018-11-09 07:00:00,3.91,4.02,3.77,3.88,145180
2018-11-12 07:00:00,3.79,3.98,3.74,3.81,28670
2018-11-13 07:00:00,3.7,3.79,3.67,3.67,74950
2018-11-14 07:00:00,3.67,3.67,3.49,3.67,416210
2018-11-15 07:00:00,3.53,3.63,3.51,3.56,104160
2018-11-16 07:00:00,3.56,3.65,3.56,3.62,66270
2018-11-19 07:00:00,3.62,3.67,3.6,3.67,53590
2018-11-20 07:00:00,3.63,3.67,3.56,3.62,20710
2018-11-21 07:00:00,3.56,3.63,3.56,3.63,17420
2018-11-22 07:00:00,3.67,3.67,3.58,3.63,54310
2018-11-23 07:00:00,3.58,3.67,3.56,3.67,51500
2018-11-26 07:00:00,3.67,3.67,3.6,3.6,4810
2018-11-27 07:00:00,3.62,3.63,3.58,3.63,24900
2018-11-28 07:00:00,3.63,3.63,3.58,3.58,25890
2018-11-29 07:00:00,3.63,3.63,3.58,3.58,36230
2018-11-30 07:00:00,3.63,3.65,3.56,3.56,15630
2018-12-03 07:00:00,3.63,3.69,3.56,3.69,284170
2018-12-04 07:00:00,3.77,3.79,3.69,3.72,133370
2018-12-05 07:00:00,3.69,3.76,3.65,3.72,58820
2018-12-06 07:00:00,3.72,3.72,3.65,3.67,48890
2018-12-07 07:00:00,3.65,3.79,3.65,3.77,164930
2018-12-10 07:00:00,3.74,3.83,3.7,3.76,37920
2018-12-11 07:00:00,3.72,3.76,3.69,3.74,20590
2018-12-12 07:00:00,3.76,3.81,3.7,3.74,83570
2018-12-13 07:00:00,3.74,3.79,3.69,3.69,41520
2018-12-14 07:00:00,3.69,3.74,3.63,3.69,64830
2018-12-17 07:00:00,3.65,3.65,3.58,3.58,132800
2018-12-18 07:00:00,3.58,3.6,3.55,3.56,39910
2018-12-19 07:00:00,3.56,3.65,3.49,3.56,41360
2018-12-20 07:00:00,3.49,3.56,3.49,3.56,24610
2018-12-21 07:00:00,3.49,3.55,3.48,3.49,47100
2018-12-24 07:00:00,3.46,3.55,3.46,3.48,16220
2018-12-25 07:00:00,3.25,3.41,3.25,3.41,85710
2018-12-26 07:00:00,3.41,3.46,3.25,3.46,23380
2018-12-27 07:00:00,3.46,3.53,3.42,3.46,51050
2018-12-28 07:00:00,3.46,3.46,3.42,3.46,38810
2019-01-02 07:00:00,3.42,3.45,3.32,3.45,63990
2019-01-03 07:00:00,3.32,3.44,3.23,3.39,78880
2019-01-04 07:00:00,3.25,3.31,3.18,3.31,167050
2019-01-07 07:00:00,3.32,3.32,3.25,3.3,18820
2019-01-08 07:00:00,3.25,3.28,3.14,3.26,43360
