time,open,high,low,close,volume
2018-08-09 07:00:00,5.0,5.0,4.83,4.83,27770
2018-08-10 07:00:00,5.0,5.0,4.85,4.85,8400
2018-08-13 07:00:00,4.85,4.96,4.85,4.96,33200
2018-08-14 07:00:00,4.96,4.96,4.96,4.96,177
2018-08-15 07:00:00,5.0,5.0,4.96,5.0,14000
2018-08-16 07:00:00,5.0,5.0,4.87,4.96,19406
2018-08-17 07:00:00,4.96,5.27,4.96,5.27,146665
2018-08-20 07:00:00,5.29,5.29,5.2,5.27,42470
2018-08-21 07:00:00,5.29,5.66,5.27,5.51,97336
2018-08-22 07:00:00,5.51,5.53,5.33,5.51,47560
2018-08-23 07:00:00,5.51,5.58,5.37,5.45,25695
2018-08-24 07:00:00,5.33,5.33,5.18,5.31,64800
2018-08-27 07:00:00,5.29,5.33,5.24,5.29,27644
2018-08-28 07:00:00,5.31,5.47,5.31,5.47,51569
2018-08-29 07:00:00,5.58,5.97,5.41,5.78,534794
2018-08-30 07:00:00,5.78,5.86,5.68,5.84,248774
2018-08-31 07:00:00,5.84,5.84,5.78,5.84,125949
2018-09-04 07:00:00,5.78,5.84,5.72,5.84,93500
2018-09-05 07:00:00,5.84,5.84,5.74,5.76,71629
2018-09-06 07:00:00,5.99,5.99,5.68,5.97,105350
2018-09-07 07:00:00,5.97,5.99,5.82,5.82,140606
2018-09-10 07:00:00,5.91,5.91,5.76,5.8,38630
2018-09-11 07:00:00,5.82,5.91,5.74,5.74,74150
2018-09-12 07:00:00,5.88,5.88,5.7,5.74,15259
2018-09-13 07:00:00,5.74,5.78,5.7,5.78,30800
2018-09-14 07:00:00,5.78,5.88,5.74,5.8,100748
2018-09-17 07:00:00,5.78,5.99,5.78,5.88,178922
2018-09-18 07:00:00,5.82,5.97,5.82,5.82,92800
2018-09-19 07:00:00,5.93,5.93,5.8,5.8,96140
2018-09-20 07:00:00,5.88,6.3,5.82,6.17,354614
2018-09-21 07:00:00,6.2,6.4,6.09,6.2,98639
2018-09-24 07:00:00,6.24,6.24,6.11,6.13,108880
2018-09-25 07:00:00,6.13,6.2,6.05,6.13,194575
2018-09-26 07:00:00,6.2,6.2,5.88,5.95,237346
2018-09-27 07:00:00,5.95,5.99,5.88,5.99,53646
2018-09-28 07:00:00,6.05,6.15,6.05,6.05,111607
2018-10-01 07:00:00,6.09,6.2,5.99,5.99,109216
2018-10-02 07:00:00,6.11,6.44,6.09,6.32,213559
2018-10-03 07:00:00,6.32,6.42,6.24,6.26,161211
