time,open,high,low,close,volume
2018-08-09 07:00:00,5.97,6.13,5.97,6.13,130800
2018-08-10 07:00:00,6.13,6.37,6.05,6.05,41800
2018-08-13 07:00:00,6.13,6.21,6.13,6.13,32600
2018-08-14 07:00:00,6.21,6.29,6.21,6.21,42600
2018-08-15 07:00:00,6.37,6.37,6.21,6.21,27600
2018-08-16 07:00:00,6.21,6.21,6.05,6.21,43300
2018-08-17 07:00:00,6.13,6.45,6.13,6.29,65800
2018-08-20 07:00:00,6.37,6.37,6.29,6.37,59800
2018-08-21 07:00:00,6.37,6.77,6.37,6.77,68700
2018-08-22 07:00:00,6.29,6.53,5.81,6.53,23800
2018-08-23 07:00:00,6.53,6.53,6.45,6.53,3400
2018-08-24 07:00:00,6.69,6.85,6.61,6.77,66400
2018-08-27 07:00:00,6.93,7.16,6.77,7.16,75200
2018-08-28 07:00:00,7.01,7.01,6.77,6.77,17800
2018-08-29 07:00:00,6.61,7.09,6.61,6.93,12800
2018-08-30 07:00:00,6.69,6.77,6.37,6.37,29300
2018-08-31 07:00:00,6.37,6.69,6.37,6.61,34900
2018-09-04 07:00:00,6.61,6.69,6.53,6.69,60300
2018-09-05 07:00:00,7.01,7.32,6.85,6.85,32100
2018-09-06 07:00:00,6.21,6.93,6.21,6.61,44900
2018-09-07 07:00:00,6.69,7.24,6.61,7.09,120400
2018-09-10 07:00:00,7.09,7.16,7.01,7.01,21400
2018-09-11 07:00:00,7.16,7.24,7.09,7.16,61500
2018-09-12 07:00:00,7.16,7.32,7.09,7.16,61600
2018-09-13 07:00:00,7.16,7.16,7.01,7.16,43900
2018-09-17 07:00:00,6.85,7.4,6.61,7.16,47400
2018-09-18 07:00:00,6.77,7.64,6.77,7.24,15200
2018-09-19 07:00:00,7.48,7.48,7.32,7.32,11400
2018-09-20 07:00:00,7.4,7.4,7.32,7.32,17200
2018-09-21 07:00:00,7.16,7.24,7.16,7.24,11400
2018-09-24 07:00:00,7.24,7.24,7.24,7.24,13000
2018-09-25 07:00:00,7.16,7.32,7.09,7.32,50800
2018-09-26 07:00:00,7.16,7.24,7.16,7.24,29800
2018-09-27 07:00:00,7.16,7.56,7.16,7.24,22100
2018-09-28 07:00:00,6.85,7.48,6.85,7.32,8300
2018-10-01 07:00:00,7.24,7.56,7.16,7.56,102100
2018-10-02 07:00:00,7.4,7.4,7.32,7.4,20400
2018-10-03 07:00:00,7.4,7.48,7.4,7.48,30000
2018-10-04 07:00:00,7.64,7.64,7.48,7.48,2920
2018-10-05 07:00:00,7.48,7.48,7.32,7.32,15500
2018-10-09 07:00:00,7.32,7.64,7.32,7.64,91000
2018-10-10 07:00:00,7.72,7.72,7.64,7.72,25300
