time,open,high,low,close,volume
2018-08-09 07:00:00,4.56,4.64,4.52,4.56,531460
2018-08-10 07:00:00,4.54,4.67,4.45,4.67,618270
2018-08-13 07:00:00,4.65,4.8,4.6,4.79,826860
2018-08-14 07:00:00,4.75,4.79,4.61,4.71,566200
2018-08-15 07:00:00,4.71,4.79,4.59,4.62,732710
2018-08-16 07:00:00,4.62,4.73,4.54,4.67,677060
2018-08-17 07:00:00,4.67,4.77,4.67,4.69,462850
2018-08-20 07:00:00,4.69,4.8,4.65,4.71,528900
2018-08-21 07:00:00,4.71,4.84,4.69,4.77,637390
2018-08-22 07:00:00,4.77,4.9,4.77,4.82,549270
2018-08-23 07:00:00,4.82,4.84,4.76,4.8,484050
2018-08-24 07:00:00,4.79,4.8,4.71,4.8,479480
2018-08-27 07:00:00,4.8,4.92,4.78,4.88,839980
2018-08-28 07:00:00,4.88,5.0,4.83,5.0,1001180
2018-08-29 07:00:00,4.98,5.03,4.9,4.96,858990
2018-08-30 07:00:00,4.96,4.96,4.82,4.92,871520
2018-08-31 07:00:00,4.92,4.96,4.82,4.92,862310
2018-09-04 07:00:00,4.88,4.92,4.79,4.79,759550
2018-09-05 07:00:00,4.75,4.79,4.67,4.77,709240
2018-09-06 07:00:00,4.77,4.8,4.69,4.79,740000
2018-09-07 07:00:00,4.79,4.88,4.77,4.88,823140
2018-09-10 07:00:00,4.88,4.88,4.79,4.88,729140
2018-09-11 07:00:00,4.88,4.92,4.84,4.9,799240
2018-09-12 07:00:00,4.92,4.93,4.87,4.91,730220
2018-09-13 07:00:00,4.92,4.92,4.86,4.91,707760
2018-09-14 07:00:00,4.92,4.94,4.85,4.9,616640
2018-09-17 07:00:00,4.9,4.9,4.8,4.88,527760
2018-09-18 07:00:00,4.86,5.11,4.82,5.09,1797750
2018-09-19 07:00:00,5.11,5.2,5.0,5.03,1164040
2018-09-20 07:00:00,5.01,5.09,4.98,5.09,818160
2018-09-21 07:00:00,5.07,5.2,4.99,5.2,1634490
2018-09-24 07:00:00,5.2,5.24,5.06,5.18,1520090
2018-09-25 07:00:00,5.16,5.18,5.06,5.12,755990
2018-09-26 07:00:00,5.09,5.16,5.06,5.13,723200
2018-09-27 07:00:00,5.15,5.23,5.11,5.21,711010
2018-09-28 07:00:00,5.2,5.2,5.16,5.16,574170
2018-10-01 07:00:00,5.15,5.16,5.01,5.01,648230
2018-10-02 07:00:00,5.0,5.03,4.95,5.0,724370
2018-10-03 07:00:00,5.0,5.11,4.99,5.11,570730
2018-10-04 07:00:00,5.11,5.16,5.09,5.12,697900
2018-10-05 07:00:00,5.11,5.13,5.08,5.1,506890
2018-10-08 07:00:00,5.09,5.1,5.0,5.0,951230
2018-10-09 07:00:00,5.0,5.11,5.0,5.08,1144190
2018-10-10 07:00:00,5.08,5.11,5.01,5.03,410940
2018-10-11 07:00:00,4.92,4.97,4.68,4.73,625120
2018-10-12 07:00:00,4.64,4.82,4.63,4.79,482520
2018-10-15 07:00:00,4.77,4.8,4.67,4.73,403150
2018-10-16 07:00:00,4.73,4.77,4.69,4.76,477140
2018-10-17 07:00:00,4.77,4.82,4.76,4.8,490550
2018-10-18 07:00:00,4.79,4.79,4.72,4.73,443690
2018-10-19 07:00:00,4.67,4.8,4.62,4.8,603530
2018-10-22 07:00:00,4.84,4.98,4.82,4.83,582130
2018-10-23 07:00:00,4.82,4.83,4.65,4.71,560190
2018-10-24 07:00:00,4.69,4.75,4.62,4.62,629870
2018-10-25 07:00:00,4.54,4.56,4.37,4.51,640330
2018-10-26 07:00:00,4.54,4.6,4.48,4.48,715990
2018-10-29 07:00:00,4.46,4.5,4.41,4.45,543820
2018-10-30 07:00:00,4.43,4.5,4.41,4.45,440450
2018-10-31 07:00:00,4.46,4.58,4.46,4.54,555450
2018-11-01 07:00:00,4.52,4.52,4.46,4.46,385480
2018-11-02 07:00:00,4.45,4.65,4.45,4.64,746950
2018-11-05 07:00:00,4.6,4.62,4.56,4.58,555050
2018-11-06 07:00:00,4.6,4.64,4.58,4.6,458010
2018-11-07 07:00:00,4.58,4.6,4.45,4.46,581020
2018-11-08 07:00:00,4.5,4.52,4.48,4.5,485280
2018-11-09 07:00:00,4.51,4.54,4.48,4.5,561530
2018-11-12 07:00:00,4.5,4.62,4.48,4.6,679230
2018-11-13 07:00:00,4.54,4.62,4.5,4.54,497710
2018-11-14 07:00:00,4.54,4.6,4.48,4.56,495460
2018-11-15 07:00:00,4.54,4.58,4.5,4.54,237570
2018-11-16 07:00:00,4.56,4.6,4.54,4.54,306290
2018-11-19 07:00:00,4.56,4.71,4.56,4.69,712750
2018-11-20 07:00:00,4.69,4.71,4.57,4.71,910810
2018-11-21 07:00:00,4.64,4.77,4.62,4.77,606160
2018-11-22 07:00:00,4.8,4.8,4.68,4.73,682330
2018-11-23 07:00:00,4.71,4.73,4.64,4.65,925830
2018-11-26 07:00:00,4.64,4.71,4.6,4.71,531920
2018-11-27 07:00:00,4.71,4.77,4.6,4.62,810290
2018-11-28 07:00:00,4.64,4.64,4.54,4.58,533200
2018-11-29 07:00:00,4.62,4.66,4.51,4.51,673160
2018-11-30 07:00:00,4.5,4.56,4.45,4.52,539660
2018-12-03 07:00:00,4.56,4.65,4.54,4.65,921260
2018-12-04 07:00:00,4.64,4.65,4.55,4.65,910300
2018-12-05 07:00:00,4.62,4.62,4.52,4.6,646330
2018-12-06 07:00:00,4.58,4.64,4.56,4.64,328250
2018-12-07 07:00:00,4.62,4.64,4.56,4.58,481200
2018-12-10 07:00:00,4.56,4.6,4.54,4.56,329840
2018-12-11 07:00:00,4.57,4.62,4.54,4.6,314470
2018-12-12 07:00:00,4.6,4.62,4.54,4.58,438150
2018-12-13 07:00:00,4.58,4.63,4.58,4.62,582090
2018-12-14 07:00:00,4.64,4.67,4.62,4.65,1315170
2018-12-17 07:00:00,4.65,4.65,4.58,4.58,495480
2018-12-18 07:00:00,4.54,4.56,4.45,4.52,418660
2018-12-19 07:00:00,4.5,4.52,4.39,4.39,511710
2018-12-20 07:00:00,4.39,4.45,4.26,4.43,766510
2018-12-21 07:00:00,4.41,4.43,4.3,4.39,397160
2018-12-24 07:00:00,4.33,4.43,4.3,4.43,574820
2018-12-25 07:00:00,4.33,4.41,4.26,4.35,478700
2018-12-26 07:00:00,4.39,4.41,4.28,4.31,344200
2018-12-27 07:00:00,4.37,4.39,4.28,4.34,356200
2018-12-28 07:00:00,4.36,4.37,4.28,4.34,323720
2019-01-02 07:00:00,4.33,4.35,4.23,4.26,418180
2019-01-03 07:00:00,4.22,4.26,4.15,4.16,366800
2019-01-04 07:00:00,4.12,4.16,4.02,4.16,520930
2019-01-07 07:00:00,4.2,4.26,4.12,4.25,532100
2019-01-08 07:00:00,4.22,4.25,4.21,4.22,96180
2019-01-09 07:00:00,4.21,4.26,4.16,4.21,324780
2019-01-10 07:00:00,4.22,4.28,4.2,4.28,287750
2019-01-11 07:00:00,4.24,4.3,4.23,4.3,226560
2019-01-14 07:00:00,4.28,4.3,4.22,4.26,118850
2019-01-15 07:00:00,4.24,4.28,4.18,4.27,481010
2019-01-16 07:00:00,4.28,4.35,4.26,4.31,420300
2019-01-17 07:00:00,4.31,4.33,4.25,4.3,397290
2019-01-18 07:00:00,4.28,4.31,4.25,4.28,197670
2019-01-21 07:00:00,4.28,4.41,4.24,4.41,539810
2019-01-22 07:00:00,4.41,4.45,4.35,4.35,465320
2019-01-23 07:00:00,4.35,4.39,4.26,4.37,298310
2019-01-24 07:00:00,4.35,4.39,4.3,4.35,135560
2019-01-25 07:00:00,4.39,4.39,4.3,4.31,140380
2019-01-28 07:00:00,4.35,4.35,4.28,4.31,159290
2019-01-29 07:00:00,4.3,4.33,4.24,4.31,139680
2019-01-30 07:00:00,4.28,4.31,4.24,4.3,309580
2019-01-31 07:00:00,4.3,4.43,4.3,4.41,655360
2019-02-01 07:00:00,4.43,4.54,4.42,4.54,824070
2019-02-11 07:00:00,4.55,4.58,4.48,4.54,333150
2019-02-12 07:00:00,4.54,4.58,4.47,4.58,1151470
2019-02-13 07:00:00,4.6,4.62,4.53,4.54,572380
2019-02-14 07:00:00,4.52,4.58,4.49,4.52,556190
2019-02-15 07:00:00,4.52,4.58,4.46,4.52,700010
2019-02-18 07:00:00,4.5,4.58,4.49,4.56,487780
2019-02-19 07:00:00,4.56,4.6,4.5,4.52,367070
2019-02-20 07:00:00,4.5,4.54,4.46,4.48,414940
2019-02-21 07:00:00,4.5,4.52,4.45,4.48,556260
2019-02-22 07:00:00,4.48,4.64,4.48,4.6,962200
2019-02-25 07:00:00,4.6,4.64,4.52,4.59,457960
2019-02-26 07:00:00,4.58,4.62,4.51,4.54,372180
2019-02-27 07:00:00,4.54,4.62,4.5,4.52,638900
2019-02-28 07:00:00,4.5,4.53,4.43,4.43,271000
2019-03-01 07:00:00,4.49,4.53,4.39,4.39,425660
2019-03-04 07:00:00,4.39,4.43,4.31,4.39,434850
2019-03-05 07:00:00,4.39,4.39,4.36,4.39,227140
2019-03-06 07:00:00,4.39,4.45,4.37,4.4,335400
2019-03-07 07:00:00,4.43,4.44,4.37,4.38,147170
2019-03-08 07:00:00,4.37,4.38,4.3,4.34,213710
2019-03-11 07:00:00,4.35,4.35,4.26,4.3,241210
2019-03-12 07:00:00,4.28,4.33,4.26,4.3,276550
2019-03-13 07:00:00,4.3,4.45,4.28,4.31,264660
2019-03-14 07:00:00,4.31,4.39,4.3,4.39,186860
2019-03-15 07:00:00,4.39,4.43,4.37,4.41,216690
2019-03-18 07:00:00,4.43,4.52,4.43,4.52,571830
