time,open,high,low,close,volume
2018-08-09 07:00:00,7.2,7.73,7.18,7.66,2340880
2018-08-10 07:00:00,7.69,7.71,7.55,7.59,1224940
2018-08-13 07:00:00,7.62,7.83,7.57,7.62,1699830
2018-08-14 07:00:00,7.81,7.81,7.67,7.67,1250210
2018-08-15 07:00:00,7.67,7.69,7.52,7.52,1092560
2018-08-16 07:00:00,7.32,7.54,7.32,7.47,762080
2018-08-17 07:00:00,7.52,7.76,7.52,7.74,1195940
2018-08-20 07:00:00,7.74,8.2,7.72,8.11,3190220
2018-08-21 07:00:00,8.06,8.25,8.06,8.15,1396440
2018-08-22 07:00:00,8.13,8.42,8.13,8.25,1590470
2018-08-23 07:00:00,8.15,8.28,8.13,8.13,1083800
2018-08-24 07:00:00,8.13,8.5,8.06,8.35,1550180
2018-08-27 07:00:00,8.42,8.57,8.25,8.3,1460270
2018-08-28 07:00:00,8.35,8.4,8.23,8.25,1160720
2018-08-29 07:00:00,8.25,8.45,8.2,8.35,1342500
2018-08-30 07:00:00,8.28,8.45,8.28,8.4,1144140
2018-08-31 07:00:00,8.45,8.72,8.42,8.52,1861800
2018-09-04 07:00:00,8.55,8.72,8.37,8.37,1072250
2018-09-05 07:00:00,8.35,8.42,8.18,8.18,1639130
2018-09-06 07:00:00,8.3,8.3,8.06,8.06,958240
2018-09-07 07:00:00,8.06,8.2,8.01,8.15,679850
2018-09-10 07:00:00,8.18,8.25,7.91,7.96,1405240
2018-09-11 07:00:00,7.96,8.15,7.91,8.15,1687080
2018-09-12 07:00:00,8.25,8.42,8.18,8.3,1592330
2018-09-13 07:00:00,8.37,8.4,8.28,8.35,633830
2018-09-14 07:00:00,8.4,8.42,8.2,8.35,1023380
2018-09-17 07:00:00,8.25,8.3,8.15,8.15,784500
2018-09-18 07:00:00,8.01,8.23,7.98,8.23,1784550
2018-09-19 07:00:00,8.25,8.5,8.2,8.28,2806830
2018-09-20 07:00:00,8.3,8.64,8.3,8.62,2648540
2018-09-21 07:00:00,8.64,8.69,8.45,8.64,2304770
2018-09-24 07:00:00,8.79,8.79,8.55,8.62,2067020
2018-09-25 07:00:00,8.62,8.96,8.55,8.77,2965510
2018-09-26 07:00:00,8.79,8.96,8.77,8.77,2331850
2018-09-27 07:00:00,8.77,8.84,8.72,8.81,1415180
2018-09-28 07:00:00,8.79,8.84,8.67,8.67,2019590
2018-10-01 07:00:00,8.62,8.69,8.45,8.52,2019540
2018-10-02 07:00:00,8.45,8.64,8.42,8.5,1167700
2018-10-03 07:00:00,8.5,8.69,8.5,8.59,987810
2018-10-04 07:00:00,8.69,8.79,8.59,8.79,1304560
2018-10-05 07:00:00,8.74,8.86,8.64,8.69,1902650
2018-10-08 07:00:00,8.59,8.89,8.55,8.69,3366990
2018-10-09 07:00:00,8.69,8.79,8.67,8.72,2863320
2018-10-10 07:00:00,8.72,8.79,8.57,8.57,1476310
2018-10-11 07:00:00,8.11,8.3,7.98,7.98,6901570
2018-10-12 07:00:00,7.81,8.13,7.69,8.06,1240530
2018-10-15 07:00:00,8.06,8.06,7.86,7.89,958320
2018-10-16 07:00:00,7.91,8.06,7.84,8.01,1996370
2018-10-17 07:00:00,8.06,8.2,8.06,8.15,1104280
2018-10-18 07:00:00,8.06,8.15,8.06,8.11,865300
2018-10-19 07:00:00,7.86,8.11,7.86,8.06,1283640
2018-10-22 07:00:00,8.11,8.11,7.5,7.5,7334150
2018-10-23 07:00:00,7.32,7.47,7.03,7.42,1906270
2018-10-24 07:00:00,7.28,7.42,7.01,7.01,1265460
2018-10-25 07:00:00,6.59,7.11,6.59,7.11,1517540
2018-10-26 07:00:00,7.23,7.25,6.84,6.84,895590
2018-10-29 07:00:00,6.93,6.93,6.69,6.71,917090
2018-10-30 07:00:00,6.69,6.84,6.45,6.67,836340
2018-10-31 07:00:00,6.71,6.93,6.71,6.93,790110
2018-11-01 07:00:00,6.93,7.01,6.79,6.79,700930
2018-11-02 07:00:00,6.84,7.03,6.84,6.98,601390
2018-11-05 07:00:00,6.98,7.08,6.91,7.08,462510
2018-11-06 07:00:00,7.13,7.3,7.13,7.2,976720
2018-11-07 07:00:00,7.2,7.2,6.93,7.03,513590
2018-11-08 07:00:00,7.23,7.23,7.06,7.08,289610
2018-11-09 07:00:00,7.08,7.18,6.93,6.93,416080
2018-11-12 07:00:00,6.93,7.08,6.86,6.96,750960
2018-11-13 07:00:00,6.93,7.11,6.86,6.96,885810
2018-11-14 07:00:00,6.96,7.11,6.96,6.98,477000
2018-11-15 07:00:00,6.89,7.08,6.89,6.96,562910
2018-11-16 07:00:00,7.03,7.13,6.98,7.06,734580
2018-11-19 07:00:00,7.11,7.52,7.11,7.52,1075710
2018-11-20 07:00:00,7.52,7.52,7.4,7.42,625260
2018-11-21 07:00:00,7.3,7.59,7.25,7.52,1090450
2018-11-22 07:00:00,7.62,7.64,7.47,7.52,837390
2018-11-23 07:00:00,7.42,7.57,7.37,7.52,772920
2018-11-26 07:00:00,7.45,7.5,7.42,7.47,611080
2018-11-27 07:00:00,7.47,7.52,7.42,7.47,1289020
2018-11-28 07:00:00,7.47,7.54,7.42,7.5,905990
2018-11-29 07:00:00,7.5,7.62,7.47,7.52,1119700
2018-11-30 07:00:00,7.57,7.62,7.47,7.62,1330190
2018-12-03 07:00:00,7.74,7.79,7.67,7.72,1273000
2018-12-04 07:00:00,7.67,7.74,7.54,7.54,1285730
2018-12-05 07:00:00,7.47,7.54,7.35,7.5,1635120
2018-12-06 07:00:00,7.47,7.57,7.32,7.37,1426320
2018-12-07 07:00:00,7.47,7.69,7.45,7.57,2192930
2018-12-10 07:00:00,7.47,7.57,7.45,7.5,722160
2018-12-11 07:00:00,7.5,7.69,7.47,7.67,1703690
2018-12-12 07:00:00,7.76,7.81,7.69,7.79,1945900
2018-12-13 07:00:00,7.81,8.03,7.79,7.96,2013890
2018-12-14 07:00:00,7.98,7.98,7.74,7.76,1317490
2018-12-17 07:00:00,7.69,7.74,7.52,7.52,1113550
2018-12-18 07:00:00,7.37,7.52,7.18,7.35,1909400
2018-12-19 07:00:00,7.37,7.52,7.35,7.37,658110
2018-12-20 07:00:00,7.37,7.52,7.37,7.42,712020
2018-12-21 07:00:00,7.42,7.54,7.35,7.54,736670
2018-12-24 07:00:00,7.52,7.57,7.4,7.4,446180
2018-12-25 07:00:00,7.23,7.37,6.96,7.37,2195490
2018-12-26 07:00:00,7.42,7.42,7.08,7.08,638350
2018-12-27 07:00:00,7.28,7.42,7.18,7.42,1515510
2018-12-28 07:00:00,7.32,7.81,7.32,7.57,3848030
2019-01-02 07:00:00,7.59,7.64,7.32,7.32,580840
2019-01-03 07:00:00,7.52,7.52,7.23,7.25,1106600
2019-01-04 07:00:00,7.15,7.47,7.15,7.42,646620
2019-01-07 07:00:00,7.57,7.57,7.37,7.42,402340
2019-01-08 07:00:00,7.52,7.62,7.42,7.52,1239630
