time,open,high,low,close,volume
2018-08-09 07:00:00,18.07,18.07,17.68,17.75,1651
2018-08-10 07:00:00,17.58,17.58,16.23,16.77,24000
2018-08-13 07:00:00,17.64,18.18,17.62,18.18,11010
2018-08-14 07:00:00,17.97,18.07,17.86,18.07,12200
2018-08-15 07:00:00,18.07,18.07,17.53,18.03,1800
2018-08-16 07:00:00,17.58,17.99,17.51,17.97,14300
2018-08-17 07:00:00,17.64,17.97,17.64,17.97,1700
2018-08-20 07:00:00,17.79,17.79,17.75,17.75,2000
2018-08-21 07:00:00,17.97,18.61,17.97,18.61,4800
2018-08-22 07:00:00,18.61,18.61,18.61,18.61,100
2018-08-23 07:00:00,17.97,17.97,17.97,17.97,500
2018-08-24 07:00:00,18.18,18.18,17.97,17.97,1451
2018-08-27 07:00:00,17.97,17.97,17.75,17.79,2043
2018-08-28 07:00:00,17.88,18.18,17.88,18.18,1320
2018-08-29 07:00:00,17.9,18.18,17.88,18.18,1100
2018-08-30 07:00:00,17.9,17.9,17.88,17.88,650
2018-08-31 07:00:00,17.97,17.97,17.88,17.88,5110
2018-09-04 07:00:00,17.88,17.88,17.88,17.88,23
2018-09-05 07:00:00,17.88,17.88,17.77,17.77,1811
2018-09-06 07:00:00,17.75,17.77,17.75,17.75,3300
2018-09-07 07:00:00,17.75,17.75,17.36,17.75,1800
2018-09-11 07:00:00,17.38,17.64,17.38,17.62,3400
2018-09-12 07:00:00,17.51,17.53,17.32,17.53,6200
2018-09-13 07:00:00,17.53,17.53,17.53,17.53,500
2018-09-14 07:00:00,17.42,17.42,17.12,17.12,14300
2018-09-17 07:00:00,17.1,17.1,16.88,16.97,3800
2018-09-18 07:00:00,16.97,16.97,16.97,16.97,600
2018-09-19 07:00:00,17.12,17.88,16.95,17.88,3500
2018-09-20 07:00:00,17.32,17.49,17.1,17.49,3800
2018-09-21 07:00:00,17.32,17.42,17.32,17.42,2200
2018-09-24 07:00:00,17.53,17.53,17.32,17.51,1700
2018-09-25 07:00:00,17.53,17.53,17.42,17.47,2300
2018-09-26 07:00:00,17.4,17.53,17.4,17.51,7000
2018-09-27 07:00:00,17.32,17.49,17.32,17.38,12800
2018-09-28 07:00:00,17.38,18.18,17.38,17.75,10410
2018-10-01 07:00:00,17.97,18.36,17.97,18.23,13600
2018-10-02 07:00:00,18.4,18.7,18.29,18.29,3500
2018-10-03 07:00:00,18.4,18.72,18.1,18.29,10400
2018-10-04 07:00:00,18.4,19.44,18.29,19.24,54955
2018-10-05 07:00:00,19.24,19.37,19.05,19.24,15944
2018-10-08 07:00:00,19.05,19.05,18.51,18.61,21200
2018-10-09 07:00:00,18.59,18.72,18.57,18.66,13300
2018-10-10 07:00:00,18.2,18.61,18.2,18.59,11500
2018-10-11 07:00:00,18.18,18.18,17.32,17.53,15915
2018-10-12 07:00:00,17.53,17.75,17.32,17.75,7800
2018-10-15 07:00:00,17.64,17.75,17.53,17.75,13415
2018-10-16 07:00:00,17.53,18.29,17.53,17.77,16215
2018-10-17 07:00:00,18.54,18.54,18.11,18.4,15200
2018-10-18 07:00:00,18.4,18.6,17.75,17.75,6900
2018-10-19 07:00:00,17.97,18.11,17.86,18.0,13300
2018-10-22 07:00:00,19.79,19.79,19.32,19.66,91245
2018-10-23 07:00:00,19.66,19.66,18.89,19.21,12900
2018-10-24 07:00:00,19.21,19.52,18.76,18.78,19700
2018-10-25 07:00:00,18.78,18.78,18.2,18.42,29300
2018-10-26 07:00:00,18.54,18.65,18.42,18.65,3600
2018-10-29 07:00:00,18.42,18.76,18.42,18.58,7012
2018-10-30 07:00:00,18.65,18.65,18.42,18.65,10100
2018-10-31 07:00:00,18.65,18.65,18.42,18.44,16200
2018-11-01 07:00:00,18.65,18.65,18.33,18.33,5512
2018-11-02 07:00:00,18.33,18.54,18.26,18.42,17700
2018-11-05 07:00:00,18.22,18.62,18.2,18.6,2410
2018-11-06 07:00:00,18.38,18.42,18.33,18.36,5100
2018-11-07 07:00:00,18.54,18.54,18.22,18.42,10700
2018-11-08 07:00:00,18.42,18.42,18.2,18.31,8900
2018-11-09 07:00:00,18.26,18.51,18.2,18.2,3900
2018-11-12 07:00:00,18.2,18.96,18.2,18.92,24600
2018-11-13 07:00:00,18.54,18.89,18.31,18.44,29200
2018-11-14 07:00:00,18.47,18.87,18.44,18.47,5600
2018-11-15 07:00:00,18.83,18.83,18.65,18.65,4800
2018-11-16 07:00:00,18.44,18.78,18.44,18.78,18751
2018-11-19 07:00:00,18.87,18.96,18.78,18.87,5210
2018-11-20 07:00:00,18.94,19.12,18.87,19.1,8910
2018-11-21 07:00:00,19.1,19.1,18.87,19.1,6636
2018-11-22 07:00:00,18.98,19.1,18.98,19.1,12700
2018-11-23 07:00:00,19.1,19.1,18.98,18.98,9600
2018-11-26 07:00:00,18.96,19.1,18.96,18.98,12610
2018-11-27 07:00:00,19.21,19.21,18.98,19.16,7920
2018-11-28 07:00:00,19.19,19.19,18.98,18.98,4330
2018-11-29 07:00:00,19.1,19.73,19.1,19.43,31620
2018-11-30 07:00:00,19.55,19.64,19.41,19.64,10750
2018-12-03 07:00:00,19.77,20.13,19.77,20.0,12700
2018-12-04 07:00:00,20.22,20.22,20.0,20.0,5000
2018-12-05 07:00:00,20.0,20.08,20.0,20.08,9127
2018-12-06 07:00:00,20.0,20.0,19.59,19.95,1000
2018-12-07 07:00:00,19.97,19.97,19.55,19.55,7803
2018-12-10 07:00:00,18.92,19.55,18.87,19.1,4210
2018-12-11 07:00:00,19.07,19.21,18.89,19.21,2020
2018-12-12 07:00:00,19.1,19.3,19.03,19.1,4860
2018-12-13 07:00:00,19.1,19.16,18.89,19.16,4920
2018-12-14 07:00:00,19.01,19.14,18.98,19.14,1700
