time,open,high,low,close,volume
2018-08-09 07:00:00,4.47,4.67,4.38,4.54,181200
2018-08-10 07:00:00,4.54,4.61,4.44,4.54,170900
2018-08-13 07:00:00,4.54,4.71,4.51,4.67,213800
2018-08-14 07:00:00,4.64,4.74,4.54,4.57,148800
2018-08-15 07:00:00,4.54,4.64,4.47,4.54,140800
2018-08-16 07:00:00,4.64,4.64,4.34,4.44,169200
2018-08-17 07:00:00,4.41,4.47,4.28,4.44,164800
2018-08-20 07:00:00,4.41,4.61,4.38,4.61,208500
2018-08-21 07:00:00,4.57,4.71,4.54,4.71,188900
2018-08-22 07:00:00,4.71,4.8,4.61,4.64,178300
2018-08-23 07:00:00,4.61,4.67,4.54,4.61,164800
2018-08-24 07:00:00,4.57,4.61,4.44,4.51,160200
2018-08-27 07:00:00,4.51,4.57,4.44,4.51,136600
2018-08-28 07:00:00,4.51,4.64,4.44,4.61,208400
2018-08-29 07:00:00,4.57,4.71,4.51,4.61,171200
2018-08-30 07:00:00,4.64,4.64,4.51,4.54,177800
2018-08-31 07:00:00,4.54,4.57,4.51,4.54,140100
2018-09-04 07:00:00,4.54,4.61,4.51,4.61,190100
2018-09-05 07:00:00,4.57,4.61,4.54,4.57,162300
2018-09-06 07:00:00,4.61,4.67,4.57,4.67,190300
2018-09-07 07:00:00,4.64,4.67,4.57,4.64,138700
2018-09-10 07:00:00,4.64,4.71,4.61,4.71,204000
2018-09-11 07:00:00,4.71,4.77,4.64,4.77,189900
2018-09-12 07:00:00,4.77,5.23,4.47,5.23,1158800
2018-09-13 07:00:00,5.26,5.33,4.97,5.1,377200
2018-09-14 07:00:00,4.61,4.94,4.61,4.61,185800
2018-09-17 07:00:00,4.44,4.54,4.15,4.15,107500
2018-09-18 07:00:00,3.88,4.08,3.78,3.95,212400
2018-09-19 07:00:00,3.92,3.98,3.85,3.92,138300
2018-09-20 07:00:00,3.95,4.18,3.88,4.15,300700
2018-09-21 07:00:00,4.15,4.15,3.98,4.05,197400
2018-09-24 07:00:00,4.05,4.08,3.95,3.98,221800
2018-09-25 07:00:00,3.95,4.01,3.92,3.95,177700
2018-09-26 07:00:00,3.98,4.05,3.92,4.05,267700
2018-09-27 07:00:00,4.01,4.05,3.92,3.95,187600
2018-09-28 07:00:00,3.92,3.95,3.85,3.88,176000
2018-10-01 07:00:00,3.85,3.85,3.78,3.82,207500
2018-10-02 07:00:00,3.82,3.95,3.78,3.88,218900
2018-10-03 07:00:00,3.85,3.95,3.78,3.95,210630
2018-10-04 07:00:00,3.92,4.01,3.88,4.01,303500
2018-10-05 07:00:00,4.01,4.05,3.95,3.98,223100
2018-10-08 07:00:00,3.95,3.95,3.88,3.92,177120
2018-10-09 07:00:00,3.88,3.92,3.85,3.88,161600
2018-10-10 07:00:00,3.92,4.05,3.88,3.98,325330
2018-10-11 07:00:00,3.98,4.01,3.78,3.82,284250
2018-10-12 07:00:00,3.82,3.95,3.78,3.95,378280
2018-10-15 07:00:00,3.92,3.95,3.85,3.88,209900
2018-10-16 07:00:00,3.88,3.92,3.85,3.88,177420
2018-10-17 07:00:00,3.88,3.95,3.88,3.92,214360
2018-10-18 07:00:00,3.92,4.01,3.88,3.98,305500
2018-10-19 07:00:00,3.98,3.98,3.92,3.95,187400
2018-10-22 07:00:00,3.92,4.21,3.88,4.21,334400
2018-10-23 07:00:00,4.24,4.47,4.21,4.44,352820
2018-10-24 07:00:00,4.54,4.87,4.47,4.87,467400
2018-10-25 07:00:00,4.87,4.87,4.44,4.67,216300
2018-10-26 07:00:00,4.64,4.67,4.57,4.61,211120
2018-10-29 07:00:00,4.61,4.64,4.54,4.61,147420
2018-10-30 07:00:00,4.61,4.67,4.57,4.64,203640
2018-10-31 07:00:00,4.64,4.74,4.61,4.71,252900
2018-11-01 07:00:00,4.77,5.17,4.71,5.17,680100
2018-11-02 07:00:00,5.26,5.66,5.2,5.66,576200
2018-11-05 07:00:00,5.73,6.22,5.66,6.22,881800
2018-11-06 07:00:00,6.25,6.65,6.15,6.58,514260
2018-11-07 07:00:00,6.58,6.65,5.92,5.92,178420
2018-11-08 07:00:00,5.59,5.76,5.33,5.59,230600
2018-11-09 07:00:00,5.56,5.69,5.5,5.66,288010
2018-11-12 07:00:00,5.66,5.73,5.63,5.73,245100
2018-11-13 07:00:00,5.69,5.73,5.59,5.66,203740
2018-11-14 07:00:00,5.63,5.66,5.46,5.59,177610
2018-11-15 07:00:00,5.59,5.69,5.56,5.66,230100
2018-11-16 07:00:00,5.66,5.69,5.63,5.66,164100
2018-11-19 07:00:00,5.63,5.76,5.63,5.73,214200
2018-11-20 07:00:00,5.69,5.73,5.63,5.69,148700
2018-11-21 07:00:00,5.66,5.69,5.63,5.66,129900
2018-11-22 07:00:00,5.66,6.22,5.59,6.22,763930
2018-11-23 07:00:00,6.32,6.52,5.63,5.79,365000
2018-11-26 07:00:00,5.59,5.79,5.23,5.23,232500
2018-11-27 07:00:00,5.0,5.0,4.74,4.74,79660
2018-11-28 07:00:00,4.61,4.67,4.28,4.61,343700
2018-11-29 07:00:00,4.61,4.97,4.54,4.94,432600
2018-11-30 07:00:00,4.9,4.97,4.47,4.61,274610
2018-12-03 07:00:00,4.61,4.67,4.15,4.21,311900
2018-12-04 07:00:00,4.11,4.24,3.82,3.95,318550
2018-12-05 07:00:00,3.92,3.95,3.78,3.92,141900
2018-12-06 07:00:00,3.88,3.98,3.82,3.95,224600
2018-12-07 07:00:00,3.92,4.05,3.88,4.01,203530
2018-12-10 07:00:00,3.98,4.05,3.92,3.95,126600
2018-12-11 07:00:00,3.92,4.01,3.92,3.92,138400
2018-12-12 07:00:00,3.88,4.05,3.88,3.95,175600
2018-12-13 07:00:00,3.95,4.01,3.92,3.98,177200
2018-12-14 07:00:00,3.98,4.01,3.95,3.95,155800
2018-12-17 07:00:00,3.92,3.95,3.85,3.92,125600
2018-12-18 07:00:00,3.92,3.98,3.78,3.88,155400
2018-12-19 07:00:00,3.85,3.88,3.82,3.85,142200
2018-12-20 07:00:00,3.82,3.88,3.82,3.82,109400
2018-12-21 07:00:00,3.78,3.85,3.78,3.82,113100
2018-12-24 07:00:00,3.82,3.92,3.78,3.92,99200
2018-12-25 07:00:00,3.88,3.88,3.78,3.82,130500
2018-12-26 07:00:00,3.82,3.92,3.78,3.92,148400
2018-12-27 07:00:00,3.95,3.98,3.88,3.98,183900
2018-12-28 07:00:00,3.98,4.01,3.92,3.95,102900
2019-01-02 07:00:00,3.92,4.01,3.92,3.95,100900
2019-01-03 07:00:00,3.95,3.95,3.88,3.92,103700
2019-01-04 07:00:00,3.88,3.98,3.88,3.95,143500
2019-01-07 07:00:00,3.92,4.11,3.92,4.08,165900
2019-01-08 07:00:00,4.08,4.11,3.98,3.98,71500
2019-01-09 07:00:00,3.95,4.08,3.95,4.05,103600
2019-01-10 07:00:00,4.01,4.08,3.95,3.98,81600
