time,open,high,low,close,volume
2022-07-19 07:00:00,17.84,17.84,14.03,15.25,578600
2022-07-20 07:00:00,15.25,15.33,15.02,15.25,240931
2022-07-21 07:00:00,15.25,15.25,14.11,14.56,188500
2022-07-22 07:00:00,13.88,14.03,13.34,13.65,153400
2022-07-25 07:00:00,13.42,13.73,12.51,12.89,253800
2022-07-26 07:00:00,12.73,12.96,12.58,12.96,143700
2022-07-27 07:00:00,12.66,13.88,12.66,13.19,112855
2022-07-28 07:00:00,13.27,13.57,13.27,13.5,291200
2022-07-29 07:00:00,13.5,14.03,13.34,14.03,316300
2022-08-01 07:00:00,14.11,14.34,13.95,14.26,356516
2022-08-02 07:00:00,14.26,14.56,13.8,14.49,542236
2022-08-03 07:00:00,13.88,14.49,13.88,14.18,273900
2022-08-04 07:00:00,14.11,14.49,14.03,14.26,370700
2022-08-05 07:00:00,13.95,14.34,13.8,13.95,239800
2022-08-08 07:00:00,14.11,14.34,13.73,13.88,187502
2022-08-09 07:00:00,13.88,13.95,13.65,13.88,151000
2022-08-10 07:00:00,13.73,13.8,13.65,13.65,190100
2022-08-11 07:00:00,13.73,13.95,13.42,13.57,173000
2022-08-12 07:00:00,13.57,13.8,13.42,13.73,168508
2022-08-15 07:00:00,13.8,14.03,13.57,13.73,134900
2022-08-16 07:00:00,13.65,13.88,13.5,13.73,165200
2022-08-17 07:00:00,13.65,13.8,13.5,13.65,140900
2022-08-18 07:00:00,13.57,13.73,13.5,13.57,169900
2022-08-19 07:00:00,13.65,13.73,13.42,13.57,212501
2022-08-22 07:00:00,13.5,13.65,13.34,13.34,218700
2022-08-23 07:00:00,13.12,13.57,12.96,13.34,197600
2022-08-24 07:00:00,13.34,13.57,13.19,13.42,218600
2022-08-25 07:00:00,13.42,13.65,13.19,13.42,181800
2022-08-26 07:00:00,13.42,14.18,13.12,13.95,544100
2022-08-29 07:00:00,13.73,14.11,13.65,13.88,800700
2022-08-30 07:00:00,13.88,14.03,13.57,13.8,565300
2022-08-31 07:00:00,13.8,13.95,13.73,13.73,463709
2022-09-05 07:00:00,13.65,13.95,13.57,13.73,150100
2022-09-06 07:00:00,13.65,13.95,13.65,13.8,241400
2022-09-07 07:00:00,13.8,13.88,13.57,13.73,197300
2022-09-08 07:00:00,13.57,13.88,13.57,13.65,176700
2022-09-09 07:00:00,13.57,13.8,13.34,13.65,190400
2022-09-12 07:00:00,13.65,13.8,13.42,13.65,156300
2022-09-13 07:00:00,13.5,13.73,13.5,13.65,177700
2022-09-14 07:00:00,13.5,13.65,13.34,13.57,147800
2022-09-15 07:00:00,13.5,13.65,13.42,13.5,127500
2022-09-16 07:00:00,13.42,13.5,13.27,13.34,114100
2022-09-19 07:00:00,13.5,13.5,13.12,13.27,182000
2022-09-20 07:00:00,13.34,13.42,13.12,13.42,150612
2022-09-21 07:00:00,13.34,13.5,13.27,13.42,153700
2022-09-22 07:00:00,13.34,13.8,13.34,13.57,297400
2022-09-23 07:00:00,13.5,13.73,12.89,12.89,420400
2022-09-26 07:00:00,12.96,13.34,12.73,12.81,199207
2022-09-27 07:00:00,12.73,13.19,12.58,12.73,239165
2022-09-28 07:00:00,12.73,12.96,12.58,12.81,193100
2022-09-29 07:00:00,12.81,12.96,12.51,12.58,205700
2022-09-30 07:00:00,12.58,12.89,11.97,12.51,196900
2022-10-03 07:00:00,12.51,12.51,12.05,12.28,150500
2022-10-04 07:00:00,12.2,12.66,12.12,12.2,223800
2022-10-05 07:00:00,12.2,12.58,12.05,12.28,155800
2022-10-06 07:00:00,12.2,12.35,12.12,12.12,69400
2022-10-07 07:00:00,12.05,12.12,10.98,10.98,203000
2022-10-10 07:00:00,11.06,11.51,9.91,10.98,146600
2022-10-11 07:00:00,10.9,11.06,10.07,10.07,55500
2022-10-12 07:00:00,10.07,10.6,10.07,10.29,59700
2022-10-13 07:00:00,10.22,10.68,10.14,10.52,155800
2022-10-14 07:00:00,10.52,11.13,10.52,11.06,211700
2022-10-17 07:00:00,11.59,11.59,10.75,10.75,165206
2022-10-18 07:00:00,10.83,11.44,10.83,11.21,191500
2022-10-19 07:00:00,11.21,11.44,10.98,10.98,134650
2022-10-20 07:00:00,10.98,11.44,10.83,10.98,130910
2022-10-21 07:00:00,10.9,11.21,10.14,10.98,115000
2022-10-24 07:00:00,10.98,11.13,10.37,10.98,125500
2022-10-25 07:00:00,10.83,10.83,10.52,10.75,100300
2022-10-26 07:00:00,10.68,10.83,10.52,10.83,106018
2022-10-27 07:00:00,10.75,11.06,10.6,10.98,116301
2022-10-28 07:00:00,10.9,11.13,10.75,10.98,108800
