time,open,high,low,close,volume
2018-08-09 07:00:00,9.1,9.13,9.03,9.1,135300
2018-08-10 07:00:00,9.1,9.1,8.97,9.1,51790
2018-08-13 07:00:00,9.13,9.13,9.03,9.03,71290
2018-08-14 07:00:00,9.03,9.2,9.03,9.1,145140
2018-08-15 07:00:00,9.1,9.13,9.07,9.07,137890
2018-08-16 07:00:00,9.1,9.1,9.07,9.1,95890
2018-08-17 07:00:00,9.1,9.1,9.03,9.1,256940
2018-08-20 07:00:00,9.1,9.13,9.03,9.13,390900
2018-08-21 07:00:00,9.1,9.42,9.1,9.33,414020
2018-08-22 07:00:00,9.33,9.33,9.1,9.1,120730
2018-08-23 07:00:00,9.1,9.16,9.1,9.16,120430
2018-08-24 07:00:00,9.16,9.16,9.07,9.1,378720
2018-08-27 07:00:00,9.03,9.13,9.03,9.1,353630
2018-08-28 07:00:00,9.1,9.13,9.07,9.13,301830
2018-08-29 07:00:00,9.1,9.13,9.07,9.07,319420
2018-08-30 07:00:00,9.07,9.1,8.97,9.1,447680
2018-08-31 07:00:00,9.1,9.13,8.97,9.13,121570
2018-09-04 07:00:00,9.1,9.1,9.03,9.1,171830
2018-09-05 07:00:00,9.03,9.07,9.0,9.07,232280
2018-09-06 07:00:00,9.0,9.1,8.97,9.1,138730
2018-09-07 07:00:00,9.0,9.1,8.97,9.1,139220
2018-09-10 07:00:00,9.1,9.1,9.0,9.1,224830
2018-09-11 07:00:00,8.97,9.1,8.97,9.1,259550
2018-09-12 07:00:00,8.97,9.03,8.97,9.03,188790
2018-09-13 07:00:00,9.0,9.03,8.94,9.03,156810
2018-09-14 07:00:00,9.0,9.03,8.94,9.03,133040
2018-09-17 07:00:00,9.03,9.03,8.97,9.03,134970
2018-09-18 07:00:00,8.97,8.97,8.9,8.97,88300
2018-09-19 07:00:00,8.9,9.03,8.9,9.0,209740
2018-09-20 07:00:00,9.03,9.26,8.97,9.23,607800
2018-09-21 07:00:00,9.29,9.29,9.13,9.13,97590
2018-09-24 07:00:00,9.29,9.29,9.13,9.16,77950
2018-09-25 07:00:00,9.16,9.16,9.03,9.13,203540
2018-09-26 07:00:00,8.97,9.23,8.97,9.16,264060
2018-09-27 07:00:00,9.23,9.26,9.1,9.1,61360
2018-09-28 07:00:00,9.13,9.23,9.07,9.2,443630
2018-10-01 07:00:00,9.23,9.59,9.23,9.42,675560
2018-10-02 07:00:00,9.42,9.46,9.36,9.42,203220
2018-10-03 07:00:00,9.42,9.75,9.36,9.68,559730
2018-10-04 07:00:00,9.68,9.68,9.55,9.65,390560
2018-10-05 07:00:00,9.52,9.65,9.39,9.39,394720
2018-10-08 07:00:00,9.13,9.39,9.13,9.29,453750
2018-10-09 07:00:00,9.36,9.36,9.16,9.16,250710
2018-10-10 07:00:00,9.2,9.29,9.13,9.13,256390
2018-10-11 07:00:00,8.97,9.03,8.74,8.77,563750
2018-10-12 07:00:00,8.77,9.07,8.64,8.97,171020
2018-10-15 07:00:00,9.1,9.1,8.87,8.97,50340
2018-10-16 07:00:00,8.84,9.1,8.84,8.97,141650
2018-10-17 07:00:00,8.97,9.2,8.97,9.1,261750
2018-10-18 07:00:00,9.1,9.13,8.84,9.03,37840
2018-10-19 07:00:00,8.97,9.03,8.77,9.03,187180
2018-10-22 07:00:00,9.03,9.03,8.81,8.81,325700
2018-10-23 07:00:00,8.81,8.9,8.64,8.71,189260
2018-10-24 07:00:00,8.84,8.97,8.64,8.97,96160
2018-10-25 07:00:00,8.97,8.97,8.51,8.94,131020
2018-10-26 07:00:00,8.94,8.97,8.77,8.94,76370
2018-10-29 07:00:00,8.94,8.94,8.64,8.9,133810
2018-10-30 07:00:00,8.71,8.9,8.71,8.9,159300
2018-10-31 07:00:00,8.9,8.9,8.77,8.9,153840
2018-11-01 07:00:00,8.9,8.9,8.84,8.9,514210
2018-11-02 07:00:00,8.84,8.9,8.81,8.9,133200
2018-11-05 07:00:00,8.9,8.9,8.77,8.9,119710
2018-11-06 07:00:00,8.84,8.9,8.84,8.9,123860
2018-11-07 07:00:00,8.87,8.9,8.81,8.84,225390
2018-11-08 07:00:00,8.81,8.9,8.77,8.9,114040
2018-11-09 07:00:00,8.77,8.87,8.77,8.87,144990
2018-11-12 07:00:00,8.87,8.87,8.71,8.71,123790
2018-11-13 07:00:00,8.61,8.71,8.58,8.68,108740
2018-11-14 07:00:00,8.68,8.87,8.58,8.87,177840
2018-11-15 07:00:00,8.84,8.87,8.71,8.87,72930
2018-11-16 07:00:00,8.77,8.81,8.71,8.81,78050
2018-11-19 07:00:00,8.81,8.81,8.64,8.77,69010
2018-11-20 07:00:00,8.77,8.77,8.61,8.77,149230
2018-11-21 07:00:00,8.61,8.77,8.61,8.77,123170
2018-11-22 07:00:00,8.71,8.74,8.61,8.74,100780
2018-11-23 07:00:00,8.71,8.77,8.58,8.77,132010
2018-11-26 07:00:00,8.68,8.77,8.51,8.71,94270
2018-11-27 07:00:00,8.58,8.77,8.58,8.77,108620
2018-11-28 07:00:00,8.68,8.81,8.68,8.81,104880
2018-11-29 07:00:00,8.71,8.81,8.71,8.81,98260
2018-11-30 07:00:00,8.81,8.87,8.71,8.84,243850
2018-12-03 07:00:00,8.87,9.07,8.87,9.0,169960
2018-12-04 07:00:00,9.03,9.49,8.94,9.2,37271730
2018-12-05 07:00:00,9.2,9.2,8.94,8.94,161560
2018-12-06 07:00:00,8.81,9.42,8.81,9.29,9302310
2018-12-07 07:00:00,9.33,9.33,9.03,9.03,171170
2018-12-10 07:00:00,9.1,9.1,8.97,8.97,106050
2018-12-11 07:00:00,9.07,9.07,8.84,9.0,123790
2018-12-12 07:00:00,8.9,8.97,8.87,8.9,111580
2018-12-13 07:00:00,8.87,8.94,8.87,8.87,54540
2018-12-14 07:00:00,8.84,9.46,8.84,9.26,7760550
2018-12-17 07:00:00,9.26,9.26,9.0,9.0,67600
2018-12-18 07:00:00,9.03,9.03,8.94,8.97,105740
2018-12-19 07:00:00,8.97,9.13,8.97,9.1,47460
2018-12-20 07:00:00,9.1,9.13,9.1,9.1,42020
2018-12-21 07:00:00,9.1,9.13,9.07,9.1,476050
2018-12-24 07:00:00,9.1,9.1,9.0,9.0,190500
2018-12-25 07:00:00,9.0,9.1,8.97,9.03,156150
2018-12-26 07:00:00,9.03,9.1,8.97,9.03,198000
2018-12-27 07:00:00,9.1,9.33,9.1,9.26,259650
2018-12-28 07:00:00,9.26,9.29,9.1,9.13,230240
2019-01-02 07:00:00,9.1,9.16,9.1,9.1,276290
2019-01-03 07:00:00,9.1,9.13,9.07,9.07,413810
2019-01-04 07:00:00,9.07,9.13,9.07,9.13,83840
2019-01-07 07:00:00,9.1,9.36,9.1,9.1,70380
2019-01-08 07:00:00,9.1,9.29,9.1,9.1,109750
2019-01-09 07:00:00,9.16,9.49,9.16,9.49,304880
2019-01-10 07:00:00,9.49,9.55,9.42,9.49,23290
2019-01-11 07:00:00,9.55,9.55,9.39,9.42,47250
2019-01-14 07:00:00,9.52,9.52,9.39,9.42,101030
2019-01-15 07:00:00,9.33,9.55,9.23,9.55,116310
2019-01-16 07:00:00,9.42,9.59,9.42,9.42,37930
2019-01-17 07:00:00,9.59,9.68,9.49,9.68,150830
2019-01-18 07:00:00,9.55,9.65,9.52,9.55,86330
2019-01-21 07:00:00,9.52,9.75,9.52,9.75,181950
2019-01-22 07:00:00,9.81,10.43,9.81,10.4,514970
2019-01-23 07:00:00,10.4,10.59,10.4,10.53,283010
2019-01-24 07:00:00,10.53,10.63,10.33,10.46,144510
2019-01-25 07:00:00,10.4,10.46,9.75,10.4,293640
2019-01-28 07:00:00,10.4,10.46,10.27,10.4,187640
2019-01-29 07:00:00,10.37,10.66,10.3,10.66,256980
2019-01-30 07:00:00,10.66,10.76,10.4,10.72,237760
2019-01-31 07:00:00,10.72,10.85,10.66,10.85,935700
2019-02-01 07:00:00,10.92,11.6,10.85,11.6,887760
2019-02-11 07:00:00,11.6,11.6,11.31,11.6,164120
2019-02-12 07:00:00,11.6,11.8,11.57,11.7,307370
2019-02-13 07:00:00,11.83,12.02,11.7,12.02,278510
2019-02-14 07:00:00,12.02,12.09,11.57,11.63,263240
2019-02-15 07:00:00,11.57,11.63,11.37,11.57,306270
2019-02-18 07:00:00,12.02,12.02,11.34,11.37,360820
2019-02-19 07:00:00,11.37,11.54,11.28,11.37,212920
2019-02-20 07:00:00,11.41,11.57,11.34,11.47,162780
2019-02-21 07:00:00,11.34,11.44,10.92,11.05,716520
2019-02-22 07:00:00,10.56,11.05,10.56,10.92,95600
2019-02-25 07:00:00,10.92,11.67,10.92,11.57,195890
2019-02-26 07:00:00,11.28,11.6,10.95,11.37,238130
2019-02-27 07:00:00,11.37,11.63,11.37,11.63,341300
2019-02-28 07:00:00,11.63,11.63,11.24,11.34,86690
2019-03-01 07:00:00,11.34,11.44,11.05,11.24,71400
2019-03-04 07:00:00,11.24,11.7,11.18,11.57,525300
2019-03-05 07:00:00,11.57,11.57,11.28,11.28,194370
2019-03-06 07:00:00,11.54,11.54,11.28,11.31,28410
2019-03-07 07:00:00,11.11,11.31,11.05,11.11,326850
2019-03-08 07:00:00,11.05,11.44,11.05,11.28,165570
2019-03-11 07:00:00,11.11,11.41,11.11,11.28,25520
2019-03-12 07:00:00,11.28,11.5,11.28,11.5,571180
2019-03-13 07:00:00,11.57,11.63,11.47,11.57,283190
2019-03-14 07:00:00,11.57,11.63,11.44,11.44,115420
2019-03-15 07:00:00,11.44,11.57,11.44,11.5,363640
2019-03-18 07:00:00,11.31,11.54,11.15,11.31,379520
2019-03-19 07:00:00,11.7,11.7,11.31,11.44,106460
2019-03-20 07:00:00,11.31,11.44,11.24,11.31,91030
2019-03-21 07:00:00,11.24,11.47,11.24,11.28,71550
2019-03-22 07:00:00,11.24,11.47,11.18,11.37,216300
2019-03-25 07:00:00,11.37,11.37,11.24,11.34,135010
2019-03-26 07:00:00,11.18,11.54,11.18,11.44,289280
2019-03-27 07:00:00,11.5,11.5,11.28,11.5,65730
2019-03-28 07:00:00,11.37,11.5,11.11,11.18,99870
2019-03-29 07:00:00,11.18,11.44,11.15,11.44,318720
2019-04-01 07:00:00,11.44,11.44,11.18,11.18,35360
2019-04-02 07:00:00,11.37,11.37,10.92,10.92,327660
2019-04-03 07:00:00,10.92,11.31,10.92,11.31,480670
2019-04-04 07:00:00,11.37,11.37,11.11,11.34,13870
2019-04-05 07:00:00,11.15,11.37,11.15,11.37,36470
2019-04-08 07:00:00,11.37,11.44,11.18,11.44,321460
