time,open,high,low,close,volume
2018-08-09 07:00:00,6.1,6.22,5.3,6.1,256811
2018-08-10 07:00:00,5.73,6.1,5.36,5.42,213435
2018-08-13 07:00:00,5.85,6.1,5.24,6.1,608321
2018-08-14 07:00:00,5.91,5.98,5.3,5.54,215585
2018-08-15 07:00:00,5.79,5.85,5.3,5.48,301154
2018-08-16 07:00:00,5.54,5.79,5.42,5.54,254405
2018-08-17 07:00:00,5.54,5.79,5.42,5.61,232938
2018-08-20 07:00:00,5.67,5.73,5.48,5.48,312731
2018-08-21 07:00:00,5.67,5.73,5.3,5.48,286640
2018-08-22 07:00:00,5.42,5.61,5.24,5.42,414933
2018-08-23 07:00:00,5.54,5.67,5.36,5.42,170328
2018-08-24 07:00:00,5.54,6.41,5.54,5.67,680649
2018-08-27 07:00:00,5.67,6.28,5.54,5.54,403722
2018-08-28 07:00:00,5.79,5.91,5.42,5.54,280578
2018-08-29 07:00:00,5.48,5.54,5.42,5.42,68360
2018-08-30 07:00:00,5.42,5.54,5.36,5.54,92124
2018-08-31 07:00:00,5.36,5.67,5.36,5.42,181696
2018-09-04 07:00:00,5.42,5.42,5.24,5.42,60537
2018-09-05 07:00:00,5.42,5.48,5.11,5.3,168869
2018-09-06 07:00:00,5.05,5.36,5.05,5.17,185740
2018-09-07 07:00:00,5.24,5.24,4.99,5.11,164266
2018-09-10 07:00:00,5.11,5.11,4.87,4.93,185593
2018-09-11 07:00:00,4.87,5.36,4.62,5.36,370275
2018-09-12 07:00:00,4.99,5.17,4.87,4.93,176225
2018-09-13 07:00:00,4.99,5.05,4.93,4.99,198076
2018-09-14 07:00:00,5.05,5.3,4.93,5.11,181152
2018-09-17 07:00:00,5.24,5.24,4.99,5.05,151610
2018-09-18 07:00:00,5.05,5.05,4.93,4.99,134994
2018-09-19 07:00:00,4.93,4.99,4.87,4.93,196527
2018-09-20 07:00:00,4.93,4.93,4.87,4.93,193494
2018-09-21 07:00:00,4.99,5.36,4.93,5.11,360098
2018-09-24 07:00:00,5.24,5.54,5.05,5.11,248609
2018-09-25 07:00:00,5.24,5.91,5.24,5.48,493247
2018-09-26 07:00:00,5.73,5.85,5.36,5.54,435407
2018-09-27 07:00:00,5.79,6.16,5.54,5.79,728675
2018-09-28 07:00:00,5.85,6.16,5.73,5.85,804080
2018-10-01 07:00:00,5.85,5.85,5.42,5.42,40106
2018-10-02 07:00:00,5.3,5.42,4.93,5.3,25267
2018-10-03 07:00:00,5.3,5.3,5.17,5.17,29002
2018-10-04 07:00:00,5.24,5.36,5.24,5.24,43844
2018-10-05 07:00:00,5.3,5.42,5.24,5.24,91532
2018-10-08 07:00:00,5.3,5.36,5.24,5.3,38167
2018-10-09 07:00:00,5.24,5.24,5.11,5.17,50331
2018-10-10 07:00:00,5.17,5.17,4.99,4.99,39090
2018-10-11 07:00:00,4.99,4.99,4.81,4.81,77606
2018-10-12 07:00:00,4.87,4.87,4.68,4.87,45531
2018-10-15 07:00:00,4.87,4.93,4.81,4.81,20080
2018-10-16 07:00:00,4.81,4.93,4.74,4.93,10972
2018-10-17 07:00:00,4.93,4.93,4.74,4.87,19577
2018-10-18 07:00:00,4.93,4.93,4.68,4.68,33983
2018-10-19 07:00:00,4.62,4.68,4.56,4.56,13602
2018-10-22 07:00:00,4.81,4.81,4.62,4.62,14386
2018-10-23 07:00:00,4.5,4.68,4.5,4.68,29305
2018-10-24 07:00:00,4.56,4.56,4.5,4.5,23053
2018-10-25 07:00:00,4.19,4.5,4.19,4.5,8221
2018-10-26 07:00:00,4.13,4.37,4.13,4.25,15270
2018-10-29 07:00:00,4.25,4.25,4.07,4.13,24790
2018-10-30 07:00:00,4.0,4.19,4.0,4.19,25566
2018-10-31 07:00:00,4.19,4.25,3.82,4.25,45128
2018-11-01 07:00:00,4.07,4.13,3.94,3.94,20600
2018-11-02 07:00:00,4.0,4.19,3.88,4.19,86373
2018-11-05 07:00:00,4.07,4.19,4.07,4.07,24718
2018-11-06 07:00:00,4.07,4.56,4.07,4.25,15070
2018-11-07 07:00:00,4.31,4.37,4.25,4.31,23000
2018-11-08 07:00:00,4.31,4.31,4.31,4.31,5674
2018-11-09 07:00:00,4.25,4.25,4.19,4.19,20155
2018-11-12 07:00:00,4.07,4.19,4.0,4.13,22900
2018-11-13 07:00:00,4.0,4.07,4.0,4.07,22247
2018-11-14 07:00:00,4.0,4.0,3.94,4.0,15610
2018-11-15 07:00:00,4.0,4.0,3.82,3.88,29351
2018-11-16 07:00:00,3.76,3.88,3.7,3.88,13356
2018-11-19 07:00:00,3.82,3.94,3.82,3.88,19264
2018-11-20 07:00:00,3.88,3.94,3.88,3.94,11925
2018-11-21 07:00:00,3.94,3.94,3.94,3.94,8900
2018-11-22 07:00:00,4.13,4.13,3.76,3.94,24660
2018-11-23 07:00:00,3.82,3.88,3.82,3.82,16990
2018-11-26 07:00:00,3.82,3.82,3.76,3.82,11930
2018-11-27 07:00:00,3.94,3.94,3.7,3.76,19500
2018-11-28 07:00:00,3.76,3.82,3.76,3.76,10010
2018-11-29 07:00:00,3.7,3.76,3.7,3.7,14065
2018-11-30 07:00:00,3.7,3.7,3.63,3.63,7324
2018-12-03 07:00:00,3.7,3.7,3.45,3.51,9619
2018-12-04 07:00:00,3.39,3.45,3.33,3.39,60270
2018-12-05 07:00:00,3.39,3.51,3.33,3.45,20140
2018-12-06 07:00:00,3.45,3.45,3.39,3.39,34553
2018-12-07 07:00:00,3.39,3.45,3.39,3.45,11600
2018-12-10 07:00:00,3.39,3.51,3.39,3.45,22210
2018-12-11 07:00:00,3.45,3.45,3.39,3.45,15951
2018-12-12 07:00:00,3.39,3.45,3.39,3.39,33667
2018-12-13 07:00:00,3.45,3.51,3.39,3.45,40094
2018-12-14 07:00:00,3.45,3.45,3.39,3.39,31015
2018-12-17 07:00:00,3.39,3.39,3.33,3.33,28800
2018-12-18 07:00:00,3.39,3.39,3.33,3.33,36925
2018-12-19 07:00:00,3.39,3.39,3.2,3.27,26428
2018-12-20 07:00:00,3.2,3.2,3.02,3.02,21900
2018-12-21 07:00:00,3.02,3.14,3.02,3.02,16079
2018-12-24 07:00:00,3.08,3.08,3.08,3.08,14400
2018-12-25 07:00:00,3.08,3.08,2.96,3.02,30300
2018-12-26 07:00:00,3.02,3.02,3.02,3.02,12400
2018-12-27 07:00:00,3.08,3.08,2.83,2.96,34041
2018-12-28 07:00:00,3.02,3.02,2.83,2.96,13760
2019-01-02 07:00:00,2.96,2.96,2.83,2.96,12338
2019-01-03 07:00:00,2.9,3.08,2.9,2.9,29970
2019-01-04 07:00:00,2.9,2.9,2.9,2.9,6224
2019-01-07 07:00:00,2.9,2.9,2.9,2.9,19300
2019-01-08 07:00:00,2.9,3.33,2.9,3.14,23987
2019-01-09 07:00:00,3.14,3.14,3.08,3.14,8660
2019-01-10 07:00:00,3.08,3.08,2.65,3.08,14090
2019-01-11 07:00:00,2.96,3.14,2.96,3.14,7668
2019-01-14 07:00:00,3.02,3.14,2.59,3.14,4210
2019-01-15 07:00:00,3.14,3.14,3.02,3.08,14360
2019-01-16 07:00:00,3.08,3.14,3.08,3.14,4360
2019-01-17 07:00:00,3.08,3.14,3.08,3.14,3590
2019-01-18 07:00:00,3.14,3.14,3.08,3.14,3100
2019-01-21 07:00:00,3.08,3.08,3.02,3.08,5920
2019-01-22 07:00:00,3.08,3.08,3.02,3.02,8588
2019-01-23 07:00:00,3.08,3.08,3.08,3.08,13760
2019-01-24 07:00:00,3.08,3.14,3.02,3.08,11176
2019-01-25 07:00:00,3.08,3.2,3.08,3.2,30980
2019-01-28 07:00:00,3.08,3.08,3.08,3.08,35644
