time,open,high,low,close,volume
2018-08-09 07:00:00,11.65,11.65,11.65,11.65,2003
2018-08-10 07:00:00,11.54,11.65,11.31,11.31,5366
2018-08-13 07:00:00,11.61,11.65,11.61,11.63,4974
2018-08-14 07:00:00,11.45,11.63,11.43,11.54,7100
2018-08-15 07:00:00,11.54,11.54,11.54,11.54,250
2018-08-16 07:00:00,11.56,11.56,11.54,11.54,310
2018-08-17 07:00:00,11.54,11.54,11.54,11.54,45
2018-08-20 07:00:00,11.54,11.54,11.43,11.54,2300
2018-08-21 07:00:00,11.77,11.77,11.77,11.77,300
2018-08-22 07:00:00,11.77,11.77,11.77,11.77,200
2018-08-23 07:00:00,11.77,11.77,11.77,11.77,545
2018-08-24 07:00:00,11.77,11.77,11.54,11.54,500
2018-08-27 07:00:00,11.43,11.65,11.43,11.65,2640
2018-08-28 07:00:00,11.43,11.43,11.43,11.43,200
2018-08-29 07:00:00,11.43,11.43,11.43,11.43,10
2018-08-30 07:00:00,11.54,11.56,11.54,11.56,973
2018-09-04 07:00:00,11.54,11.54,11.54,11.54,1523
2018-09-05 07:00:00,11.54,11.54,11.54,11.54,200
2018-09-06 07:00:00,11.45,11.45,11.45,11.45,205
2018-09-07 07:00:00,11.54,11.54,11.54,11.54,100
2018-09-10 07:00:00,11.54,11.54,11.54,11.54,1033
2018-09-11 07:00:00,11.54,11.54,11.54,11.54,1000
2018-09-12 07:00:00,11.54,11.54,11.54,11.54,89
2018-09-13 07:00:00,11.45,11.45,11.45,11.45,500
2018-09-14 07:00:00,11.52,11.52,11.52,11.52,300
2018-09-17 07:00:00,11.38,11.38,11.38,11.38,100
2018-09-18 07:00:00,11.54,11.54,11.54,11.54,1040
2018-09-19 07:00:00,11.56,11.7,11.56,11.59,7860
2018-09-20 07:00:00,11.56,11.59,11.56,11.59,6157
2018-09-21 07:00:00,11.59,11.59,11.59,11.59,15048
2018-09-24 07:00:00,11.54,11.54,11.54,11.54,630
2018-09-25 07:00:00,11.77,11.77,11.77,11.77,1500
2018-09-26 07:00:00,11.77,11.77,11.77,11.77,11060
2018-09-27 07:00:00,11.83,11.88,11.83,11.88,2400
2018-09-28 07:00:00,11.54,11.77,11.54,11.77,9240
2018-10-01 07:00:00,11.77,12.22,11.77,12.22,9605
2018-10-02 07:00:00,12.09,12.09,12.09,12.09,30
2018-10-03 07:00:00,12.41,12.46,12.0,12.0,5526
2018-10-04 07:00:00,12.0,12.0,12.0,12.0,749
2018-10-05 07:00:00,12.0,12.0,12.0,12.0,7300
2018-10-08 07:00:00,12.0,12.0,12.0,12.0,1720
2018-10-09 07:00:00,12.0,12.0,12.0,12.0,3000
2018-10-10 07:00:00,12.0,12.0,12.0,12.0,2515
2018-10-11 07:00:00,11.88,11.88,11.7,11.79,8700
2018-10-12 07:00:00,11.79,11.79,11.79,11.79,49
2018-10-16 07:00:00,12.0,12.0,12.0,12.0,1310
2018-10-17 07:00:00,12.0,12.57,12.0,12.11,5650
2018-10-19 07:00:00,12.14,12.14,12.0,12.0,2200
2018-10-22 07:00:00,12.0,12.09,12.0,12.0,2910
2018-10-23 07:00:00,12.0,12.0,11.81,11.88,6910
2018-10-24 07:00:00,12.0,12.0,12.0,12.0,3200
2018-10-25 07:00:00,11.54,11.77,11.54,11.77,8000
2018-10-26 07:00:00,11.77,12.11,11.77,12.11,4900
2018-10-29 07:00:00,12.09,12.11,12.07,12.11,1000
2018-10-30 07:00:00,11.88,11.88,11.88,11.88,1000
2018-10-31 07:00:00,11.77,11.77,11.77,11.77,100
2018-11-01 07:00:00,11.86,12.0,11.86,12.0,800
2018-11-02 07:00:00,11.54,11.54,11.54,11.54,500
2018-11-07 07:00:00,11.77,11.77,11.77,11.77,800
2018-11-09 07:00:00,11.88,11.88,11.88,11.88,500
2018-11-12 07:00:00,11.88,11.88,11.88,11.88,42
2018-11-14 07:00:00,11.77,11.77,11.77,11.77,200
2018-11-15 07:00:00,11.77,11.77,11.77,11.77,50
2018-11-16 07:00:00,11.77,11.77,11.77,11.77,55
2018-11-19 07:00:00,11.77,11.77,11.77,11.77,200
2018-11-20 07:00:00,11.88,11.88,11.88,11.88,250
2018-11-21 07:00:00,11.88,11.88,11.88,11.88,2
2018-11-22 07:00:00,11.88,11.88,11.88,11.88,200
2018-11-28 07:00:00,11.54,11.54,11.54,11.54,100
2018-11-29 07:00:00,11.54,11.54,11.54,11.54,2020
2018-12-04 07:00:00,11.54,11.54,11.54,11.54,2040
2018-12-05 07:00:00,11.54,11.65,11.54,11.65,3941
2018-12-06 07:00:00,11.54,11.77,11.54,11.65,15950
2018-12-07 07:00:00,11.56,11.93,11.54,11.93,4300
2018-12-13 07:00:00,11.56,11.56,11.56,11.56,24
2018-12-14 07:00:00,11.54,11.54,11.54,11.54,8011
2018-12-17 07:00:00,11.54,11.54,11.54,11.54,17530
2018-12-18 07:00:00,11.54,11.54,11.54,11.54,95
2018-12-20 07:00:00,11.54,11.54,11.54,11.54,20600
2018-12-24 07:00:00,11.54,11.54,11.54,11.54,100
2018-12-26 07:00:00,11.65,11.65,11.65,11.65,100
2018-12-27 07:00:00,11.38,11.38,11.21,11.38,4750
2018-12-28 07:00:00,11.33,11.74,11.33,11.74,9500
2019-01-02 07:00:00,11.74,11.74,11.74,11.74,100
2019-01-03 07:00:00,11.65,11.65,11.65,11.65,159
2019-01-08 07:00:00,11.12,11.12,11.1,11.1,300
2019-01-09 07:00:00,11.08,12.0,11.08,11.08,2010
2019-01-10 07:00:00,11.08,11.31,11.08,11.31,9150
2019-01-11 07:00:00,11.08,11.08,11.08,11.31,10
2019-01-14 07:00:00,11.08,11.08,11.08,11.08,2590
2019-01-15 07:00:00,11.08,11.19,11.08,11.08,5507
2019-01-16 07:00:00,11.08,11.08,11.08,11.08,77
2019-01-17 07:00:00,11.1,11.42,11.08,11.08,8886
2019-01-18 07:00:00,11.1,11.1,11.1,11.1,100
2019-01-21 07:00:00,11.12,11.19,11.1,11.1,3100
2019-01-23 07:00:00,11.19,12.0,11.19,11.19,200
2019-01-24 07:00:00,11.19,11.31,11.19,11.31,1010
2019-01-25 07:00:00,11.31,11.31,11.24,11.24,1900
2019-01-28 07:00:00,11.28,11.28,11.28,11.24,2
2019-01-30 07:00:00,11.31,11.31,11.31,11.31,900
2019-01-31 07:00:00,11.88,12.0,11.88,11.88,100
2019-02-12 07:00:00,11.54,12.0,11.54,11.54,900
2019-02-13 07:00:00,11.65,11.65,11.44,11.65,10400
2019-02-14 07:00:00,11.54,11.56,11.54,11.54,11700
2019-02-18 07:00:00,11.54,12.0,11.54,11.61,4600
2019-02-19 07:00:00,11.77,11.77,11.77,11.77,250
2019-02-20 07:00:00,11.56,11.56,11.56,11.56,1700
2019-02-21 07:00:00,11.56,11.56,11.56,11.56,10
2019-02-22 07:00:00,11.77,11.77,11.56,11.77,1520
2019-02-25 07:00:00,11.58,11.77,11.58,11.77,23217
2019-02-26 07:00:00,11.58,11.77,11.58,11.77,600
2019-02-27 07:00:00,12.0,12.0,12.0,12.0,800
2019-02-28 07:00:00,11.58,11.58,11.58,11.58,305
2019-03-01 07:00:00,12.0,12.0,12.0,12.0,300
2019-03-04 07:00:00,12.0,12.0,12.0,12.0,200
2019-03-07 07:00:00,11.19,11.19,11.19,11.19,500
2019-03-08 07:00:00,11.65,11.65,11.65,11.65,1200
2019-03-11 07:00:00,11.65,11.65,11.65,11.65,400
2019-03-12 07:00:00,11.54,11.54,11.54,11.54,200
2019-03-13 07:00:00,11.54,11.54,11.54,11.54,47
2019-03-15 07:00:00,11.54,11.54,11.54,11.54,300
2019-03-18 07:00:00,11.54,11.54,11.54,11.54,110
2019-03-19 07:00:00,11.54,11.54,11.54,11.54,200
2019-03-20 07:00:00,11.54,12.0,11.54,11.54,8000
2019-03-22 07:00:00,11.42,11.42,11.42,11.42,500
2019-03-25 07:00:00,11.31,11.31,11.19,11.19,4865
2019-03-26 07:00:00,11.42,11.42,11.42,11.42,1600
2019-03-27 07:00:00,11.42,11.42,11.42,11.42,500
2019-03-28 07:00:00,11.19,11.19,11.08,11.08,1500
2019-03-29 07:00:00,11.08,11.08,11.08,11.08,3600
2019-04-01 07:00:00,11.08,11.19,10.87,11.19,3230
2019-04-02 07:00:00,11.08,11.08,11.08,11.08,100
2019-04-03 07:00:00,11.08,11.19,11.08,11.19,2800
2019-04-04 07:00:00,11.19,11.19,11.19,11.19,11100
2019-04-05 07:00:00,11.31,11.31,11.19,11.19,650
2019-04-08 07:00:00,11.21,11.21,11.21,11.21,735
2019-04-09 07:00:00,11.31,11.31,11.19,11.19,503
2019-04-10 07:00:00,11.31,11.4,11.21,11.21,8500
2019-04-11 07:00:00,11.35,11.38,11.12,11.12,9000
2019-04-16 07:00:00,11.19,11.19,11.17,11.19,947
2019-04-17 07:00:00,11.19,11.19,11.19,11.19,100
2019-04-18 07:00:00,10.96,11.19,9.83,11.19,2500
2019-04-19 07:00:00,10.59,10.59,10.59,11.19,10
2019-04-22 07:00:00,11.08,11.08,11.08,11.08,300
2019-04-23 07:00:00,11.08,11.08,11.08,11.08,100
2019-04-24 07:00:00,11.08,11.08,11.08,11.08,100
2019-04-25 07:00:00,11.08,11.08,11.08,11.08,100
2019-04-26 07:00:00,11.17,11.19,11.08,11.19,6700
2019-05-02 07:00:00,11.08,11.19,10.38,11.19,31862
2019-05-03 07:00:00,11.08,11.08,11.08,11.08,1300
2019-05-06 07:00:00,10.96,10.96,10.5,10.5,11100
2019-05-07 07:00:00,10.71,10.71,10.61,10.61,4300
2019-05-08 07:00:00,10.82,10.82,10.82,10.82,110
2019-05-10 07:00:00,12.09,12.09,10.61,11.24,800
2019-05-13 07:00:00,11.17,11.31,11.08,11.08,9000
2019-05-14 07:00:00,11.12,11.12,11.12,11.12,2000
2019-05-15 07:00:00,11.14,11.14,10.84,10.84,5510
2019-05-16 07:00:00,11.05,11.05,11.05,11.05,100
2019-05-17 07:00:00,11.08,11.08,11.08,11.08,700
2019-05-20 07:00:00,10.96,10.96,10.84,10.84,3000
2019-05-21 07:00:00,10.84,10.84,10.84,10.84,300
2019-05-22 07:00:00,10.84,10.84,10.84,10.84,2700
2019-05-23 07:00:00,10.84,10.84,10.84,10.84,10
2019-05-24 07:00:00,11.08,11.19,11.08,11.08,6240
2019-05-27 07:00:00,11.08,11.08,11.08,11.08,1905
2019-05-28 07:00:00,11.08,11.08,11.08,11.08,210
2019-05-29 07:00:00,10.84,10.84,10.84,10.84,652
2019-05-30 07:00:00,11.58,11.58,10.84,10.84,1150
2019-05-31 07:00:00,10.97,10.97,10.97,10.84,4
2019-06-05 07:00:00,11.0,11.0,11.0,11.0,300
2019-06-06 07:00:00,10.97,10.97,10.97,10.97,100
2019-06-11 07:00:00,11.0,11.0,11.0,11.0,2000
2019-06-12 07:00:00,10.92,10.92,10.92,10.92,152
2019-06-14 07:00:00,10.92,10.92,10.92,10.92,200
2019-06-17 07:00:00,10.92,10.92,10.92,10.92,200
2019-06-18 07:00:00,10.92,10.92,10.92,10.92,1500
2019-06-19 07:00:00,10.4,10.79,10.4,10.79,1500
2019-06-20 07:00:00,10.79,10.79,10.4,10.4,4300
2019-06-21 07:00:00,10.66,10.66,10.4,10.4,1100
2019-06-24 07:00:00,10.45,10.66,10.45,10.48,600
2019-06-25 07:00:00,10.27,10.27,10.27,10.27,100
2019-06-26 07:00:00,10.3,10.3,10.3,10.3,200
2019-06-27 07:00:00,10.53,10.53,10.53,10.53,100
2019-06-28 07:00:00,10.3,10.32,10.27,10.27,1120
2019-07-02 07:00:00,10.4,10.4,10.4,10.4,400
2019-07-03 07:00:00,10.4,10.4,10.4,10.4,300
2019-07-04 07:00:00,10.4,10.4,10.37,10.37,8000
2019-07-05 07:00:00,10.4,10.4,10.4,10.4,3800
2019-07-08 07:00:00,10.4,10.4,10.4,10.4,7420
2019-07-09 07:00:00,10.27,10.27,10.27,10.27,350
2019-07-10 07:00:00,10.53,10.53,10.53,10.53,100
2019-07-11 07:00:00,10.4,10.4,10.3,10.3,1350
2019-07-12 07:00:00,10.4,10.4,10.37,10.37,7900
2019-07-15 07:00:00,10.53,10.66,10.53,10.66,7000
2019-07-16 07:00:00,10.63,10.63,10.5,10.5,1209
2019-07-18 07:00:00,10.4,10.4,10.35,10.4,400
2019-07-19 07:00:00,10.14,10.17,10.14,10.17,5200
2019-07-22 07:00:00,10.56,10.56,10.4,10.4,600
2019-07-23 07:00:00,10.61,10.66,10.32,10.32,5200
2019-07-24 07:00:00,10.4,10.43,10.27,10.43,1100
2019-07-25 07:00:00,10.4,10.92,10.4,10.4,5100
2019-07-26 07:00:00,10.66,11.96,10.66,10.92,400
2019-07-29 07:00:00,10.66,10.92,10.66,10.92,3020
2019-07-30 07:00:00,10.53,10.87,10.4,10.71,1800
2019-07-31 07:00:00,10.58,10.92,9.88,10.4,2700
2019-08-01 07:00:00,10.48,10.48,10.48,10.48,100
2019-08-02 07:00:00,10.43,10.43,10.4,10.4,2137
2019-08-05 07:00:00,10.4,10.79,10.4,10.4,2100
2019-08-06 07:00:00,10.4,10.66,10.4,10.43,17400
2019-08-07 07:00:00,10.43,10.71,10.43,10.66,3893
2019-08-08 07:00:00,10.45,11.05,10.45,11.05,18800
2019-08-09 07:00:00,11.18,11.7,11.18,11.39,20933
2019-08-12 07:00:00,11.44,11.44,11.08,11.08,1300
2019-08-13 07:00:00,10.92,10.92,10.92,10.92,100
2019-08-14 07:00:00,10.92,11.18,10.92,11.18,1133
2019-08-15 07:00:00,11.1,11.93,11.1,11.44,1742
2019-08-16 07:00:00,11.44,11.75,11.44,11.44,25525
2019-08-19 07:00:00,11.83,11.83,11.57,11.57,1105
2019-08-20 07:00:00,11.88,12.22,11.7,12.22,27927
2019-08-21 07:00:00,12.48,12.48,11.96,12.22,4070
2019-08-22 07:00:00,11.86,12.09,11.86,12.09,3330
2019-08-23 07:00:00,11.78,11.88,11.78,11.88,15150
2019-08-26 07:00:00,11.7,11.83,11.7,11.78,2044
2019-08-27 07:00:00,11.83,11.83,11.78,11.83,3200
2019-08-28 07:00:00,11.83,11.83,11.7,11.7,3340
2019-08-29 07:00:00,11.83,11.83,11.83,11.83,1105
2019-08-30 07:00:00,11.83,11.83,11.57,11.57,5514
2019-09-03 07:00:00,11.47,11.47,11.44,11.44,602
2019-09-04 07:00:00,11.7,11.96,11.7,11.7,458
2019-09-05 07:00:00,11.7,11.96,11.7,11.96,3200
2019-09-09 07:00:00,11.7,11.7,11.7,11.7,1200
2019-09-10 07:00:00,11.7,11.7,11.7,11.7,215
2019-09-11 07:00:00,11.7,11.75,11.65,11.75,2500
2019-09-12 07:00:00,11.28,11.88,11.28,11.88,2100
2019-09-13 07:00:00,11.83,11.83,11.83,11.83,2120
2019-09-16 07:00:00,11.83,11.96,11.83,11.96,2100
2019-09-18 07:00:00,11.83,11.83,11.83,11.83,904
2019-09-20 07:00:00,11.86,11.96,11.86,11.96,3433
2019-09-23 07:00:00,11.93,12.22,11.83,12.04,10800
2019-09-24 07:00:00,12.04,12.04,11.96,11.96,7200
2019-09-25 07:00:00,12.17,12.22,11.96,11.99,11400
2019-09-26 07:00:00,12.01,12.01,11.96,11.96,35040
2019-09-27 07:00:00,11.83,11.96,11.7,11.7,15503
2019-09-30 07:00:00,11.7,11.7,11.7,11.7,4900
2019-10-01 07:00:00,11.96,11.96,11.96,11.96,6850
2019-10-02 07:00:00,11.78,11.96,11.78,11.96,8400
2019-10-03 07:00:00,11.96,11.96,11.96,11.96,2000
2019-10-07 07:00:00,11.7,11.7,11.7,11.7,950
2019-10-08 07:00:00,11.7,11.7,11.7,11.7,600
2019-10-09 07:00:00,11.44,11.44,11.44,11.44,500
2019-10-14 07:00:00,11.7,11.7,11.7,11.7,1800
2019-10-15 07:00:00,11.96,11.96,11.57,11.57,3300
2019-10-18 07:00:00,11.7,11.7,11.7,11.7,300
2019-10-21 07:00:00,11.7,11.7,11.7,11.7,2700
2019-10-22 07:00:00,11.7,11.7,11.7,11.7,300
2019-10-23 07:00:00,11.7,11.7,11.7,11.7,6000
2019-10-24 07:00:00,11.7,11.7,11.7,11.7,1000
2019-10-25 07:00:00,11.7,11.7,11.7,11.7,1500
2019-10-28 07:00:00,11.7,11.7,11.7,11.7,1700
2019-10-29 07:00:00,11.7,11.7,11.7,11.7,1000
2019-10-30 07:00:00,11.7,11.7,11.7,11.7,2800
2019-10-31 07:00:00,11.7,11.7,11.7,11.7,3400
2019-11-04 07:00:00,11.7,11.96,11.7,11.96,12335
2019-11-05 07:00:00,11.96,11.96,11.96,11.96,5543
2019-11-06 07:00:00,11.96,11.96,11.96,11.96,7500
2019-11-07 07:00:00,11.96,11.96,11.96,11.96,3000
2019-11-08 07:00:00,11.96,11.96,11.96,11.96,430
2019-11-11 07:00:00,11.96,11.96,11.96,11.96,313
2019-11-12 07:00:00,12.35,12.35,12.35,12.35,1710
2019-11-13 07:00:00,11.96,11.96,11.96,11.96,855
2019-11-14 07:00:00,11.96,11.96,11.96,11.96,3
2019-11-18 07:00:00,11.7,11.7,11.7,11.7,380
2019-11-19 07:00:00,11.7,11.7,11.7,11.7,700
2019-11-20 07:00:00,11.7,11.7,11.7,11.7,1000
2019-11-21 07:00:00,11.7,11.7,11.7,11.7,1100
2019-11-25 07:00:00,11.7,11.7,11.7,11.7,6800
2019-11-26 07:00:00,11.7,11.96,11.7,11.96,3175
2019-11-27 07:00:00,11.7,11.7,11.7,11.7,2000
2019-11-28 07:00:00,11.7,11.7,11.7,11.7,200
2019-12-03 07:00:00,11.44,11.7,11.18,11.7,9201
2019-12-04 07:00:00,11.44,11.93,10.92,11.93,6300
2019-12-05 07:00:00,11.05,11.05,11.05,11.96,213
2019-12-10 07:00:00,12.09,12.09,12.09,12.09,10000
2019-12-11 07:00:00,12.09,12.09,12.09,12.09,55
2019-12-16 07:00:00,11.28,11.28,11.26,11.26,500
2019-12-18 07:00:00,11.34,11.34,11.34,11.34,126
2019-12-19 07:00:00,11.34,11.34,11.26,11.26,7050
2019-12-20 07:00:00,11.34,11.34,11.18,11.23,20350
2019-12-25 07:00:00,11.7,11.7,11.7,11.7,100
2019-12-30 07:00:00,11.34,11.34,11.34,11.73,3200
2019-12-31 07:00:00,11.36,11.36,11.36,11.36,10
2020-01-03 07:00:00,11.71,11.71,11.71,11.71,500
2020-01-06 07:00:00,11.71,11.71,11.71,11.71,1710
2020-01-07 07:00:00,11.18,11.18,11.18,11.18,1100
2020-01-08 07:00:00,11.18,11.18,11.18,11.18,100
2020-01-16 07:00:00,11.18,11.18,11.18,11.18,1
2020-01-21 07:00:00,11.71,11.71,11.71,11.71,1700
2020-01-22 07:00:00,10.8,10.8,10.8,10.8,320
2020-01-30 07:00:00,10.8,10.8,10.8,10.8,49
2020-01-31 07:00:00,10.8,11.97,10.43,11.97,33342
2020-02-03 07:00:00,10.11,10.64,9.15,10.64,1240
2020-02-04 07:00:00,10.64,10.7,10.62,10.67,14344
2020-02-05 07:00:00,10.91,10.94,10.91,10.94,5620
2020-02-06 07:00:00,11.04,11.04,10.96,10.96,9253
2020-02-07 07:00:00,11.04,11.31,11.02,11.31,21200
2020-02-10 07:00:00,11.15,11.92,10.91,10.96,63500
2020-02-11 07:00:00,11.18,11.18,11.18,11.18,1100
2020-02-12 07:00:00,11.44,11.89,11.44,11.89,6304
2020-02-13 07:00:00,11.58,11.95,11.58,11.95,2800
2020-02-14 07:00:00,11.97,11.97,11.71,11.76,2600
2020-02-17 07:00:00,12.29,12.29,12.11,12.11,916
