time,open,high,low,close,volume
2018-08-09 07:00:00,13.1,13.16,12.97,13.04,1232720
2018-08-10 07:00:00,13.04,13.24,13.01,13.13,797270
2018-08-13 07:00:00,13.13,13.32,13.13,13.24,1038760
2018-08-14 07:00:00,13.33,13.52,13.29,13.5,1601310
2018-08-15 07:00:00,13.5,13.62,13.32,13.35,1658080
2018-08-16 07:00:00,13.38,13.41,13.24,13.41,1378580
2018-08-17 07:00:00,13.47,13.57,13.41,13.57,928050
2018-08-20 07:00:00,13.57,13.82,13.46,13.63,955270
2018-08-21 07:00:00,13.6,13.66,13.53,13.63,720470
2018-08-22 07:00:00,13.64,13.82,13.63,13.74,1152700
2018-08-23 07:00:00,13.75,13.88,13.75,13.85,1004880
2018-08-24 07:00:00,13.85,13.88,13.69,13.86,629740
2018-08-27 07:00:00,13.82,13.88,13.78,13.85,808140
2018-08-28 07:00:00,13.82,13.86,13.74,13.78,909720
2018-08-29 07:00:00,13.77,13.85,13.71,13.78,775370
2018-08-30 07:00:00,13.78,13.78,13.71,13.77,632170
2018-08-31 07:00:00,13.77,14.0,13.75,13.78,1027280
2018-09-04 07:00:00,13.75,13.94,13.72,13.75,634400
2018-09-05 07:00:00,13.74,13.78,13.41,13.5,843460
2018-09-06 07:00:00,13.44,13.5,13.21,13.21,1206190
2018-09-07 07:00:00,13.25,13.41,13.21,13.41,508770
2018-09-10 07:00:00,13.47,13.47,13.27,13.27,367280
2018-09-11 07:00:00,13.27,13.47,13.27,13.46,562280
2018-09-12 07:00:00,13.57,13.63,13.42,13.42,477500
2018-09-13 07:00:00,13.63,13.69,13.47,13.53,646170
2018-09-14 07:00:00,13.6,13.94,13.6,13.89,2772660
2018-09-17 07:00:00,13.88,13.88,13.75,13.75,564810
2018-09-18 07:00:00,13.63,13.97,13.63,13.97,799660
2018-09-19 07:00:00,14.03,14.24,13.97,14.17,1352060
2018-09-20 07:00:00,14.05,14.41,14.05,14.31,1126260
2018-09-21 07:00:00,14.36,14.36,14.1,14.31,1327270
2018-09-24 07:00:00,14.31,14.5,14.28,14.38,991190
2018-09-25 07:00:00,14.34,14.38,14.28,14.31,746530
2018-09-26 07:00:00,14.34,14.6,14.3,14.36,1028940
2018-09-27 07:00:00,14.36,14.5,14.36,14.41,750790
2018-09-28 07:00:00,14.5,14.5,14.42,14.44,559790
2018-10-01 07:00:00,14.44,14.49,14.33,14.34,519760
2018-10-02 07:00:00,14.3,14.34,14.11,14.13,854660
2018-10-03 07:00:00,14.13,14.25,14.11,14.19,373060
2018-10-04 07:00:00,14.19,14.34,14.16,14.3,471280
2018-10-05 07:00:00,14.33,14.34,14.2,14.22,508450
2018-10-08 07:00:00,14.19,14.19,14.03,14.03,511810
2018-10-09 07:00:00,14.03,14.08,13.94,13.94,399440
2018-10-10 07:00:00,13.94,14.16,13.94,14.13,695690
2018-10-11 07:00:00,13.72,13.85,13.19,13.32,2177930
2018-10-12 07:00:00,13.25,13.72,13.0,13.66,1377940
2018-10-15 07:00:00,13.66,13.72,13.41,13.41,495650
2018-10-16 07:00:00,13.57,13.57,13.32,13.49,603710
2018-10-17 07:00:00,13.66,13.72,13.57,13.6,474320
2018-10-18 07:00:00,13.63,13.72,13.53,13.6,710630
2018-10-19 07:00:00,13.41,13.57,13.38,13.41,925420
2018-10-22 07:00:00,13.53,13.63,13.44,13.46,429360
2018-10-23 07:00:00,13.46,13.46,12.97,13.16,1150850
2018-10-24 07:00:00,13.11,13.27,13.04,13.04,562380
2018-10-25 07:00:00,12.47,12.88,12.47,12.8,757730
2018-10-26 07:00:00,12.94,13.02,12.72,12.72,919770
2018-10-29 07:00:00,12.63,12.93,12.63,12.79,462380
2018-10-30 07:00:00,12.82,13.04,12.74,12.79,452630
2018-10-31 07:00:00,13.02,13.1,12.88,13.08,325140
2018-11-01 07:00:00,13.11,13.22,13.07,13.07,469760
2018-11-02 07:00:00,13.21,13.41,13.11,13.38,593810
2018-11-05 07:00:00,13.28,13.41,13.16,13.27,265620
2018-11-06 07:00:00,13.32,13.33,13.13,13.14,470930
2018-11-07 07:00:00,13.14,13.25,12.99,13.05,495560
2018-11-08 07:00:00,13.18,13.22,13.08,13.14,352130
2018-11-09 07:00:00,13.04,13.13,12.85,12.86,635120
2018-11-12 07:00:00,12.85,13.08,12.83,13.08,273110
2018-11-13 07:00:00,12.85,13.02,12.85,12.99,438030
2018-11-14 07:00:00,13.07,13.18,12.97,13.18,752440
2018-11-15 07:00:00,13.1,13.22,13.0,13.16,498790
2018-11-16 07:00:00,13.25,13.38,13.18,13.33,639910
2018-11-19 07:00:00,13.41,13.47,13.35,13.46,396020
2018-11-20 07:00:00,13.47,13.53,13.36,13.53,550140
2018-11-21 07:00:00,13.35,13.53,13.32,13.53,513360
2018-11-22 07:00:00,13.53,13.6,13.49,13.53,323300
2018-11-23 07:00:00,13.44,13.55,13.41,13.42,346060
