time,open,high,low,close,volume
2018-08-09 07:00:00,3.55,3.58,3.54,3.57,42320
2018-08-10 07:00:00,3.58,3.58,3.54,3.57,48590
2018-08-13 07:00:00,3.55,3.57,3.54,3.57,4370
2018-08-14 07:00:00,3.55,3.57,3.54,3.54,21770
2018-08-15 07:00:00,3.54,3.68,3.54,3.59,41320
2018-08-16 07:00:00,3.55,3.62,3.55,3.62,1240
2018-08-17 07:00:00,3.61,3.61,3.54,3.61,6410
2018-08-20 07:00:00,3.62,3.62,3.54,3.59,9080
2018-08-21 07:00:00,3.58,3.58,3.57,3.57,1770
2018-08-22 07:00:00,3.59,3.61,3.57,3.61,21090
2018-08-23 07:00:00,3.61,3.61,3.55,3.61,3090
2018-08-24 07:00:00,3.61,3.61,3.57,3.57,7850
2018-08-27 07:00:00,3.61,3.61,3.55,3.59,8410
2018-08-28 07:00:00,3.59,3.59,3.57,3.57,9940
2018-08-29 07:00:00,3.57,3.57,3.57,3.57,3080
2018-08-30 07:00:00,3.58,3.58,3.55,3.58,9030
2018-08-31 07:00:00,3.61,3.61,3.57,3.59,24870
2018-09-04 07:00:00,3.59,3.59,3.57,3.57,17280
2018-09-05 07:00:00,3.57,3.57,3.54,3.54,37010
2018-09-06 07:00:00,3.54,3.59,3.54,3.55,28440
2018-09-07 07:00:00,3.58,3.58,3.57,3.57,11800
2018-09-10 07:00:00,3.57,3.61,3.55,3.55,10920
2018-09-11 07:00:00,3.59,3.61,3.57,3.59,2280
2018-09-12 07:00:00,3.61,3.62,3.57,3.57,3540
2018-09-13 07:00:00,3.58,3.58,3.57,3.57,14310
2018-09-14 07:00:00,3.59,3.64,3.57,3.59,15260
2018-09-17 07:00:00,3.62,3.62,3.57,3.62,11590
2018-09-18 07:00:00,3.59,3.65,3.57,3.65,17510
2018-09-19 07:00:00,3.65,3.74,3.62,3.72,67730
2018-09-20 07:00:00,3.7,3.7,3.68,3.68,20090
2018-09-21 07:00:00,3.7,3.81,3.69,3.73,74110
2018-09-24 07:00:00,3.76,3.99,3.73,3.99,214120
2018-09-25 07:00:00,4.17,4.17,4.07,4.15,122490
2018-09-26 07:00:00,4.17,4.44,4.17,4.44,307400
2018-09-27 07:00:00,4.74,4.74,4.57,4.68,272170
2018-09-28 07:00:00,4.68,4.68,4.49,4.57,150130
2018-10-01 07:00:00,4.49,4.6,4.38,4.55,119100
2018-10-02 07:00:00,4.44,4.68,4.44,4.57,109610
2018-10-03 07:00:00,4.52,4.63,4.52,4.55,46510
2018-10-04 07:00:00,4.57,4.6,4.55,4.6,76920
2018-10-05 07:00:00,4.62,4.62,4.52,4.52,102360
2018-10-08 07:00:00,4.38,4.49,4.38,4.46,53660
2018-10-09 07:00:00,4.44,4.63,4.44,4.63,54010
2018-10-10 07:00:00,4.49,4.63,4.46,4.49,37770
2018-10-11 07:00:00,4.22,4.41,4.22,4.38,159400
