time,open,high,low,close,volume
2018-08-09 07:00:00,56.86,57.44,56.04,57.27,573240
2018-08-10 07:00:00,57.27,57.62,56.68,57.56,571920
2018-08-13 07:00:00,57.15,60.06,56.8,60.06,552870
2018-08-14 07:00:00,60.06,60.41,58.32,59.01,399060
2018-08-15 07:00:00,59.01,59.48,55.4,55.4,660200
2018-08-16 07:00:00,54.23,55.92,52.48,55.11,926520
2018-08-17 07:00:00,56.57,56.62,55.63,56.1,245620
2018-08-20 07:00:00,56.1,57.32,55.87,57.27,342360
2018-08-21 07:00:00,56.62,57.15,56.16,56.86,488840
2018-08-22 07:00:00,57.44,58.61,57.21,58.32,569580
2018-08-23 07:00:00,58.9,59.6,57.79,58.55,332960
2018-08-24 07:00:00,58.2,59.71,58.2,59.19,515530
2018-08-27 07:00:00,60.02,60.2,59.49,59.61,451380
2018-08-28 07:00:00,60.02,60.97,59.31,60.8,433220
2018-08-29 07:00:00,60.8,61.03,59.37,60.02,370820
2018-08-30 07:00:00,60.08,62.46,59.49,62.46,723510
2018-08-31 07:00:00,62.46,63.18,61.27,61.27,382800
2018-09-04 07:00:00,61.27,61.87,60.5,61.27,433000
2018-09-05 07:00:00,60.38,61.27,58.6,59.55,508070
2018-09-06 07:00:00,59.49,60.38,58.89,59.61,257060
2018-09-07 07:00:00,59.01,60.08,58.83,59.73,368200
2018-09-10 07:00:00,59.73,60.86,59.73,59.96,197420
2018-09-11 07:00:00,59.49,61.57,59.49,61.57,463340
2018-09-12 07:00:00,62.46,65.79,61.87,64.84,1239470
2018-09-13 07:00:00,64.96,66.92,63.47,64.25,472370
2018-09-14 07:00:00,63.71,65.26,63.35,64.25,502510
2018-09-17 07:00:00,64.25,65.91,63.77,64.84,687310
2018-09-18 07:00:00,64.25,65.32,63.77,65.2,268030
2018-09-19 07:00:00,66.63,67.16,66.03,66.69,545150
2018-09-20 07:00:00,67.22,69.24,66.98,69.01,563350
2018-09-21 07:00:00,68.77,69.48,67.99,68.95,461610
2018-09-24 07:00:00,68.95,70.2,68.95,70.08,339610
2018-09-25 07:00:00,71.33,71.33,70.2,70.2,411900
2018-09-26 07:00:00,70.2,70.67,69.66,69.66,327570
2018-09-27 07:00:00,70.08,70.14,68.23,69.72,386390
2018-09-28 07:00:00,70.2,70.2,68.83,68.83,286600
2018-10-01 07:00:00,68.89,71.33,68.89,71.15,493290
2018-10-02 07:00:00,71.27,73.47,71.21,72.28,515710
2018-10-03 07:00:00,71.92,73.17,71.86,72.99,239720
2018-10-04 07:00:00,74.36,74.36,73.17,73.76,227900
2018-10-05 07:00:00,72.52,73.53,71.38,71.38,403490
2018-10-08 07:00:00,69.9,70.67,69.12,69.3,347700
2018-10-09 07:00:00,71.38,71.38,70.14,70.97,169930
2018-10-10 07:00:00,71.38,72.04,70.97,71.98,185290
2018-10-11 07:00:00,67.1,69.48,66.98,66.98,944220
2018-10-12 07:00:00,66.98,71.33,64.25,71.33,607890
