time,open,high,low,close,volume
2018-08-09 07:00:00,7.64,7.84,7.61,7.61,213140
2018-08-10 07:00:00,7.7,8.13,7.62,8.03,351290
2018-08-13 07:00:00,8.03,8.16,7.95,8.13,245740
2018-08-14 07:00:00,8.08,8.15,7.93,7.96,359160
2018-08-15 07:00:00,8.0,8.07,7.65,7.65,432590
2018-08-16 07:00:00,7.46,7.7,7.4,7.66,477770
2018-08-17 07:00:00,7.81,7.84,7.69,7.69,136060
2018-08-20 07:00:00,7.77,7.89,7.66,7.84,247280
2018-08-21 07:00:00,7.7,7.93,7.7,7.93,227160
2018-08-22 07:00:00,8.07,8.07,7.86,7.86,338050
2018-08-23 07:00:00,7.88,7.96,7.81,7.84,126320
2018-08-24 07:00:00,7.84,7.99,7.8,7.89,265200
2018-08-27 07:00:00,7.96,8.31,7.95,8.24,449470
2018-08-28 07:00:00,8.46,8.46,8.27,8.34,599910
2018-08-29 07:00:00,8.36,8.36,8.2,8.2,330450
2018-08-30 07:00:00,8.2,8.54,8.2,8.54,359090
2018-08-31 07:00:00,8.5,8.55,8.3,8.3,183020
2018-09-04 07:00:00,8.24,8.28,7.93,8.08,268940
2018-09-05 07:00:00,8.08,8.13,7.95,8.0,177170
2018-09-06 07:00:00,8.05,8.11,7.95,8.0,149610
2018-09-07 07:00:00,7.96,8.28,7.96,8.24,313780
2018-09-10 07:00:00,8.24,8.35,8.12,8.34,190300
2018-09-11 07:00:00,8.32,8.51,8.3,8.48,330180
2018-09-12 07:00:00,8.54,8.54,8.38,8.38,178990
2018-09-13 07:00:00,8.39,8.5,8.38,8.38,163910
2018-09-14 07:00:00,8.4,8.59,8.4,8.46,318600
2018-09-17 07:00:00,8.47,8.59,8.42,8.46,127590
2018-09-18 07:00:00,8.39,8.7,8.35,8.7,352530
2018-09-19 07:00:00,8.74,8.85,8.74,8.74,285260
2018-09-20 07:00:00,8.77,9.06,8.74,9.06,441630
2018-09-21 07:00:00,9.07,9.07,8.9,9.04,258350
2018-09-24 07:00:00,9.01,9.07,8.81,8.85,329110
2018-09-25 07:00:00,8.85,8.98,8.78,8.94,157420
2018-09-26 07:00:00,8.97,9.05,8.9,8.95,144960
2018-09-27 07:00:00,8.99,9.2,8.91,9.17,328360
2018-09-28 07:00:00,9.22,9.29,9.01,9.28,457730
2018-10-01 07:00:00,9.28,9.36,9.17,9.34,281100
2018-10-02 07:00:00,9.24,9.41,9.17,9.33,396100
2018-10-03 07:00:00,9.33,9.38,9.26,9.33,52150
2018-10-04 07:00:00,9.34,9.38,9.29,9.33,160780
2018-10-05 07:00:00,9.33,9.33,9.02,9.02,117990
