time,open,high,low,close,volume
2018-08-09 07:00:00,7.25,7.33,7.21,7.21,1752060
2018-08-10 07:00:00,7.21,7.35,7.17,7.35,2193310
2018-08-13 07:00:00,7.35,7.41,7.29,7.41,1514640
2018-08-14 07:00:00,7.36,7.43,7.21,7.41,1311490
2018-08-15 07:00:00,7.41,7.49,7.19,7.23,1012930
2018-08-16 07:00:00,7.13,7.33,7.07,7.26,1176710
2018-08-17 07:00:00,7.27,7.31,7.11,7.11,937170
2018-08-20 07:00:00,7.11,7.12,6.84,6.93,1385060
2018-08-21 07:00:00,6.93,7.03,6.91,7.03,1140970
2018-08-22 07:00:00,7.04,7.17,7.03,7.13,1105020
2018-08-23 07:00:00,7.13,7.17,7.09,7.11,1091800
2018-08-24 07:00:00,7.11,7.14,7.07,7.13,1640170
2018-08-27 07:00:00,7.14,7.16,7.11,7.13,904340
2018-08-28 07:00:00,7.13,7.16,7.12,7.14,1050000
2018-08-29 07:00:00,7.15,7.37,7.13,7.37,2510990
2018-08-30 07:00:00,7.37,7.58,7.35,7.56,2950700
2018-08-31 07:00:00,7.56,7.58,7.49,7.56,1595260
2018-09-04 07:00:00,7.53,7.53,7.39,7.41,1424210
2018-09-05 07:00:00,7.41,7.43,7.24,7.33,1248240
2018-09-06 07:00:00,7.33,7.35,7.19,7.23,822860
2018-09-07 07:00:00,7.23,7.3,7.19,7.26,1175460
2018-09-10 07:00:00,7.26,7.37,7.26,7.33,935940
2018-09-11 07:00:00,7.36,7.41,7.32,7.35,1228580
2018-09-12 07:00:00,7.36,7.43,7.34,7.35,956470
2018-09-13 07:00:00,7.36,7.65,7.36,7.64,3510820
2018-09-14 07:00:00,7.64,7.71,7.6,7.64,1760330
2018-09-17 07:00:00,7.64,7.66,7.58,7.6,1118330
2018-09-18 07:00:00,7.53,7.58,7.47,7.58,1235490
2018-09-19 07:00:00,7.58,7.64,7.58,7.62,1400510
2018-09-20 07:00:00,7.62,7.69,7.58,7.69,1453330
2018-09-21 07:00:00,7.7,7.71,7.56,7.69,1531720
2018-09-24 07:00:00,7.69,7.78,7.69,7.72,1568970
2018-09-25 07:00:00,7.72,7.73,7.67,7.7,1583720
2018-09-26 07:00:00,7.7,7.71,7.58,7.64,1776240
2018-09-27 07:00:00,7.64,7.69,7.62,7.64,1612480
2018-09-28 07:00:00,7.64,7.71,7.62,7.69,1933300
2018-10-01 07:00:00,7.69,7.87,7.69,7.8,2572230
2018-10-02 07:00:00,7.8,7.82,7.74,7.76,1651980
2018-10-03 07:00:00,7.76,7.82,7.74,7.81,1658100
2018-10-04 07:00:00,7.82,7.85,7.56,7.67,2438910
2018-10-05 07:00:00,7.67,7.69,7.53,7.53,1302170
2018-10-08 07:00:00,7.45,7.53,7.33,7.49,1623300
