time,open,high,low,close,volume
2018-08-09 07:00:00,6.61,6.66,6.51,6.54,29690
2018-08-10 07:00:00,6.54,6.54,6.45,6.45,112870
2018-08-13 07:00:00,6.45,6.45,6.34,6.36,15620
2018-08-14 07:00:00,6.28,6.32,6.26,6.26,33290
2018-08-15 07:00:00,6.17,6.39,6.17,6.27,34630
2018-08-16 07:00:00,6.27,6.41,6.25,6.41,80150
2018-08-17 07:00:00,6.5,6.83,6.5,6.64,104990
2018-08-20 07:00:00,6.64,6.98,6.64,6.82,138850
2018-08-21 07:00:00,6.93,7.08,6.93,7.08,331050
2018-08-22 07:00:00,7.09,7.33,7.01,7.13,183220
2018-08-23 07:00:00,7.27,7.28,7.13,7.16,150740
2018-08-24 07:00:00,7.2,7.21,7.06,7.12,152840
2018-08-27 07:00:00,7.12,7.22,7.12,7.13,236270
2018-08-28 07:00:00,7.24,7.56,7.21,7.52,265970
2018-08-29 07:00:00,7.63,7.79,7.58,7.76,185930
2018-08-30 07:00:00,7.94,7.94,7.67,7.79,195350
2018-08-31 07:00:00,7.76,7.8,7.65,7.68,217960
2018-09-04 07:00:00,7.7,7.9,7.63,7.65,153690
2018-09-05 07:00:00,7.65,7.72,7.27,7.67,293330
2018-09-06 07:00:00,7.67,7.7,7.49,7.57,172280
2018-09-07 07:00:00,7.57,7.66,7.49,7.57,131090
2018-09-10 07:00:00,7.56,7.79,7.52,7.64,112460
2018-09-11 07:00:00,7.63,8.17,7.63,8.17,461460
2018-09-12 07:00:00,8.17,8.4,8.15,8.22,272170
2018-09-13 07:00:00,8.26,8.26,8.12,8.19,202450
2018-09-14 07:00:00,8.19,8.46,8.15,8.35,261200
2018-09-17 07:00:00,8.42,8.69,8.37,8.58,290600
2018-09-18 07:00:00,8.62,8.69,8.46,8.69,195320
2018-09-19 07:00:00,8.78,8.91,8.61,8.62,300490
2018-09-20 07:00:00,8.62,8.69,8.46,8.6,183940
2018-09-21 07:00:00,8.6,9.0,8.6,8.76,192950
2018-09-24 07:00:00,8.85,8.87,8.7,8.71,158260
2018-09-25 07:00:00,8.71,8.94,8.69,8.91,309950
2018-09-26 07:00:00,8.8,8.98,8.8,8.87,180600
2018-09-27 07:00:00,8.91,8.91,8.67,8.71,229580
2018-09-28 07:00:00,8.69,8.85,8.69,8.73,170340
2018-10-01 07:00:00,8.79,9.07,8.71,8.96,319170
2018-10-02 07:00:00,8.98,9.14,8.84,9.0,236600
2018-10-03 07:00:00,9.0,9.02,8.78,8.82,196360
2018-10-04 07:00:00,8.82,8.87,8.73,8.74,152170
2018-10-05 07:00:00,8.69,8.88,8.6,8.63,270510
2018-10-08 07:00:00,8.64,8.73,8.52,8.65,254470
2018-10-09 07:00:00,8.65,8.89,8.65,8.78,236460
2018-10-10 07:00:00,8.85,8.87,8.67,8.69,147760
2018-10-11 07:00:00,8.46,8.53,8.15,8.15,417940
2018-10-12 07:00:00,8.12,8.46,8.1,8.44,181080
2018-10-15 07:00:00,8.44,8.46,8.24,8.35,48890
2018-10-16 07:00:00,8.35,8.55,8.28,8.3,163300
2018-10-17 07:00:00,8.44,8.48,8.35,8.48,153400
2018-10-18 07:00:00,8.46,8.51,8.36,8.4,157220
2018-10-19 07:00:00,8.3,8.37,8.26,8.35,99550
2018-10-22 07:00:00,8.48,8.48,8.3,8.3,116180
2018-10-23 07:00:00,8.26,8.33,7.85,8.07,235780
2018-10-24 07:00:00,8.01,8.01,7.54,7.54,200590
2018-10-25 07:00:00,7.22,7.45,7.02,7.42,1531630
2018-10-26 07:00:00,7.49,7.52,7.29,7.37,282200
2018-10-29 07:00:00,7.37,7.45,7.22,7.45,313390
2018-10-30 07:00:00,7.24,7.55,7.24,7.42,401250
2018-10-31 07:00:00,7.38,7.65,7.38,7.65,398380
2018-11-01 07:00:00,7.65,7.9,7.49,7.63,443440
2018-11-02 07:00:00,7.63,7.88,7.63,7.85,253950
