time,open,high,low,close,volume
2018-09-25 07:00:00,6.24,6.24,6.24,6.24,100
2018-10-12 07:00:00,6.24,6.24,6.24,6.24,20
2018-10-30 07:00:00,6.24,6.24,6.24,6.24,400
2019-04-05 07:00:00,7.49,7.49,7.49,7.49,200
2019-06-13 07:00:00,7.49,7.56,7.49,7.56,1600
2019-06-26 07:00:00,7.49,7.49,7.49,7.49,1000
2019-08-02 07:00:00,7.49,7.49,7.49,7.49,100
2019-08-16 07:00:00,8.61,8.61,8.19,8.19,400
2019-08-29 07:00:00,8.96,8.96,8.96,8.96,100
2019-08-30 07:00:00,10.29,10.29,10.29,10.29,100
2019-09-11 07:00:00,8.75,8.75,8.75,8.75,1400
2019-09-13 07:00:00,7.49,9.28,7.49,7.49,1800200
2019-09-17 07:00:00,6.79,6.79,6.79,6.79,2100
2019-09-18 07:00:00,7.7,7.7,7.7,7.7,200
2019-09-20 07:00:00,8.68,8.68,8.68,8.68,400
2019-09-23 07:00:00,9.73,9.73,9.28,9.73,1400100
2019-10-02 07:00:00,8.33,8.33,8.33,8.33,1000
2019-10-07 07:00:00,8.4,8.4,8.33,8.33,1600
2019-10-08 07:00:00,9.1,9.1,9.1,9.1,300
2019-10-15 07:00:00,8.47,8.47,8.47,8.47,100
2019-10-16 07:00:00,8.4,8.4,7.21,7.21,1500
2019-10-17 07:00:00,8.05,8.4,8.05,8.05,2255
2019-10-21 07:00:00,8.33,8.33,8.33,8.33,100
2019-10-24 07:00:00,9.03,9.03,9.03,9.03,1000
2019-10-25 07:00:00,9.1,9.1,9.1,9.1,1000
2019-10-28 07:00:00,9.1,10.15,9.1,10.15,300
2019-10-29 07:00:00,11.2,11.2,11.13,11.2,1446
2019-10-30 07:00:00,11.34,12.88,9.8,12.6,9145
2019-10-31 07:00:00,12.6,14.0,11.2,14.0,16000
2019-11-01 07:00:00,11.9,14.28,11.9,12.53,11900
2019-11-04 07:00:00,11.9,12.6,11.9,11.9,2302
2019-11-05 07:00:00,11.9,11.9,11.2,11.2,2247
2019-11-06 07:00:00,11.2,13.16,11.2,11.9,8630
2019-11-07 07:00:00,11.9,11.9,10.71,10.71,2018
2019-11-08 07:00:00,10.29,10.29,10.29,10.29,947
2019-11-11 07:00:00,10.29,10.29,10.15,10.15,2105
2019-11-12 07:00:00,10.22,10.22,10.22,10.22,2501
2019-11-13 07:00:00,10.15,10.15,10.15,10.15,400
2019-11-14 07:00:00,10.15,10.15,10.15,10.15,101
2019-11-20 07:00:00,8.96,10.15,8.96,10.15,300
2019-11-25 07:00:00,8.89,8.96,8.89,8.96,720
2019-11-26 07:00:00,8.19,8.19,8.19,8.19,108
2019-11-27 07:00:00,7.35,7.42,7.35,7.42,700
2019-11-28 07:00:00,8.4,8.4,7.14,7.14,200
2019-11-29 07:00:00,8.89,8.89,8.89,8.89,100
2019-12-02 07:00:00,8.89,8.89,8.89,8.89,1200
2019-12-06 07:00:00,7.77,7.77,7.7,7.7,605
2019-12-09 07:00:00,7.7,7.7,7.7,7.7,64
2019-12-10 07:00:00,8.82,8.82,8.82,8.82,100
2019-12-13 07:00:00,9.87,9.87,9.87,9.87,100
2019-12-17 07:00:00,8.4,8.4,8.4,8.4,264
2019-12-23 07:00:00,8.89,9.66,8.89,9.66,600
2019-12-24 07:00:00,7.98,7.98,7.98,7.98,200
2019-12-25 07:00:00,7.42,7.42,7.42,7.42,164
2019-12-26 07:00:00,8.47,8.47,8.47,8.47,100
2019-12-30 07:00:00,8.89,8.89,8.89,8.89,200
2020-01-06 07:00:00,7.7,7.7,7.63,7.7,700
2020-01-07 07:00:00,7.7,7.7,7.7,7.7,8
2020-01-15 07:00:00,6.79,6.79,6.79,6.79,400
2020-01-16 07:00:00,7.77,7.77,7.77,7.77,900
2020-01-21 07:00:00,8.89,8.89,8.89,8.89,100
2020-01-30 07:00:00,7.63,7.63,7.63,7.63,100
2020-02-04 07:00:00,8.54,8.54,8.54,8.54,210
2020-02-06 07:00:00,8.54,8.54,8.54,8.54,112
2020-02-07 07:00:00,9.38,9.45,9.38,9.45,300
2020-02-10 07:00:00,9.45,9.73,9.45,9.73,300
2020-02-11 07:00:00,11.06,11.06,11.06,11.06,100
2020-02-12 07:00:00,11.06,11.06,11.06,11.06,10
2020-02-17 07:00:00,12.6,12.6,12.6,12.6,100
2020-02-26 07:00:00,11.2,11.2,11.2,11.2,100
2020-03-05 07:00:00,12.53,12.53,12.53,12.53,200
2020-03-09 07:00:00,11.9,11.9,11.9,11.9,100
2020-03-16 07:00:00,10.15,10.15,10.15,10.15,100
2020-03-17 07:00:00,11.55,11.55,11.55,11.55,100
2020-03-18 07:00:00,9.87,9.87,9.87,9.87,100
2020-03-19 07:00:00,8.75,8.75,8.75,8.75,100
2020-03-23 07:00:00,7.63,7.63,7.63,7.63,200
2020-03-26 07:00:00,7.63,7.63,6.65,6.65,300
2020-03-31 07:00:00,8.26,8.26,8.26,8.26,207
2020-04-01 07:00:00,9.45,9.45,9.45,9.45,300
2020-04-03 07:00:00,10.5,10.78,10.5,10.5,3400
2020-04-06 07:00:00,9.1,12.11,9.1,12.04,2300
2020-04-07 07:00:00,11.2,12.95,11.2,12.95,1600
2020-04-08 07:00:00,13.44,13.58,11.83,12.95,7500
2020-04-10 07:00:00,13.51,13.51,13.51,13.51,200
2020-04-13 07:00:00,11.55,11.55,11.55,11.55,7007
2020-04-15 07:00:00,9.87,9.87,9.87,9.87,600
