time,open,high,low,close,volume
2018-08-09 07:00:00,7.38,7.38,7.38,7.38,4020
2018-08-10 07:00:00,7.38,7.38,7.17,7.17,5720
2018-08-13 07:00:00,7.29,7.29,7.17,7.17,2600
2018-08-14 07:00:00,7.19,7.19,7.17,7.17,2558
2018-08-15 07:00:00,7.17,7.17,7.17,7.17,1100
2018-08-20 07:00:00,7.29,7.29,7.29,7.29,157
2018-08-21 07:00:00,7.29,7.29,7.29,7.29,500
2018-08-22 07:00:00,7.29,7.29,7.04,7.07,3800
2018-08-23 07:00:00,7.07,7.07,7.04,7.07,5000
2018-08-24 07:00:00,7.07,7.07,7.04,7.04,3500
2018-08-27 07:00:00,7.29,7.29,7.04,7.07,4910
2018-08-28 07:00:00,7.09,7.09,7.07,7.07,2500
2018-08-29 07:00:00,7.07,7.07,7.07,7.07,100
2018-08-30 07:00:00,7.04,7.07,7.04,7.07,1730
2018-08-31 07:00:00,7.17,7.17,7.09,7.09,1100
2018-09-04 07:00:00,7.6,7.6,7.17,7.17,1100
2018-09-05 07:00:00,7.17,7.17,7.12,7.12,3091
2018-09-06 07:00:00,7.14,7.14,7.14,7.14,1500
2018-09-07 07:00:00,7.19,7.19,7.19,7.19,2000
2018-09-11 07:00:00,7.21,7.21,7.21,7.21,700
2018-09-12 07:00:00,7.24,7.24,7.04,7.14,14559
2018-09-17 07:00:00,7.17,7.17,7.17,7.17,1000
2018-09-19 07:00:00,7.17,7.17,7.17,7.17,100
2018-09-20 07:00:00,7.17,7.29,7.17,7.29,400
2018-09-21 07:00:00,7.17,7.17,7.17,7.17,1000
2018-09-24 07:00:00,7.17,7.19,7.17,7.19,300
2018-09-25 07:00:00,7.14,7.14,7.14,7.14,300
2018-09-26 07:00:00,7.17,7.36,7.14,7.34,2600
2018-09-28 07:00:00,7.19,7.19,7.17,7.17,1900
2018-10-03 07:00:00,7.17,7.17,7.17,7.17,526
2018-10-04 07:00:00,7.21,7.21,7.19,7.19,1000
2018-10-05 07:00:00,7.19,7.41,7.19,7.41,700
2018-10-08 07:00:00,7.21,7.48,7.19,7.19,1200
2018-10-09 07:00:00,7.48,7.53,7.48,7.53,4300
2018-10-10 07:00:00,7.53,7.53,7.53,7.53,3800
2018-10-11 07:00:00,7.19,7.31,7.17,7.17,1400
2018-10-15 07:00:00,7.07,7.07,7.07,7.07,100
2018-10-16 07:00:00,7.09,7.09,7.09,7.09,1000
2018-10-17 07:00:00,7.12,7.12,7.12,7.12,200
2018-10-18 07:00:00,7.14,7.14,7.14,7.14,100
2018-10-19 07:00:00,7.12,7.12,7.12,7.12,401
2018-10-22 07:00:00,7.12,7.12,7.12,7.12,1000
2018-10-23 07:00:00,7.12,7.12,6.92,6.92,3500
2018-10-24 07:00:00,6.92,6.92,6.8,6.8,7000
2018-10-25 07:00:00,6.83,6.92,6.8,6.92,7400
2018-10-26 07:00:00,6.92,6.92,6.92,6.92,2025
2018-10-29 07:00:00,6.92,6.92,6.92,6.92,2110
2018-10-30 07:00:00,6.9,6.9,6.87,6.87,3000
2018-10-31 07:00:00,6.9,6.92,6.87,6.92,2650
2018-11-01 07:00:00,6.87,6.87,6.87,6.87,1200
2018-11-05 07:00:00,6.87,6.87,6.87,6.87,1700
2018-11-12 07:00:00,6.87,6.87,6.87,6.87,40
2018-11-13 07:00:00,7.04,7.14,7.04,7.14,300
2018-11-14 07:00:00,7.17,7.17,7.09,7.09,300
2018-11-15 07:00:00,7.09,7.09,7.04,7.04,2500
2018-11-16 07:00:00,7.07,7.09,7.04,7.07,1600
2018-11-19 07:00:00,7.07,7.07,7.04,7.04,2040
2018-11-20 07:00:00,7.07,7.24,7.07,7.07,1600
2018-11-21 07:00:00,7.07,7.17,7.07,7.17,4100
2018-11-22 07:00:00,7.17,7.19,7.17,7.19,1200
2018-11-23 07:00:00,7.29,7.29,7.19,7.19,200
2018-11-27 07:00:00,6.69,7.22,6.49,7.22,2450
2018-11-28 07:00:00,7.22,7.27,7.19,7.22,2699
2018-11-29 07:00:00,7.29,7.29,7.29,7.29,1210
2018-11-30 07:00:00,7.29,7.29,7.29,7.29,7000
2018-12-03 07:00:00,7.34,7.34,7.04,7.09,7600
2018-12-04 07:00:00,7.16,7.27,7.16,7.27,1600
