time,open,high,low,close,volume
2018-08-09 07:00:00,27.42,27.42,26.76,27.17,72770
2018-08-10 07:00:00,27.3,27.42,26.76,27.42,35380
2018-08-13 07:00:00,27.42,27.42,26.93,27.05,29480
2018-08-14 07:00:00,26.93,27.34,26.8,27.34,63770
2018-08-15 07:00:00,27.42,27.58,26.93,27.34,15210
2018-08-16 07:00:00,27.34,27.74,26.93,27.74,117020
2018-08-17 07:00:00,27.66,27.66,27.13,27.17,14740
2018-08-20 07:00:00,27.25,27.25,26.76,26.76,105910
2018-08-21 07:00:00,26.68,26.68,25.5,26.36,180790
2018-08-22 07:00:00,25.78,26.11,25.62,25.62,156710
2018-08-23 07:00:00,25.62,25.7,24.89,24.89,171200
2018-08-24 07:00:00,24.56,24.72,23.58,24.48,477390
2018-08-27 07:00:00,23.91,24.48,23.66,24.4,300720
2018-08-28 07:00:00,24.4,24.4,23.83,24.4,242220
2018-08-29 07:00:00,24.15,24.97,23.87,24.97,195130
2018-08-30 07:00:00,24.89,25.13,24.07,24.68,282080
2018-08-31 07:00:00,24.48,24.64,24.24,24.64,81480
2018-09-04 07:00:00,24.64,24.81,24.15,24.76,68800
2018-09-05 07:00:00,24.24,25.21,24.07,24.97,1243150
2018-09-06 07:00:00,24.97,25.05,24.64,25.05,93390
2018-09-07 07:00:00,24.56,25.09,24.56,25.05,58540
2018-09-10 07:00:00,24.89,25.05,24.64,24.76,118890
2018-09-11 07:00:00,24.68,24.97,24.48,24.97,63810
2018-09-12 07:00:00,24.97,25.05,24.85,25.05,207350
2018-09-13 07:00:00,25.05,25.13,24.89,25.09,42300
2018-09-14 07:00:00,25.09,25.09,24.72,25.09,28790
2018-09-17 07:00:00,24.89,24.97,24.52,24.97,59400
2018-09-18 07:00:00,24.97,24.97,24.36,24.89,46390
2018-09-19 07:00:00,24.56,24.97,24.56,24.85,53860
2018-09-20 07:00:00,24.64,24.85,24.48,24.85,49360
2018-09-21 07:00:00,24.85,24.85,23.13,23.13,2913560
2018-09-24 07:00:00,24.07,24.28,23.66,24.19,120760
2018-09-25 07:00:00,24.19,24.28,23.99,24.19,41780
2018-09-26 07:00:00,23.66,23.79,23.26,23.3,688210
2018-09-27 07:00:00,23.3,23.46,23.26,23.34,393140
2018-09-28 07:00:00,23.34,23.62,23.34,23.46,312120
2018-10-01 07:00:00,23.42,23.58,23.34,23.5,123500
2018-10-02 07:00:00,23.5,23.5,23.17,23.17,302700
2018-10-03 07:00:00,23.17,23.34,22.44,22.44,347880
2018-10-04 07:00:00,22.68,22.85,22.44,22.72,55850
2018-10-05 07:00:00,22.72,22.85,22.28,22.36,154650
2018-10-08 07:00:00,22.36,22.36,21.22,22.2,421430
2018-10-09 07:00:00,21.79,22.03,21.66,21.95,110120
2018-10-10 07:00:00,21.95,21.95,21.62,21.62,66070
2018-10-11 07:00:00,20.81,21.22,20.4,20.97,190910
2018-10-12 07:00:00,20.81,21.22,20.28,21.22,214000
2018-10-15 07:00:00,21.46,21.58,20.68,21.18,78150
2018-10-16 07:00:00,21.05,21.05,20.81,21.05,136720
2018-10-17 07:00:00,21.05,21.22,20.89,21.22,120800
2018-10-18 07:00:00,21.3,21.3,21.05,21.18,51780
2018-10-19 07:00:00,20.89,21.18,20.81,21.18,119710
2018-10-22 07:00:00,20.89,21.18,20.73,21.18,90130
2018-10-23 07:00:00,20.81,21.13,20.81,21.09,198690
2018-10-24 07:00:00,21.09,21.18,20.89,21.18,153000
2018-10-25 07:00:00,20.73,21.13,20.4,21.13,68670
2018-10-26 07:00:00,21.13,21.13,20.64,20.81,88020
2018-10-29 07:00:00,20.81,20.81,20.4,20.56,188630
2018-10-30 07:00:00,20.32,20.81,20.16,20.81,69200
2018-10-31 07:00:00,20.48,21.13,20.2,21.13,26780
