time,open,high,low,close,volume
2018-08-09 07:00:00,14.15,14.15,13.86,13.86,56900
2018-08-10 07:00:00,13.86,14.0,13.71,13.93,59100
2018-08-13 07:00:00,14.22,14.22,13.64,13.86,56700
2018-08-14 07:00:00,13.93,13.93,13.71,13.78,61900
2018-08-15 07:00:00,13.78,13.86,13.56,13.56,59400
2018-08-16 07:00:00,13.64,13.71,13.49,13.56,55600
2018-08-17 07:00:00,13.56,13.71,13.56,13.71,53200
2018-08-20 07:00:00,13.71,13.78,13.49,13.71,63000
2018-08-21 07:00:00,13.71,13.78,13.56,13.71,58800
2018-08-22 07:00:00,13.71,13.71,13.27,13.27,67500
2018-08-23 07:00:00,13.42,13.78,13.27,13.78,54900
2018-08-24 07:00:00,13.56,13.86,13.49,13.86,59300
2018-08-27 07:00:00,13.86,13.86,13.56,13.64,63400
2018-08-28 07:00:00,13.71,13.78,13.49,13.49,47100
2018-08-29 07:00:00,13.49,13.71,13.42,13.42,65800
2018-08-30 07:00:00,13.49,13.64,13.42,13.49,61100
2018-08-31 07:00:00,13.56,13.64,13.34,13.64,67500
2018-09-04 07:00:00,13.64,13.78,13.34,13.34,63000
2018-09-05 07:00:00,13.34,13.42,12.83,12.83,69700
2018-09-06 07:00:00,13.27,13.27,13.05,13.05,61400
2018-09-07 07:00:00,13.2,13.2,13.05,13.2,63700
2018-09-10 07:00:00,13.27,13.27,13.05,13.27,63300
2018-09-11 07:00:00,13.27,13.42,13.13,13.34,59300
2018-09-12 07:00:00,13.42,13.42,13.27,13.42,64200
2018-09-13 07:00:00,13.42,13.42,13.27,13.42,64700
2018-09-14 07:00:00,13.49,13.49,13.42,13.42,65700
2018-09-17 07:00:00,13.49,13.49,13.34,13.42,61700
2018-09-18 07:00:00,13.42,13.42,13.2,13.27,70300
2018-09-19 07:00:00,13.34,13.42,13.05,13.27,68600
2018-09-20 07:00:00,13.27,13.27,13.13,13.2,62500
2018-09-21 07:00:00,13.27,13.27,13.2,13.2,67200
2018-09-24 07:00:00,13.34,13.34,13.13,13.13,68200
2018-09-25 07:00:00,13.2,13.2,13.05,13.13,65400
2018-09-26 07:00:00,13.2,13.27,13.05,13.2,67800
2018-09-27 07:00:00,13.2,13.42,13.05,13.27,67800
2018-09-28 07:00:00,13.34,13.49,13.27,13.49,70800
2018-10-01 07:00:00,13.86,14.8,13.71,13.78,65200
2018-10-02 07:00:00,14.0,14.15,13.93,14.07,67500
2018-10-03 07:00:00,14.15,14.44,13.86,13.86,67100
2018-10-04 07:00:00,13.86,13.86,13.27,13.34,63800
2018-10-05 07:00:00,13.42,13.42,13.05,13.13,65700
2018-10-08 07:00:00,13.2,13.49,13.13,13.49,67300
2018-10-09 07:00:00,13.34,13.86,13.2,13.64,64100
2018-10-10 07:00:00,13.64,13.71,13.13,13.64,52000
2018-10-11 07:00:00,13.64,13.86,13.42,13.42,46000
2018-10-12 07:00:00,13.42,13.78,13.34,13.78,52900
2018-10-15 07:00:00,13.86,13.93,13.2,13.34,54200
2018-10-16 07:00:00,13.34,14.37,13.27,13.78,34500
2018-10-17 07:00:00,13.86,14.37,13.86,14.15,28400
2018-10-18 07:00:00,14.22,14.37,13.93,13.93,24400
2018-10-19 07:00:00,14.0,16.33,13.93,16.33,53800
2018-10-22 07:00:00,18.45,18.45,18.45,18.45,700
2018-10-23 07:00:00,21.15,21.15,18.45,20.71,39800
2018-10-24 07:00:00,20.78,21.22,19.54,19.76,42200
2018-10-25 07:00:00,19.69,19.69,18.01,18.16,40200
2018-10-26 07:00:00,18.23,18.45,16.55,17.43,30100
2018-10-29 07:00:00,17.43,17.72,17.06,17.06,36000
2018-10-30 07:00:00,17.28,17.65,17.28,17.57,55100
2018-10-31 07:00:00,17.57,17.79,17.5,17.79,42700
2018-11-01 07:00:00,17.79,17.79,17.43,17.5,50500
2018-11-02 07:00:00,17.5,17.5,17.06,17.5,45100
2018-11-05 07:00:00,17.57,17.57,17.36,17.57,46600
2018-11-06 07:00:00,17.57,17.57,16.99,17.36,44600
2018-11-07 07:00:00,17.36,17.36,17.14,17.21,43100
2018-11-08 07:00:00,17.21,17.57,17.21,17.57,43100
2018-11-09 07:00:00,17.65,17.79,16.99,17.5,39500
2018-11-12 07:00:00,17.57,17.72,17.21,17.5,42400
2018-11-13 07:00:00,18.16,18.16,17.5,17.79,43400
2018-11-14 07:00:00,18.23,18.23,17.5,17.87,38500
2018-11-15 07:00:00,17.87,18.23,17.5,17.57,43900
2018-11-16 07:00:00,17.57,18.01,17.21,17.5,46400
2018-11-19 07:00:00,17.5,17.65,17.14,17.65,40800
2018-11-20 07:00:00,18.38,20.13,17.28,17.5,50900
2018-11-21 07:00:00,18.74,18.74,17.43,17.5,32100
2018-11-22 07:00:00,18.08,20.2,17.5,17.72,46800
2018-11-23 07:00:00,18.6,18.6,17.57,17.72,38900
2018-11-26 07:00:00,17.72,17.87,17.5,17.72,35600
2018-11-27 07:00:00,17.72,18.23,17.72,17.87,24500
2018-11-28 07:00:00,17.94,17.94,17.65,17.94,39400
2018-11-29 07:00:00,17.94,18.08,17.79,17.94,41500
2018-11-30 07:00:00,18.01,18.23,17.5,17.65,30300
2018-12-03 07:00:00,17.72,17.87,17.72,17.79,44400
2018-12-04 07:00:00,17.87,17.94,17.79,17.94,38000
2018-12-05 07:00:00,18.01,18.01,17.57,17.79,46800
2018-12-06 07:00:00,17.87,17.87,17.5,17.65,50000
2018-12-07 07:00:00,18.23,18.23,17.5,17.72,37800
2018-12-10 07:00:00,19.32,19.32,17.43,17.65,42300
2018-12-11 07:00:00,17.79,17.79,17.5,17.57,41100
2018-12-12 07:00:00,17.72,17.79,17.43,17.65,48500
2018-12-13 07:00:00,17.65,17.79,17.5,17.57,43900
2018-12-14 07:00:00,17.72,17.87,17.36,17.5,41500
2018-12-17 07:00:00,17.57,17.57,16.77,17.06,46200
2018-12-18 07:00:00,17.21,17.21,16.77,16.92,43800
2018-12-19 07:00:00,16.99,17.14,16.77,16.92,49900
2018-12-20 07:00:00,16.99,17.72,16.77,16.99,43100
2018-12-21 07:00:00,17.14,17.28,16.92,17.28,36600
2018-12-24 07:00:00,17.21,17.5,17.06,17.43,48900
2018-12-25 07:00:00,17.43,18.23,17.21,17.36,49800
2018-12-26 07:00:00,17.57,17.72,17.36,17.57,39200
2018-12-27 07:00:00,17.57,17.72,17.5,17.65,41200
2018-12-28 07:00:00,17.65,17.87,17.5,17.72,44400
2019-01-02 07:00:00,17.72,17.87,17.5,17.57,41200
2019-01-03 07:00:00,17.72,17.72,16.77,17.28,39400
2019-01-04 07:00:00,17.28,17.57,17.06,17.5,33800
2019-01-07 07:00:00,17.28,17.65,17.14,17.57,44500
2019-01-08 07:00:00,17.57,17.72,17.43,17.5,38200
2019-01-09 07:00:00,18.23,18.23,17.5,17.65,36800
2019-01-10 07:00:00,17.72,17.72,17.5,17.65,26400
2019-01-11 07:00:00,17.72,17.72,17.57,17.65,28700
2019-01-14 07:00:00,17.72,17.87,17.5,17.72,33100
2019-01-15 07:00:00,17.72,17.79,17.5,17.79,35800
2019-01-16 07:00:00,17.72,17.94,17.28,17.5,41600
2019-01-17 07:00:00,17.57,17.72,16.92,17.21,34400
2019-01-18 07:00:00,17.28,17.65,17.14,17.65,40200
2019-01-21 07:00:00,17.43,17.65,17.14,17.57,32600
2019-01-22 07:00:00,17.43,17.5,17.28,17.5,41700
2019-01-23 07:00:00,17.43,17.57,17.14,17.57,47000
2019-01-24 07:00:00,17.43,17.57,17.43,17.5,28300
2019-01-25 07:00:00,17.57,17.72,17.14,17.36,36400
2019-01-28 07:00:00,17.43,17.57,17.43,17.57,41400
2019-01-29 07:00:00,17.65,17.79,17.43,17.5,49000
2019-01-30 07:00:00,17.57,17.72,17.21,17.5,44800
2019-01-31 07:00:00,17.5,17.72,17.36,17.57,25400
2019-02-01 07:00:00,17.57,17.57,17.36,17.57,20700
2019-02-11 07:00:00,17.57,17.79,17.57,17.79,18100
2019-02-12 07:00:00,17.72,17.87,17.72,17.79,33400
2019-02-13 07:00:00,17.79,18.01,17.14,17.36,48100
2019-02-14 07:00:00,17.57,17.72,16.92,17.06,40100
2019-02-15 07:00:00,17.21,17.28,16.7,16.92,38800
2019-02-18 07:00:00,16.99,17.14,16.48,16.63,52100
2019-02-19 07:00:00,16.7,16.77,16.26,16.33,40400
2019-02-20 07:00:00,16.55,16.63,15.9,16.12,47400
2019-02-21 07:00:00,16.19,16.33,15.53,15.68,30600
2019-02-22 07:00:00,15.75,15.75,15.02,15.17,45300
2019-02-25 07:00:00,15.24,15.31,14.95,15.1,51000
2019-02-26 07:00:00,15.17,15.61,14.95,15.61,42500
2019-02-27 07:00:00,15.31,15.9,13.13,15.9,26000
2019-02-28 07:00:00,15.61,16.41,15.61,16.33,49600
2019-03-01 07:00:00,16.77,16.77,15.61,15.82,39000
2019-03-04 07:00:00,15.9,16.12,15.31,15.61,49900
2019-03-05 07:00:00,15.68,15.82,15.1,15.24,47400
2019-03-06 07:00:00,15.24,15.53,15.02,15.17,40800
2019-03-07 07:00:00,15.31,15.46,15.1,15.39,47600
2019-03-08 07:00:00,15.31,15.46,15.31,15.46,45900
2019-03-11 07:00:00,15.46,15.68,15.02,15.39,49200
2019-03-12 07:00:00,15.31,15.46,15.17,15.46,41200
2019-03-13 07:00:00,15.46,15.53,15.24,15.39,50800
2019-03-14 07:00:00,15.68,15.68,15.1,15.53,39500
2019-03-15 07:00:00,15.53,15.61,15.31,15.39,31800
2019-03-18 07:00:00,15.46,15.82,15.39,15.75,51800
2019-03-19 07:00:00,15.82,16.04,15.31,15.68,49200
2019-03-20 07:00:00,15.68,15.82,14.95,15.02,44200
2019-03-21 07:00:00,15.24,15.39,14.8,14.8,43800
2019-03-22 07:00:00,14.8,15.46,14.58,15.39,22600
2019-03-25 07:00:00,15.24,15.46,14.51,15.39,57700
2019-03-26 07:00:00,16.04,16.04,15.24,15.31,35900
2019-03-27 07:00:00,15.31,15.68,15.31,15.68,51200
2019-03-28 07:00:00,15.61,15.75,15.17,15.61,42200
2019-03-29 07:00:00,15.53,15.75,15.1,15.31,33900
2019-04-01 07:00:00,15.53,15.68,15.46,15.61,53700
2019-04-02 07:00:00,15.61,15.75,15.24,15.24,48600
2019-04-03 07:00:00,15.39,15.53,14.73,14.88,58700
2019-04-04 07:00:00,14.95,15.24,14.88,15.1,39900
2019-04-05 07:00:00,15.1,15.17,14.95,15.17,21900
2019-04-08 07:00:00,15.17,15.17,14.95,15.17,41100
2019-04-09 07:00:00,15.1,15.24,15.02,15.17,46400
2019-04-10 07:00:00,15.17,15.17,14.73,14.73,57000
2019-04-11 07:00:00,14.95,15.02,14.73,14.88,25100
2019-04-12 07:00:00,14.88,15.02,14.44,14.95,30900
2019-04-16 07:00:00,14.88,15.31,14.44,15.24,50300
2019-04-17 07:00:00,15.1,15.61,15.1,15.46,62700
2019-04-18 07:00:00,15.53,15.9,15.39,15.46,37800
2019-04-19 07:00:00,15.53,15.61,15.1,15.31,42900
2019-04-22 07:00:00,15.39,15.46,14.88,14.88,29700
2019-04-23 07:00:00,15.02,15.39,15.02,15.31,27200
2019-04-24 07:00:00,15.24,15.46,15.24,15.39,47200
2019-04-25 07:00:00,15.39,15.46,15.39,15.46,57200
2019-04-26 07:00:00,15.39,15.46,15.31,15.46,13100
2019-05-02 07:00:00,15.31,15.46,15.31,15.46,18800
2019-05-03 07:00:00,15.53,15.61,15.53,15.53,40000
2019-05-06 07:00:00,15.61,15.68,15.61,15.68,105800
2019-05-07 07:00:00,15.61,15.68,15.61,15.61,135900
2019-05-08 07:00:00,15.68,15.68,15.68,15.68,139100
2019-05-09 07:00:00,15.68,15.68,15.61,15.61,49700
2019-05-10 07:00:00,15.61,15.68,15.61,15.68,34300
2019-05-13 07:00:00,15.68,15.75,15.68,15.75,140400
2019-05-14 07:00:00,15.68,15.68,15.68,15.68,168600
2019-05-15 07:00:00,15.68,15.75,15.68,15.68,17200
2019-05-16 07:00:00,15.68,15.68,15.68,15.68,4000
2019-05-17 07:00:00,15.68,15.68,15.68,15.68,1600
2019-05-20 07:00:00,15.68,15.68,15.46,15.53,77300
2019-05-21 07:00:00,15.61,15.82,15.61,15.82,83900
2019-05-22 07:00:00,15.68,15.9,15.68,15.9,59600
2019-05-23 07:00:00,15.9,15.97,15.9,15.9,29500
2019-05-24 07:00:00,15.9,15.97,15.9,15.97,170700
2019-05-27 07:00:00,16.04,16.26,15.97,16.26,141200
2019-05-28 07:00:00,16.33,16.33,15.97,16.04,143500
2019-05-29 07:00:00,16.04,16.04,15.82,15.97,166500
2019-05-30 07:00:00,15.97,15.97,15.82,15.9,44600
2019-05-31 07:00:00,15.82,15.82,15.75,15.82,33300
2019-06-03 07:00:00,15.68,15.9,15.61,15.9,36400
2019-06-04 07:00:00,15.82,16.19,15.82,16.19,53900
2019-06-05 07:00:00,16.12,16.55,16.12,16.55,80300
2019-06-06 07:00:00,16.41,16.92,16.41,16.92,102700
2019-06-07 07:00:00,16.7,17.21,16.7,17.14,119100
2019-06-10 07:00:00,16.99,17.06,16.48,16.7,63700
2019-06-11 07:00:00,16.7,16.7,16.33,16.48,36100
2019-06-12 07:00:00,16.48,16.63,16.41,16.55,41400
2019-06-13 07:00:00,16.55,18.08,16.55,17.5,66400
2019-06-14 07:00:00,17.36,17.5,17.21,17.28,51600
2019-06-17 07:00:00,17.36,17.36,17.06,17.21,22100
2019-06-18 07:00:00,17.21,17.21,16.77,16.77,54300
2019-06-19 07:00:00,16.7,16.77,16.41,16.55,54000
