time,open,high,low,close,volume
2018-08-09 07:00:00,15.5,16.33,15.3,15.4,61800
2018-08-10 07:00:00,15.35,15.79,15.35,15.6,14600
2018-08-13 07:00:00,15.6,16.23,15.6,15.84,50200
2018-08-14 07:00:00,15.84,16.08,15.6,16.08,100131
2018-08-15 07:00:00,15.89,17.55,15.89,16.33,108600
2018-08-16 07:00:00,16.33,17.3,16.13,16.77,82800
2018-08-17 07:00:00,16.81,17.3,16.81,17.06,61265
2018-08-20 07:00:00,17.06,18.03,17.06,17.64,74750
2018-08-21 07:00:00,17.64,18.96,17.64,18.76,126050
2018-08-22 07:00:00,18.52,20.57,18.52,19.98,149770
2018-08-23 07:00:00,19.59,20.66,19.01,19.25,82266
2018-08-24 07:00:00,19.25,19.98,18.57,19.4,53350
2018-08-27 07:00:00,19.98,20.91,19.64,20.47,60765
2018-08-28 07:00:00,20.42,21.2,20.37,20.91,80655
2018-08-29 07:00:00,20.96,21.59,20.57,21.54,86043
2018-08-30 07:00:00,21.64,22.18,21.59,22.18,78472
2018-08-31 07:00:00,22.22,23.54,22.22,23.15,67270
2018-09-04 07:00:00,23.15,24.91,23.15,24.86,96860
2018-09-05 07:00:00,25.83,26.81,24.71,25.15,129510
2018-09-06 07:00:00,25.59,25.83,23.15,23.39,272070
2018-09-07 07:00:00,23.39,24.08,22.91,23.98,16010
2018-09-10 07:00:00,23.88,24.76,22.66,23.93,107979
2018-09-11 07:00:00,23.88,23.93,22.42,22.42,74165
2018-09-12 07:00:00,22.42,22.91,21.2,22.91,119390
2018-09-13 07:00:00,23.35,23.35,22.22,22.52,54741
2018-09-14 07:00:00,21.98,22.86,21.93,22.57,27959
2018-09-17 07:00:00,22.57,24.32,22.42,23.88,54920
2018-09-18 07:00:00,23.44,24.66,23.44,24.47,64970
2018-09-19 07:00:00,24.52,24.52,23.54,23.54,50370
2018-09-20 07:00:00,23.64,24.37,22.66,22.76,94961
2018-09-21 07:00:00,22.86,22.91,21.93,22.66,92920
2018-09-24 07:00:00,22.91,22.91,22.18,22.66,22365
2018-09-25 07:00:00,22.47,22.66,21.93,22.03,105790
2018-09-26 07:00:00,22.32,22.91,22.32,22.66,42965
2018-09-27 07:00:00,22.66,23.59,22.66,23.3,30240
2018-09-28 07:00:00,23.64,23.64,22.42,22.42,33660
2018-10-01 07:00:00,22.22,22.66,22.13,22.13,52800
2018-10-02 07:00:00,22.42,22.57,22.22,22.32,19900
2018-10-03 07:00:00,22.61,22.66,22.18,22.52,24410
2018-10-04 07:00:00,22.71,22.76,22.22,22.57,31300
2018-10-05 07:00:00,22.66,22.91,22.27,22.27,49000
2018-10-08 07:00:00,22.42,22.66,22.08,22.27,41030
2018-10-09 07:00:00,22.42,23.88,22.42,23.54,117225
2018-10-10 07:00:00,23.64,24.81,23.64,23.88,91398
2018-10-11 07:00:00,23.88,24.52,22.27,23.35,292655
2018-10-12 07:00:00,22.91,23.39,22.47,23.3,116988
2018-10-15 07:00:00,23.39,23.39,22.32,22.32,90009
2018-10-16 07:00:00,22.42,22.91,22.32,22.61,33100
2018-10-17 07:00:00,22.61,22.91,22.42,22.91,73800
2018-10-18 07:00:00,23.05,23.05,22.42,22.81,37940
2018-10-19 07:00:00,22.66,22.91,22.32,22.91,27100
2018-10-22 07:00:00,23.35,23.39,22.42,22.76,42427
2018-10-23 07:00:00,22.18,22.76,20.52,20.52,136462
2018-10-24 07:00:00,20.37,20.37,18.47,18.47,141220
2018-10-25 07:00:00,16.67,20.28,16.67,17.79,239660
2018-10-26 07:00:00,17.84,19.45,17.59,17.59,50288
2018-10-29 07:00:00,17.84,19.01,15.84,17.64,129040
2018-10-30 07:00:00,17.55,18.03,15.89,15.89,110400
2018-10-31 07:00:00,16.08,17.4,15.6,17.4,52703
2018-11-01 07:00:00,18.23,18.23,17.06,17.55,41610
2018-11-02 07:00:00,17.55,17.94,17.4,17.84,14300
2018-11-05 07:00:00,17.84,17.98,17.55,17.94,34990
2018-11-06 07:00:00,18.28,18.28,17.55,17.74,38900
2018-11-07 07:00:00,18.03,18.03,17.3,17.5,53022
2018-11-08 07:00:00,17.06,18.03,17.06,17.59,40800
2018-11-09 07:00:00,17.89,18.96,17.64,18.13,88822
2018-11-12 07:00:00,18.37,18.81,18.13,18.81,27060
2018-11-13 07:00:00,18.62,19.11,18.47,19.11,28822
2018-11-14 07:00:00,19.11,19.25,18.91,19.15,17200
2018-11-15 07:00:00,19.11,19.11,18.57,18.62,23600
2018-11-16 07:00:00,18.33,18.96,18.28,18.28,11931
2018-11-19 07:00:00,18.52,18.96,18.28,18.67,3602
2018-11-20 07:00:00,18.76,18.76,18.13,18.67,21700
2018-11-21 07:00:00,18.67,18.67,18.52,18.62,1400
2018-11-22 07:00:00,18.67,18.86,18.18,18.62,10400
2018-11-23 07:00:00,18.57,18.72,18.23,18.62,15910
2018-11-26 07:00:00,18.62,18.76,18.62,18.76,22510
2018-11-27 07:00:00,18.96,18.96,18.52,18.76,13700
2018-11-28 07:00:00,18.28,18.76,18.28,18.67,16700
2018-11-29 07:00:00,18.62,18.72,18.28,18.67,34900
2018-11-30 07:00:00,18.52,18.67,18.03,18.52,66400
2018-12-03 07:00:00,18.67,19.5,18.28,19.5,115000
2018-12-04 07:00:00,17.55,19.89,17.55,18.52,55814
2018-12-05 07:00:00,18.33,18.67,18.23,18.57,75042
2018-12-06 07:00:00,18.28,18.67,17.94,18.52,130410
2018-12-07 07:00:00,18.33,19.25,18.33,18.91,76510
2018-12-10 07:00:00,19.2,19.2,18.81,18.96,19600
2018-12-11 07:00:00,18.52,18.96,18.28,18.67,80210
2018-12-12 07:00:00,18.03,18.52,17.79,18.03,130715
2018-12-13 07:00:00,18.03,18.47,17.89,18.47,33600
2018-12-14 07:00:00,18.67,18.67,18.13,18.13,17380
2018-12-17 07:00:00,18.42,18.42,17.55,17.74,58100
2018-12-18 07:00:00,17.55,17.69,16.57,16.67,55100
2018-12-19 07:00:00,17.06,17.79,16.77,17.11,43770
2018-12-20 07:00:00,17.16,17.79,17.11,17.79,35138
2018-12-21 07:00:00,17.69,17.84,17.35,17.69,20100
2018-12-24 07:00:00,17.69,17.84,17.06,17.5,34216
2018-12-25 07:00:00,17.4,17.4,16.77,16.91,25800
2018-12-26 07:00:00,17.3,17.4,16.91,17.25,8500
2018-12-27 07:00:00,17.55,18.03,17.3,17.3,44100
2018-12-28 07:00:00,17.3,17.35,17.06,17.11,22100
2019-01-02 07:00:00,15.4,17.55,15.4,17.01,19499
2019-01-03 07:00:00,17.4,17.4,16.33,16.96,35204
2019-01-04 07:00:00,16.86,17.55,16.38,17.06,27100
2019-01-07 07:00:00,15.35,17.4,15.35,16.33,41799
2019-01-08 07:00:00,16.81,17.06,16.33,17.06,92337
2019-01-09 07:00:00,17.06,17.55,16.62,17.5,42900
2019-01-10 07:00:00,17.11,17.59,16.96,17.06,37400
2019-01-11 07:00:00,17.25,17.4,16.33,17.2,48320
2019-01-14 07:00:00,17.3,17.3,16.77,17.06,76800
2019-01-15 07:00:00,17.06,17.2,16.96,16.96,20900
2019-01-16 07:00:00,17.06,17.06,16.13,16.33,73000
2019-01-17 07:00:00,16.47,16.81,16.33,16.67,18921
2019-01-18 07:00:00,16.57,16.77,16.33,16.38,21630
2019-01-21 07:00:00,16.52,17.84,16.52,17.79,66790
2019-01-22 07:00:00,17.79,18.03,17.3,17.45,79581
2019-01-23 07:00:00,17.4,17.55,17.25,17.45,17723
2019-01-24 07:00:00,17.2,17.2,16.57,16.72,33600
2019-01-25 07:00:00,16.57,16.77,16.57,16.77,4200
2019-01-28 07:00:00,16.86,16.86,16.57,16.67,34200
