time,open,high,low,close,volume
2018-08-09 07:00:00,8.78,8.78,8.78,8.78,100
2018-08-10 07:00:00,8.78,8.78,8.7,8.78,10300
2018-08-13 07:00:00,8.7,8.78,8.7,8.7,1500
2018-08-14 07:00:00,8.7,8.7,8.63,8.7,21330
2018-08-15 07:00:00,8.63,8.63,8.55,8.55,23800
2018-08-16 07:00:00,8.48,8.55,8.48,8.55,8231
2018-08-17 07:00:00,8.55,8.55,8.55,8.55,41003
2018-08-20 07:00:00,8.48,8.55,8.48,8.55,11098
2018-08-21 07:00:00,8.55,8.63,8.48,8.55,55650
2018-08-22 07:00:00,8.48,8.55,8.48,8.55,13800
2018-08-23 07:00:00,8.55,8.55,8.48,8.55,34710
2018-08-24 07:00:00,8.48,8.63,8.48,8.63,15500
2018-08-27 07:00:00,8.55,8.55,8.55,8.55,11415
2018-08-28 07:00:00,8.48,8.63,8.48,8.63,31920
2018-08-29 07:00:00,8.55,8.63,8.55,8.55,14051
2018-08-30 07:00:00,8.55,8.63,8.55,8.63,31350
2018-08-31 07:00:00,8.55,8.63,8.55,8.63,8430
2018-09-04 07:00:00,8.55,8.55,8.48,8.48,12200
2018-09-05 07:00:00,8.48,8.55,8.4,8.55,23510
2018-09-06 07:00:00,8.48,8.48,8.48,8.48,23400
2018-09-07 07:00:00,8.48,8.48,8.4,8.48,15390
2018-09-10 07:00:00,8.48,8.55,8.4,8.55,8300
2018-09-11 07:00:00,8.48,8.48,8.4,8.48,45000
2018-09-12 07:00:00,8.48,8.55,8.48,8.55,17987
2018-09-13 07:00:00,8.55,9.0,8.55,8.63,66510
2018-09-14 07:00:00,8.55,8.55,8.48,8.55,8869
2018-09-17 07:00:00,9.0,9.0,8.48,8.55,43883
2018-09-18 07:00:00,8.48,8.55,8.48,8.55,3300
2018-09-19 07:00:00,8.55,8.55,8.48,8.55,21700
2018-09-20 07:00:00,8.55,8.55,8.48,8.48,36200
2018-09-21 07:00:00,8.63,8.63,8.48,8.55,52920
2018-09-24 07:00:00,8.55,8.7,8.48,8.63,47062
2018-09-25 07:00:00,8.63,8.7,8.63,8.7,106600
2018-09-26 07:00:00,8.7,9.15,8.63,9.0,117920
2018-09-27 07:00:00,9.15,9.15,8.85,9.0,38150
2018-09-28 07:00:00,9.0,9.0,8.78,9.0,12361
2018-10-01 07:00:00,8.7,9.0,8.1,8.7,30430
2018-10-02 07:00:00,8.93,8.93,8.55,8.7,35650
