time,open,high,low,close,volume
2018-08-10 07:00:00,5.69,5.76,5.69,5.76,2200
2018-08-13 07:00:00,5.76,5.76,5.76,5.76,100
2018-08-17 07:00:00,5.23,5.68,5.23,5.68,500
2018-08-20 07:00:00,5.69,5.69,5.68,5.68,200
2018-08-22 07:00:00,5.64,5.64,5.64,5.64,200
2018-08-23 07:00:00,5.5,5.62,5.5,5.62,21100
2018-08-24 07:00:00,5.6,5.95,5.6,5.95,3600
2018-08-27 07:00:00,5.78,5.85,5.78,5.85,7700
2018-08-28 07:00:00,5.85,5.85,5.85,5.85,600
2018-08-29 07:00:00,5.83,5.85,5.78,5.85,30000
2018-08-30 07:00:00,5.5,5.81,5.5,5.81,200
2018-09-04 07:00:00,5.83,5.83,5.78,5.78,26600
2018-09-07 07:00:00,5.21,5.73,5.21,5.26,400
2018-09-10 07:00:00,5.28,5.6,5.26,5.6,28300
2018-09-11 07:00:00,5.76,5.76,5.68,5.68,200
2018-09-12 07:00:00,5.67,5.67,5.67,5.67,100
2018-09-13 07:00:00,5.12,5.67,5.12,5.62,51500
2018-09-14 07:00:00,5.6,5.6,5.6,5.6,4700
2018-09-17 07:00:00,5.65,5.65,5.65,5.65,100
2018-09-18 07:00:00,5.5,5.59,5.5,5.59,71100
2018-09-19 07:00:00,5.5,5.5,5.5,5.5,30200
2018-09-20 07:00:00,5.15,5.53,5.15,5.53,200
2018-09-25 07:00:00,5.24,5.46,5.24,5.46,2500
2018-09-26 07:00:00,5.5,5.64,5.5,5.64,3600
2018-09-28 07:00:00,5.38,5.44,5.38,5.44,700
2018-10-01 07:00:00,5.41,5.41,5.4,5.41,1300
2018-10-02 07:00:00,5.45,5.94,5.45,5.94,9500
2018-10-03 07:00:00,5.64,5.87,5.64,5.83,11900
2018-10-04 07:00:00,5.83,5.92,5.83,5.87,17900
2018-10-08 07:00:00,5.33,5.78,5.33,5.78,600
2018-10-10 07:00:00,5.69,5.83,5.69,5.73,10000
2018-10-12 07:00:00,5.5,5.85,5.5,5.83,9900
2018-10-15 07:00:00,5.38,5.78,5.38,5.78,1100
2018-10-17 07:00:00,5.24,5.78,5.24,5.78,5800
2018-10-19 07:00:00,5.69,5.76,5.69,5.76,6000
2018-10-22 07:00:00,5.72,5.83,5.72,5.83,12600
2018-10-23 07:00:00,5.83,5.83,5.78,5.8,6400
2018-10-24 07:00:00,5.8,5.8,5.8,5.8,100
2018-10-25 07:00:00,5.24,5.78,5.24,5.78,300
2018-10-26 07:00:00,5.41,5.77,5.41,5.77,500
2018-10-29 07:00:00,5.94,5.94,5.94,5.94,800
2018-10-30 07:00:00,5.73,5.73,5.6,5.69,400
2018-10-31 07:00:00,5.87,5.87,5.87,5.87,1100
2018-11-06 07:00:00,5.28,5.83,5.28,5.83,3500
2018-11-07 07:00:00,5.78,5.78,5.67,5.78,5600
2018-11-08 07:00:00,5.73,5.81,5.69,5.81,13200
2018-11-09 07:00:00,5.67,5.79,5.67,5.79,5000
2018-11-12 07:00:00,5.67,5.83,5.67,5.82,7000
2018-11-13 07:00:00,5.67,5.8,5.67,5.8,5800
2018-11-14 07:00:00,5.74,5.78,5.51,5.78,9900
2018-11-15 07:00:00,5.78,5.81,5.73,5.81,12300
2018-11-16 07:00:00,5.83,5.83,5.78,5.83,5900
2018-11-19 07:00:00,5.77,5.78,5.73,5.77,3900
2018-11-20 07:00:00,5.67,5.83,5.5,5.83,10100
2018-11-21 07:00:00,5.87,5.87,5.87,5.87,100
2018-11-23 07:00:00,5.78,5.83,5.78,5.83,1800
2018-11-26 07:00:00,5.83,5.87,5.64,5.87,3900
2018-11-27 07:00:00,5.83,5.87,5.83,5.87,5100
2018-11-28 07:00:00,5.83,5.87,5.83,5.87,2500
2018-11-29 07:00:00,5.83,5.87,5.83,5.87,2000
2018-11-30 07:00:00,5.31,5.87,5.31,5.87,1300
2018-12-03 07:00:00,5.29,6.06,5.29,6.06,5000
2018-12-04 07:00:00,5.87,5.99,5.87,5.99,3800
2018-12-05 07:00:00,5.85,6.01,5.85,6.01,6700
2018-12-06 07:00:00,5.85,5.97,5.66,5.97,3200
2018-12-07 07:00:00,5.85,5.97,5.85,5.96,8800
2018-12-10 07:00:00,5.85,5.94,5.85,5.94,1700
2018-12-11 07:00:00,5.85,5.92,5.85,5.92,2300
2018-12-12 07:00:00,5.85,5.92,5.85,5.92,4400
2018-12-13 07:00:00,5.85,5.92,5.85,5.92,2900
2018-12-14 07:00:00,5.85,5.87,5.85,5.87,3100
2018-12-17 07:00:00,5.85,5.99,5.85,5.99,2000
2018-12-18 07:00:00,5.85,5.92,5.85,5.92,1700
2018-12-19 07:00:00,5.85,5.92,5.81,5.92,3600
2018-12-20 07:00:00,5.85,5.97,5.85,5.97,1500
2018-12-21 07:00:00,5.85,5.92,5.85,5.92,1300
2018-12-24 07:00:00,5.87,5.89,5.87,5.89,1000
2018-12-25 07:00:00,5.89,5.92,5.89,5.92,1500
2019-01-09 07:00:00,5.87,5.92,5.87,5.92,3800
2019-01-17 07:00:00,5.78,5.92,5.78,5.92,600
2019-01-23 07:00:00,5.87,5.97,5.87,5.97,900
2019-01-25 07:00:00,5.87,5.96,5.87,5.96,5600
2019-01-30 07:00:00,5.92,5.92,5.92,5.92,2000
2019-02-12 07:00:00,5.92,5.92,5.68,5.68,9600
2019-02-13 07:00:00,5.87,5.87,5.87,5.87,100
2019-02-14 07:00:00,5.78,5.87,5.78,5.87,7600
2019-02-20 07:00:00,5.83,5.86,5.83,5.86,600
2019-02-21 07:00:00,5.78,5.86,5.78,5.86,2300
2019-02-25 07:00:00,5.68,5.87,5.68,5.87,1100
2019-02-28 07:00:00,5.68,5.82,5.68,5.82,4700
2019-03-01 07:00:00,5.83,5.92,5.7,5.92,7000
2019-03-07 07:00:00,5.86,5.95,5.83,5.95,3000
2019-03-08 07:00:00,5.87,5.96,5.87,5.96,61700
2019-03-11 07:00:00,5.69,5.92,5.69,5.92,2300
2019-03-12 07:00:00,5.68,5.91,5.68,5.87,10700
2019-03-13 07:00:00,5.87,5.87,5.83,5.83,62000
2019-03-14 07:00:00,5.78,5.78,5.78,5.78,400
2019-03-15 07:00:00,5.78,5.78,5.78,5.78,200
2019-03-18 07:00:00,5.59,5.77,5.59,5.77,3100
2019-03-21 07:00:00,5.68,5.68,5.68,5.68,100
2019-03-25 07:00:00,5.88,5.88,5.84,5.87,2600
2019-03-26 07:00:00,5.68,5.85,5.68,5.85,600
2019-03-27 07:00:00,5.88,6.05,5.88,6.05,2700
2019-03-29 07:00:00,5.68,5.78,5.68,5.78,400
2019-04-02 07:00:00,5.84,5.84,5.84,5.84,100
2019-04-03 07:00:00,5.88,5.88,5.86,5.86,266800
2019-04-09 07:00:00,5.59,5.78,5.28,5.78,2800
2019-04-10 07:00:00,5.78,5.88,5.77,5.88,4500
2019-04-16 07:00:00,5.83,5.99,5.77,5.9,38900
2019-04-17 07:00:00,5.9,5.9,5.9,5.9,10
2019-04-19 07:00:00,5.87,5.92,5.68,5.92,2000
2019-04-23 07:00:00,5.54,5.88,5.4,5.88,2200
2019-04-24 07:00:00,5.64,5.84,5.64,5.84,15400
2019-04-25 07:00:00,6.02,6.02,5.7,5.92,8400
2019-04-26 07:00:00,5.87,5.88,5.87,5.88,600
2019-05-02 07:00:00,5.87,5.9,5.87,5.89,4600
2019-05-06 07:00:00,5.88,5.96,5.78,5.96,16700
2019-05-07 07:00:00,5.88,5.88,5.88,5.88,2100
2019-05-08 07:00:00,5.87,5.87,5.87,5.87,1900
2019-05-09 07:00:00,5.88,5.88,5.88,5.88,4700
2019-05-10 07:00:00,5.88,5.88,5.88,5.88,2000
2019-05-13 07:00:00,5.85,6.01,5.81,6.0,19900
2019-05-14 07:00:00,5.97,5.97,5.97,5.97,200
2019-05-15 07:00:00,5.97,5.97,5.97,5.97,400
