time,open,high,low,close,volume
2018-08-09 07:00:00,3.1,3.13,3.06,3.1,2389095
2018-08-10 07:00:00,3.1,3.13,3.06,3.13,2051029
2018-08-13 07:00:00,3.1,3.19,3.06,3.16,2440532
2018-08-14 07:00:00,3.16,3.19,3.13,3.16,1928756
2018-08-15 07:00:00,3.16,3.16,3.06,3.06,2363468
2018-08-16 07:00:00,3.06,3.1,3.03,3.06,1876717
2018-08-17 07:00:00,3.03,3.1,3.03,3.06,1133018
2018-08-20 07:00:00,3.06,3.1,3.03,3.06,732374
2018-08-21 07:00:00,3.06,3.1,3.03,3.03,1018930
2018-08-22 07:00:00,3.03,3.1,3.03,3.1,1755772
2018-08-23 07:00:00,3.1,3.1,3.03,3.1,932387
2018-08-24 07:00:00,3.1,3.1,3.03,3.1,816032
2018-08-27 07:00:00,3.13,3.13,3.03,3.06,871580
2018-08-28 07:00:00,3.06,3.06,3.03,3.03,1157740
2018-08-29 07:00:00,3.06,3.06,3.0,3.0,1117531
2018-08-30 07:00:00,3.03,3.06,3.0,3.06,1078745
2018-08-31 07:00:00,3.06,3.06,3.0,3.03,1231202
2018-09-04 07:00:00,3.06,3.06,3.0,3.03,811154
2018-09-05 07:00:00,3.0,3.03,2.97,3.0,1212410
2018-09-06 07:00:00,3.0,3.0,2.93,2.97,573610
2018-09-07 07:00:00,2.93,2.97,2.9,2.93,1825423
2018-09-10 07:00:00,2.93,2.97,2.9,2.93,785300
2018-09-11 07:00:00,2.93,2.97,2.9,2.97,1701448
2018-09-12 07:00:00,2.93,2.97,2.9,2.93,1489905
2018-09-13 07:00:00,2.9,3.0,2.8,2.93,1094836
2018-09-14 07:00:00,2.97,2.97,2.93,2.97,1063536
2018-09-17 07:00:00,2.97,2.97,2.9,2.93,977903
2018-09-18 07:00:00,2.93,2.97,2.9,2.97,905312
2018-09-19 07:00:00,2.97,3.16,2.93,3.1,4269942
2018-09-20 07:00:00,3.1,3.13,3.06,3.13,1309555
2018-09-21 07:00:00,3.13,3.39,3.1,3.36,6130668
2018-09-24 07:00:00,3.36,3.39,3.26,3.29,2413172
2018-09-25 07:00:00,3.29,3.32,3.26,3.29,1243037
2018-09-26 07:00:00,3.29,3.36,3.23,3.29,3173760
2018-09-27 07:00:00,3.32,3.36,3.29,3.29,1204132
2018-09-28 07:00:00,3.36,3.49,3.29,3.39,3890577
2018-10-01 07:00:00,3.46,3.58,3.42,3.49,4154064
2018-10-02 07:00:00,3.49,3.49,3.42,3.46,1888866
2018-10-03 07:00:00,3.46,3.46,3.36,3.42,1330584
2018-10-04 07:00:00,3.42,3.46,3.39,3.46,1246282
2018-10-05 07:00:00,3.42,3.46,3.36,3.39,1747411
2018-10-08 07:00:00,3.39,3.39,3.29,3.36,1142498
2018-10-09 07:00:00,3.32,3.36,3.29,3.32,1316884
2018-10-10 07:00:00,3.32,3.32,3.23,3.26,1511786
2018-10-11 07:00:00,3.19,3.19,2.97,3.03,5331799
2018-10-12 07:00:00,2.97,3.13,2.97,3.13,1839916
2018-10-15 07:00:00,3.06,3.19,3.06,3.1,2110065
2018-10-16 07:00:00,3.13,3.16,3.1,3.16,796884
2018-10-17 07:00:00,3.16,3.23,3.13,3.16,839801
2018-10-18 07:00:00,3.19,3.19,3.1,3.1,626029
2018-10-19 07:00:00,3.1,3.13,3.06,3.1,591550
2018-10-22 07:00:00,3.13,3.13,3.06,3.06,420691
2018-10-23 07:00:00,3.06,3.06,2.97,3.03,1496304
2018-10-24 07:00:00,3.0,3.03,2.97,3.0,562088
2018-10-25 07:00:00,2.97,3.0,2.9,2.97,1386682
2018-10-26 07:00:00,2.97,3.06,2.97,3.03,1115621
2018-10-29 07:00:00,3.0,3.03,2.97,3.0,970930
2018-10-30 07:00:00,3.0,3.0,2.97,2.97,800405
2018-10-31 07:00:00,3.0,3.06,3.0,3.06,934256
2018-11-01 07:00:00,3.06,3.06,2.97,3.0,821961
2018-11-02 07:00:00,3.0,3.03,3.0,3.0,765530
2018-11-05 07:00:00,3.0,3.03,3.0,3.0,399374
2018-11-06 07:00:00,3.0,3.03,3.0,3.0,424581
2018-11-07 07:00:00,3.0,3.0,2.97,3.0,462072
2018-11-08 07:00:00,3.03,3.03,2.97,3.03,542096
2018-11-09 07:00:00,3.0,3.03,2.97,3.0,346166
2018-11-12 07:00:00,3.0,3.0,2.93,3.0,556018
2018-11-13 07:00:00,2.93,2.97,2.9,2.9,1102976
2018-11-14 07:00:00,2.93,2.97,2.9,2.93,527755
2018-11-15 07:00:00,2.9,2.93,2.9,2.93,553526
2018-11-16 07:00:00,2.93,2.97,2.9,2.93,475966
2018-11-19 07:00:00,2.93,3.0,2.93,3.0,429932
2018-11-20 07:00:00,2.97,3.0,2.97,3.0,446784
2018-11-21 07:00:00,2.97,3.0,2.93,2.97,325515
2018-11-22 07:00:00,2.97,3.13,2.97,3.1,2656365
2018-11-23 07:00:00,3.13,3.13,3.06,3.1,827737
2018-11-26 07:00:00,3.1,3.1,3.03,3.06,661266
2018-11-27 07:00:00,3.06,3.06,3.0,3.0,874712
2018-11-28 07:00:00,3.03,3.06,3.0,3.03,727595
2018-11-29 07:00:00,3.03,3.1,3.03,3.06,1077568
2018-11-30 07:00:00,3.06,3.1,3.03,3.1,674232
2018-12-03 07:00:00,3.06,3.19,3.06,3.16,1956807
2018-12-04 07:00:00,3.16,3.23,3.16,3.23,1496429
2018-12-05 07:00:00,3.23,3.23,3.13,3.19,1044941
2018-12-06 07:00:00,3.19,3.26,3.19,3.23,1391708
2018-12-07 07:00:00,3.26,3.29,3.23,3.26,1785904
2018-12-10 07:00:00,3.26,3.26,3.23,3.23,642531
2018-12-11 07:00:00,3.26,3.26,3.16,3.19,778588
2018-12-12 07:00:00,3.19,3.26,3.16,3.23,802750
2018-12-13 07:00:00,3.19,3.23,3.13,3.16,743996
2018-12-14 07:00:00,3.16,3.23,3.13,3.16,729201
2018-12-17 07:00:00,3.16,3.23,3.1,3.13,796451
2018-12-18 07:00:00,3.13,3.13,3.06,3.1,1149022
2018-12-19 07:00:00,3.1,3.16,3.06,3.1,363690
2018-12-20 07:00:00,3.1,3.16,3.06,3.1,301977
2018-12-21 07:00:00,3.1,3.1,3.06,3.1,300270
2018-12-24 07:00:00,3.1,3.1,3.03,3.03,454146
2018-12-25 07:00:00,3.03,3.03,2.93,3.0,998814
2018-12-26 07:00:00,3.0,3.1,2.97,3.1,1025047
2018-12-27 07:00:00,3.16,3.19,3.06,3.12,1014580
2018-12-28 07:00:00,3.09,3.4,3.09,3.12,1064430
2019-01-02 07:00:00,3.19,3.19,3.09,3.09,382061
2019-01-03 07:00:00,3.09,3.09,2.96,3.02,967044
2019-01-04 07:00:00,2.99,3.02,2.92,2.99,613657
2019-01-07 07:00:00,2.99,3.02,2.92,2.96,424613
2019-01-08 07:00:00,2.99,3.02,2.99,3.02,385589
2019-01-09 07:00:00,3.02,3.06,2.99,2.99,167393
2019-01-10 07:00:00,3.02,3.02,2.99,2.99,279490
2019-01-11 07:00:00,3.02,3.02,2.99,2.99,386525
2019-01-14 07:00:00,3.02,3.02,2.96,2.96,146306
2019-01-15 07:00:00,2.96,2.99,2.92,2.99,341119
2019-01-16 07:00:00,2.99,3.02,2.89,2.92,1088792
2019-01-17 07:00:00,2.96,2.96,2.89,2.89,349496
2019-01-18 07:00:00,2.89,2.92,2.85,2.89,215505
2019-01-21 07:00:00,2.85,2.96,2.85,2.92,848520
2019-01-22 07:00:00,2.92,2.96,2.89,2.92,489693
2019-01-23 07:00:00,2.92,2.92,2.89,2.92,404630
2019-01-24 07:00:00,2.92,2.96,2.89,2.92,757010
2019-01-25 07:00:00,2.92,2.96,2.89,2.92,732417
2019-01-28 07:00:00,2.89,2.92,2.89,2.89,374915
2019-01-29 07:00:00,2.89,2.92,2.85,2.92,301218
2019-01-30 07:00:00,3.3,3.3,2.92,2.92,230765
2019-01-31 07:00:00,2.99,2.99,2.92,2.92,646260
2019-02-01 07:00:00,2.96,2.99,2.92,2.92,413605
2019-02-11 07:00:00,2.92,3.02,2.92,3.02,266153
2019-02-12 07:00:00,2.99,3.09,2.99,3.09,1137730
2019-02-13 07:00:00,3.06,3.09,3.02,3.06,786211
2019-02-14 07:00:00,3.09,3.09,3.02,3.06,355093
2019-02-15 07:00:00,3.06,3.06,2.99,3.02,943366
2019-02-18 07:00:00,3.02,3.06,2.99,3.02,968250
2019-02-19 07:00:00,3.02,3.02,2.96,2.99,1491209
2019-02-20 07:00:00,2.99,3.16,2.99,3.12,2134399
2019-02-21 07:00:00,3.12,3.16,3.09,3.12,1153646
2019-02-22 07:00:00,3.12,3.12,3.06,3.09,580835
2019-02-25 07:00:00,3.09,3.16,3.09,3.12,889710
2019-02-26 07:00:00,3.12,3.12,3.06,3.06,852792
2019-02-27 07:00:00,3.09,3.12,3.06,3.09,399450
2019-02-28 07:00:00,3.09,3.09,3.02,3.06,1416226
2019-03-01 07:00:00,3.06,3.09,3.02,3.06,520938
2019-03-04 07:00:00,3.06,3.12,3.06,3.09,440893
2019-03-05 07:00:00,3.09,3.23,3.09,3.12,1397110
2019-03-06 07:00:00,3.12,3.12,3.09,3.12,497639
2019-03-07 07:00:00,3.09,3.19,3.09,3.16,1782996
