time,open,high,low,close,volume
2018-06-21 07:00:00,17.88,20.53,17.88,20.38,131240
2018-06-22 07:00:00,20.53,20.74,20.12,20.12,27571
2018-06-25 07:00:00,20.12,20.12,18.85,19.11,31750
2018-06-26 07:00:00,19.36,19.36,18.6,19.16,20108
2018-06-27 07:00:00,18.85,20.38,18.85,20.38,59010
2018-06-28 07:00:00,19.82,20.33,19.82,20.12,53900
2018-06-29 07:00:00,20.12,20.33,19.92,20.33,104321
2018-07-02 07:00:00,20.12,20.12,19.67,19.67,29410
2018-07-03 07:00:00,19.77,20.89,19.77,19.87,90598
2018-07-04 07:00:00,19.92,19.92,19.36,19.87,2030
2018-07-05 07:00:00,19.67,19.82,19.36,19.36,10800
2018-07-06 07:00:00,19.46,19.87,19.36,19.77,24200
2018-07-09 07:00:00,19.87,20.12,19.51,19.51,4658
2018-07-10 07:00:00,19.87,19.87,19.82,19.82,4200
2018-07-11 07:00:00,19.67,19.97,19.67,19.87,117460
2018-07-12 07:00:00,19.77,19.82,19.36,19.61,1350
2018-07-13 07:00:00,19.36,19.61,19.36,19.61,35700
2018-07-16 07:00:00,19.77,19.77,19.36,19.36,5359
2018-07-17 07:00:00,19.51,19.51,19.41,19.51,3600
2018-07-18 07:00:00,19.82,20.38,19.51,20.07,41800
2018-07-20 07:00:00,19.72,19.72,19.61,19.72,6210
2018-07-23 07:00:00,19.72,19.72,19.61,19.61,3200
2018-07-24 07:00:00,19.61,19.61,19.36,19.41,7200
2018-07-25 07:00:00,19.41,19.67,19.36,19.36,3604
2018-07-26 07:00:00,19.41,19.41,19.41,19.41,570
2018-07-27 07:00:00,19.67,20.02,19.11,20.02,52700
2018-07-30 07:00:00,19.67,19.67,19.16,19.51,17200
2018-07-31 07:00:00,19.51,19.82,19.36,19.41,5900
2018-08-01 07:00:00,19.41,19.56,19.36,19.51,1620
2018-08-02 07:00:00,19.41,19.61,19.21,19.46,7300
2018-08-03 07:00:00,19.41,19.56,19.11,19.36,10800
2018-08-06 07:00:00,19.36,19.36,19.05,19.05,1500
2018-08-07 07:00:00,19.11,20.28,19.11,20.23,118030
2018-08-08 07:00:00,19.72,20.48,19.72,20.02,83200
2018-08-09 07:00:00,20.23,20.23,19.67,19.67,3930
2018-08-10 07:00:00,19.61,20.38,19.36,20.38,59600
2018-08-13 07:00:00,20.18,20.18,19.87,19.87,15980
2018-08-14 07:00:00,19.87,19.97,19.77,19.97,92750
2018-08-15 07:00:00,19.92,20.38,19.92,20.38,91840
2018-08-16 07:00:00,20.12,20.33,20.07,20.18,33960
2018-08-17 07:00:00,20.28,20.89,20.23,20.43,73000
2018-08-20 07:00:00,20.63,20.89,20.43,20.43,95677
2018-08-21 07:00:00,20.63,20.79,20.38,20.38,33700
2018-08-22 07:00:00,20.38,20.48,20.28,20.28,25740
2018-08-23 07:00:00,20.33,20.33,19.87,19.87,29850
2018-08-24 07:00:00,20.18,20.18,20.07,20.12,7620
2018-08-27 07:00:00,20.07,20.28,19.82,19.87,70500
2018-08-28 07:00:00,20.07,20.07,19.72,19.77,10120
2018-08-29 07:00:00,19.87,20.02,19.56,19.56,16510
2018-08-30 07:00:00,19.67,19.82,19.56,19.72,12570
2018-08-31 07:00:00,19.61,19.82,19.61,19.77,12223
2018-09-04 07:00:00,19.87,19.87,19.51,19.51,4707
2018-09-05 07:00:00,19.51,19.56,19.26,19.36,28570
2018-09-06 07:00:00,19.31,19.46,19.31,19.36,3040
2018-09-07 07:00:00,19.46,19.46,19.26,19.26,54200
2018-09-10 07:00:00,19.31,19.31,19.21,19.26,13400
2018-09-11 07:00:00,19.36,19.61,19.21,19.26,23610
2018-09-12 07:00:00,19.31,19.36,19.16,19.16,30950
2018-09-13 07:00:00,19.11,19.26,19.11,19.11,16100
2018-09-14 07:00:00,19.05,19.16,18.85,18.85,68300
2018-09-17 07:00:00,18.8,18.9,18.49,18.49,43700
2018-09-18 07:00:00,19.82,19.82,18.6,18.65,67700
