time,open,high,low,close,volume
2018-08-09 07:00:00,5.97,6.01,5.84,5.84,6673750
2018-08-10 07:00:00,5.83,5.87,5.78,5.87,4502690
2018-08-13 07:00:00,5.84,6.15,5.82,6.15,12961940
2018-08-14 07:00:00,6.15,6.19,6.02,6.02,6323050
2018-08-15 07:00:00,6.04,6.11,5.88,5.88,10837570
2018-08-16 07:00:00,5.81,5.98,5.76,5.98,7552020
2018-08-17 07:00:00,6.04,6.05,5.91,5.91,4898520
2018-08-20 07:00:00,5.91,5.95,5.78,5.78,5175120
2018-08-21 07:00:00,5.77,5.92,5.77,5.92,5127320
2018-08-22 07:00:00,5.98,5.98,5.88,5.91,5422380
2018-08-23 07:00:00,5.91,5.95,5.88,5.92,3718100
2018-08-24 07:00:00,5.93,6.0,5.81,5.93,6570400
2018-08-27 07:00:00,5.98,6.1,5.95,6.04,11328550
2018-08-28 07:00:00,6.07,6.12,6.01,6.04,6161990
2018-08-29 07:00:00,6.04,6.05,5.97,6.0,4080410
2018-08-30 07:00:00,5.98,6.1,5.97,6.08,6520160
2018-08-31 07:00:00,6.11,6.16,5.98,5.98,6531540
2018-09-04 07:00:00,5.96,6.0,5.83,5.83,6862680
2018-09-05 07:00:00,5.81,5.86,5.71,5.74,7095770
2018-09-06 07:00:00,5.74,5.8,5.64,5.67,4313740
2018-09-07 07:00:00,5.67,5.77,5.66,5.77,3703440
2018-09-10 07:00:00,5.77,5.78,5.69,5.72,2735620
2018-09-11 07:00:00,5.72,5.81,5.71,5.81,3731660
2018-09-12 07:00:00,5.83,5.86,5.74,5.74,3318140
2018-09-13 07:00:00,5.78,5.83,5.74,5.76,3451510
2018-09-14 07:00:00,5.76,5.78,5.66,5.71,10570970
2018-09-17 07:00:00,5.68,5.71,5.56,5.58,8461690
2018-09-18 07:00:00,5.5,5.59,5.48,5.58,5675280
2018-09-19 07:00:00,5.58,5.69,5.58,5.66,5657510
2018-09-20 07:00:00,5.66,5.73,5.64,5.71,4036940
2018-09-21 07:00:00,5.73,5.82,5.69,5.8,8952940
2018-09-24 07:00:00,5.83,5.91,5.83,5.86,6826500
2018-09-25 07:00:00,5.86,5.88,5.78,5.78,5973420
2018-09-26 07:00:00,5.77,5.87,5.76,5.81,5566750
2018-09-27 07:00:00,5.83,5.83,5.78,5.81,4363390
2018-09-28 07:00:00,5.81,5.91,5.8,5.83,7395590
2018-10-01 07:00:00,5.83,5.91,5.8,5.83,5220190
2018-10-02 07:00:00,5.83,5.84,5.77,5.78,4892350
2018-10-03 07:00:00,5.8,5.83,5.78,5.83,3420120
2018-10-04 07:00:00,5.87,6.14,5.86,6.06,21454340
2018-10-05 07:00:00,6.06,6.12,5.98,5.98,7423070
2018-10-08 07:00:00,5.96,6.02,5.93,6.0,5122700
2018-10-09 07:00:00,6.0,6.01,5.82,5.82,12851160
2018-10-10 07:00:00,5.78,5.8,5.67,5.74,11204970
2018-10-11 07:00:00,5.56,5.6,5.36,5.36,10786560
2018-10-12 07:00:00,5.3,5.54,5.3,5.5,8482230
2018-10-15 07:00:00,5.53,5.53,5.38,5.38,4251170
2018-10-16 07:00:00,5.38,5.53,5.38,5.49,3525870
2018-10-17 07:00:00,5.56,5.58,5.44,5.47,7054300
2018-10-18 07:00:00,5.47,5.47,5.34,5.34,4181130
2018-10-19 07:00:00,5.25,5.39,5.23,5.3,4184120
2018-10-22 07:00:00,5.44,5.48,5.33,5.33,3925760
2018-10-23 07:00:00,5.33,5.45,5.26,5.4,7564000
2018-10-24 07:00:00,5.4,5.45,5.32,5.32,3211900
2018-10-25 07:00:00,5.15,5.32,5.14,5.3,5386150
2018-10-26 07:00:00,5.35,5.42,5.28,5.32,5230060
2018-10-29 07:00:00,5.3,5.38,5.29,5.36,3861530
2018-10-30 07:00:00,5.36,5.48,5.34,5.39,5457910
2018-10-31 07:00:00,5.48,5.53,5.43,5.53,5037930
2018-11-01 07:00:00,5.5,5.53,5.43,5.43,2787460
2018-11-02 07:00:00,5.48,5.59,5.44,5.5,4290860
2018-11-05 07:00:00,5.48,5.54,5.44,5.52,3077230
2018-11-06 07:00:00,5.56,5.56,5.43,5.43,3581010
2018-11-07 07:00:00,5.47,5.47,5.39,5.43,2783650
2018-11-08 07:00:00,5.5,5.5,5.4,5.4,2147700
2018-11-09 07:00:00,5.42,5.42,5.26,5.28,4471580
2018-11-12 07:00:00,5.18,5.29,5.18,5.25,1643350
