time,open,high,low,close,volume
2018-08-09 07:00:00,3.77,3.91,3.77,3.86,193264
2018-08-10 07:00:00,3.86,3.89,3.75,3.86,170302
2018-08-13 07:00:00,3.86,3.96,3.79,3.93,289640
2018-08-14 07:00:00,3.96,3.96,3.84,3.89,83344
2018-08-15 07:00:00,3.91,3.91,3.79,3.79,85810
2018-08-16 07:00:00,3.75,3.79,3.72,3.75,94200
2018-08-17 07:00:00,3.84,3.84,3.68,3.68,136414
2018-08-20 07:00:00,3.68,3.75,3.68,3.72,36340
2018-08-21 07:00:00,3.72,3.77,3.7,3.75,45900
2018-08-22 07:00:00,3.79,3.89,3.77,3.79,196600
2018-08-23 07:00:00,3.82,3.82,3.77,3.82,53120
2018-08-24 07:00:00,3.79,3.84,3.77,3.82,134218
2018-08-27 07:00:00,3.82,3.84,3.79,3.79,170750
2018-08-28 07:00:00,3.84,3.89,3.79,3.89,312130
2018-08-29 07:00:00,3.89,3.91,3.84,3.89,409805
2018-08-30 07:00:00,3.89,3.91,3.84,3.86,107095
2018-08-31 07:00:00,3.86,3.89,3.77,3.77,63037
2018-09-04 07:00:00,3.77,3.77,3.7,3.7,146420
2018-09-05 07:00:00,3.7,3.72,3.65,3.7,204300
2018-09-06 07:00:00,3.7,3.7,3.51,3.51,90450
2018-09-07 07:00:00,3.63,3.86,3.56,3.82,596810
2018-09-10 07:00:00,3.82,3.82,3.72,3.75,242455
2018-09-11 07:00:00,3.75,3.79,3.72,3.77,230250
2018-09-12 07:00:00,3.79,3.79,3.72,3.77,228820
2018-09-13 07:00:00,3.77,3.82,3.75,3.79,194278
2018-09-14 07:00:00,3.79,4.14,3.79,4.05,1114927
2018-09-17 07:00:00,4.05,4.17,4.05,4.12,626379
2018-09-18 07:00:00,4.07,4.12,4.03,4.12,372508
2018-09-19 07:00:00,4.12,4.24,4.1,4.19,598537
2018-09-20 07:00:00,4.21,4.33,4.21,4.28,465955
2018-09-21 07:00:00,4.28,4.36,4.17,4.31,512330
2018-09-24 07:00:00,4.38,4.38,4.24,4.28,301569
2018-09-25 07:00:00,4.28,4.33,4.24,4.28,420117
2018-09-26 07:00:00,4.28,4.4,4.28,4.33,518410
2018-09-27 07:00:00,4.33,4.38,4.28,4.33,360810
2018-09-28 07:00:00,4.36,4.36,4.26,4.33,243544
2018-10-01 07:00:00,4.33,4.33,4.26,4.28,244148
2018-10-02 07:00:00,4.28,4.47,4.26,4.47,832881
2018-10-03 07:00:00,4.54,4.54,4.4,4.47,329697
2018-10-04 07:00:00,4.42,4.5,4.42,4.5,297093
2018-10-05 07:00:00,4.45,4.5,4.28,4.33,746602
2018-10-08 07:00:00,4.28,4.33,4.26,4.33,213490
2018-10-09 07:00:00,4.33,4.33,4.26,4.31,179225
2018-10-10 07:00:00,4.28,4.28,4.14,4.17,433751
2018-10-11 07:00:00,4.1,4.1,3.82,3.82,693960
2018-10-12 07:00:00,3.82,3.98,3.65,3.98,721590
2018-10-15 07:00:00,3.98,3.98,3.75,3.84,146946
2018-10-16 07:00:00,3.86,3.98,3.79,3.93,81122
2018-10-17 07:00:00,3.96,4.03,3.91,3.91,197050
2018-10-18 07:00:00,3.91,3.98,3.89,3.89,105220
2018-10-19 07:00:00,3.82,3.96,3.75,3.96,58700
2018-10-22 07:00:00,3.98,3.98,3.82,3.82,148238
2018-10-23 07:00:00,3.84,3.84,3.63,3.75,258530
2018-10-24 07:00:00,3.75,3.77,3.63,3.68,92070
2018-10-25 07:00:00,3.65,3.65,3.42,3.58,325968
2018-10-26 07:00:00,3.63,3.65,3.44,3.54,250100
2018-10-29 07:00:00,3.61,3.61,3.4,3.54,191435
2018-10-30 07:00:00,3.49,3.54,3.49,3.51,116163
2018-10-31 07:00:00,3.51,3.68,3.51,3.63,332080
2018-11-01 07:00:00,3.63,3.65,3.58,3.61,132705
2018-11-02 07:00:00,3.63,3.68,3.56,3.65,169000
2018-11-05 07:00:00,3.63,3.65,3.58,3.65,64711
2018-11-06 07:00:00,3.65,3.68,3.61,3.63,114613
2018-11-07 07:00:00,3.63,3.65,3.56,3.61,90900
2018-11-08 07:00:00,3.65,3.7,3.58,3.58,84100
2018-11-09 07:00:00,3.65,3.65,3.54,3.58,115710
2018-11-12 07:00:00,3.54,3.56,3.51,3.56,63403
2018-11-13 07:00:00,3.51,3.56,3.49,3.56,105300
2018-11-14 07:00:00,3.56,3.56,3.46,3.51,53800
2018-11-15 07:00:00,3.49,3.49,3.42,3.42,157200
2018-11-16 07:00:00,3.49,3.51,3.42,3.49,139220
2018-11-19 07:00:00,3.51,3.51,3.44,3.49,134315
2018-11-20 07:00:00,3.49,3.51,3.46,3.46,110604
2018-11-21 07:00:00,3.46,3.49,3.44,3.49,86200
2018-11-22 07:00:00,3.54,3.54,3.49,3.49,124000
2018-11-23 07:00:00,3.46,3.51,3.44,3.51,64200
2018-11-26 07:00:00,3.16,3.54,3.16,3.49,84925
