time,open,high,low,close,volume
2018-08-09 07:00:00,29.24,29.57,29.24,29.28,20432
2018-08-10 07:00:00,29.28,29.28,29.28,29.28,1922
2018-08-13 07:00:00,29.28,33.46,29.28,30.77,3342
2018-08-14 07:00:00,30.47,30.47,29.54,29.57,15000
2018-08-15 07:00:00,29.57,29.6,29.57,29.6,34512
2018-08-16 07:00:00,29.57,29.57,29.28,29.42,13846
2018-08-17 07:00:00,29.28,29.36,29.28,29.28,5222
2018-08-20 07:00:00,28.95,28.98,28.95,28.95,18011
2018-08-21 07:00:00,28.83,28.98,28.83,28.95,4163
2018-08-22 07:00:00,28.83,29.3,28.83,29.3,13613
2018-08-23 07:00:00,29.28,29.28,28.98,29.12,43490
2018-08-24 07:00:00,28.98,29.57,28.98,29.57,53030
2018-08-27 07:00:00,33.19,33.32,30.88,30.92,5388
2018-08-28 07:00:00,32.53,32.53,28.79,29.54,3730
2018-08-29 07:00:00,29.89,30.23,29.54,29.89,8323
2018-08-30 07:00:00,29.89,30.4,29.54,30.3,16200
2018-08-31 07:00:00,30.23,30.92,30.23,30.34,3222
2018-09-04 07:00:00,30.3,30.85,30.3,30.4,7370
2018-09-05 07:00:00,30.4,30.4,30.37,30.4,8800
2018-09-06 07:00:00,30.23,30.47,30.23,30.44,10117
2018-09-07 07:00:00,30.44,30.51,30.44,30.44,6038
2018-09-10 07:00:00,30.44,30.44,30.4,30.4,18095
2018-09-11 07:00:00,30.23,30.4,30.23,30.4,8288
2018-09-12 07:00:00,30.23,30.4,30.23,30.4,6397
2018-09-13 07:00:00,30.44,30.44,30.23,30.44,1846
2018-09-14 07:00:00,30.4,30.4,30.4,30.4,7715
2018-09-17 07:00:00,29.89,30.23,29.89,30.23,686
2018-09-18 07:00:00,30.16,30.23,30.16,30.23,3890
2018-09-19 07:00:00,30.23,30.23,30.23,30.23,6124
2018-09-20 07:00:00,30.23,30.58,30.23,30.23,5899
2018-09-21 07:00:00,30.23,30.4,30.23,30.4,10763
2018-09-24 07:00:00,30.54,30.54,30.4,30.4,4775
2018-09-25 07:00:00,30.4,30.58,30.4,30.58,5904
2018-09-26 07:00:00,30.23,30.92,30.23,30.92,21475
2018-09-27 07:00:00,30.4,30.75,30.4,30.44,7510
2018-09-28 07:00:00,30.92,30.92,30.85,30.92,7658
2018-10-01 07:00:00,30.44,31.09,30.44,30.95,24363
2018-10-02 07:00:00,31.09,31.09,30.95,30.95,400
2018-10-03 07:00:00,30.92,31.09,30.92,31.09,5502
2018-10-04 07:00:00,31.09,31.09,30.92,30.95,21179
2018-10-05 07:00:00,30.99,31.09,30.92,30.92,8980
2018-10-08 07:00:00,30.92,30.92,29.89,30.92,7538
2018-10-09 07:00:00,30.68,30.68,30.68,30.68,113
2018-10-10 07:00:00,30.92,30.92,30.3,30.34,8285
2018-10-11 07:00:00,30.78,30.78,30.68,30.68,3569
2018-10-12 07:00:00,29.54,29.54,29.54,29.54,100
2018-10-15 07:00:00,29.54,29.89,29.54,29.54,7542
2018-10-16 07:00:00,29.58,29.58,29.54,29.58,2480
2018-10-17 07:00:00,29.65,29.65,29.58,29.58,1106
2018-10-18 07:00:00,29.86,29.86,29.86,29.86,599
2018-10-19 07:00:00,29.2,29.2,29.2,29.2,10000
2018-10-22 07:00:00,29.2,29.24,29.2,29.24,1175
2018-10-23 07:00:00,28.17,29.54,28.17,28.17,3123
2018-10-24 07:00:00,29.2,29.2,28.52,29.2,3182
2018-10-25 07:00:00,29.13,29.13,27.52,28.86,767
2018-10-26 07:00:00,28.79,29.03,28.55,28.65,2170
2018-10-29 07:00:00,28.52,28.82,28.52,28.52,1712
2018-10-30 07:00:00,28.55,29.54,28.55,29.54,18085
2018-10-31 07:00:00,25.77,29.89,25.77,29.03,4170
2018-11-01 07:00:00,28.86,29.2,28.86,28.86,4265
2018-11-02 07:00:00,29.2,29.2,29.2,29.2,136
2018-11-05 07:00:00,30.58,30.58,29.2,29.2,11326
2018-11-06 07:00:00,29.27,29.72,29.27,29.54,13610
2018-11-07 07:00:00,29.03,29.65,29.03,29.54,6286
2018-11-08 07:00:00,29.54,29.89,29.54,29.89,3061
2018-11-09 07:00:00,29.54,29.54,29.54,29.54,2076
2018-11-12 07:00:00,29.54,30.23,29.54,30.23,26607
2018-11-13 07:00:00,30.4,30.92,29.89,30.92,14807
2018-11-14 07:00:00,30.75,30.92,30.75,30.92,43849
2018-11-15 07:00:00,30.58,31.61,30.58,31.26,21230
2018-11-16 07:00:00,31.16,32.12,31.16,32.02,40426
2018-11-19 07:00:00,31.61,32.12,31.61,32.12,43767
2018-11-20 07:00:00,31.95,31.95,31.78,31.95,44475
2018-11-21 07:00:00,31.88,32.26,31.88,32.26,7645
2018-11-22 07:00:00,31.95,31.95,31.81,31.81,28806
2018-11-23 07:00:00,32.26,32.26,30.95,30.99,2912
2018-11-26 07:00:00,31.88,31.88,31.88,31.88,180
2018-11-27 07:00:00,30.64,31.61,30.64,31.61,5183
2018-11-28 07:00:00,31.26,31.4,31.26,31.4,4634
2018-11-29 07:00:00,31.37,32.12,31.09,32.12,30631
2018-11-30 07:00:00,31.61,31.61,31.61,31.61,9150
2018-12-03 07:00:00,31.54,32.12,31.5,32.12,15768
2018-12-04 07:00:00,31.95,32.98,31.95,32.98,48347
2018-12-05 07:00:00,32.12,32.29,32.12,32.29,6027
2018-12-06 07:00:00,32.12,32.64,32.12,32.6,75611
2018-12-07 07:00:00,32.47,34.18,32.47,34.18,76516
2018-12-10 07:00:00,33.84,34.18,33.84,34.15,19522
2018-12-11 07:00:00,34.01,34.53,34.01,34.35,180517
2018-12-12 07:00:00,34.35,34.35,34.35,34.35,5777
2018-12-13 07:00:00,34.35,34.7,34.35,34.7,13463
2018-12-14 07:00:00,34.01,34.7,34.01,34.7,51352
2018-12-17 07:00:00,34.18,34.35,34.18,34.35,39004
2018-12-18 07:00:00,34.15,34.7,34.15,34.7,32946
2018-12-19 07:00:00,33.46,34.7,33.46,34.7,9006
2018-12-20 07:00:00,34.63,34.7,34.35,34.7,60850
2018-12-21 07:00:00,35.04,35.11,34.01,35.11,60517
2018-12-24 07:00:00,34.35,34.7,34.35,34.7,1536
2018-12-25 07:00:00,32.98,34.63,32.98,34.63,476
2018-12-26 07:00:00,34.18,34.7,34.18,34.7,36837
2018-12-27 07:00:00,34.35,34.35,34.01,34.01,1614
2018-12-28 07:00:00,34.32,35.04,32.98,35.04,38770
2019-01-02 07:00:00,34.01,34.35,34.01,34.35,4028
2019-01-03 07:00:00,34.01,34.53,33.08,34.53,942
2019-01-04 07:00:00,33.91,34.7,33.91,34.35,37361
2019-01-07 07:00:00,34.35,34.35,33.36,34.35,1537
2019-01-08 07:00:00,34.01,34.7,34.01,34.7,67044
2019-01-09 07:00:00,34.35,34.7,34.35,34.39,21932
2019-01-10 07:00:00,34.35,34.63,34.29,34.63,11705
2019-01-11 07:00:00,34.22,34.7,34.22,34.7,5245
