time,open,high,low,close,volume
2019-04-16 07:00:00,20.16,21.19,14.97,14.97,341000
2019-04-17 07:00:00,15.15,15.78,14.4,14.97,180150
2019-04-18 07:00:00,14.4,14.68,13.53,13.53,81360
2019-04-19 07:00:00,13.53,15.95,13.07,15.95,165290
2019-04-22 07:00:00,16.12,17.33,16.12,17.16,113910
2019-04-23 07:00:00,16.82,17.28,15.89,16.12,36760
2019-04-24 07:00:00,15.55,16.35,15.55,15.95,74364
2019-04-25 07:00:00,15.61,15.89,15.26,15.32,61356
2019-04-26 07:00:00,15.66,16.18,15.2,16.07,68816
2019-05-02 07:00:00,16.24,16.24,15.49,15.78,39850
2019-05-03 07:00:00,15.78,16.47,15.55,16.41,122966
2019-05-06 07:00:00,16.12,17.79,16.12,16.82,128350
2019-05-07 07:00:00,17.05,17.56,17.05,17.22,53489
2019-05-08 07:00:00,17.22,17.28,16.47,16.82,54568
2019-05-09 07:00:00,16.7,17.85,16.7,17.56,81350
2019-05-10 07:00:00,17.74,17.74,16.87,16.99,74629
2019-05-13 07:00:00,17.05,18.31,17.05,17.85,109032
2019-05-14 07:00:00,17.56,19.58,17.28,17.62,113160
2019-05-15 07:00:00,17.85,18.14,17.45,17.85,153558
2019-05-16 07:00:00,17.68,17.85,17.1,17.56,105700
2019-05-17 07:00:00,17.28,17.85,16.64,17.33,85944
2019-05-20 07:00:00,17.51,17.56,16.82,17.28,62756
2019-05-21 07:00:00,17.28,17.28,17.05,17.22,31000
2019-05-22 07:00:00,17.16,17.79,17.16,17.28,87035
2019-05-23 07:00:00,17.22,17.33,17.1,17.16,38568
2019-05-24 07:00:00,16.87,17.22,16.59,16.59,66451
2019-05-27 07:00:00,17.16,17.16,15.95,16.35,100110
2019-05-28 07:00:00,16.18,16.82,16.18,16.59,54900
2019-05-29 07:00:00,16.7,17.33,16.41,17.1,71543
2019-05-30 07:00:00,16.87,17.22,16.59,16.93,62160
2019-05-31 07:00:00,16.99,16.99,16.47,16.53,40554
2019-06-03 07:00:00,16.53,16.82,15.95,16.18,11067
2019-06-04 07:00:00,15.89,16.24,15.89,16.18,17700
