time,open,high,low,close,volume
2018-08-09 07:00:00,13.17,13.23,12.68,12.68,49500
2018-08-10 07:00:00,12.68,12.84,12.39,12.39,18100
2018-08-13 07:00:00,12.62,12.65,12.23,12.36,56502
2018-08-14 07:00:00,12.62,12.62,12.36,12.42,33850
2018-08-15 07:00:00,12.36,12.55,12.26,12.26,33950
2018-08-16 07:00:00,12.23,12.36,12.19,12.36,15400
2018-08-17 07:00:00,12.36,12.36,12.13,12.19,18300
2018-08-20 07:00:00,12.03,12.32,12.03,12.32,54200
2018-08-21 07:00:00,12.13,12.32,12.13,12.29,53600
2018-08-22 07:00:00,12.29,12.42,12.19,12.39,49000
2018-08-23 07:00:00,12.36,12.68,12.36,12.49,39850
2018-08-24 07:00:00,12.39,12.52,12.23,12.36,14960
2018-08-27 07:00:00,12.23,12.36,12.16,12.16,59100
2018-08-28 07:00:00,12.23,12.29,12.1,12.16,6840
2018-08-29 07:00:00,12.29,12.29,12.16,12.19,16540
2018-08-30 07:00:00,12.19,12.19,12.1,12.16,12840
2018-08-31 07:00:00,12.13,12.13,12.03,12.13,31238
2018-09-04 07:00:00,12.58,12.58,12.03,12.19,20218
2018-09-05 07:00:00,12.13,12.29,11.71,11.93,73330
2018-09-06 07:00:00,12.16,12.32,11.93,11.93,66049
2018-09-07 07:00:00,12.03,12.1,11.87,11.93,76700
2018-09-10 07:00:00,12.03,12.03,11.54,11.87,117300
2018-09-11 07:00:00,11.71,12.03,11.19,11.71,150000
2018-09-12 07:00:00,12.03,12.84,11.71,12.55,206530
2018-09-13 07:00:00,12.42,13.1,12.42,13.01,433510
2018-09-14 07:00:00,13.01,13.23,12.94,13.17,354558
2018-09-17 07:00:00,13.17,14.24,13.17,14.14,509759
2018-09-18 07:00:00,14.14,14.8,13.98,14.63,553630
2018-09-19 07:00:00,14.63,15.12,14.34,14.76,456340
2018-09-20 07:00:00,14.96,15.48,14.76,15.28,1090397
2018-09-21 07:00:00,15.38,15.38,14.4,15.18,582840
2018-09-24 07:00:00,15.18,15.44,14.63,15.02,658570
2018-09-25 07:00:00,14.63,15.77,14.63,15.58,739858
2018-09-26 07:00:00,15.61,16.81,15.28,16.62,651971
2018-09-27 07:00:00,16.62,17.1,16.26,16.42,439460
2018-09-28 07:00:00,16.58,16.58,16.06,16.1,577903
2018-10-01 07:00:00,16.26,16.26,14.99,15.44,860584
2018-10-02 07:00:00,15.28,16.06,15.28,16.0,496920
2018-10-03 07:00:00,16.0,16.62,16.0,16.49,464405
2018-10-04 07:00:00,16.55,16.81,16.49,16.81,501185
2018-10-05 07:00:00,16.75,16.75,16.26,16.42,612595
2018-10-08 07:00:00,16.55,16.91,16.06,16.26,338073
2018-10-09 07:00:00,15.61,16.42,15.61,16.23,198650
2018-10-10 07:00:00,16.23,17.04,15.97,16.91,562830
2018-10-11 07:00:00,16.1,16.55,15.58,15.77,885775
2018-10-12 07:00:00,15.22,16.42,15.22,16.42,276050
2018-10-15 07:00:00,16.26,16.55,16.0,16.19,142656
2018-10-16 07:00:00,16.1,16.49,15.87,16.1,449662
2018-10-17 07:00:00,16.23,16.49,15.28,15.35,966790
2018-10-18 07:00:00,15.67,15.67,14.54,14.54,1418470
2018-10-19 07:00:00,14.54,15.22,13.98,14.57,705210
2018-10-22 07:00:00,14.63,16.26,14.5,15.77,4710992
2018-10-23 07:00:00,15.8,16.06,15.06,15.54,715967
2018-10-24 07:00:00,15.35,15.54,14.63,14.89,638144
2018-10-25 07:00:00,14.47,14.92,13.82,14.86,1315903
2018-10-26 07:00:00,14.96,15.02,14.37,14.44,487035
2018-10-29 07:00:00,14.63,14.63,14.11,14.34,455380
2018-10-30 07:00:00,14.73,14.73,14.05,14.14,631620
2018-10-31 07:00:00,14.31,14.63,14.14,14.54,639135
2018-11-01 07:00:00,14.4,14.99,14.4,14.66,513970
2018-11-02 07:00:00,14.73,15.28,14.63,15.25,471530
2018-11-05 07:00:00,15.25,15.61,15.15,15.51,448663
2018-11-06 07:00:00,15.44,15.67,15.22,15.35,403008
2018-11-07 07:00:00,15.41,15.9,15.18,15.61,512729
2018-11-08 07:00:00,15.64,16.19,15.64,15.8,447033
2018-11-09 07:00:00,15.87,16.03,15.18,15.38,527040
2018-11-12 07:00:00,15.38,15.41,15.02,15.32,367989
2018-11-13 07:00:00,15.15,15.54,14.8,15.22,571916
2018-11-14 07:00:00,15.25,15.67,15.25,15.44,595240
2018-11-15 07:00:00,14.83,15.54,14.83,15.25,293750
2018-11-16 07:00:00,15.25,15.44,15.12,15.25,371531
2018-11-19 07:00:00,15.22,15.32,14.96,15.09,511456
2018-11-20 07:00:00,15.09,15.38,15.02,15.25,407464
2018-11-21 07:00:00,15.18,15.64,15.09,15.61,561830
2018-11-22 07:00:00,15.61,15.93,15.48,15.61,392750
2018-11-23 07:00:00,15.64,15.9,15.41,15.41,590924
2018-11-26 07:00:00,15.44,15.61,15.35,15.41,325930
2018-11-27 07:00:00,15.41,15.58,15.02,15.15,480943
2018-11-28 07:00:00,14.96,15.15,14.73,14.73,423690
2018-11-29 07:00:00,14.83,14.96,14.37,14.4,591580
2018-11-30 07:00:00,14.4,14.57,14.11,14.31,542360
2018-12-03 07:00:00,14.37,14.83,14.31,14.63,511441
2018-12-04 07:00:00,14.73,14.83,14.63,14.7,243190
2018-12-05 07:00:00,14.63,14.76,14.47,14.7,330250
2018-12-06 07:00:00,14.63,14.83,14.57,14.83,412930
2018-12-07 07:00:00,14.83,14.99,14.76,14.99,142055
2018-12-10 07:00:00,14.99,15.15,14.89,14.92,172791
2018-12-11 07:00:00,14.96,15.02,14.44,14.57,138319
2018-12-12 07:00:00,14.63,14.63,14.31,14.44,325440
2018-12-13 07:00:00,14.57,14.7,14.47,14.7,93601
2018-12-14 07:00:00,14.7,14.8,14.44,14.6,139560
2018-12-17 07:00:00,14.54,14.57,14.08,14.21,191350
2018-12-18 07:00:00,14.14,14.14,13.17,13.66,359445
2018-12-19 07:00:00,13.66,13.66,12.65,13.07,307600
2018-12-20 07:00:00,13.07,13.49,12.81,13.4,146110
2018-12-21 07:00:00,13.17,13.79,13.17,13.75,158251
2018-12-24 07:00:00,13.66,13.66,13.14,13.27,157520
2018-12-25 07:00:00,13.14,13.14,12.52,12.68,229902
2018-12-26 07:00:00,12.84,12.94,12.62,12.68,95680
2018-12-27 07:00:00,13.01,13.17,12.78,13.04,188600
2018-12-28 07:00:00,12.94,13.1,12.55,13.1,178010
2019-01-02 07:00:00,12.94,13.01,12.75,12.75,71510
2019-01-03 07:00:00,12.71,12.97,12.36,12.42,210920
2019-01-04 07:00:00,12.39,12.52,11.71,12.32,189602
2019-01-07 07:00:00,12.97,12.97,10.4,12.52,71530
2019-01-08 07:00:00,12.58,12.68,12.52,12.55,72350
2019-01-09 07:00:00,12.52,12.81,12.52,12.58,44046
2019-01-10 07:00:00,12.55,14.47,12.32,12.36,118527
2019-01-11 07:00:00,12.49,12.71,12.42,12.65,75737
2019-01-14 07:00:00,12.55,12.94,12.55,12.81,132031
2019-01-15 07:00:00,12.81,13.56,12.81,13.36,192416
2019-01-16 07:00:00,14.05,14.05,13.66,13.72,257530
2019-01-17 07:00:00,13.82,14.11,13.56,13.59,178976
2019-01-18 07:00:00,13.82,14.5,13.79,14.44,508214
2019-01-21 07:00:00,14.47,14.99,14.47,14.86,401890
2019-01-22 07:00:00,14.96,14.96,14.54,14.6,223814
2019-01-23 07:00:00,14.7,15.28,14.7,15.12,433761
2019-01-24 07:00:00,15.15,15.22,14.89,14.96,131530
2019-01-25 07:00:00,15.06,15.06,14.5,14.63,268060
2019-01-28 07:00:00,14.63,14.96,14.47,14.8,226420
2019-01-29 07:00:00,14.8,15.28,14.7,15.15,382734
2019-01-30 07:00:00,15.15,15.44,15.02,15.18,361979
2019-01-31 07:00:00,15.18,15.18,14.73,14.86,229301
2019-02-01 07:00:00,14.86,15.12,14.7,15.06,87110
2019-02-11 07:00:00,14.96,15.32,14.96,15.12,186240
2019-02-12 07:00:00,15.12,15.87,15.02,15.8,580095
2019-02-13 07:00:00,15.8,15.97,15.7,15.77,273460
2019-02-14 07:00:00,15.74,15.9,15.51,15.54,253933
2019-02-15 07:00:00,15.48,15.64,15.32,15.44,334940
2019-02-18 07:00:00,15.28,15.61,15.12,15.25,292120
