time,open,high,low,close,volume
2020-12-23 07:00:00,6.8,6.8,6.4,6.42,30431340
2020-12-24 07:00:00,6.61,6.61,6.39,6.54,7683250
2020-12-25 07:00:00,6.54,6.99,6.54,6.99,9311200
2020-12-28 07:00:00,7.18,7.18,6.99,7.08,8600300
2020-12-29 07:00:00,7.12,7.18,6.99,7.18,9680050
2020-12-30 07:00:00,7.18,7.18,7.03,7.14,6435250
2020-12-31 07:00:00,7.1,7.14,7.01,7.1,8721150
2021-01-04 07:00:00,7.1,7.14,6.95,7.1,10019300
2021-01-05 07:00:00,7.1,7.1,6.97,7.1,6425700
2021-01-06 07:00:00,7.12,7.35,7.1,7.33,13781900
2021-01-07 07:00:00,7.33,7.56,7.29,7.56,10025000
2021-01-08 07:00:00,7.56,7.82,7.56,7.78,9146300
2021-01-11 07:00:00,7.78,7.84,7.75,7.82,8229200
2021-01-12 07:00:00,7.82,7.82,7.71,7.75,5232000
2021-01-13 07:00:00,7.69,7.69,7.46,7.52,6368000
2021-01-14 07:00:00,7.52,7.52,7.18,7.52,5747400
2021-01-15 07:00:00,7.52,7.58,7.42,7.58,6096800
2021-01-18 07:00:00,7.58,7.58,7.41,7.41,3836200
2021-01-19 07:00:00,7.42,7.44,6.9,6.99,2760800
2021-01-20 07:00:00,6.99,7.03,6.59,6.99,2122300
2021-01-21 07:00:00,7.01,7.03,6.9,6.99,5980900
2021-01-22 07:00:00,7.01,7.08,6.93,7.03,6146500
2021-01-25 07:00:00,7.03,7.03,6.91,6.95,2317700
2021-01-26 07:00:00,6.95,6.95,6.61,6.88,2076500
2021-01-27 07:00:00,6.76,6.78,6.42,6.57,2240000
2021-01-28 07:00:00,6.12,6.39,6.12,6.12,1906300
2021-01-29 07:00:00,5.71,6.42,5.71,6.39,3033900
2021-02-01 07:00:00,6.35,6.35,6.01,6.27,1864400
2021-02-02 07:00:00,6.05,6.35,6.05,6.25,1491900
2021-02-03 07:00:00,6.2,6.61,6.2,6.61,3625100
2021-02-04 07:00:00,6.61,6.61,6.46,6.54,1112200
2021-02-05 07:00:00,6.54,6.57,6.39,6.57,2465500
2021-02-08 07:00:00,6.54,6.56,6.33,6.42,1467300
2021-02-09 07:00:00,6.42,6.59,6.39,6.57,1715400
2021-02-17 07:00:00,6.61,6.8,6.57,6.8,2077100
2021-02-18 07:00:00,6.76,6.8,6.67,6.73,1880300
2021-02-19 07:00:00,6.71,6.99,6.63,6.99,4718300
2021-02-22 07:00:00,6.97,7.12,6.97,7.1,5623500
2021-02-23 07:00:00,7.1,7.18,6.97,7.18,5946800
2021-02-24 07:00:00,7.2,7.22,6.95,7.16,2317700
2021-02-25 07:00:00,7.14,7.14,6.97,7.07,1531300
2021-02-26 07:00:00,6.95,7.08,6.84,7.08,2349300
2021-03-01 07:00:00,7.08,7.16,7.05,7.16,3239900
2021-03-02 07:00:00,7.18,7.2,7.05,7.16,2391700
2021-03-03 07:00:00,7.16,7.63,7.05,7.63,5598100
2021-03-04 07:00:00,7.67,7.67,7.31,7.41,3571700
2021-03-05 07:00:00,7.42,7.48,7.27,7.48,1846600
2021-03-08 07:00:00,7.5,7.52,7.37,7.48,2667300
2021-03-09 07:00:00,7.41,7.48,7.37,7.48,2822800
2021-03-10 07:00:00,7.48,7.54,7.41,7.54,2986000
2021-03-11 07:00:00,7.56,7.93,7.52,7.93,8762500
2021-03-12 07:00:00,7.93,7.95,7.78,7.86,4610100
2021-03-15 07:00:00,7.92,8.12,7.88,8.12,11402000
2021-03-16 07:00:00,8.12,8.27,7.93,8.27,6608200
2021-03-17 07:00:00,8.24,8.54,8.2,8.39,11731200
2021-03-18 07:00:00,8.39,8.5,7.93,8.5,11309900
2021-03-19 07:00:00,8.43,8.48,8.24,8.48,6436100
2021-03-22 07:00:00,8.44,8.44,8.16,8.31,5063200
2021-03-23 07:00:00,8.27,8.27,8.03,8.12,6249400
2021-03-24 07:00:00,8.12,8.5,8.01,8.31,6169500
2021-03-25 07:00:00,8.1,8.31,8.1,8.22,5718400
2021-03-26 07:00:00,8.22,8.24,7.9,8.22,4614500
2021-03-29 07:00:00,8.16,8.2,8.05,8.18,6127400
2021-03-30 07:00:00,8.18,8.2,8.05,8.18,3757300
2021-03-31 07:00:00,8.18,8.33,8.05,8.26,6208800
2021-04-01 07:00:00,8.26,8.37,8.26,8.37,5410400
2021-04-02 07:00:00,8.43,8.54,8.24,8.54,8235700
2021-04-05 07:00:00,8.56,8.61,8.5,8.61,6408700
2021-04-06 07:00:00,8.61,8.63,8.52,8.6,6024100
2021-04-07 07:00:00,8.58,8.58,8.46,8.58,4460400
2021-04-08 07:00:00,8.58,8.6,8.31,8.33,4592700
2021-04-09 07:00:00,8.33,8.33,8.22,8.33,6552600
2021-04-12 07:00:00,8.35,8.8,8.26,8.8,10339600
2021-04-13 07:00:00,8.8,8.8,8.5,8.6,5651300
2021-04-14 07:00:00,8.54,8.65,8.43,8.65,4611600
2021-04-15 07:00:00,8.65,8.65,8.37,8.54,4711500
2021-04-16 07:00:00,8.41,8.52,8.2,8.37,4800500
2021-04-19 07:00:00,8.37,8.44,8.24,8.44,4472300
2021-04-20 07:00:00,8.6,8.69,8.29,8.46,8192700
2021-04-22 07:00:00,8.48,8.48,8.12,8.12,3962500
2021-04-23 07:00:00,7.97,8.31,7.93,8.27,3599100
2021-04-26 07:00:00,8.29,8.31,8.09,8.2,2819900
2021-04-27 07:00:00,8.12,8.22,8.03,8.03,6336300
2021-04-28 07:00:00,8.05,8.2,8.03,8.16,3178800
2021-04-29 07:00:00,8.18,8.22,8.07,8.2,3835500
2021-05-04 07:00:00,8.01,8.2,7.93,8.16,2921400
2021-05-05 07:00:00,8.2,8.43,8.2,8.43,16356000
2021-05-06 07:00:00,8.5,8.6,8.41,8.46,10988100
2021-05-07 07:00:00,8.46,8.48,8.31,8.39,4094300
2021-05-10 07:00:00,8.31,8.6,8.27,8.54,8456800
2021-05-11 07:00:00,8.58,8.82,8.58,8.67,13380100
2021-05-12 07:00:00,8.67,8.77,8.58,8.77,7042000
2021-05-13 07:00:00,8.73,8.84,8.61,8.78,10390700
2021-05-14 07:00:00,8.8,8.94,8.73,8.84,11371400
2021-05-17 07:00:00,8.88,8.94,8.63,8.77,7568400
2021-05-18 07:00:00,8.77,8.82,8.54,8.69,6124600
2021-05-19 07:00:00,8.69,8.8,8.63,8.78,8526600
2021-05-20 07:00:00,8.78,9.39,8.78,9.39,22779300
2021-05-21 07:00:00,9.39,9.63,9.35,9.43,10045500
2021-05-24 07:00:00,9.46,9.58,9.37,9.45,9504400
2021-05-25 07:00:00,9.35,9.45,9.31,9.41,10987400
2021-05-26 07:00:00,9.45,9.58,9.45,9.54,10557800
2021-05-27 07:00:00,9.56,10.01,9.56,9.71,11178900
2021-05-28 07:00:00,9.77,10.13,9.63,10.09,9092700
2021-05-31 07:00:00,10.11,10.39,9.9,10.37,11145300
