time,open,high,low,close,volume
2018-08-09 07:00:00,72.91,73.64,72.02,72.83,333290
2018-08-10 07:00:00,71.86,72.51,71.13,72.1,886180
2018-08-13 07:00:00,71.54,74.37,71.21,73.64,744800
2018-08-14 07:00:00,73.64,75.75,72.83,75.75,597970
2018-08-15 07:00:00,75.75,75.99,74.13,74.13,322230
2018-08-16 07:00:00,72.99,73.8,71.78,72.91,519730
2018-08-17 07:00:00,73.56,73.97,72.51,72.59,356510
2018-08-20 07:00:00,73.32,73.32,72.35,72.83,256130
2018-08-21 07:00:00,73.56,74.37,72.91,73.16,292260
2018-08-22 07:00:00,73.56,74.78,73.32,74.53,361550
2018-08-23 07:00:00,75.18,75.26,73.89,73.89,269120
2018-08-24 07:00:00,73.89,74.53,73.4,73.4,466910
2018-08-27 07:00:00,73.4,74.37,73.32,73.89,317350
2018-08-28 07:00:00,74.53,74.53,73.72,74.05,315060
2018-08-29 07:00:00,74.53,75.51,73.72,73.72,760740
2018-08-30 07:00:00,74.53,78.58,74.13,78.58,743980
2018-08-31 07:00:00,77.45,78.75,76.8,76.96,749680
2018-09-04 07:00:00,76.96,78.02,76.15,76.15,822140
2018-09-05 07:00:00,75.91,76.64,75.02,75.34,541780
2018-09-06 07:00:00,75.34,77.37,75.26,76.8,501250
2018-09-07 07:00:00,76.4,76.96,75.83,76.96,218340
2018-09-10 07:00:00,76.23,76.96,74.13,74.13,392730
2018-09-11 07:00:00,74.53,75.02,72.91,74.94,499990
2018-09-12 07:00:00,75.83,76.56,75.02,75.02,314160
2018-09-13 07:00:00,74.29,76.15,74.29,74.86,241210
2018-09-14 07:00:00,74.86,74.86,74.13,74.21,422950
2018-09-17 07:00:00,73.8,74.21,72.02,74.21,490340
2018-09-18 07:00:00,74.13,74.13,72.18,72.99,280760
2018-09-19 07:00:00,74.53,75.34,73.72,73.89,447450
2018-09-20 07:00:00,74.13,75.1,74.13,74.94,637980
2018-09-21 07:00:00,74.94,76.72,73.72,73.72,3712030
2018-09-24 07:00:00,75.34,76.96,75.26,76.56,558170
2018-09-25 07:00:00,77.37,77.69,76.07,76.48,289760
2018-09-26 07:00:00,75.75,76.32,75.59,75.75,659600
2018-09-27 07:00:00,75.75,76.15,74.53,74.94,442950
2018-09-28 07:00:00,75.67,75.67,74.13,75.18,686950
2018-10-01 07:00:00,75.18,76.07,74.21,76.07,1291940
2018-10-02 07:00:00,76.07,76.23,73.4,76.15,2307220
2018-10-03 07:00:00,75.75,75.91,74.94,75.51,604560
2018-10-04 07:00:00,75.59,76.07,75.18,76.07,1441430
2018-10-05 07:00:00,75.99,75.99,73.64,73.72,1591190
2018-10-08 07:00:00,73.24,73.72,70.97,72.75,1958530
2018-10-09 07:00:00,72.75,72.91,71.29,71.29,669990
2018-10-10 07:00:00,71.29,71.29,68.46,68.46,1323520
2018-10-11 07:00:00,65.38,66.35,63.68,63.68,2375010
2018-10-12 07:00:00,61.08,65.86,61.08,65.86,1444630
2018-10-15 07:00:00,65.62,65.62,63.19,63.6,1242460
2018-10-16 07:00:00,63.52,64.16,62.79,63.68,851250
2018-10-17 07:00:00,64.81,66.27,64.41,65.62,993370
2018-10-18 07:00:00,65.62,65.86,64.65,64.97,644320
2018-10-19 07:00:00,64.08,65.62,63.6,65.62,1119580
2018-10-22 07:00:00,65.62,65.95,64.16,64.16,551610
2018-10-23 07:00:00,64.0,64.0,60.84,62.79,1943490
2018-10-24 07:00:00,61.65,62.71,60.11,60.76,1772610
2018-10-25 07:00:00,57.52,62.79,57.52,62.79,2117680
2018-10-26 07:00:00,62.38,62.71,61.81,61.98,785650
2018-10-29 07:00:00,60.76,62.06,60.52,61.98,728550
2018-10-30 07:00:00,61.0,63.76,60.92,63.19,819270
2018-10-31 07:00:00,64.0,67.24,63.6,67.24,1008000
2018-11-01 07:00:00,66.84,67.73,65.78,66.43,831090
2018-11-02 07:00:00,67.0,68.46,66.43,68.46,993240
2018-11-05 07:00:00,67.0,69.02,67.0,69.02,536740
2018-11-06 07:00:00,69.83,70.48,68.05,68.05,995460
2018-11-07 07:00:00,68.46,69.19,67.81,68.62,892740
2018-11-08 07:00:00,68.86,69.67,68.05,68.46,145850
2018-11-09 07:00:00,68.05,68.46,67.0,68.3,577220
2018-11-12 07:00:00,67.32,68.21,66.76,67.73,241050
2018-11-13 07:00:00,66.43,66.51,64.0,64.0,576150
2018-11-14 07:00:00,64.08,65.3,62.38,64.0,331450
2018-11-15 07:00:00,64.65,64.73,63.52,64.33,383880
2018-11-16 07:00:00,65.54,65.54,64.0,64.49,399900
2018-11-19 07:00:00,64.49,66.43,64.49,66.27,260240
2018-11-20 07:00:00,65.78,66.76,65.78,66.27,334090
2018-11-21 07:00:00,64.81,66.03,64.81,65.78,282090
2018-11-22 07:00:00,65.78,66.84,65.62,66.43,551990
2018-11-23 07:00:00,66.43,66.67,66.03,66.11,450020
2018-11-26 07:00:00,66.11,66.67,65.78,66.51,349670
2018-11-27 07:00:00,66.51,67.24,66.35,66.43,420980
2018-11-28 07:00:00,66.11,66.43,65.62,65.86,323700
2018-11-29 07:00:00,66.84,66.84,65.62,65.62,359660
2018-11-30 07:00:00,65.62,65.95,64.41,64.81,644810
2018-12-03 07:00:00,66.03,66.76,65.86,66.59,739700
2018-12-04 07:00:00,66.84,68.46,66.76,68.13,1138470
2018-12-05 07:00:00,67.65,68.13,66.84,68.13,642600
2018-12-06 07:00:00,68.05,69.11,67.65,67.89,629700
2018-12-07 07:00:00,68.05,69.19,68.05,68.54,811580
2018-12-10 07:00:00,68.46,69.67,68.13,69.35,485360
2018-12-11 07:00:00,69.02,69.75,69.02,69.59,646530
2018-12-12 07:00:00,69.59,70.48,69.02,70.48,377650
2018-12-13 07:00:00,71.29,71.45,70.32,70.56,630690
2018-12-14 07:00:00,70.81,70.81,69.27,69.27,367370
2018-12-17 07:00:00,68.21,69.19,66.43,66.43,605910
2018-12-18 07:00:00,65.05,65.95,65.05,65.78,595370
2018-12-19 07:00:00,65.7,66.67,65.62,66.03,325700
2018-12-20 07:00:00,65.62,66.43,65.62,65.62,337360
2018-12-21 07:00:00,65.46,66.35,63.68,63.68,2407240
2018-12-24 07:00:00,64.81,65.54,64.0,64.0,379150
2018-12-25 07:00:00,63.92,65.14,63.11,64.81,562070
2018-12-26 07:00:00,64.81,64.97,64.0,64.0,577200
2018-12-27 07:00:00,64.81,65.22,64.0,64.0,425950
2018-12-28 07:00:00,64.33,64.81,62.79,62.79,546000
2019-01-02 07:00:00,63.92,63.92,63.35,63.68,433670
2019-01-03 07:00:00,63.92,63.92,62.87,63.19,565640
2019-01-04 07:00:00,62.38,62.79,61.17,61.73,463070
2019-01-07 07:00:00,63.27,63.6,62.54,63.35,336380
2019-01-08 07:00:00,63.35,64.08,63.27,64.0,279810
2019-01-09 07:00:00,64.0,64.65,63.92,64.0,339530
2019-01-10 07:00:00,64.0,65.7,64.0,64.97,450900
2019-01-11 07:00:00,65.05,65.78,64.81,65.38,452300
2019-01-14 07:00:00,65.38,65.86,65.05,65.22,268810
2019-01-15 07:00:00,65.3,66.43,65.14,66.35,403800
2019-01-16 07:00:00,66.43,66.92,65.95,65.95,483100
2019-01-17 07:00:00,65.86,66.51,64.97,64.97,320060
2019-01-18 07:00:00,64.97,65.95,64.97,65.62,359080
2019-01-21 07:00:00,65.62,65.86,65.3,65.46,266000
2019-01-22 07:00:00,65.46,65.54,64.89,64.89,115780
