time,open,high,low,close,volume
2018-08-09 07:00:00,6.13,6.39,6.13,6.27,190540
2018-08-10 07:00:00,6.27,6.32,6.22,6.27,143240
2018-08-13 07:00:00,6.27,6.5,6.27,6.5,351840
2018-08-14 07:00:00,6.48,6.55,6.41,6.5,160850
2018-08-15 07:00:00,6.6,6.6,6.32,6.32,134200
2018-08-16 07:00:00,6.25,6.34,6.22,6.27,116170
2018-08-17 07:00:00,6.27,6.32,6.22,6.22,98100
2018-08-20 07:00:00,6.41,6.41,6.18,6.22,108630
2018-08-21 07:00:00,6.22,6.32,6.2,6.2,145230
2018-08-22 07:00:00,6.2,6.32,6.13,6.16,221300
2018-08-23 07:00:00,6.18,6.27,6.16,6.18,142920
2018-08-24 07:00:00,6.18,6.27,6.16,6.25,222190
2018-08-27 07:00:00,6.29,6.32,6.25,6.25,177580
2018-08-28 07:00:00,6.27,6.27,6.2,6.22,133520
2018-08-29 07:00:00,6.22,6.22,6.18,6.18,69490
2018-08-30 07:00:00,6.25,6.25,6.18,6.2,141770
2018-08-31 07:00:00,6.25,6.34,6.18,6.2,242260
2018-09-04 07:00:00,6.22,6.25,6.08,6.08,100280
2018-09-05 07:00:00,6.08,6.13,6.02,6.02,185280
2018-09-06 07:00:00,6.02,6.06,5.99,5.99,164180
2018-09-07 07:00:00,5.99,6.13,5.99,6.02,141580
2018-09-10 07:00:00,6.06,6.06,5.85,5.85,357580
2018-09-11 07:00:00,5.81,5.9,5.81,5.85,130200
2018-09-12 07:00:00,5.85,5.97,5.85,5.9,93310
2018-09-13 07:00:00,5.9,5.9,5.83,5.9,294410
2018-09-14 07:00:00,5.95,6.13,5.95,6.08,521270
2018-09-17 07:00:00,6.08,6.11,6.02,6.04,146480
2018-09-18 07:00:00,6.04,6.39,5.9,6.36,896020
2018-09-19 07:00:00,6.41,6.69,6.41,6.6,1697730
2018-09-20 07:00:00,6.62,6.85,6.5,6.76,913400
2018-09-21 07:00:00,6.8,7.06,6.76,7.06,2125300
2018-09-24 07:00:00,7.08,7.11,6.87,6.9,1110000
2018-09-25 07:00:00,6.87,6.92,6.78,6.9,995630
2018-09-26 07:00:00,6.8,7.06,6.8,6.92,1062120
2018-09-27 07:00:00,6.97,6.97,6.8,6.94,768880
2018-09-28 07:00:00,6.9,6.99,6.87,6.92,1153190
2018-10-01 07:00:00,6.94,7.38,6.83,7.25,5723590
2018-10-02 07:00:00,7.22,7.29,7.01,7.01,1375040
2018-10-03 07:00:00,7.01,7.15,7.01,7.08,972230
2018-10-04 07:00:00,7.06,7.13,6.92,7.04,1369750
2018-10-05 07:00:00,7.08,7.08,6.83,6.83,1835660
2018-10-08 07:00:00,6.78,7.06,6.6,6.97,1332360
2018-10-09 07:00:00,6.97,7.01,6.74,6.74,950320
2018-10-10 07:00:00,6.76,6.78,6.27,6.32,3329560
2018-10-11 07:00:00,5.9,6.08,5.88,6.02,1966740
2018-10-12 07:00:00,5.85,6.27,5.85,6.22,1366900
2018-10-15 07:00:00,6.13,6.18,5.95,6.18,869880
2018-10-16 07:00:00,6.08,6.34,6.08,6.16,1029180
2018-10-17 07:00:00,6.32,6.36,6.16,6.34,1158160
2018-10-18 07:00:00,6.34,6.39,6.16,6.16,1147360
2018-10-19 07:00:00,6.08,6.18,5.95,6.08,458770
2018-10-22 07:00:00,6.18,6.2,6.04,6.04,729170
2018-10-23 07:00:00,6.04,6.04,5.62,5.74,858900
2018-10-24 07:00:00,5.76,5.85,5.39,5.44,622510
2018-10-25 07:00:00,5.18,5.32,5.16,5.3,609190
2018-10-26 07:00:00,5.48,5.5,5.16,5.16,347790
2018-10-29 07:00:00,5.2,5.25,5.02,5.06,286240
2018-10-30 07:00:00,5.16,5.16,4.97,4.97,672940
2018-10-31 07:00:00,4.63,4.63,4.63,4.63,1586390
2018-11-01 07:00:00,4.31,4.44,4.31,4.31,2902440
2018-11-02 07:00:00,4.18,4.25,4.01,4.01,3414820
2018-11-05 07:00:00,4.18,4.25,4.01,4.23,750660
2018-11-06 07:00:00,4.23,4.33,4.21,4.31,902360
2018-11-07 07:00:00,4.25,4.27,4.19,4.24,568670
2018-11-08 07:00:00,4.27,4.32,4.19,4.19,500720
2018-11-09 07:00:00,4.19,4.22,3.95,4.02,585480
2018-11-12 07:00:00,3.87,3.95,3.87,3.9,238780
2018-11-13 07:00:00,3.81,3.88,3.76,3.81,326260
2018-11-14 07:00:00,3.76,3.85,3.76,3.8,351690
2018-11-15 07:00:00,3.74,3.8,3.72,3.72,294930
2018-11-16 07:00:00,3.72,3.82,3.72,3.81,142540
2018-11-19 07:00:00,3.86,3.87,3.81,3.86,129870
2018-11-20 07:00:00,3.86,3.87,3.81,3.86,90740
