time,open,high,low,close,volume
2018-08-09 07:00:00,17.57,17.75,17.39,17.66,345870
2018-08-10 07:00:00,17.57,17.72,17.33,17.36,163400
2018-08-13 07:00:00,17.36,17.51,17.27,17.3,399670
2018-08-14 07:00:00,17.45,17.45,17.24,17.36,389750
2018-08-15 07:00:00,17.36,17.42,17.15,17.39,354400
2018-08-16 07:00:00,17.1,17.39,17.07,17.39,230200
2018-08-17 07:00:00,17.27,17.54,17.18,17.33,279230
2018-08-20 07:00:00,17.36,17.51,17.1,17.51,420770
2018-08-21 07:00:00,17.51,18.23,17.1,18.14,977600
2018-08-22 07:00:00,18.43,18.46,17.99,18.14,681820
2018-08-23 07:00:00,17.9,18.17,17.87,17.87,407020
2018-08-24 07:00:00,17.75,18.17,17.72,18.05,342740
2018-08-27 07:00:00,18.05,18.08,17.87,18.05,539000
2018-08-28 07:00:00,18.11,18.88,17.93,18.88,1408130
2018-08-29 07:00:00,18.88,19.3,18.64,19.06,687900
2018-08-30 07:00:00,18.88,19.0,18.88,19.0,452470
2018-08-31 07:00:00,18.82,18.94,18.46,18.46,640110
2018-09-04 07:00:00,18.46,18.67,17.96,18.05,565360
2018-09-05 07:00:00,17.96,18.14,17.75,17.87,389000
2018-09-06 07:00:00,17.78,17.99,17.69,17.93,201230
2018-09-07 07:00:00,17.78,18.05,17.78,18.05,144180
2018-09-10 07:00:00,18.14,18.26,17.96,18.26,298060
2018-09-11 07:00:00,18.29,18.64,18.29,18.46,505220
2018-09-12 07:00:00,18.46,18.67,18.29,18.29,278280
2018-09-13 07:00:00,18.4,18.52,18.14,18.35,398610
2018-09-14 07:00:00,18.46,18.46,18.17,18.23,328900
2018-09-17 07:00:00,18.23,18.58,18.23,18.4,831080
2018-09-18 07:00:00,18.4,18.97,18.35,18.91,1352550
2018-09-19 07:00:00,19.18,19.18,18.85,18.97,1107700
2018-09-20 07:00:00,19.03,19.42,18.94,19.3,1194620
2018-09-21 07:00:00,19.39,19.6,18.88,19.3,765880
2018-09-24 07:00:00,19.48,19.48,19.09,19.24,395530
2018-09-25 07:00:00,19.18,19.27,18.94,18.94,508270
2018-09-26 07:00:00,18.85,19.36,18.76,18.94,604940
2018-09-27 07:00:00,19.12,19.12,18.85,19.06,361450
2018-09-28 07:00:00,19.18,19.89,19.18,19.42,1681490
2018-10-01 07:00:00,19.42,19.72,19.36,19.45,760440
2018-10-02 07:00:00,19.42,19.48,19.06,19.09,619470
2018-10-03 07:00:00,19.06,19.12,18.88,18.94,581410
2018-10-04 07:00:00,18.94,19.12,18.88,19.06,461430
2018-10-05 07:00:00,19.12,19.36,18.94,18.94,403520
2018-10-08 07:00:00,19.0,19.36,18.82,19.3,554790
2018-10-09 07:00:00,19.36,19.89,19.36,19.54,892670
2018-10-10 07:00:00,19.54,19.6,19.24,19.3,357120
2018-10-11 07:00:00,18.76,18.82,17.96,17.96,1222770
2018-10-12 07:00:00,17.57,18.4,17.57,18.23,869720
2018-10-15 07:00:00,18.23,18.43,17.93,18.14,492510
2018-10-16 07:00:00,18.23,18.29,18.05,18.29,261640
2018-10-17 07:00:00,18.29,18.64,18.29,18.58,542010
2018-10-18 07:00:00,18.58,18.64,18.29,18.46,272370
2018-10-19 07:00:00,18.46,18.46,18.08,18.35,326350
2018-10-22 07:00:00,18.82,18.91,18.52,18.58,808570
2018-10-23 07:00:00,18.58,18.64,17.6,18.17,570550
2018-10-24 07:00:00,18.17,18.23,17.57,17.75,258650
2018-10-25 07:00:00,17.0,17.57,16.74,17.3,591920
2018-10-26 07:00:00,17.57,17.57,16.98,16.98,234340
2018-10-29 07:00:00,16.8,16.98,16.08,16.23,617700
2018-10-30 07:00:00,16.23,16.44,16.11,16.32,222100
2018-10-31 07:00:00,16.5,17.27,16.44,17.15,400740
2018-11-01 07:00:00,17.15,17.27,16.8,16.86,317390
2018-11-02 07:00:00,16.95,17.27,16.86,16.95,347830
2018-11-05 07:00:00,16.92,17.04,16.68,17.04,332710
2018-11-06 07:00:00,17.1,17.21,16.68,17.0,343170
2018-11-07 07:00:00,16.86,17.0,16.8,17.0,344570
2018-11-08 07:00:00,17.1,17.24,17.0,17.1,156960
2018-11-09 07:00:00,17.15,17.15,16.86,16.92,209760
2018-11-12 07:00:00,16.68,16.86,16.44,16.86,394310
2018-11-13 07:00:00,16.08,16.86,16.08,16.68,259170
2018-11-14 07:00:00,16.68,16.8,16.38,16.68,260410
2018-11-15 07:00:00,16.68,16.68,16.38,16.44,167550
2018-11-16 07:00:00,16.47,16.92,16.44,16.89,210720
2018-11-19 07:00:00,16.89,17.04,16.68,17.04,215630
2018-11-20 07:00:00,16.86,17.1,16.8,16.95,205990
2018-11-21 07:00:00,16.74,16.89,16.62,16.68,328010
2018-11-22 07:00:00,16.74,16.89,16.59,16.59,204300
2018-11-23 07:00:00,16.68,16.68,16.38,16.38,179390
