time,open,high,low,close,volume
2018-08-09 07:00:00,15.52,15.63,15.4,15.52,112150
2018-08-10 07:00:00,15.52,15.52,15.35,15.52,82360
2018-08-13 07:00:00,15.52,15.52,15.29,15.32,148760
2018-08-14 07:00:00,15.4,15.4,15.23,15.26,66260
2018-08-15 07:00:00,15.4,15.4,15.23,15.29,45590
2018-08-16 07:00:00,15.23,15.26,15.09,15.17,121980
2018-08-17 07:00:00,15.29,15.29,14.97,15.17,37390
2018-08-20 07:00:00,15.17,15.17,15.12,15.17,61300
2018-08-21 07:00:00,14.97,15.23,14.94,15.06,153040
2018-08-22 07:00:00,15.06,15.12,14.94,15.09,82270
2018-08-23 07:00:00,15.09,15.35,15.09,15.32,83400
2018-08-24 07:00:00,15.15,15.23,15.12,15.2,23880
2018-08-27 07:00:00,15.2,15.26,15.17,15.17,69280
2018-08-28 07:00:00,15.17,15.4,15.15,15.4,138210
2018-08-29 07:00:00,15.4,15.4,15.23,15.23,43850
2018-08-30 07:00:00,15.23,15.26,15.15,15.2,71650
2018-08-31 07:00:00,15.43,15.43,15.17,15.26,59380
2018-09-04 07:00:00,15.23,15.26,15.17,15.17,40800
2018-09-05 07:00:00,15.17,15.29,15.06,15.12,153340
2018-09-06 07:00:00,15.0,15.15,14.94,15.0,251670
2018-09-07 07:00:00,15.06,15.17,15.06,15.17,86360
2018-09-10 07:00:00,15.29,15.35,15.12,15.12,61810
2018-09-11 07:00:00,15.15,15.26,15.12,15.17,139520
2018-09-12 07:00:00,15.35,15.66,15.35,15.63,620440
2018-09-13 07:00:00,15.63,16.35,15.63,16.21,672060
2018-09-14 07:00:00,16.21,16.21,15.81,15.95,366720
2018-09-17 07:00:00,15.95,15.95,15.63,15.75,247590
2018-09-18 07:00:00,15.81,16.15,15.58,16.09,440380
2018-09-19 07:00:00,16.04,16.27,15.92,16.04,428870
2018-09-20 07:00:00,16.4,16.4,16.01,16.16,332420
2018-09-21 07:00:00,16.04,16.07,15.61,15.61,720600
2018-09-24 07:00:00,15.79,16.16,15.79,15.79,124970
2018-09-25 07:00:00,15.85,16.04,15.76,15.79,158890
2018-09-26 07:00:00,15.79,16.16,15.76,16.07,365460
2018-09-27 07:00:00,16.1,16.19,15.98,16.01,180120
2018-09-28 07:00:00,16.04,16.28,15.98,16.01,333790
2018-10-01 07:00:00,15.98,16.04,15.79,15.85,252670
2018-10-02 07:00:00,15.79,15.91,15.79,15.79,137100
2018-10-03 07:00:00,15.79,15.91,15.7,15.85,130250
2018-10-04 07:00:00,16.1,16.1,15.82,15.85,121540
2018-10-05 07:00:00,15.88,15.88,15.76,15.76,274300
2018-10-08 07:00:00,15.79,16.4,15.73,16.22,500760
2018-10-09 07:00:00,16.31,16.31,15.95,16.04,73280
2018-10-10 07:00:00,16.1,16.1,15.79,15.85,127380
2018-10-11 07:00:00,15.73,15.73,15.31,15.31,424050
2018-10-12 07:00:00,15.19,15.73,15.13,15.73,133700
2018-10-15 07:00:00,15.79,15.79,15.34,15.4,105040
2018-10-16 07:00:00,15.61,15.61,15.49,15.55,59220
2018-10-17 07:00:00,15.61,15.79,15.61,15.67,76010
2018-10-18 07:00:00,15.67,15.76,15.37,15.43,146080
2018-10-19 07:00:00,15.34,15.49,15.13,15.13,113070
2018-10-22 07:00:00,15.13,15.19,14.4,14.52,353790
2018-10-23 07:00:00,14.46,14.61,14.34,14.46,190190
2018-10-24 07:00:00,14.37,14.46,14.27,14.37,138730
2018-10-25 07:00:00,14.09,14.79,13.97,14.79,699080
2018-10-26 07:00:00,14.61,14.79,14.61,14.64,96200
2018-10-29 07:00:00,14.58,14.64,14.46,14.64,48930
2018-10-30 07:00:00,14.52,14.7,14.27,14.64,63780
2018-10-31 07:00:00,14.58,14.97,14.58,14.97,110610
2018-11-01 07:00:00,15.0,15.13,14.58,15.03,102500
2018-11-02 07:00:00,15.16,15.16,15.0,15.0,32720
2018-11-05 07:00:00,15.09,15.31,15.0,15.13,25190
2018-11-06 07:00:00,15.19,15.25,15.06,15.13,75110
2018-11-07 07:00:00,15.19,15.19,15.09,15.09,57730
2018-11-08 07:00:00,15.19,15.25,15.06,15.19,106120
2018-11-09 07:00:00,15.19,15.55,15.19,15.46,182810
2018-11-12 07:00:00,15.31,15.61,15.19,15.61,80440
2018-11-13 07:00:00,15.19,15.46,15.19,15.37,9590
2018-11-14 07:00:00,15.46,15.55,15.37,15.49,120720
2018-11-15 07:00:00,15.49,15.58,15.43,15.58,48040
2018-11-16 07:00:00,15.58,15.58,15.25,15.37,39790
2018-11-19 07:00:00,15.37,15.43,15.28,15.4,28080
2018-11-20 07:00:00,15.49,15.52,15.4,15.52,43660
2018-11-21 07:00:00,15.06,15.67,15.06,15.55,64700
2018-11-22 07:00:00,15.55,15.55,15.37,15.37,3770
2018-11-23 07:00:00,15.37,15.49,15.19,15.19,23820
2018-11-26 07:00:00,15.19,15.49,15.19,15.43,69510
2018-11-27 07:00:00,15.37,15.49,15.37,15.43,66690
2018-11-28 07:00:00,15.4,15.49,15.31,15.49,62400
2018-11-29 07:00:00,15.55,15.55,15.4,15.43,26260
2018-11-30 07:00:00,15.37,15.43,15.37,15.43,13090
2018-12-03 07:00:00,15.43,15.67,15.43,15.67,136400
2018-12-04 07:00:00,15.67,15.67,15.49,15.55,42610
2018-12-05 07:00:00,15.49,15.55,15.37,15.52,38910
2018-12-06 07:00:00,15.52,15.61,15.37,15.37,107540
2018-12-07 07:00:00,15.31,15.85,15.31,15.85,235040
2018-12-10 07:00:00,15.85,15.85,15.58,15.58,7540
2018-12-11 07:00:00,15.55,15.67,15.49,15.61,15510
2018-12-12 07:00:00,15.61,15.67,15.55,15.61,100180
2018-12-13 07:00:00,15.67,15.91,15.61,15.88,244850
2018-12-14 07:00:00,15.88,15.91,15.67,15.88,124890
2018-12-17 07:00:00,15.85,15.85,15.61,15.61,23350
2018-12-18 07:00:00,15.49,15.49,15.31,15.49,56160
2018-12-19 07:00:00,15.61,15.85,15.43,15.43,140190
2018-12-20 07:00:00,15.43,15.61,15.43,15.61,144800
2018-12-21 07:00:00,15.4,15.52,15.31,15.4,82000
2018-12-24 07:00:00,15.4,15.4,15.28,15.34,60500
2018-12-25 07:00:00,15.34,15.37,15.0,15.31,68820
2018-12-26 07:00:00,15.19,15.46,15.19,15.22,80480
2018-12-27 07:00:00,15.56,15.72,15.56,15.66,130670
2018-12-28 07:00:00,15.66,15.66,15.5,15.5,10250
2019-01-02 07:00:00,15.56,15.75,15.56,15.56,90740
2019-01-03 07:00:00,15.69,16.0,15.59,16.0,136410
2019-01-04 07:00:00,15.88,16.38,15.81,16.32,373300
2019-01-07 07:00:00,16.38,16.38,15.94,16.32,96180
2019-01-08 07:00:00,16.32,16.32,15.97,16.07,130960
2019-01-09 07:00:00,16.07,16.51,15.97,16.51,454680
2019-01-10 07:00:00,16.7,16.89,16.57,16.89,496070
2019-01-11 07:00:00,16.89,17.42,16.85,17.3,407890
2019-01-14 07:00:00,17.33,17.33,17.01,17.3,204580
2019-01-15 07:00:00,17.3,17.64,17.26,17.64,465040
2019-01-16 07:00:00,17.64,17.83,17.39,17.77,351710
2019-01-17 07:00:00,17.64,17.77,17.01,17.33,197940
2019-01-18 07:00:00,17.11,17.77,17.11,17.67,285210
2019-01-21 07:00:00,17.77,18.27,17.58,18.02,429830
2019-01-22 07:00:00,18.02,18.05,17.52,17.52,138160
2019-01-23 07:00:00,17.52,17.96,17.2,17.52,91360
2019-01-24 07:00:00,17.42,17.93,17.39,17.86,277290
2019-01-25 07:00:00,17.86,18.34,17.86,18.3,556430
2019-01-28 07:00:00,18.11,18.34,18.08,18.27,432660
2019-01-29 07:00:00,18.27,18.4,18.02,18.27,497710
2019-01-30 07:00:00,18.27,18.46,18.08,18.34,343710
2019-01-31 07:00:00,18.27,18.43,18.27,18.4,165980
2019-02-01 07:00:00,18.4,18.4,18.27,18.4,97180
2019-02-11 07:00:00,18.4,18.59,18.15,18.27,218400
2019-02-12 07:00:00,18.27,18.4,18.21,18.3,380520
2019-02-13 07:00:00,18.27,18.52,18.24,18.52,516280
2019-02-14 07:00:00,18.56,18.59,18.46,18.49,171830
2019-02-15 07:00:00,18.4,18.52,18.4,18.52,98310
2019-02-18 07:00:00,18.52,19.22,18.46,19.22,604310
2019-02-19 07:00:00,19.34,19.41,18.78,18.84,219360
2019-02-20 07:00:00,18.78,18.87,18.52,18.62,529680
2019-02-21 07:00:00,18.65,18.65,18.15,18.27,461580
2019-02-22 07:00:00,18.15,18.3,17.77,17.77,270020
2019-02-25 07:00:00,17.77,18.27,17.52,18.27,467330
2019-02-26 07:00:00,18.27,18.78,18.27,18.78,768480
2019-02-27 07:00:00,18.78,18.84,18.59,18.59,193150
2019-02-28 07:00:00,18.59,18.59,18.27,18.3,187710
2019-03-01 07:00:00,18.15,18.4,18.15,18.4,168610
2019-03-04 07:00:00,18.4,18.4,17.96,17.96,301040
2019-03-05 07:00:00,17.89,18.4,17.89,18.24,167140
2019-03-06 07:00:00,18.24,18.34,18.05,18.21,95350
2019-03-07 07:00:00,18.27,18.27,17.77,18.21,109510
2019-03-08 07:00:00,18.24,18.24,17.83,17.89,128440
2019-03-11 07:00:00,17.83,18.15,17.48,17.58,256170
2019-03-12 07:00:00,17.89,18.71,17.58,18.59,933890
2019-03-13 07:00:00,18.9,18.9,18.37,18.4,217340
2019-03-14 07:00:00,18.4,18.56,18.27,18.52,168810
2019-03-15 07:00:00,18.52,18.52,17.96,18.24,202120
2019-03-18 07:00:00,17.64,18.24,17.64,17.67,406090
2019-03-19 07:00:00,17.77,17.83,16.67,17.08,657530
2019-03-20 07:00:00,16.92,18.21,16.92,17.64,333600
2019-03-21 07:00:00,17.89,17.89,17.33,17.33,126790
2019-03-22 07:00:00,17.08,17.39,17.08,17.33,83620
2019-03-25 07:00:00,17.01,17.01,16.76,16.82,198190
2019-03-26 07:00:00,16.73,17.14,16.7,16.85,76880
2019-03-27 07:00:00,16.95,17.3,16.89,17.14,20240
2019-03-28 07:00:00,17.14,17.33,16.98,16.98,76250
2019-03-29 07:00:00,17.01,17.2,17.01,17.01,43440
2019-04-01 07:00:00,17.14,17.2,16.92,16.98,57590
2019-04-02 07:00:00,17.01,17.17,16.98,17.08,58130
2019-04-03 07:00:00,16.95,17.01,16.82,17.01,109350
2019-04-04 07:00:00,17.14,17.14,16.89,16.89,77860
2019-04-05 07:00:00,16.89,17.2,16.85,17.14,128200
2019-04-08 07:00:00,17.23,17.26,17.11,17.14,93960
2019-04-09 07:00:00,17.14,17.26,16.89,17.08,44680
2019-04-10 07:00:00,17.01,17.01,16.7,16.79,62840
2019-04-11 07:00:00,16.79,16.98,16.76,16.98,81550
2019-04-12 07:00:00,16.98,17.01,16.7,16.98,43800
2019-04-16 07:00:00,16.82,17.2,16.7,17.2,153460
