time,open,high,low,close,volume
2018-08-09 07:00:00,12.74,13.14,12.74,13.14,5450
2018-08-10 07:00:00,12.88,12.88,12.88,12.88,210
2018-08-13 07:00:00,13.03,13.03,12.45,13.03,9111
2018-08-14 07:00:00,12.97,12.97,12.97,12.97,383
2018-08-15 07:00:00,12.57,13.03,12.57,12.62,3754
2018-08-16 07:00:00,12.62,12.74,12.6,12.74,9030
2018-08-17 07:00:00,12.74,13.03,12.62,12.71,4700
2018-08-20 07:00:00,12.71,12.74,12.71,12.74,3844
2018-08-21 07:00:00,12.74,12.74,12.74,12.74,50
2018-08-22 07:00:00,12.74,12.74,12.74,12.74,20
2018-08-23 07:00:00,12.54,12.88,12.54,12.88,9722
2018-08-24 07:00:00,12.88,13.03,12.88,13.03,3074
2018-08-27 07:00:00,13.03,13.32,13.03,13.17,24465
2018-08-28 07:00:00,13.03,13.44,13.03,13.44,5822
2018-08-29 07:00:00,13.44,14.01,13.44,14.01,14500
2018-08-30 07:00:00,14.01,14.01,14.01,14.01,544
2018-08-31 07:00:00,14.01,14.01,14.01,14.01,172
2018-09-04 07:00:00,13.03,14.1,13.03,13.98,2420
2018-09-05 07:00:00,13.9,14.04,13.9,13.9,3000
2018-09-06 07:00:00,13.03,14.04,13.03,14.04,16500
2018-09-07 07:00:00,13.61,14.13,13.61,13.98,10820
2018-09-10 07:00:00,14.16,14.16,13.52,13.52,220
2018-09-11 07:00:00,13.61,14.36,13.61,14.36,2530
2018-09-12 07:00:00,14.36,14.36,14.36,14.36,47
2018-09-13 07:00:00,14.36,14.36,14.36,14.36,20
2018-09-14 07:00:00,14.36,14.36,13.26,13.26,1200
2018-09-17 07:00:00,13.26,14.16,13.26,13.87,620
2018-09-18 07:00:00,13.84,15.06,13.84,13.93,5600
2018-09-19 07:00:00,13.9,14.04,13.9,14.04,10123
2018-09-20 07:00:00,14.04,14.04,14.04,14.04,2900
2018-09-21 07:00:00,14.01,15.06,14.01,14.91,49420
2018-09-24 07:00:00,14.88,14.88,14.19,14.74,5603
2018-09-25 07:00:00,14.68,14.94,14.48,14.94,16000
2018-09-26 07:00:00,14.77,14.77,14.33,14.48,1700
2018-09-27 07:00:00,15.2,15.2,14.33,14.33,1350
2018-09-28 07:00:00,14.36,14.42,14.3,14.3,3334
2018-10-01 07:00:00,13.9,15.0,13.9,15.0,20733
2018-10-02 07:00:00,15.0,15.0,15.0,15.0,13
2018-10-03 07:00:00,14.48,14.48,14.48,14.48,2050
2018-10-04 07:00:00,14.36,14.56,14.36,14.45,2101
2018-10-05 07:00:00,14.42,14.48,13.78,13.78,1513
2018-10-08 07:00:00,13.78,14.42,13.78,14.42,1100
2018-10-09 07:00:00,14.19,14.19,13.87,14.19,2049
2018-10-10 07:00:00,13.93,13.93,13.93,13.93,112
2018-10-11 07:00:00,13.03,13.75,13.03,13.75,2700
2018-10-12 07:00:00,13.61,13.75,13.61,13.75,1120
2018-10-15 07:00:00,14.77,14.77,13.2,13.2,1900
2018-10-16 07:00:00,13.61,13.61,13.03,13.61,29454
2018-10-17 07:00:00,13.61,14.48,13.06,13.06,330
2018-10-18 07:00:00,13.87,13.87,13.87,13.87,100
2018-10-19 07:00:00,13.84,13.84,13.03,13.09,1800
2018-10-22 07:00:00,13.14,13.14,13.12,13.12,2000
2018-10-23 07:00:00,13.12,13.12,13.03,13.03,1754
2018-10-24 07:00:00,13.03,13.03,13.03,13.03,10
2018-10-25 07:00:00,12.48,12.48,12.45,12.45,1430
2018-10-26 07:00:00,12.45,12.45,12.45,12.45,3930
2018-10-29 07:00:00,12.45,12.45,12.45,12.45,3511
2018-10-30 07:00:00,12.45,12.45,12.45,12.45,1000
