time,open,high,low,close,volume
2018-08-09 07:00:00,32.64,32.85,31.66,32.7,655490
2018-08-10 07:00:00,32.7,33.73,32.7,33.73,833000
2018-08-13 07:00:00,33.89,33.89,32.44,33.47,704350
2018-08-14 07:00:00,33.47,33.94,33.37,33.94,525870
2018-08-15 07:00:00,34.04,34.04,32.96,33.84,703640
2018-08-16 07:00:00,33.79,33.84,33.47,33.84,807290
2018-08-17 07:00:00,33.84,33.99,33.68,33.99,420270
2018-08-20 07:00:00,33.99,33.99,33.22,33.89,668430
2018-08-21 07:00:00,33.99,33.99,33.79,33.89,266610
2018-08-22 07:00:00,33.89,33.99,32.18,33.68,395040
2018-08-23 07:00:00,33.58,33.68,32.7,33.22,687130
2018-08-24 07:00:00,33.16,33.73,33.11,33.73,296650
2018-08-27 07:00:00,33.73,33.79,33.27,33.79,235500
2018-08-28 07:00:00,33.79,33.99,32.75,33.73,386220
2018-08-29 07:00:00,33.68,33.73,32.96,33.68,235120
2018-08-30 07:00:00,33.58,33.73,33.27,33.73,346410
2018-08-31 07:00:00,33.73,33.79,33.47,33.73,332000
2018-09-04 07:00:00,33.58,33.73,33.06,33.63,427640
2018-09-05 07:00:00,33.53,33.63,32.85,33.01,705390
2018-09-06 07:00:00,33.01,33.73,32.96,33.73,391310
2018-09-07 07:00:00,33.58,33.79,32.8,33.79,453810
2018-09-10 07:00:00,33.58,34.25,33.01,34.25,462290
2018-09-11 07:00:00,34.25,34.51,33.27,34.51,441850
2018-09-12 07:00:00,34.51,35.29,34.51,35.14,251290
2018-09-13 07:00:00,35.14,35.81,35.03,35.24,274550
2018-09-14 07:00:00,35.55,35.97,34.77,35.19,246590
2018-09-17 07:00:00,35.29,35.29,34.51,34.88,409970
2018-09-18 07:00:00,34.62,34.93,34.46,34.93,308790
2018-09-19 07:00:00,34.93,34.98,34.25,34.25,154640
2018-09-20 07:00:00,34.25,34.3,33.22,33.47,248400
2018-09-21 07:00:00,33.58,33.73,31.14,31.14,5031320
2018-09-24 07:00:00,32.96,33.27,32.7,33.27,403450
2018-09-25 07:00:00,33.27,34.77,33.27,33.79,377310
2018-09-26 07:00:00,33.22,33.84,32.7,33.63,698710
2018-09-27 07:00:00,33.73,34.77,33.47,34.51,670940
2018-09-28 07:00:00,34.51,34.67,33.99,34.51,924590
2018-10-01 07:00:00,34.51,34.56,33.47,33.63,541970
2018-10-02 07:00:00,33.22,33.63,33.16,33.37,228580
2018-10-03 07:00:00,33.22,33.42,32.8,33.22,247900
2018-10-04 07:00:00,33.11,33.22,32.8,33.22,187640
2018-10-05 07:00:00,33.22,33.22,32.75,33.11,220250
2018-10-08 07:00:00,33.11,33.22,32.7,32.96,1031380
2018-10-09 07:00:00,32.85,33.73,32.85,33.68,414530
2018-10-10 07:00:00,33.79,33.79,32.9,33.22,1124690
2018-10-11 07:00:00,33.22,34.25,32.59,33.11,467850
2018-10-12 07:00:00,33.11,35.4,32.96,35.29,847500
2018-10-15 07:00:00,35.29,36.85,34.56,36.22,645190
2018-10-16 07:00:00,36.22,37.89,36.07,37.78,1088120
2018-10-17 07:00:00,37.78,38.15,36.85,38.09,877860
2018-10-18 07:00:00,38.04,38.04,37.11,37.42,179250
2018-10-19 07:00:00,37.63,37.63,35.86,36.33,935230
2018-10-22 07:00:00,36.33,36.9,36.33,36.85,304330
2018-10-23 07:00:00,36.85,36.85,36.02,36.8,454190
2018-10-24 07:00:00,36.8,38.15,36.38,37.83,987660
2018-10-25 07:00:00,37.78,38.66,36.85,38.66,936470
2018-10-26 07:00:00,38.4,38.77,37.37,37.94,997510
2018-10-29 07:00:00,37.94,37.94,36.38,36.95,185440
2018-10-30 07:00:00,36.8,36.8,35.65,36.43,278100
2018-10-31 07:00:00,36.38,36.9,36.28,36.9,420240
2018-11-01 07:00:00,36.9,37.32,36.38,36.85,162470
2018-11-02 07:00:00,36.85,36.95,36.59,36.9,483030
2018-11-05 07:00:00,36.9,36.9,36.07,36.28,127620
2018-11-06 07:00:00,36.28,36.48,36.07,36.22,142280
2018-11-07 07:00:00,36.17,36.22,35.71,35.91,177680
2018-11-08 07:00:00,35.97,36.28,35.4,35.81,543910
2018-11-09 07:00:00,35.81,36.54,35.55,36.38,154360
2018-11-12 07:00:00,36.33,36.74,35.6,36.69,195640
2018-11-13 07:00:00,36.54,36.95,36.07,36.8,164260
2018-11-14 07:00:00,36.8,37.47,36.59,36.8,412410
2018-11-15 07:00:00,36.8,37.89,36.74,37.37,444090
2018-11-16 07:00:00,37.42,37.47,35.81,36.17,178570
2018-11-19 07:00:00,36.17,36.28,35.81,36.02,122050
2018-11-20 07:00:00,35.86,36.02,34.77,35.91,145050
2018-11-21 07:00:00,35.6,35.86,35.08,35.08,153580
2018-11-22 07:00:00,35.08,35.81,35.08,35.14,137410
2018-11-23 07:00:00,35.14,35.55,34.88,35.34,112880
2018-11-26 07:00:00,35.34,35.81,34.88,35.76,145300
2018-11-27 07:00:00,35.76,36.22,35.19,35.29,459790
2018-11-28 07:00:00,35.65,36.07,35.29,35.86,207450
2018-11-29 07:00:00,35.91,36.07,35.65,35.91,222580
2018-11-30 07:00:00,35.91,36.02,34.88,35.34,368790
2018-12-03 07:00:00,35.34,35.86,35.34,35.45,264730
2018-12-04 07:00:00,35.5,35.55,35.03,35.24,257820
2018-12-05 07:00:00,35.24,35.24,34.77,34.93,323630
2018-12-06 07:00:00,34.77,36.02,34.77,35.29,275540
2018-12-07 07:00:00,35.4,35.81,35.4,35.55,294760
2018-12-10 07:00:00,35.29,35.55,35.24,35.45,250580
2018-12-11 07:00:00,35.29,35.45,34.77,35.34,230450
2018-12-12 07:00:00,35.29,35.86,35.14,35.29,247380
2018-12-13 07:00:00,35.29,35.86,34.98,34.98,263460
2018-12-14 07:00:00,35.03,35.14,34.62,34.77,214040
2018-12-17 07:00:00,34.77,34.77,34.04,34.41,266420
2018-12-18 07:00:00,34.25,34.41,33.22,33.63,445920
2018-12-19 07:00:00,33.47,33.47,32.96,32.96,290690
2018-12-20 07:00:00,32.96,33.99,32.7,33.73,301590
2018-12-21 07:00:00,33.22,33.84,32.96,32.96,704870
2018-12-24 07:00:00,33.22,33.58,32.85,33.27,622530
2018-12-25 07:00:00,33.47,33.99,33.01,33.84,438170
2018-12-26 07:00:00,33.22,33.84,32.8,33.32,367820
2018-12-27 07:00:00,33.22,33.53,33.16,33.32,320700
2018-12-28 07:00:00,33.22,33.47,33.16,33.32,320230
2019-01-02 07:00:00,33.47,33.47,32.59,33.47,478860
2019-01-03 07:00:00,33.16,33.16,32.54,32.7,629490
2019-01-04 07:00:00,32.44,32.96,31.66,32.8,626290
2019-01-07 07:00:00,32.44,32.7,31.71,32.18,721650
2019-01-08 07:00:00,32.18,32.18,29.94,29.94,621630
2019-01-09 07:00:00,30.0,31.14,27.87,30.52,1165350
2019-01-10 07:00:00,30.1,31.04,30.1,30.72,470210
2019-01-11 07:00:00,30.36,31.04,30.36,30.78,627520
2019-01-14 07:00:00,30.36,30.46,29.53,30.15,717640
2019-01-15 07:00:00,29.84,30.31,29.53,30.15,573010
2019-01-16 07:00:00,29.94,30.15,29.48,29.84,475490
2019-01-17 07:00:00,29.63,29.84,29.48,29.48,396210
2019-01-18 07:00:00,29.48,29.84,29.48,29.58,324670
2019-01-21 07:00:00,29.58,29.79,29.53,29.63,354580
2019-01-22 07:00:00,29.69,29.74,29.17,29.53,535670
2019-01-23 07:00:00,29.53,29.69,29.32,29.69,453150
2019-01-24 07:00:00,29.63,29.74,29.43,29.63,412780
2019-01-25 07:00:00,29.63,29.79,29.06,29.58,352410
2019-01-28 07:00:00,29.58,29.69,29.48,29.63,421070
2019-01-29 07:00:00,29.63,29.79,29.43,29.79,508370
2019-01-30 07:00:00,29.58,29.74,29.53,29.63,394750
2019-01-31 07:00:00,29.58,29.69,29.22,29.37,554770
2019-02-01 07:00:00,29.37,29.53,28.96,29.43,571270
2019-02-11 07:00:00,29.48,30.05,29.43,29.84,440830
2019-02-12 07:00:00,29.84,30.0,29.74,29.84,426710
2019-02-13 07:00:00,29.84,30.0,29.63,29.84,456420
2019-02-14 07:00:00,29.89,30.72,29.84,30.05,656330
2019-02-15 07:00:00,30.05,30.26,29.84,29.84,511960
2019-02-18 07:00:00,29.84,30.2,29.84,30.05,583930
2019-02-19 07:00:00,30.05,30.2,30.0,30.1,634820
2019-02-20 07:00:00,30.0,30.2,30.0,30.15,424150
2019-02-21 07:00:00,30.15,30.26,30.0,30.26,720560
2019-02-22 07:00:00,30.31,30.67,30.1,30.31,592190
2019-02-25 07:00:00,30.36,31.81,30.36,31.04,735710
2019-02-26 07:00:00,31.4,31.76,30.83,30.83,443700
2019-02-27 07:00:00,30.83,31.4,30.83,30.93,652490
2019-02-28 07:00:00,31.14,31.5,29.84,29.84,1361480
2019-03-01 07:00:00,29.63,30.72,29.63,30.72,495790
2019-03-04 07:00:00,30.72,31.14,30.41,30.88,500190
2019-03-05 07:00:00,30.78,30.98,30.36,30.52,536160
2019-03-06 07:00:00,30.52,30.52,29.37,29.58,880920
2019-03-07 07:00:00,29.58,30.05,29.58,29.79,472630
2019-03-08 07:00:00,29.58,30.46,29.58,29.84,445530
2019-03-11 07:00:00,30.1,31.45,30.1,31.19,662430
2019-03-12 07:00:00,31.24,32.44,31.24,32.44,1139030
2019-03-13 07:00:00,32.44,32.59,31.66,31.76,359170
2019-03-14 07:00:00,31.66,32.23,31.4,32.12,394680
2019-03-15 07:00:00,32.18,32.49,31.09,31.09,2531220
2019-03-18 07:00:00,31.24,31.66,30.62,30.72,428600
2019-03-19 07:00:00,30.78,30.88,30.2,30.31,413930
2019-03-20 07:00:00,30.36,30.72,30.26,30.26,434440
