time,open,high,low,close,volume
2018-08-09 07:00:00,14.48,15.13,14.48,14.67,1248010
2018-08-10 07:00:00,14.58,14.67,14.39,14.58,603700
2018-08-13 07:00:00,14.39,14.58,14.3,14.3,657311
2018-08-14 07:00:00,15.23,15.23,13.93,14.11,963436
2018-08-15 07:00:00,14.02,14.2,13.37,13.37,1025449
2018-08-16 07:00:00,13.37,13.65,13.18,13.65,917160
2018-08-17 07:00:00,13.74,13.83,13.28,13.37,442867
2018-08-20 07:00:00,13.46,13.46,13.18,13.28,627460
2018-08-21 07:00:00,13.28,13.46,13.28,13.37,701207
2018-08-22 07:00:00,13.37,13.74,13.37,13.46,727120
2018-08-23 07:00:00,13.74,13.74,13.18,13.37,609720
2018-08-24 07:00:00,13.37,13.37,13.18,13.37,347700
2018-08-27 07:00:00,13.46,13.65,13.28,13.46,641100
2018-08-28 07:00:00,13.18,13.37,13.18,13.18,408180
2018-08-29 07:00:00,13.28,13.55,13.18,13.37,755452
2018-08-30 07:00:00,13.55,13.55,13.18,13.37,602722
2018-08-31 07:00:00,13.46,13.83,13.37,13.46,935083
2018-09-04 07:00:00,13.55,13.55,13.28,13.37,1087320
2018-09-05 07:00:00,13.37,13.37,13.09,13.18,530400
2018-09-06 07:00:00,13.09,13.18,12.9,13.09,500300
2018-09-07 07:00:00,13.0,13.18,13.0,13.18,273411
2018-09-10 07:00:00,13.18,13.37,13.18,13.18,411100
2018-09-11 07:00:00,13.28,13.83,13.28,13.74,1333860
2018-09-12 07:00:00,13.83,14.11,13.74,14.02,1779640
2018-09-13 07:00:00,14.02,14.11,13.74,13.74,682756
2018-09-14 07:00:00,13.74,13.83,13.55,13.74,582168
2018-09-17 07:00:00,13.74,13.74,13.55,13.55,502346
2018-09-18 07:00:00,13.55,13.74,13.46,13.74,676105
2018-09-19 07:00:00,13.83,14.48,13.83,14.2,2368584
2018-09-20 07:00:00,14.2,15.5,14.2,15.23,3155892
2018-09-21 07:00:00,15.23,15.5,14.85,15.23,2264836
2018-09-24 07:00:00,15.13,15.41,15.04,15.32,1277062
2018-09-25 07:00:00,15.32,16.06,15.32,15.97,2650811
2018-09-26 07:00:00,15.97,16.15,15.5,15.5,2063192
2018-09-27 07:00:00,15.41,15.97,15.32,15.78,2057913
2018-09-28 07:00:00,15.78,15.97,15.5,15.5,1593169
2018-10-01 07:00:00,15.69,16.25,15.6,15.88,1600244
