time,open,high,low,close,volume
2018-08-09 07:00:00,26.99,26.99,25.7,26.57,41210
2018-08-10 07:00:00,26.57,26.62,25.88,26.53,15240
2018-08-13 07:00:00,26.94,26.94,26.02,26.53,46320
2018-08-14 07:00:00,26.62,26.62,26.25,26.44,37880
2018-08-15 07:00:00,26.62,26.62,26.25,26.48,34050
2018-08-16 07:00:00,26.48,26.53,25.88,26.48,40350
2018-08-17 07:00:00,26.62,26.62,26.11,26.53,32920
2018-08-20 07:00:00,26.94,27.54,26.66,27.35,69140
2018-08-21 07:00:00,26.62,27.26,26.62,26.66,30160
2018-08-22 07:00:00,26.66,27.35,26.48,26.48,72520
2018-08-23 07:00:00,27.03,27.03,26.3,26.85,12320
2018-08-24 07:00:00,26.25,26.85,26.25,26.85,47570
2018-08-27 07:00:00,27.31,27.31,26.39,26.71,16500
2018-08-28 07:00:00,26.8,26.8,26.34,26.62,20230
2018-08-29 07:00:00,26.25,26.62,26.21,26.3,14380
2018-08-30 07:00:00,26.3,26.39,26.02,26.39,29420
2018-08-31 07:00:00,25.93,26.62,25.88,26.44,42850
2018-09-04 07:00:00,25.7,26.71,25.47,26.53,91860
2018-09-05 07:00:00,26.53,26.53,25.7,26.48,16330
2018-09-06 07:00:00,25.7,26.53,25.7,26.39,51090
2018-09-07 07:00:00,26.3,26.39,25.88,26.39,14290
2018-09-10 07:00:00,26.39,26.39,26.07,26.39,5430
2018-09-11 07:00:00,26.34,26.53,26.3,26.39,58260
2018-09-12 07:00:00,26.39,27.08,26.39,26.99,30970
2018-09-13 07:00:00,27.26,27.26,26.57,26.85,45430
2018-09-14 07:00:00,26.66,26.85,26.62,26.8,25570
2018-09-17 07:00:00,26.62,26.62,26.39,26.57,17630
2018-09-18 07:00:00,26.16,26.71,26.16,26.62,18730
2018-09-19 07:00:00,26.94,27.77,26.62,27.49,236580
2018-09-20 07:00:00,28.46,28.46,27.49,27.49,193640
2018-09-21 07:00:00,27.54,27.54,26.85,27.31,35420
2018-09-24 07:00:00,27.08,27.31,26.3,26.3,143630
2018-09-25 07:00:00,26.16,27.03,26.02,26.85,188230
2018-09-26 07:00:00,27.03,27.03,26.39,26.71,111450
2018-09-27 07:00:00,26.62,27.08,26.3,26.3,127310
2018-09-28 07:00:00,26.62,26.66,26.16,26.16,156950
2018-10-01 07:00:00,26.16,26.39,25.7,25.7,79190
2018-10-02 07:00:00,25.7,26.07,25.47,25.56,72460
2018-10-03 07:00:00,25.47,25.7,24.83,24.83,211910
2018-10-04 07:00:00,24.78,25.15,24.6,24.78,153160
2018-10-05 07:00:00,25.47,25.47,24.69,24.74,100090
2018-10-08 07:00:00,24.74,25.24,24.69,25.2,52720
2018-10-09 07:00:00,25.24,25.47,25.15,25.33,29420
2018-10-10 07:00:00,25.15,25.15,24.51,24.69,123380
2018-10-11 07:00:00,24.32,24.32,22.99,23.22,249170
2018-10-12 07:00:00,22.3,24.83,22.3,24.83,100430
2018-10-15 07:00:00,24.78,24.78,23.82,24.1,45060
2018-10-16 07:00:00,24.1,24.23,22.49,24.05,7980
2018-10-17 07:00:00,24.05,24.23,22.99,23.96,27240
2018-10-18 07:00:00,24.0,24.0,23.22,23.73,45450
2018-10-19 07:00:00,23.73,23.73,22.99,23.5,47440
2018-10-22 07:00:00,23.77,23.77,22.99,23.41,65640
2018-10-23 07:00:00,23.18,23.41,22.72,22.95,47000
2018-10-24 07:00:00,23.32,23.32,22.67,22.72,46920
2018-10-25 07:00:00,22.49,22.49,21.14,22.49,80730
2018-10-26 07:00:00,22.03,22.58,21.8,22.08,36400
2018-10-29 07:00:00,22.26,22.26,21.85,22.08,33260
2018-10-30 07:00:00,21.11,22.3,21.11,22.03,37980
2018-10-31 07:00:00,22.03,22.86,22.03,22.03,18390
2018-11-01 07:00:00,22.03,22.03,21.16,21.16,39370
2018-11-02 07:00:00,21.16,21.16,19.96,20.52,71680
2018-11-05 07:00:00,20.52,21.25,20.52,21.2,37330
2018-11-06 07:00:00,21.34,21.34,20.93,21.2,35680
2018-11-07 07:00:00,21.48,21.48,21.09,21.2,24580
2018-11-08 07:00:00,21.2,21.57,21.02,21.57,122540
2018-11-09 07:00:00,21.59,21.8,21.11,21.2,76250
2018-11-12 07:00:00,21.2,21.2,20.65,20.65,19760
2018-11-13 07:00:00,20.42,20.88,20.19,20.61,52570
2018-11-14 07:00:00,20.65,20.81,20.19,20.56,43060
2018-11-15 07:00:00,20.15,20.56,19.5,19.83,88140
2018-11-16 07:00:00,19.96,20.01,19.55,19.55,59520
2018-11-19 07:00:00,20.06,20.06,19.55,19.6,27180
2018-11-20 07:00:00,19.6,19.74,19.41,19.64,42550
2018-11-21 07:00:00,19.55,19.64,19.37,19.64,17400
2018-11-22 07:00:00,19.64,19.92,19.6,19.74,9590
2018-11-23 07:00:00,20.15,20.15,19.55,19.55,12450
2018-11-26 07:00:00,19.55,19.87,19.5,19.5,34310
2018-11-27 07:00:00,19.74,19.74,19.32,19.32,16030
2018-11-28 07:00:00,19.32,19.64,19.18,19.32,17560
2018-11-29 07:00:00,19.18,19.74,19.18,19.18,30220
2018-11-30 07:00:00,19.18,19.5,19.05,19.37,14290
2018-12-03 07:00:00,19.92,19.92,19.23,19.55,18650
2018-12-04 07:00:00,19.64,19.64,19.46,19.5,35420
2018-12-05 07:00:00,19.64,19.64,19.23,19.55,20680
2018-12-06 07:00:00,19.64,20.74,19.55,20.29,59510
2018-12-07 07:00:00,20.65,20.84,20.29,20.74,83710
2018-12-10 07:00:00,20.74,21.02,20.74,21.02,23380
