time,open,high,low,close,volume
2022-06-17 07:00:00,91.46,91.46,91.46,91.46,800
2022-06-20 07:00:00,105.17,105.17,105.17,105.17,1200
2022-06-21 07:00:00,120.91,120.91,120.91,120.91,169700
2022-06-22 07:00:00,139.04,139.04,119.22,120.85,201900
2022-06-23 07:00:00,122.7,128.26,122.65,125.75,105800
2022-06-24 07:00:00,125.75,125.81,119.76,119.76,58500
2022-06-27 07:00:00,120.85,120.85,114.32,115.41,92700
2022-06-28 07:00:00,113.83,114.32,105.72,106.64,112300
2022-06-29 07:00:00,106.64,108.28,97.99,105.61,81000
2022-06-30 07:00:00,103.43,108.82,103.43,106.37,35215
2022-07-01 07:00:00,104.52,104.52,98.53,101.64,54502
2022-07-04 07:00:00,98.53,102.34,97.99,97.99,58783
2022-07-05 07:00:00,96.36,97.44,87.64,88.19,95110
2022-07-06 07:00:00,85.47,85.47,78.66,78.94,85200
2022-07-07 07:00:00,78.94,87.1,74.58,84.38,111161
2022-07-08 07:00:00,82.47,89.82,82.47,86.01,49200
2022-07-11 07:00:00,86.28,86.34,81.66,83.78,22628
2022-07-12 07:00:00,82.75,86.01,81.77,85.96,27703
2022-07-13 07:00:00,83.89,84.92,82.75,83.84,33100
2022-07-14 07:00:00,82.91,83.84,82.75,83.84,26500
2022-07-15 07:00:00,84.38,85.96,81.39,81.66,73904
2022-07-18 07:00:00,82.2,82.2,80.02,81.06,23804
2022-07-19 07:00:00,79.32,83.84,79.32,83.51,33000
2022-07-20 07:00:00,85.47,87.1,84.11,86.01,86440
2022-07-21 07:00:00,87.05,87.05,84.43,85.41,20800
2022-07-22 07:00:00,85.47,87.1,85.09,85.41,72600
2022-07-25 07:00:00,87.1,87.1,83.4,85.9,38700
2022-07-26 07:00:00,85.96,92.54,85.96,89.82,174601
2022-07-27 07:00:00,89.28,91.29,84.38,89.28,46100
2022-07-28 07:00:00,89.71,90.37,86.01,88.19,75800
2022-07-29 07:00:00,88.03,88.03,79.59,83.18,162200
2022-08-01 07:00:00,82.8,82.8,76.21,81.88,183400
2022-08-02 07:00:00,81.77,82.86,80.57,81.82,34600
2022-08-03 07:00:00,82.2,82.2,80.19,80.57,126700
2022-08-04 07:00:00,85.8,87.5,81.42,81.72,55900
2022-08-05 07:00:00,82.59,82.59,79.97,80.55,47700
2022-08-08 07:00:00,80.84,80.84,78.8,79.5,107123
2022-08-09 07:00:00,79.38,82.77,79.32,80.55,52600
2022-08-10 07:00:00,80.37,80.84,79.09,79.67,35300
2022-08-11 07:00:00,79.79,80.26,78.8,78.86,48100
2022-08-12 07:00:00,79.21,79.21,77.46,77.63,105900
2022-08-15 07:00:00,77.51,78.33,77.51,77.92,25300
2022-08-16 07:00:00,77.63,78.74,77.4,77.63,19400
2022-08-17 07:00:00,77.98,78.04,75.35,75.41,96700
2022-08-18 07:00:00,77.51,77.51,76.46,76.58,53200
2022-08-19 07:00:00,77.69,77.75,75.88,75.94,26500
2022-08-22 07:00:00,76.58,76.58,74.19,74.42,32500
2022-08-23 07:00:00,72.96,72.96,71.33,72.96,66300
2022-08-24 07:00:00,73.43,74.65,72.44,74.13,37900
