time,open,high,low,close,volume
2018-08-09 07:00:00,9.12,9.12,8.72,8.88,72760
2018-08-10 07:00:00,9.28,9.28,8.45,8.79,65020
2018-08-13 07:00:00,8.45,8.88,8.45,8.62,7840
2018-08-14 07:00:00,8.72,8.72,8.29,8.29,148700
2018-08-15 07:00:00,8.54,8.54,8.22,8.22,141940
2018-08-16 07:00:00,8.55,8.55,8.24,8.52,52060
2018-08-17 07:00:00,8.62,8.69,8.19,8.29,80050
2018-08-20 07:00:00,8.29,8.29,8.24,8.29,121940
2018-08-21 07:00:00,8.4,8.4,8.22,8.25,42640
2018-08-22 07:00:00,8.35,8.35,8.25,8.32,46790
2018-08-23 07:00:00,8.39,8.39,8.25,8.25,26560
2018-08-24 07:00:00,8.25,8.62,8.25,8.45,269990
2018-08-27 07:00:00,8.55,8.55,8.29,8.32,138860
2018-08-28 07:00:00,8.3,8.55,8.27,8.32,62130
2018-08-29 07:00:00,8.29,8.32,8.24,8.25,57080
2018-08-30 07:00:00,8.25,8.32,8.24,8.24,88600
2018-08-31 07:00:00,8.35,8.37,8.25,8.32,150690
2018-09-04 07:00:00,8.35,8.35,8.25,8.29,36620
2018-09-05 07:00:00,8.25,8.27,8.16,8.24,97940
2018-09-06 07:00:00,8.17,8.25,8.16,8.19,66790
2018-09-07 07:00:00,8.14,8.42,8.14,8.32,162870
2018-09-10 07:00:00,8.3,8.32,8.22,8.29,119920
2018-09-11 07:00:00,8.25,8.32,8.16,8.32,95760
2018-09-12 07:00:00,8.35,8.35,8.29,8.29,72470
2018-09-13 07:00:00,8.27,8.72,8.25,8.57,486360
2018-09-14 07:00:00,8.62,8.72,8.55,8.67,185670
2018-09-17 07:00:00,8.84,8.85,8.55,8.72,135880
2018-09-18 07:00:00,8.72,9.05,8.52,8.95,466120
2018-09-19 07:00:00,8.95,9.38,8.88,9.28,457390
2018-09-20 07:00:00,9.15,9.55,9.12,9.38,263020
2018-09-21 07:00:00,9.45,9.45,9.12,9.28,237840
2018-09-24 07:00:00,9.43,9.43,9.25,9.28,181670
2018-09-25 07:00:00,9.42,9.42,9.15,9.28,231610
2018-09-26 07:00:00,9.28,9.65,9.28,9.55,416520
2018-09-27 07:00:00,9.55,9.66,9.42,9.45,126910
2018-09-28 07:00:00,9.45,9.56,9.42,9.45,142460
2018-10-01 07:00:00,9.28,9.42,9.28,9.33,179830
2018-10-02 07:00:00,9.23,9.35,9.15,9.18,145810
2018-10-03 07:00:00,9.18,9.28,8.88,8.95,415590
2018-10-04 07:00:00,9.02,9.18,8.93,8.95,256640
2018-10-05 07:00:00,9.12,9.12,8.95,8.98,261240
2018-10-08 07:00:00,8.95,9.02,8.85,8.95,129880
2018-10-09 07:00:00,8.87,8.95,8.79,8.79,106980
2018-10-10 07:00:00,8.82,8.82,8.65,8.82,79510
2018-10-11 07:00:00,8.62,8.77,8.3,8.32,234210
2018-10-12 07:00:00,8.29,8.75,8.29,8.75,165630
2018-10-15 07:00:00,8.52,8.75,8.52,8.6,32990
2018-10-16 07:00:00,8.6,8.72,8.55,8.62,96160
2018-10-17 07:00:00,8.79,8.79,8.65,8.69,120590
2018-10-18 07:00:00,8.65,8.69,8.54,8.55,109060
2018-10-19 07:00:00,8.55,8.55,8.29,8.42,632000
2018-10-22 07:00:00,8.42,8.42,8.32,8.42,256420
2018-10-23 07:00:00,8.35,8.4,8.25,8.29,491030
2018-10-24 07:00:00,8.29,8.4,8.25,8.29,355260
2018-10-25 07:00:00,8.19,8.25,8.12,8.22,141820
2018-10-26 07:00:00,8.29,8.32,8.12,8.12,154710
2018-10-29 07:00:00,8.12,8.12,7.82,7.82,225750
2018-10-30 07:00:00,7.96,7.96,7.29,7.59,666730
2018-10-31 07:00:00,7.69,7.87,7.39,7.77,501250
2018-11-01 07:00:00,7.63,7.79,7.63,7.63,208890
2018-11-02 07:00:00,7.63,7.74,7.46,7.49,407360
2018-11-05 07:00:00,7.46,7.76,7.43,7.63,226680
2018-11-06 07:00:00,7.76,7.96,7.69,7.92,264050
2018-11-07 07:00:00,7.96,8.02,7.79,7.79,325210
2018-11-08 07:00:00,7.91,8.01,7.77,7.86,243180
2018-11-09 07:00:00,7.77,7.77,7.58,7.63,236780
2018-11-12 07:00:00,7.51,7.61,7.39,7.46,248720
2018-11-13 07:00:00,7.36,7.53,7.29,7.29,357690
2018-11-14 07:00:00,7.29,7.39,7.13,7.13,142830
2018-11-15 07:00:00,7.13,7.23,6.83,6.83,371670
2018-11-16 07:00:00,6.83,7.29,6.83,6.93,324970
2018-11-19 07:00:00,7.21,7.21,6.96,7.0,210900
2018-11-20 07:00:00,6.95,7.26,6.9,7.21,300560
2018-11-21 07:00:00,7.0,7.26,7.0,7.26,233800
2018-11-22 07:00:00,7.29,7.39,7.06,7.06,306800
2018-11-23 07:00:00,7.06,7.09,6.98,6.98,82760
2018-11-26 07:00:00,6.95,7.14,6.95,7.06,172700
2018-11-27 07:00:00,7.06,7.23,7.06,7.14,314190
2018-11-28 07:00:00,7.19,7.26,7.14,7.19,139560
2018-11-29 07:00:00,7.26,7.49,7.23,7.43,342330
2018-11-30 07:00:00,7.43,7.46,7.36,7.46,302880
2018-12-03 07:00:00,7.56,7.82,7.48,7.79,318660
2018-12-04 07:00:00,7.79,7.87,7.66,7.79,269870
2018-12-05 07:00:00,7.63,7.84,7.59,7.69,282660
2018-12-06 07:00:00,7.69,7.82,7.63,7.72,241590
2018-12-07 07:00:00,7.72,7.79,7.66,7.76,247060
2018-12-10 07:00:00,7.66,7.77,7.56,7.59,196000
2018-12-11 07:00:00,7.59,7.63,7.49,7.59,220720
2018-12-12 07:00:00,7.59,7.79,7.49,7.74,263700
2018-12-13 07:00:00,7.74,7.79,7.72,7.76,266970
2018-12-14 07:00:00,7.67,7.79,7.67,7.76,118450
2018-12-17 07:00:00,7.63,7.69,7.59,7.66,176970
2018-12-18 07:00:00,7.53,7.69,7.53,7.69,249490
2018-12-19 07:00:00,7.63,7.69,7.59,7.69,105990
2018-12-20 07:00:00,7.76,7.82,7.63,7.82,101110
2018-12-21 07:00:00,7.82,8.12,7.76,8.12,567470
2018-12-24 07:00:00,8.21,8.21,7.99,8.04,272630
2018-12-25 07:00:00,7.79,7.96,7.63,7.96,226250
2018-12-26 07:00:00,7.99,8.11,7.92,8.11,301410
2018-12-27 07:00:00,8.17,8.19,7.96,8.14,278680
2018-12-28 07:00:00,8.14,8.22,8.02,8.22,762740
2019-01-02 07:00:00,8.22,8.22,7.87,7.94,100400
2019-01-03 07:00:00,7.99,7.99,7.43,7.43,171660
2019-01-04 07:00:00,7.43,7.53,7.0,7.49,108730
2019-01-07 07:00:00,7.58,7.86,7.49,7.49,30030
2019-01-08 07:00:00,7.49,7.49,7.41,7.46,59080
2019-01-09 07:00:00,7.46,7.56,7.43,7.46,46110
2019-01-10 07:00:00,7.46,7.51,7.39,7.39,13750
2019-01-11 07:00:00,7.46,7.67,7.46,7.56,95330
2019-01-14 07:00:00,7.56,7.63,7.53,7.63,45310
2019-01-15 07:00:00,7.63,7.92,7.46,7.92,225900
2019-01-16 07:00:00,7.96,7.96,7.84,7.86,41850
2019-01-17 07:00:00,7.94,7.94,7.77,7.81,40080
2019-01-18 07:00:00,7.82,7.82,7.72,7.79,94520
2019-01-21 07:00:00,7.79,7.82,7.63,7.82,152200
2019-01-22 07:00:00,7.86,7.86,7.61,7.63,100150
2019-01-23 07:00:00,7.56,7.67,7.56,7.63,117080
2019-01-24 07:00:00,7.59,7.72,7.59,7.67,53150
2019-01-25 07:00:00,7.74,7.74,7.63,7.67,79040
2019-01-28 07:00:00,7.72,7.76,7.67,7.74,104170
2019-01-29 07:00:00,7.66,7.74,7.63,7.72,67800
2019-01-30 07:00:00,7.76,7.89,7.72,7.77,54920
2019-01-31 07:00:00,7.79,8.02,7.79,7.99,378410
2019-02-01 07:00:00,7.99,8.29,7.99,8.25,234270
2019-02-11 07:00:00,8.25,8.29,7.96,8.06,79000
2019-02-12 07:00:00,8.02,8.19,7.96,8.06,164840
2019-02-13 07:00:00,7.99,8.16,7.99,8.16,92540
2019-02-14 07:00:00,8.17,8.22,8.09,8.11,172610
2019-02-15 07:00:00,8.14,8.14,7.97,8.12,106080
2019-02-18 07:00:00,8.25,8.35,8.16,8.24,241310
2019-02-19 07:00:00,8.24,8.29,8.07,8.07,216540
2019-02-20 07:00:00,8.06,8.12,7.97,8.09,88740
2019-02-21 07:00:00,8.09,8.09,7.86,7.86,265530
2019-02-22 07:00:00,7.82,7.82,7.64,7.64,205940
2019-02-25 07:00:00,7.82,7.82,7.64,7.64,81780
2019-02-26 07:00:00,7.64,7.96,7.64,7.96,230490
2019-02-27 07:00:00,7.96,7.96,7.79,7.92,69090
2019-02-28 07:00:00,7.87,7.92,7.84,7.89,156270
2019-03-01 07:00:00,7.89,7.92,7.86,7.92,51620
2019-03-04 07:00:00,7.96,8.01,7.92,7.96,92260
2019-03-05 07:00:00,7.96,7.96,7.82,7.82,48380
2019-03-06 07:00:00,7.96,7.97,7.86,7.96,96430
2019-03-07 07:00:00,7.96,8.04,7.87,7.89,132930
2019-03-08 07:00:00,7.76,7.94,7.76,7.84,35030
2019-03-11 07:00:00,7.81,7.92,7.79,7.89,36240
2019-03-12 07:00:00,7.99,7.99,7.79,7.96,235910
2019-03-13 07:00:00,7.96,7.96,7.87,7.87,149320
2019-03-14 07:00:00,7.89,8.29,7.87,8.12,502610
2019-03-15 07:00:00,8.02,8.24,8.02,8.14,234650
2019-03-18 07:00:00,8.19,8.44,8.14,8.3,340640
2019-03-19 07:00:00,8.3,8.44,7.99,8.22,368610
2019-03-20 07:00:00,8.12,8.29,8.02,8.16,281440
2019-03-21 07:00:00,8.29,8.29,8.09,8.09,112900
2019-03-22 07:00:00,8.19,8.19,7.92,7.92,196210
2019-03-25 07:00:00,7.79,7.79,7.49,7.56,265620
2019-03-26 07:00:00,7.56,7.86,7.53,7.56,121670
2019-03-27 07:00:00,7.59,7.69,7.56,7.61,86800
2019-03-28 07:00:00,7.76,7.76,7.59,7.61,50990
2019-03-29 07:00:00,7.66,8.02,7.66,7.79,380340
2019-04-01 07:00:00,7.86,7.86,7.72,7.72,48570
2019-04-02 07:00:00,7.72,7.99,7.72,7.86,182070
2019-04-03 07:00:00,8.01,8.01,7.79,7.96,113710
2019-04-04 07:00:00,8.02,8.02,7.89,7.89,60190
2019-04-05 07:00:00,7.89,7.96,7.89,7.94,83660
2019-04-08 07:00:00,7.92,7.96,7.86,7.94,69600
2019-04-09 07:00:00,7.96,7.99,7.87,7.92,139830
2019-04-10 07:00:00,7.87,7.91,7.72,7.79,82400
2019-04-11 07:00:00,7.96,7.96,7.82,7.84,56400
2019-04-12 07:00:00,7.86,7.96,7.84,7.89,245860
2019-04-16 07:00:00,7.99,7.99,7.82,7.86,92780
2019-04-17 07:00:00,7.94,7.94,7.82,7.82,91660
2019-04-18 07:00:00,7.82,7.87,7.79,7.81,66670
2019-04-19 07:00:00,7.92,7.92,7.79,7.79,84600
2019-04-22 07:00:00,7.79,7.79,7.63,7.64,92810
2019-04-23 07:00:00,7.77,7.79,7.63,7.66,81940
2019-04-24 07:00:00,7.69,7.91,7.66,7.86,127990
2019-04-25 07:00:00,7.96,7.96,7.79,7.86,5360
2019-04-26 07:00:00,7.91,7.91,7.79,7.87,27180
2019-05-02 07:00:00,7.86,7.89,7.84,7.86,89010
2019-05-03 07:00:00,7.72,7.86,7.72,7.86,39760
2019-05-06 07:00:00,7.69,7.79,7.69,7.77,52360
2019-05-07 07:00:00,7.77,7.79,7.69,7.69,26120
2019-05-08 07:00:00,7.69,7.96,7.63,7.71,39430
2019-05-09 07:00:00,7.69,7.77,7.56,7.77,108760
2019-05-10 07:00:00,7.59,7.77,7.59,7.69,8400
2019-05-13 07:00:00,7.69,7.69,7.63,7.63,38680
2019-05-14 07:00:00,7.54,7.74,7.54,7.63,32130
2019-05-15 07:00:00,7.69,7.79,7.56,7.66,66320
2019-05-16 07:00:00,7.59,7.69,7.56,7.61,26220
2019-05-17 07:00:00,7.61,7.63,7.61,7.61,61760
2019-05-20 07:00:00,7.56,7.63,7.54,7.63,75870
2019-05-21 07:00:00,7.63,7.99,7.59,7.94,386680
2019-05-22 07:00:00,7.94,8.02,7.89,7.94,186970
2019-05-23 07:00:00,7.92,8.12,7.87,7.99,458250
2019-05-24 07:00:00,8.07,8.07,7.92,7.94,252090
2019-05-27 07:00:00,7.96,7.96,7.79,7.87,47480
2019-05-28 07:00:00,7.86,7.89,7.82,7.87,3910
2019-05-29 07:00:00,7.84,7.84,7.76,7.76,38230
2019-05-30 07:00:00,7.69,7.84,7.69,7.84,96070
2019-05-31 07:00:00,7.71,7.84,7.56,7.56,207290
2019-06-03 07:00:00,7.56,7.74,7.56,7.59,58690
2019-06-04 07:00:00,7.59,7.76,7.59,7.67,35410
2019-06-05 07:00:00,7.63,7.79,7.63,7.71,94490
2019-06-06 07:00:00,7.82,7.82,7.66,7.66,20340
2019-06-07 07:00:00,7.66,7.69,7.66,7.69,37220
2019-06-10 07:00:00,7.79,7.79,7.59,7.69,109540
2019-06-11 07:00:00,7.72,7.72,7.61,7.63,25120
2019-06-12 07:00:00,7.63,7.77,7.59,7.72,100270
2019-06-13 07:00:00,7.79,7.79,7.63,7.76,26080
2019-06-14 07:00:00,7.76,7.76,7.69,7.74,20560
2019-06-17 07:00:00,7.76,7.89,7.63,7.79,125590
2019-06-18 07:00:00,7.79,7.92,7.64,7.71,230850
2019-06-19 07:00:00,7.71,7.95,7.71,7.71,124230
2019-06-20 07:00:00,7.75,7.75,7.69,7.71,88690
2019-06-21 07:00:00,7.67,7.79,7.67,7.67,112550
2019-06-24 07:00:00,7.79,7.79,7.55,7.63,86830
2019-06-25 07:00:00,7.63,7.63,7.51,7.57,45040
2019-06-26 07:00:00,7.61,7.67,7.55,7.55,76990
2019-06-27 07:00:00,7.61,7.63,7.45,7.45,13400
2019-06-28 07:00:00,7.55,7.59,7.27,7.27,49990
2019-07-01 07:00:00,7.27,7.55,7.27,7.43,68780
2019-07-02 07:00:00,7.35,7.51,7.19,7.31,47810
2019-07-03 07:00:00,7.43,7.47,7.39,7.43,29870
2019-07-04 07:00:00,7.53,7.53,7.41,7.47,65480
2019-07-05 07:00:00,7.49,7.51,7.43,7.43,58720
2019-07-08 07:00:00,7.43,7.43,7.27,7.33,17740
2019-07-09 07:00:00,7.35,7.45,7.31,7.43,65320
2019-07-10 07:00:00,7.47,7.47,7.27,7.31,71590
2019-07-11 07:00:00,7.41,7.41,7.23,7.35,170540
2019-07-12 07:00:00,7.31,7.55,7.19,7.19,144910
2019-07-15 07:00:00,7.31,7.47,7.25,7.31,97550
2019-07-16 07:00:00,7.33,7.43,7.19,7.27,111740
2019-07-17 07:00:00,7.27,7.27,7.13,7.13,124020
2019-07-18 07:00:00,7.15,7.15,6.95,7.15,67300
2019-07-19 07:00:00,7.15,7.23,7.07,7.15,135910
2019-07-22 07:00:00,7.23,7.23,6.95,6.99,82380
2019-07-23 07:00:00,7.11,7.15,6.99,7.15,46240
2019-07-24 07:00:00,7.15,7.15,6.99,7.13,42750
2019-07-25 07:00:00,7.13,7.13,7.07,7.07,37300
2019-07-26 07:00:00,7.11,7.11,7.03,7.07,14570
2019-07-29 07:00:00,7.15,7.15,6.85,6.85,84770
2019-07-30 07:00:00,6.85,6.87,6.75,6.75,149040
2019-07-31 07:00:00,6.75,6.75,6.56,6.62,128080
2019-08-01 07:00:00,6.66,6.75,6.6,6.62,69190
2019-08-02 07:00:00,6.64,6.64,6.56,6.58,185240
2019-08-05 07:00:00,6.58,6.69,6.58,6.67,540570
2019-08-06 07:00:00,6.64,6.64,6.44,6.44,444820
2019-08-07 07:00:00,6.64,6.44,6.24,6.24,314990
2019-08-08 07:00:00,6.32,6.52,6.16,6.36,395220
2019-08-09 07:00:00,6.5,6.75,6.48,6.66,370630
2019-08-12 07:00:00,6.66,6.67,6.58,6.67,129110
2019-08-13 07:00:00,6.64,6.69,6.36,6.46,213270
2019-08-14 07:00:00,6.48,6.58,6.36,6.56,242890
2019-08-15 07:00:00,6.36,6.58,6.36,6.54,71900
2019-08-16 07:00:00,6.44,6.99,6.44,6.93,763770
2019-08-19 07:00:00,7.11,7.19,6.93,6.99,212520
2019-08-20 07:00:00,6.95,7.13,6.95,7.09,227310
2019-08-21 07:00:00,6.97,7.35,6.97,7.21,410810
2019-08-22 07:00:00,7.23,7.47,7.23,7.43,583510
2019-08-23 07:00:00,7.47,7.49,7.21,7.21,476130
2019-08-26 07:00:00,7.15,7.37,7.07,7.21,222030
2019-08-27 07:00:00,7.35,7.35,7.11,7.11,431970
2019-08-28 07:00:00,7.11,7.35,6.97,7.11,168310
2019-08-29 07:00:00,7.07,7.11,6.97,6.97,248820
2019-08-30 07:00:00,6.97,7.27,6.97,7.19,244190
2019-09-03 07:00:00,7.19,7.23,7.11,7.11,119870
2019-09-04 07:00:00,7.19,7.19,7.07,7.15,217110
2019-09-05 07:00:00,7.27,7.53,7.19,7.47,347890
2019-09-06 07:00:00,7.47,7.73,7.47,7.67,513240
2019-09-09 07:00:00,7.71,7.75,7.67,7.69,178830
2019-09-10 07:00:00,7.73,8.01,7.67,7.89,904510
2019-09-11 07:00:00,7.95,8.13,7.83,8.09,526200
2019-09-12 07:00:00,8.14,8.52,8.11,8.38,902860
2019-09-13 07:00:00,8.38,8.62,8.38,8.38,609630
2019-09-16 07:00:00,8.28,8.54,8.18,8.5,363400
2019-09-17 07:00:00,8.58,8.58,8.34,8.4,180790
2019-09-18 07:00:00,8.4,8.42,8.13,8.34,243550
2019-09-19 07:00:00,8.18,8.5,8.18,8.34,356440
2019-09-20 07:00:00,8.34,8.36,8.22,8.26,226470
2019-09-23 07:00:00,8.26,8.26,8.14,8.14,151500
2019-09-24 07:00:00,8.14,8.14,7.95,7.95,227350
2019-09-25 07:00:00,8.03,8.28,8.01,8.16,277570
2019-09-26 07:00:00,8.24,8.5,8.16,8.48,416300
2019-09-27 07:00:00,8.48,8.5,8.24,8.3,505070
2019-09-30 07:00:00,8.3,8.3,7.99,8.01,406150
2019-10-01 07:00:00,8.01,8.18,7.95,8.11,127340
2019-10-02 07:00:00,8.18,8.18,7.99,8.09,283300
2019-10-03 07:00:00,8.07,8.11,7.95,8.05,152930
2019-10-04 07:00:00,8.03,8.18,7.75,7.83,207660
2019-10-07 07:00:00,7.81,7.95,7.67,7.95,219630
2019-10-08 07:00:00,7.87,8.03,7.83,7.83,108020
2019-10-09 07:00:00,7.83,7.91,7.75,7.75,104480
2019-10-10 07:00:00,7.75,7.83,7.57,7.75,199990
2019-10-11 07:00:00,7.79,7.79,7.65,7.75,136690
2019-10-14 07:00:00,7.83,7.95,7.71,7.75,152000
2019-10-15 07:00:00,7.75,8.07,7.75,7.91,159630
2019-10-16 07:00:00,8.03,8.03,7.75,7.79,125700
2019-10-17 07:00:00,7.77,7.87,7.71,7.75,126330
2019-10-18 07:00:00,7.69,7.73,7.65,7.65,65460
